# solver: Greedy
# max_time: 300000
# main_solver: Greedy
# random.seed: 30
# run: 6240d86b-52c0-46ab-8115-ded8ddf65d9f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	0	0	0	0	0	-1367.1331834178836	-1367.1331834178836	-1163.2340772146608	-1163.2340772146608	-1367.1331834178836	0.9960270797844731	-1367.1331834178836	2	true	494
26	15	15	1	0	0	0	0	0	-1362.4835710711598	-1362.4835710711598	-1159.662432525613	-1159.662432525613	-1362.4835710711598	0.9960270797844731	-1362.4835710711598	2	true	15
27	15	15	1	0	0	0	0	0	-1361.3109378321878	-1361.3109378321878	-1158.5058850552803	-1158.5058850552803	-1361.3109378321878	0.9960270797844731	-1361.3109378321878	2	true	12
28	16	16	1	0	0	0	0	0	-1360.2659528064517	-1360.2659528064517	-1157.473381727687	-1157.473381727687	-1360.2659528064517	0.9956692815522626	-1360.2659528064517	2	true	14
29	16	16	1	0	0	0	0	0	-1409.6375419770914	-1409.6375419770914	-1157.9305192397198	-1157.9305192397198	-1409.6375419770914	0.9954268136656409	-1409.6375419770914	2	true	10
30	18	18	1	0	0	0	0	0	-1408.8889628861746	-1408.8889628861746	-1156.080713499569	-1156.080713499569	-1408.8889628861746	0.9952147228050682	-1408.8889628861746	2	true	11
31	18	18	1	0	0	0	0	0	-1358.534303515803	-1358.534303515803	-1155.6591803779738	-1155.6591803779738	-1358.534303515803	0.9949686359947655	-1358.534303515803	2	true	11
32	18	18	1	0	0	0	0	0	-1358.4706759426908	-1358.4706759426908	-1156.6207346409149	-1156.6207346409149	-1358.4706759426908	0.9946779157923984	-1358.4706759426908	2	true	8
33	19	19	1	0	0	0	0	0	-1160.4692084214826	-1160.4692084214826	-1155.6924857749868	-1155.6924857749868	-1160.4692084214826	0.9941695118474059	-1160.4692084214826	3	true	9
34	22	22	1	0	0	0	0	0	-1218.474681905659	-1218.474681905659	-1156.2977015227214	-1156.2977015227214	-1218.474681905659	0.9933979500076767	-1218.474681905659	5	true	8
