# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 25
# run: 6283ff9f-8f58-4c7b-9229-2e370aa7cccd
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	100	53400	466884	3735072	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9968457241868389	-Infinity	8	true	967
26	15	15	100	53200	469260	3754080	0	0	-2046.096966285487	-2046.096966285487	-2037.7829878574826	-2037.7829878574826	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2050.565485794829,-2050.565485794829,-2050.565485794829,-2050.565485794829,-2050.565485794829,-2050.565485794829,-2050.565485794829,-2048.139210192756,-2048.139210192756,-2048.139210192756,-2048.139210192756,-2047.586646851027,-2047.586646851027,-2047.586646851027,-2047.586646851027,-2047.586646851027,-2047.586646851027,-2047.586646851027,-2047.586646851027,-2047.586646851027,-2047.586646851027,-2047.586646851027,-2047.586646851027,-2047.586646851027,-2046.096966285487,-2046.096966285487,-2046.096966285487,-2046.096966285487,-2046.096966285487,-2046.096966285487,-2046.096966285487,-2046.096966285487,-2046.096966285487,-2046.096966285487,-2046.096966285487,-2046.096966285487,-2046.096966285487,-2046.096966285487	0.9963744964578416	-2046.096966285487	7	true	588
27	15	15	100	52200	454410	3635280	0	0	-2038.9857313291564	-2037.9257819758684	-2035.236807812181	-2034.450275654146	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2041.4001241982926,-2041.4001241982926,-2041.4001241982926,-2041.4001241982926,-2041.4001241982926,-2041.4001241982926,-2041.4001241982926,-2041.4001241982926,-2041.4001241982926,-2041.4001241982926,-2041.4001241982926,-2041.4001241982926,-2041.4001241982926,-2041.4001241982926,-2041.4001241982926,-2039.6829299152912,-2039.6829299152912,-2039.6829299152912,-2039.6829299152912,-2039.6829299152912,-2039.6829299152912,-2039.6829299152912,-2039.6829299152912,-2039.6829299152912,-2039.6829299152912,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2037.9257819758684,-2038.9857313291564,-2038.9857313291564,-2038.9857313291564,-2038.9857313291564,-2038.9857313291564	0.9960270797844731	-2037.9257819758684	5	true	367
28	15	15	100	51800	448470	3587760	0	0	-2035.2757535168732	-2035.2757535168732	-2031.8278188330348	-2031.8278188330348	-Infinity,-Infinity,-Infinity,-2038.433692738418,-2038.433692738418,-2038.433692738418,-2038.433692738418,-2038.433692738418,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732,-2035.2757535168732	0.9960270797844731	-2035.2757535168732	5	true	402
29	15	15	100	47600	430650	3445200	0	0	-2037.0064076244053	-2037.0064076244053	-2031.7789659330438	-2031.7789659330438	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2046.3321105556136,-2046.3321105556136,-2046.3321105556136,-2046.3321105556136,-2042.0238370679483,-2038.2219644183551,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053,-2037.0064076244053	0.9959945094713449	-2037.0064076244053	5	true	349
30	16	16	100	46400	418176	3345408	0	0	-1155.795161540385	-1154.25736468444	-1138.578161866699	-1138.578161866699	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1161.2502855990901,-1161.2502855990901,-1161.2502855990901,-1161.2502855990901,-1161.2502855990901,-1161.2502855990901,-1161.2502855990901,-1161.2502855990901,-1160.679921305944,-1160.679921305944,-1160.679921305944,-1160.679921305944,-1160.679921305944,-1160.679921305944,-1160.679921305944,-1160.679921305944,-1160.679921305944,-1160.679921305944,-1157.983715452911,-1157.983715452911,-1157.983715452911,-1157.0870457714925,-1162.1048443652141,-1162.1048443652141,-1162.1048443652141,-1162.1048443652141,-1162.1048443652141,-1162.1048443652141,-1162.1048443652141,-1162.1048443652141,-1160.826641594629,-1160.826641594629,-1160.826641594629,-1160.826641594629,-1160.826641594629,-1160.826641594629,-1160.826641594629,-1160.826641594629,-1160.826641594629,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1156.9663506900029,-1154.25736468444,-1155.795161540385,-1155.795161540385,-1155.795161540385,-1155.795161540385,-1155.795161540385,-1155.795161540385,-1155.795161540385,-1155.795161540385,-1155.795161540385	0.9954268136656409	-1154.25736468444	9	true	338
31	17	17	100	45860	402732	3221856	0	0	-841.7634370665124	-841.7634370665124	-836.3595007789589	-836.3595007789589	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-851.2336484020921,-851.2336484020921,-851.2336484020921,-858.7916742656054,-858.7916742656054,-858.7916742656054,-858.7916742656054,-858.7916742656054,-858.7916742656054,-858.7916742656054,-858.7916742656054,-858.7916742656054,-858.7916742656054,-858.7916742656054,-858.7916742656054,-858.7916742656054,-858.7916742656054,-858.7916742656054,-858.7916742656054,-849.7417765713652,-849.7417765713652,-849.7417765713652,-849.7417765713652,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-848.0417283620351,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-846.433625744488,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124,-841.7634370665124	0.9952876130456717	-841.7634370665124	5	true	326
32	18	18	100	45839	393228	3145824	0	0	-568.0812761694643	-568.0812761694643	-544.9000038999977	-544.9000038999977	-Infinity,-Infinity,-Infinity,-Infinity,-583.6717538126568,-577.8338837652401,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-569.780155806705,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643,-568.0812761694643	0.9949686359947655	-568.0812761694643	10	true	322
33	18	18	100	45890	384318	3074544	0	0	-566.2117729835542	-566.2117729835542	-544.4397798876885	-544.4397798876885	-567.9629293951483,-567.9629293951483,-569.304876030514,-569.304876030514,-569.304876030514,-569.304876030514,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.3962600091439,-567.5080016926189,-567.5080016926189,-567.5080016926189,-567.5080016926189,-567.5080016926189,-567.5080016926189,-567.5080016926189,-567.5080016926189,-567.5080016926189,-567.5080016926189,-567.5080016926189,-566.3962600091439,-566.3962600091439,-566.3962600091439,-566.3962600091439,-566.3962600091439,-566.3962600091439,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542,-566.2117729835542	0.9948854007501045	-566.2117729835542	11	true	315
34	18	18	100	45803	375408	3003264	0	0	-548.5467140436626	-548.5467140436626	-540.4367434522974	-540.4367434522974	-Infinity,-Infinity,-Infinity,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-571.5199214014638,-570.0572248551836,-570.0572248551836,-570.0572248551836,-570.0572248551836,-570.0572248551836,-565.9223805092716,-565.9223805092716,-565.9223805092716,-565.9223805092716,-564.3978514900293,-564.9129888339585,-564.9129888339585,-564.9129888339585,-564.9129888339585,-561.659507962617,-556.215309568298,-556.215309568298,-556.215309568298,-555.0434258450113,-555.0434258450113,-555.2266213779993,-555.2266213779993,-555.2266213779993,-555.2266213779993,-555.2266213779993,-555.2266213779993,-555.2266213779993,-555.2266213779993,-555.2266213779993,-555.2266213779993,-555.2266213779993,-555.2266213779993,-555.2266213779993,-555.2266213779993,-555.2266213779993,-555.2266213779993,-555.2266213779993,-555.2266213779993,-551.9568888153664,-549.9657326702732,-549.9657326702732,-548.5467140436626,-548.5467140436626,-548.5467140436626,-548.5467140436626,-548.5467140436626,-548.5467140436626,-548.5467140436626,-548.5467140436626	0.9945946805477371	-548.5467140436626	7	true	321
