# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 18
# run: 63117369-a5ce-4109-8768-75e93fec52e2
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	12	12	33	8886	71280	570240	0	0	-2999.9773551817634	-2999.9773551817634	-2999.9773551817634	-2999.9773551817634	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2999.9773551817634,-2999.9773551817634	0.9974600273429788	-2999.9773551817634	13	false	613
26	13	13	34	8912	73440	587520	0	0	-2984.602461334854	-2984.602461334854	-2984.602461334854	-2984.602461334854	-Infinity,-Infinity,-Infinity,-2985.0720842776536,-2985.0720842776536,-2985.0720842776536,-2985.0720842776536,-2985.0720842776536,-2985.0720842776536,-2985.0720842776536,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.72513941501,-2984.602461334854,-2984.602461334854	0.9973879413076377	-2984.602461334854	11	false	146
27	14	14	16	4007	34560	276480	0	0	-3026.5352120664556	-3026.5352120664556	-3026.5352120664556	-3026.5352120664556	-Infinity,-Infinity,-3027.230733728058,-3027.230733728058,-3027.7989902125905,-3027.7989902125905,-3027.7989902125905,-3027.7989902125905,-3027.7989902125905,-3027.7989902125905,-3027.7989902125905,-3027.7989902125905,-3027.7989902125905,-3027.7989902125905,-3026.5352120664556,-3026.5352120664556	0.9968457241868389	-3026.5352120664556	7	false	111
28	15	15	14	3424	30240	241920	0	0	-2924.594323767034	-2924.594323767034	-2924.594323767034	-2924.594323767034	-Infinity,-Infinity,-Infinity,-Infinity,-2925.822347115909,-2925.822347115909,-2925.822347115909,-2925.3627507253586,-2924.974604378398,-2924.974604378398,-2924.974604378398,-2925.7786224798438,-2924.594323767034,-2924.594323767034	0.9960270797844731	-2924.594323767034	6	false	105
29	15	15	65	14711	140400	1123200	0	0	-1727.6165008414773	-1727.6165008414773	-1727.6165008414773	-1727.6165008414773	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2124.2759571086835,-2124.949752792102,-2024.1534784087169,-2023.1332473203117,-1925.1562538241312,-1828.154768369871,-1828.1002046215312,-1828.1002046215312,-1732.8554816232704,-1732.7943079272238,-1732.7943079272238,-1732.7943079272238,-1729.7748035908037,-1729.7274786001217,-1728.787307636023,-1728.787307636023,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.7629625282311,-1727.6165008414773,-1727.6165008414773	0.9960270797844731	-1727.6165008414773	6	false	152
30	15	15	47	10084	101520	812160	0	0	-777.5762133301527	-776.9828498151167	-777.5762133301527	-776.5173895041735	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-874.4425655300745,-874.4425655300745,-874.4425655300745,-874.4425655300745,-874.1659569367899,-874.1659569367899,-874.1659569367899,-874.1659569367899,-874.1659569367899,-874.1659569367899,-874.1659569367899,-874.1659569367899,-874.1659569367899,-874.1659569367899,-874.1659569367899,-874.1659569367899,-874.1659569367899,-874.1659569367899,-874.1659569367899,-776.9828498151167,-781.0046472218394,-781.0046472218394,-781.0046472218394,-781.0046472218394,-778.8507452304905,-778.5950259776318,-778.5950259776318,-778.5950259776318,-778.5950259776318,-778.5950259776318,-778.5950259776318,-778.5950259776318,-778.5950259776318,-778.5950259776318,-777.5762133301527,-777.5762133301527	0.9960270797844731	-776.9828498151167	9	false	124
31	15	15	11	2155	23760	190080	0	0	-722.929430117527	-722.929430117527	-722.929430117527	-722.929430117527	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-724.5908657997562,-724.5908657997562,-722.929430117527,-722.929430117527	0.9960270797844731	-722.929430117527	8	false	86
32	15	14	37	7035	79920	639360	0	0	-733.5814004846973	-733.5814004846973	-733.5814004846973	-733.5814004846973	-Infinity,-Infinity,-Infinity,-738.3221853321646,-738.3221853321646,-738.1181044205077,-738.1181044205077,-738.1181044205077,-738.1181044205077,-738.1181044205077,-738.1181044205077,-736.1479615035109,-735.6908232743724,-735.6908232743724,-735.6908232743724,-735.6908232743724,-735.6908232743724,-735.5877144724402,-735.4156123677816,-735.4156123677816,-735.4156123677816,-735.4156123677816,-734.5692578533049,-734.5692578533049,-734.5692578533049,-734.5692578533049,-734.5692578533049,-734.5692578533049,-734.5692578533049,-734.5692578533049,-734.5692578533049,-734.5692578533049,-734.5692578533049,-735.1648609951159,-735.1648609951159,-733.5814004846973,-733.5814004846973	0.9956571819185417	-733.5814004846973	9	false	106
33	15	14	20	3608	43200	345600	0	0	-728.0276719522692	-728.0276719522692	-728.0276719522692	-728.0276719522692	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-728.0276719522692,-728.0276719522692	0.9956571819185417	-728.0276719522692	9	false	87
34	18	17	64	11268	138240	1105920	0	0	-709.7072131314646	-709.7072131314646	-709.7072131314646	-709.7072131314646	-Infinity,-Infinity,-Infinity,-717.375480627943,-717.0753101344508,-713.99687055018,-714.161264860449,-724.9990089293377,-724.2846369881102,-724.2846369881102,-724.2846369881102,-720.3779441534443,-720.3779441534443,-716.7282869205264,-714.640028470605,-714.640028470605,-714.640028470605,-714.640028470605,-711.9292717584397,-711.9292717584397,-710.6526426267025,-710.6526426267025,-710.6526426267025,-710.6526426267025,-710.6526426267025,-710.6526426267025,-710.6526426267025,-710.3515149072457,-710.3515149072457,-710.3515149072457,-710.3515149072457,-710.3515149072457,-710.3515149072457,-710.3515149072457,-710.3515149072457,-710.3515149072457,-710.3515149072457,-710.3515149072457,-710.3501123958913,-710.3501123958913,-710.3501123958913,-710.3501123958913,-710.298564251729,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-710.2085147160675,-709.7072131314646,-709.7072131314646	0.9953116660939753	-709.7072131314646	5	false	128
