# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 28
# run: 6450f42c-2fac-4f5a-b68b-d43969060612
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	175230	1401840	0	0	-1163.2129044750798	-1163.2129044750798	-1163.2129044750798	-1163.2129044750798	-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1169.137976964126,-1167.1458795851777,-1167.1458795851777,-1167.1458795851777,-1167.1458795851777,-1167.1458795851777,-1167.1458795851777,-1167.1458795851777,-1167.1458795851777,-1167.1458795851777,-1167.1458795851777,-1167.1458795851777,-1167.1458795851777,-1167.1458795851777,-1167.1458795851777,-1167.170396207159,-1167.170396207159,-1167.170396207159,-1167.170396207159,-1167.170396207159,-1167.170396207159,-1167.170396207159,-1167.170396207159,-1167.170396207159,-1167.170396207159,-1167.170396207159,-1167.170396207159,-1167.170396207159,-1167.170396207159,-1167.170396207159,-1167.203846450682,-1167.203846450682,-1167.203846450682,-1167.203846450682,-1167.203846450682,-1167.203846450682,-1167.203846450682,-1167.203846450682,-1167.203846450682,-1167.203846450682,-1167.203846450682,-1167.203846450682,-1165.204213736805,-1165.204213736805,-1165.204213736805,-1165.204213736805,-1165.204213736805,-1165.204213736805,-1165.204213736805,-1165.204213736805,-1165.204213736805,-1165.204213736805,-1165.204213736805,-1165.204213736805,-1165.204213736805,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798,-1163.2129044750798	0.9961066961054532	-1163.2129044750798	0	true	985
26	15	15	100	53200	174240	1393920	0	0	-1158.590992213276	-1158.590992213276	-1158.590992213276	-1158.590992213276	-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276,-1158.590992213276	0.9960270797844731	-1158.590992213276	0	true	321
27	15	15	100	51600	171270	1370160	0	0	-1157.3614551389087	-1157.3614551389087	-1157.3614551389087	-1157.3614551389087	-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087,-1157.3614551389087	0.9960270797844731	-1157.3614551389087	0	true	194
28	16	16	100	51400	173250	1386000	0	0	-1156.8854858472835	-1156.8854858472835	-1156.8854858472835	-1156.8854858472835	-1158.8485785594596,-1158.8485785594596,-1158.8617540020546,-1158.8617540020546,-1158.8617540020546,-1158.8617540020546,-1158.8617540020546,-1158.8617540020546,-1158.8617540020546,-1158.8617540020546,-1158.8617540020546,-1158.8617540020546,-1158.8617540020546,-1158.8617540020546,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835,-1156.8854858472835	0.995805594344244	-1156.8854858472835	0	true	190
29	16	16	100	51200	172260	1378080	0	0	-1155.3380105842596	-1155.3380105842596	-1155.3380105842596	-1155.3380105842596	-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596,-1155.3380105842596	0.9954268136656409	-1155.3380105842596	0	true	177
30	17	17	100	49800	173250	1386000	0	0	-1154.9032162885117	-1154.9032162885117	-1154.9032162885117	-1154.9032162885117	-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117,-1154.9032162885117	0.9952876130456717	-1154.9032162885117	0	true	199
31	18	18	87	42804	150500	1204000	0	0	-1154.6652560066052	-1154.6652560066052	-1154.6652560066052	-1154.6652560066052	-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052,-1154.6652560066052	0.9952147228050682	-1154.6652560066052	0	true	166
32	18	18	100	48192	169290	1354320	0	0	-1155.4490859624464	-1155.4490859624464	-1155.4490859624464	-1155.4490859624464	-1162.5972988669348,-1162.5972988669348,-1162.5972988669348,-1160.625818352065,-1160.625818352065,-1160.625818352065,-1160.625818352065,-1160.625818352065,-1160.625818352065,-1160.625818352065,-1160.625818352065,-1160.625818352065,-1160.625818352065,-1160.625818352065,-1160.625818352065,-1160.625818352065,-1160.625818352065,-1160.625818352065,-1157.39782998145,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464,-1155.4490859624464	0.9948854007501045	-1155.4490859624464	0	true	168
33	18	18	100	48390	169290	1354320	0	0	-1156.862528925198	-1156.8622318497976	-1155.661711029136	-1156.1622994193121	-1156.8622318497976,-1156.8622318497976,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198,-1156.862528925198	0.9945946805477371	-1156.8622318497976	1	true	180
34	22	22	100	49081	180180	1441440	0	0	-1155.517578890108	-1155.517578890108	-1155.517578890108	-1155.517578890108	-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1162.3857829324747,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1160.7557720635334,-1157.4975936962712,-1157.4975936962712,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108,-1155.517578890108	0.9933681213033975	-1155.517578890108	0	true	198
