# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 19
# run: 647b0cb3-8b0d-4cdc-9758-491a3b21c973
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	472230	3777840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	7	true	884
26	16	16	100	53200	474606	3796848	0	0	-2037.6342213819141	-2037.6342213819141	-2035.9243000309766	-2035.9243000309766	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2039.3609365309355,-2039.3609365309355,-2039.3609365309355,-2039.3609365309355,-2039.3609365309355,-2039.3609365309355,-2039.3609365309355,-2039.3609365309355,-2039.3609365309355,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141,-2037.6342213819141	0.9958381646573722	-2037.6342213819141	4	true	985
27	16	16	100	52200	459756	3678048	0	0	-2041.0165245674018	-2041.0165245674018	-2036.8209293328744	-2036.8209293328744	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2049.2014877342704,-2042.2016769844256,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.7508605525531,-2041.0165245674018	0.9955956967707507	-2041.0165245674018	4	true	567
28	16	16	100	51800	453816	3630528	0	0	-2035.195745310123	-2035.195745310123	-2033.712138197421	-2033.712138197421	-Infinity,-Infinity,-Infinity,-2053.633371977258,-2049.6670859470937,-2049.7136801969605,-2049.7136801969605,-2049.7136801969605,-2049.7136801969605,-2046.5695356391223,-2046.5695356391223,-2046.5695356391223,-2046.5695356391223,-2046.5695356391223,-2046.5695356391223,-2046.5695356391223,-2046.5695356391223,-2046.5695356391223,-2046.5695356391223,-2046.5695356391223,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2046.8534695489634,-2039.8352496407322,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2039.3761400741482,-2036.0316279598999,-2036.0316279598999,-2035.195745310123,-2035.195745310123,-2035.195745310123,-2035.195745310123,-2035.195745310123,-2035.195745310123,-2035.195745310123,-2035.195745310123,-2035.195745310123,-2035.195745310123	0.9954268136656409	-2035.195745310123	2	true	545
29	18	18	100	47400	443718	3549744	0	0	-1143.5419507064394	-1143.5419507064394	-1133.3441121520978	-1133.3441121520978	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1151.7058603855594,-1151.7058603855594,-1151.7058603855594,-1151.7058603855594,-1151.7058603855594,-1151.7058603855594,-1151.7058603855594,-1151.7058603855594,-1151.7058603855594,-1146.3584629335332,-1146.3584629335332,-1146.3584629335332,-1146.3584629335332,-1146.3584629335332,-1146.3584629335332,-1146.3584629335332,-1146.3584629335332,-1146.3584629335332,-1146.3584629335332,-1146.3584629335332,-1146.3584629335332,-1146.3584629335332,-1146.3584629335332,-1146.3584629335332,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394,-1143.5419507064394	0.9952702129681755	-1143.5419507064394	6	true	615
30	18	18	100	46600	431838	3454704	0	0	-1140.6577005771499	-1140.6577005771499	-1132.1423958914131	-1132.1423958914131	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499,-1140.6577005771499	0.9949686359947655	-1140.6577005771499	7	true	532
31	19	18	100	45898	411048	3288384	0	0	-848.874036390412	-848.874036390412	-840.5413496435907	-840.5413496435907	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-913.0777404603435,-913.0777404603435,-913.0777404603435,-913.0777404603435,-913.0777404603435,-913.0777404603435,-913.0777404603435,-913.0777404603435,-913.0777404603435,-913.0777404603435,-907.1079141380388,-899.7478229030801,-899.7478229030801,-899.7478229030801,-887.8954028593004,-887.8954028593004,-887.8954028593004,-887.8954028593004,-887.8954028593004,-887.8954028593004,-887.8954028593004,-887.8954028593004,-887.8954028593004,-887.8954028593004,-887.8954028593004,-887.8954028593004,-887.8954028593004,-881.5562947882473,-881.5562947882473,-881.5562947882473,-886.4859055700196,-876.1906946276091,-876.1906946276091,-876.1906946276091,-876.1906946276091,-876.1906946276091,-876.1906946276091,-876.1906946276091,-876.1906946276091,-876.1906946276091,-876.1906946276091,-873.8728602275197,-873.8728602275197,-873.8728602275197,-873.8728602275197,-873.8728602275197,-873.8728602275197,-870.9310150055222,-870.9310150055222,-870.9310150055222,-870.9310150055222,-869.2674331216573,-869.4441933756158,-869.4441933756158,-869.4441933756158,-869.4441933756158,-869.4441933756158,-869.4441933756158,-869.4441933756158,-868.2558278430752,-868.2558278430752,-866.7415670283575,-857.3091373280247,-857.3091373280247,-858.8372553372674,-858.8372553372674,-858.8372553372674,-854.9067748219749,-854.9067748219749,-854.9067748219749,-854.9067748219749,-854.9067748219749,-851.7564429820004,-851.7564429820004,-851.7564429820004,-851.7564429820004,-851.7564429820004,-849.3869830654645,-848.874036390412,-848.874036390412,-848.874036390412,-848.874036390412,-848.874036390412,-848.874036390412,-848.874036390412,-848.874036390412,-848.874036390412,-848.874036390412	0.9945610135910691	-848.874036390412	7	true	567
32	20	19	100	46150	395604	3164832	0	0	-562.3423826680807	-561.3995195949498	-536.6025792998239	-537.1727699189761	-Infinity,-Infinity,-583.1610495745302,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-588.3661801276071,-581.3732124510464,-581.3732124510464,-581.3732124510464,-581.3732124510464,-576.6950023402615,-576.6950023402615,-576.6950023402615,-576.6950023402615,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-573.6345754462515,-570.6917123731205,-570.6917123731205,-570.6917123731205,-570.6917123731205,-564.8552880912863,-564.8552880912863,-564.8552880912863,-564.8552880912863,-561.3995195949498,-561.3995195949498,-561.3995195949498,-561.3995195949498,-561.3995195949498,-565.2231223879648,-565.2231223879648,-565.2231223879648,-565.2231223879648,-565.2231223879648,-565.2231223879648,-562.8539559158265,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807,-562.3423826680807	0.9940385726087689	-561.3995195949498	11	true	409
33	22	22	100	46680	405702	3245616	0	0	-555.2740656296577	-555.2740656296577	-532.3450636520676	-532.3450636520676	-571.2007176952478,-571.2007176952478,-571.2007176952478,-571.2007176952478,-571.2007176952478,-571.2007176952478,-571.2007176952478,-571.2007176952478,-571.2007176952478,-571.2007176952478,-571.2007176952478,-566.6452844751717,-566.6452844751717,-566.6452844751717,-566.6452844751717,-566.6452844751717,-566.6452844751717,-566.6452844751717,-566.6452844751717,-562.6620403047972,-562.6620403047972,-562.6620403047972,-562.6620403047972,-562.6620403047972,-562.6620403047972,-562.6620403047972,-561.4050073967538,-561.4050073967538,-561.4050073967538,-561.4050073967538,-561.4050073967538,-561.4050073967538,-561.4050073967538,-561.4050073967538,-561.4050073967538,-561.4050073967538,-559.4557509154876,-559.4557509154876,-557.648789299002,-557.648789299002,-557.648789299002,-557.648789299002,-555.6646426928282,-557.795753029217,-557.795753029217,-557.795753029217,-557.795753029217,-557.795753029217,-557.795753029217,-557.795753029217,-557.795753029217,-559.8077960945693,-559.8077960945693,-559.8077960945693,-559.8077960945693,-559.8077960945693,-559.8077960945693,-559.8077960945693,-559.8077960945693,-559.8077960945693,-557.6766857581805,-559.6608323643545,-559.6608323643545,-559.6608323643545,-559.6608323643545,-559.6608323643545,-557.648789299002,-557.648789299002,-557.648789299002,-557.648789299002,-557.648789299002,-557.648789299002,-557.648789299002,-557.648789299002,-557.648789299002,-557.648789299002,-557.648789299002,-557.648789299002,-557.648789299002,-557.648789299002,-556.8416566407699,-557.1110721362658,-557.1110721362658,-557.1110721362658,-557.1110721362658,-557.1110721362658,-557.1110721362658,-557.1110721362658,-557.1110721362658,-557.1110721362658,-557.1110721362658,-557.1110721362658,-557.1110721362658,-557.1110721362658,-555.2740656296577,-555.2740656296577,-555.2740656296577,-555.2740656296577,-555.2740656296577,-555.2740656296577	0.9933979500076767	-555.2740656296577	10	true	519
34	24	24	100	47222	413424	3307392	0	0	-536.0094323981731	-535.6740380364944	-526.3495481784719	-526.3497559011103	-Infinity,-Infinity,-550.6738470879267,-550.6738470879267,-550.6738470879267,-550.6738470879267,-550.6738470879267,-546.2021818045324,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-542.3165391995325,-538.6174721689717,-538.6174721689717,-535.6740380364944,-535.6740380364944,-535.6740380364944,-535.6740380364944,-535.6740380364944,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731,-536.0094323981731	0.9929386025836923	-535.6740380364944	6	true	512
