# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 24
# run: 658e087b-4b86-4fcb-ae74-da4e6cdcd200
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	21	11830	57876	463008	0	0	-90.30001578944272	-90.30001578944272	-90.30001578944272	-90.30001578944272	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-90.30001578944272,-90.30001578944272	0.9960270797844731	-90.30001578944272	4	true	1220
26	15	15	6	2876	16536	132288	0	0	-80.6558473911074	-80.6558473911074	-80.6558473911074	-80.6558473911074	-Infinity,-Infinity,-Infinity,-Infinity,-80.6558473911074,-80.6558473911074	0.9960270797844731	-80.6558473911074	4	true	476
27	15	15	1	464	2756	22048	0	0	-27.37081423008338	-27.37081423008338	-27.37081423008338	-27.37081423008338	-27.37081423008338	0.9960270797844731	-27.37081423008338	4	true	117
28	16	16	55	26593	151580	1212640	0	0	-22.999366044319228	-22.999366044319228	-22.999366044319228	-22.999366044319228	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-77.78577787227343,-75.88192071807245,-75.88192071807245,-75.88192071807245,-75.88192071807245,-75.07266946859502,-75.07266946859502,-75.07266946859502,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.940502016743658,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-23.828045268814236,-22.999366044319228,-22.999366044319228	0.995805594344244	-22.999366044319228	1	true	1572
29	16	16	10	4817	27560	220480	0	0	76.09422698865116	76.09422698865116	76.09422698865116	76.09422698865116	-Infinity,-Infinity,-Infinity,26.094227528661644,26.094227528661644,26.094227528661644,26.094227528661644,26.094227528661644,76.09422698865116,76.09422698865116	0.9954268136656409	76.09422698865116	1	true	547
30	18	18	21	10572	57876	463008	0	0	-16.791266128044718	-16.791266128044718	-16.791266128044718	-16.791266128044718	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-20.470979079242834,-20.470979079242834,-18.041338609994177,-18.041338609994177,-16.881908587646173,-16.791348336382434,-16.791348336382434,-16.791348336382434,-16.791348336382434,-16.791348336382434,-16.791348336382434,-16.791348336382434,-16.791348336382434,-16.791266128044718,-16.791266128044718	0.9952702129681755	-16.791266128044718	0	true	566
31	18	18	19	8837	52364	418912	0	0	29.718771500653055	29.718771500653055	29.718771500653055	29.718771500653055	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-569.6945405211911,27.349379117118346,29.7187667076986,29.7187667076986,29.7187667076986,29.7187667076986,29.7187667076986,29.7187667076986,29.7187667076986,29.7187667076986,29.718771500653055,29.718771500653055	0.9949686359947655	29.718771500653055	0	true	426
32	18	18	2	916	5512	44096	0	0	29.020872707281605	29.020872707281605	29.020872707281605	29.020872707281605	29.020872707281605,29.020872707281605	0.9948311168948906	29.020872707281605	0	true	106
33	19	19	16	6783	44096	352768	0	0	28.231735665759928	28.231735665759928	28.231735665759928	28.231735665759928	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,28.231735665759928,28.231735665759928	0.9941695118474059	28.231735665759928	2	true	316
34	21	21	67	27958	184652	1477216	0	0	29.20746768770683	29.20746768770683	29.20746768770683	29.20746768770683	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,-20.79262841262576,29.207322788278482,29.207322788278482,29.207322788278482,29.207322788278482,29.207322788278482,29.207322788278482,29.207322788278482,29.207322788278482,29.207322788278482,29.207422842915328,29.207422842915328,29.207422842915328,29.207422842915328,29.207422842915328,29.207422842915328,29.207422842915328,29.207422842915328,29.207422842915328,29.207422842915328,29.207422842915328,29.207422842915328,29.207422842915328,29.207422842915328,29.20746768770683,29.20746768770683	0.993575679370673	29.20746768770683	0	true	1253
