# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 7
# run: 6709fb91-1e44-4ee6-ace9-b62da6218c4a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	74000	732996	5863968	0	0	-633.8991845164222	-579.4310996158484	3.2173463736939194	2.6771604115391803	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-579.4310996158484,-595.3751840037216,-605.6239251842323,-605.6239251842323,-613.1084119857253,-618.3534374494749,-633.8991845164222,-633.8991845164222,-633.8991845164222,-633.8991845164222,-633.8991845164222,-633.8991845164222	0.9960270797844731	-579.4310996158484	13	true	1129
26	16	16	100	73800	748836	5990688	0	0	-288.88544340671785	-271.0167108186799	10.428058235180186	10.845960293793752	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0167108186799,-271.0168836968814,-271.0168836968814,-369.66709916286277,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-571.0262940262114,-271.0267152100859,-271.0267152100859,-271.0267152100859,-271.0267152100859,-271.0267152100859,-271.0267152100859,-271.0267152100859,-271.0267152100859,-271.0267152100859,-271.0267152100859,-273.4533636126377,-284.45939861910034,-286.15481790753563,-288.88544340671785	0.995805594344244	-271.0167108186799	13	true	1096
27	16	16	100	73200	739332	5914656	0	0	-875.953640169521	-265.7838571606424	-49.903415377314985	10.732608500683735	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-265.7838571606424,-265.7838571606424,-265.78408856662327,-265.78408856662327,-265.78408856662327,-265.78408856662327,-265.78408856662327,-265.78408856662327,-265.78408856662327,-265.78408856662327,-265.78408856662327,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.7841329315645,-265.788688606776,-267.80746233285083,-267.80746233285083,-267.80746233285083,-267.80746233285083,-267.80746233285083,-267.80746233285083,-267.80746233285083,-267.80746233285083,-267.80746233285083,-267.80746233285083,-267.80746233285083,-267.80746233285083,-267.80746233285083,-267.80746233285083,-867.8076150647292,-867.8076150647292,-867.8076150647292,-867.8076150647292,-867.8076150647292,-867.8076150647292,-867.8076150647292,-867.8076150647292,-867.8076150647292,-867.8076150647292,-867.8076150647292,-867.8076150647292,-867.8076150647292,-867.6764338895432,-867.6764338895432,-871.5263149668205,-871.5263149668205,-871.5263149668205,-873.2227238441885,-875.953640169521	0.9955956967707507	-265.7838571606424	12	true	935
28	17	17	100	82800	740520	5924160	0	0	33.847265399054514	33.847265399054514	65.76663875445489	65.76663875445489	-277.1968448627028,-277.1968448627028,-277.1968448627028,-277.1973164851397,-277.1973164851397,22.802610154925766,22.802610154925766,22.802610154925766,22.802610154925766,22.802610154925766,22.802610154925766,22.802610154925766,22.802610154925766,22.802610154925766,22.802610154925766,22.802610154925766,22.80218396262415,22.80218396262415,22.80218396262415,22.80218396262415,22.80218396262415,22.80218396262415,22.80218396262415,22.80218396262415,22.802016871397377,22.802016871397377,22.802016871397377,22.802016871397377,22.802016871397377,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-277.1979678969973,-266.25903648895,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-265.07089891279054,-263.12431509859374,-263.12431509859374,-263.12431509859374,-263.12431509859374,-263.12431509859374,-263.12431509859374,-263.12431509859374,-263.12431509859374,-263.12431509859374,-263.12431509859374,-266.1527193693401,-266.1527193693401,-266.1527193693401,-266.1527193693401,-275.1170137995244,-275.1170137995244,-275.1170137995244,-275.1170137995244,-275.1170137995244,-275.1170137995244,33.847265399054514,33.847265399054514,33.847265399054514,33.847265399054514,33.847265399054514,33.847265399054514,33.847265399054514,33.847265399054514,33.847265399054514,33.847265399054514,33.847265399054514,33.847265399054514	0.9952876130456717	33.847265399054514	13	true	785
29	18	18	100	78400	731412	5851296	0	0	36.83701296099062	36.83701296099062	65.44784310958583	65.44784310958583	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,8.3125397774836,8.3125397774836,8.3125397774836,8.3125397774836,8.3125397774836,8.3125397774836,-0.6674757616905964,-6.772141093654589,-6.772141093654589,-6.772356206491516,-6.772356206491516,-6.772356206491516,-6.772356206491516,-6.772356206491516,-6.772356206491516,-6.772356206491516,-6.772356206491516,10.258280387482364,10.258280387482364,9.384524289602256,9.384524289602256,9.384524289602256,9.384524289602256,9.384524289602256,9.384524289602256,9.384524289602256,9.384524289602256,9.384524289602256,9.384524289602256,9.384524289602256,9.384524289602256,11.237034695379494,8.813892345485685,8.813892345485685,8.813892345485685,8.813892345485685,8.813892345485685,8.813892345485685,8.813892345485685,8.813892345485685,8.813892345485685,8.813892345485685,8.813892345485685,8.813892345485685,8.813892345485685,8.813892345485685,8.813892345485685,8.813892345485685,15.21930085857131,24.917692140360998,24.917692140360998,32.984369013536316,32.984369013536316,32.984369013536316,32.984369013536316,32.984369013536316,32.984369013536316,32.984369013536316,32.984369013536316,36.83701296099062	0.995024126157873	36.83701296099062	12	true	780
30	18	18	100	74400	709236	5673888	0	0	38.69673477209628	38.69673477209628	65.37151040744786	65.37151040744786	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,23.68132853176232,23.681236989212238,23.681236989212238,23.681236989212238,23.681236989212238,23.681236989212238,23.681236989212238,23.680907223892277,23.680907223892277,23.680907223892277,23.680907223892277,23.680907223892277,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.51988883026077,21.519714977948894,21.519714977948894,21.519714977948894,21.519714977948894,21.519714977948894,21.519714977948894,21.519714977948894,21.519714977948894,17.92525450528396,5.591691868447201,5.591691868447201,5.591691868447201,5.591691868447201,5.591691868447201,5.591691868447201,5.591691868447201,11.237989894004377,11.237989894004377,10.363533519654867,10.363533519654867,10.363533519654867,10.363533519654867,10.363533519654867,10.363533519654867,10.363533519654867,10.363533519654867,10.363533519654867,10.363533519654867,10.363533519654867,10.363533519654867,10.363533519654867,10.363533519654867,12.120139148853882,9.471418739401814,9.471418739401814,9.471418739401814,9.471418739401814,9.471418739401814,9.471418739401814,9.471418739401814,9.471418739401814,9.471418739401814,9.471418739401814,9.471418739401814,9.471418739401814,9.471418739401814,26.264702846381383,31.7037528831045,31.7037528831045,31.7037528831045,31.7037528831045,31.7037528831045,31.7037528831045,38.69673477209628,38.69673477209628,38.69673477209628,38.69673477209628,38.69673477209628,38.69673477209628	0.9948854007501045	38.69673477209628	12	true	691
31	20	20	100	84800	712404	5699232	0	0	37.29420624212332	37.29420624212332	67.00600382968169	67.00600382968169	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,9.39100459658082,9.39100459658082,9.39100459658082,9.39100459658082,9.39100459658082,9.39100459658082,7.197280432652029,7.197280432652029,7.197280432652029,7.197280432652029,7.197280432652029,7.197280432652029,7.197280432652029,7.197280432652029,7.197280432652029,7.197280432652029,7.197280432652029,7.197280432652029,7.197280432652029,7.197280432652029,7.197280432652029,7.197280432652029,7.197280432652029,7.197096011892107,7.197096011892107,7.197096011892107,7.197096011892107,7.197096011892107,7.197096011892107,7.197096011892107,7.197096011892107,7.197067123554795,7.197067123554795,7.197067123554795,7.197067123554795,7.197067123554795,7.197067123554795,7.197067123554795,-8.665748261833663,-8.665748261833663,-8.665748261833663,-8.665748261833663,-8.665748261833663,-8.665748261833663,-8.665748261833663,-8.665748261833663,-211.2826017076909,-211.2826017076909,-215.1315725007749,-309.98106391414814,-309.98106391414814,-309.98106391414814,-309.98106391414814,-309.98106391414814,-309.98106391414814,-9.981035025810698,-9.981035025810698,-9.981035025810698,-5.345636330893605,-5.345636330893605,-1.5822823750689565,-1.5822823750689565,-1.5822823750689565,-1.5822823750689565,-1.5822823750689565,5.998052131404215,5.212275614853986,1.9343972352407057,8.08675053840601,8.08675053840601,8.08675053840601,8.08675053840601,8.08675053840601,8.08675053840601,8.08675053840601,8.08675053840601,20.987552669088956,30.302259590107496,30.301882731799722,30.301882731799722,30.301882731799722,30.301882731799722,30.301882731799722,30.301882731799722,37.29420624212332,37.29420624212332,37.29420624212332,37.29420624212332,37.29420624212332,37.29420624212332,37.29420624212332,37.29420624212332	0.9943563799065661	37.29420624212332	12	true	950
32	22	22	100	61966	652608	5220864	0	0	21.32936099694747	32.51423123576138	64.97359978774871	65.57237722795041	20.604577978594634,20.604577978594634,20.604577978594634,20.604573215143432,20.604573215143432,20.6045225504664,20.6045225504664,20.6045225504664,20.6045225504664,20.6045225504664,20.6045225504664,20.6045225504664,20.6045225504664,20.6045225504664,20.6045225504664,20.6045225504664,23.84364182250551,23.84364182250551,23.843499709251994,23.843499709251994,23.843499709251994,23.843499709251994,23.843499709251994,23.843499709251994,25.822750513170398,25.822750513170398,25.822750513170398,25.822750513170398,25.822750513170398,25.822750513170398,25.822750513170398,25.822578111051378,25.822578111051378,25.822578111051378,25.822578111051378,25.822578111051378,25.822578111051378,24.728015540507414,24.728015540507414,24.728015540507414,24.728015540507414,24.728015540507414,24.728015540507414,24.728015540507414,27.830222915877314,27.830222915877314,27.830222915877314,27.830222915877314,25.956212729011398,25.956212729011398,22.42620498227045,22.42620498227045,22.42620498227045,22.42620498227045,22.42620498227045,22.42620498227045,26.744057433296256,26.744057433296256,26.744057433296256,26.744057433296256,26.744057433296256,26.744057433296256,26.744057433296256,26.744057433296256,26.744057433296256,26.744057433296256,26.744057433296256,26.744057433296256,26.744057433296256,26.744057433296256,26.744057433296256,26.744057433296256,26.744057433296256,26.744057433296256,32.318578591825435,32.318578591825435,32.51423123576138,32.51409957822728,32.51409957822728,31.77171512607407,21.447239802847335,21.034998487858473,21.034998487858473,21.034998487858473,21.034998487858473,21.034998487858473,21.034998487858473,21.034998487858473,21.034998487858473,21.32936099694747,21.32936099694747,21.32936099694747,21.32936099694747,21.32936099694747,21.32936099694747,21.32936099694747,21.32936099694747,21.32936099694747,21.32936099694747,21.32936099694747	0.9933681213033975	32.51423123576138	13	true	806
33	23	23	100	62513	654984	5239872	0	0	46.10273754043769	48.666084442955636	70.08635780166388	69.98889761684468	37.22315169618488,37.22315169618488,37.22315169618488,37.22315169618488,37.223088509389164,37.223088509389164,37.223088509389164,37.223088509389164,37.223088509389164,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.22298856060194,37.222722526737506,37.222722526737506,37.222722526737506,37.222722526737506,37.222722526737506,37.222722526737506,37.222722526737506,37.222722526737506,37.693562004936744,37.693562004936744,37.693562004936744,37.693562004936744,37.693562004936744,37.693562004936744,37.693562004936744,37.693562004936744,37.693562004936744,37.693562004936744,37.693562004936744,37.693562004936744,37.693562004936744,37.693562004936744,37.693562004936744,42.540786019736,42.540786019736,46.896220671458124,46.896220671458124,48.666084442955636,48.40196742142043,48.40196742142043,48.40196742142043,48.40196742142043,48.40196742142043,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769,46.10273754043769	0.9931903919404012	48.666084442955636	11	true	734
34	24	24	100	67600	666468	5331744	0	0	54.610642574757414	54.92280558577824	70.81185977027134	71.4673412891702	46.273753083510854,46.273753083510854,46.273753083510854,46.27370158676415,46.273685164413735,46.273685164413735,46.273685164413735,46.273685164413735,46.273685164413735,46.273685164413735,46.273685164413735,46.273685164413735,46.273685164413735,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,50.27731256232212,51.95682132381714,51.95682132381714,51.95682132381714,51.95682132381714,51.95682132381714,51.95682132381714,51.95682132381714,51.95682132381714,51.95682132381714,54.92280558577824,54.610642574757414,54.610642574757414,54.610642574757414	0.9929675539731397	54.92280558577824	9	true	746
