# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 30
# run: 685c47c4-4666-4beb-a3e3-7f19fca4a2be
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	44	23385	121264	970112	0	0	-140.3083390706505	-140.3083390706505	-140.3083390706505	-140.3083390706505	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-143.09571949307497,-142.34132673349856,-142.34132673349856,-142.34132673349856,-142.34132673349856,-142.34132673349856,-142.34132673349856,-141.32285813854077,-141.32285813854077,-141.32285813854077,-141.32285813854077,-141.32285813854077,-141.32285813854077,-141.32285813854077,-141.32285813854077,-141.32285813854077,-141.32285813854077,-141.32285813854077,-140.3083390706505,-140.3083390706505	0.9960270797844731	-140.3083390706505	2	true	1713
26	15	15	1	499	2756	22048	0	0	-131.20411540475948	-131.20411540475948	-131.20411540475948	-131.20411540475948	-131.20411540475948	0.9960270797844731	-131.20411540475948	2	true	137
27	15	15	8	3858	22048	176384	0	0	-77.93202574875163	-77.93202574875163	-77.93202574875163	-77.93202574875163	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-77.93202574875163,-77.93202574875163	0.9960270797844731	-77.93202574875163	2	true	288
28	16	16	9	4455	24804	198432	0	0	-72.91010920490153	-72.91010920490153	-72.91010920490153	-72.91010920490153	-79.3723229553779,-75.47916867085921,-73.8949469936895,-73.87096242478155,-73.0477739354251,-73.0477739354251,-73.0477739354251,-72.91010920490153,-72.91010920490153	0.9956692815522626	-72.91010920490153	0	true	419
29	16	16	9	4322	24804	198432	0	0	-74.09523497118886	-74.09523497118886	-74.09523497118886	-74.09523497118886	-124.09523495710872,-124.09523495710872,-124.09523495710872,-124.09523495710872,-124.09523495710872,-124.09523495710872,-124.09523495710872,-74.09523497118886,-74.09523497118886	0.9954268136656409	-74.09523497118886	0	true	329
30	18	18	16	7504	44096	352768	0	0	-69.29488088175353	-69.29488088175353	-69.29488088175353	-69.29488088175353	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-70.23381789197744,-70.23381789197744,-70.23381789197744,-69.39316744331195,-69.39314074242562,-69.29488088175353,-69.29488088175353	0.9952147228050682	-69.29488088175353	1	true	886
31	18	18	19	8756	52364	418912	0	0	-21.109413157168206	-21.109413157168206	-21.109413157168206	-21.109413157168206	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-21.109413157168206,-21.109413157168206	0.9949686359947655	-21.109413157168206	1	true	973
32	18	18	10	4511	27560	220480	0	0	27.10069179624229	27.10069179624229	27.10069179624229	27.10069179624229	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,26.199629659824115,26.199629659824115,26.199629659824115,27.10069179624229,27.10069179624229	0.9946779157923984	27.10069179624229	2	true	295
33	19	19	36	16779	99216	793728	0	0	26.256179728842103	26.256179728842103	26.256179728842103	26.256179728842103	-Infinity,-Infinity,23.001766620876406,23.001766620876406,23.04822341658905,23.04822341658905,23.04822341658905,23.04822341658905,23.04822341658905,23.04822341658905,23.04822341658905,23.04822341658905,23.04822341658905,23.04822341658905,23.04822341658905,23.04822341658905,23.04822341658905,23.04822341658905,25.980442955213523,25.980442955213523,25.980442955213523,25.980442955213523,25.980442955213523,25.980442955213523,25.980442955213523,25.980442955213523,25.980442955213523,25.980442955213523,25.980442955213523,25.980442955213523,25.980442955213523,25.980442955213523,25.980442955213523,25.980442955213523,26.256179728842103,26.256179728842103	0.9941695118474059	26.256179728842103	2	true	891
34	22	22	15	6486	41340	330720	0	0	78.50557742037255	78.50557742037255	78.50557742037255	78.50557742037255	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,78.50557742037255,78.50557742037255	0.9933979500076767	78.50557742037255	0	true	434
35	22	22	15	6035	41340	330720	0	0	81.56564718793756	81.56564718793756	81.56564718793756	81.56564718793756	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,81.56564718793756,81.56564718793756	0.9932990327603982	81.56564718793756	0	true	342
36	24	24	12	5014	33072	264576	0	0	82.35083931085326	82.35083931085326	82.35083931085326	82.35083931085326	-719.3157163993079,-Infinity,80.10247292772317,81.05796619468966,81.44616421061484,81.44616421061484,81.44616421061484,81.44616421061484,81.44616421061484,81.44616421061484,82.35083931085326,82.35083931085326	0.9925691799299609	82.35083931085326	0	true	313
37	25	25	6	2477	16536	132288	0	0	84.67683898695611	84.67683898695611	84.67683898695611	84.67683898695611	-Infinity,-Infinity,-Infinity,-Infinity,84.67683898695611,84.67683898695611	0.9922590856917259	84.67683898695611	0	true	386
38	27	27	35	15050	96460	771680	0	0	91.17814166262302	91.17814166262302	91.17814166262302	91.17814166262302	84.13672981658914,84.78809956213945,86.74654761639476,86.74654761639476,86.78659747413217,86.78659747413217,86.78659747413217,86.78659747413217,86.78659747413217,87.61919763327737,87.61919763327737,87.61919763327737,87.61919763327737,87.61919763327737,87.61919763327737,89.57345332298917,89.57345332298917,89.57345332298917,89.57345332298917,90.37544404832718,90.37544404832718,90.37544404832718,90.37544404832718,90.37544404832718,90.37544404832718,90.37544404832718,90.37544404832718,90.37544404832718,90.37544404832718,90.37544404832718,90.37544404832718,90.37544404832718,90.37544404832718,91.17814166262302,91.17814166262302	0.9913530387992483	91.17814166262302	0	true	768
39	27	27	8	3393	22048	176384	0	0	94.23277568813135	94.23277568813135	94.23277568813135	94.23277568813135	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,94.23277568813135,94.23277568813135	0.9913530387992483	94.23277568813135	0	true	288
40	30	30	15	6660	41340	330720	0	0	97.11692488833168	97.11692488833168	97.11692488833168	97.11692488833168	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,96.3653190857439,96.3653190857439,97.11692488833168,97.11692488833168	0.9909851514464726	97.11692488833168	0	true	613
41	30	30	7	3073	19292	154336	0	0	99.2414814661902	99.2414814661902	99.2414814661902	99.2414814661902	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,99.2414814661902,99.2414814661902	0.9906075770757631	99.2414814661902	0	true	398
42	31	31	14	6305	38584	308672	0	0	100.8891141410798	100.8891141410798	100.8891141410798	100.8891141410798	-Infinity,-Infinity,-Infinity,-Infinity,50.88911475338641,50.88911475338641,50.88911475338641,50.88911475338641,50.88911475338641,50.88911475338641,50.88911475338641,50.88911475338641,100.8891141410798,100.8891141410798	0.9904373048888367	100.8891141410798	0	true	259
43	32	32	6	2700	16536	132288	0	0	101.19059980643074	101.19059980643074	101.19059980643074	101.19059980643074	-Infinity,-Infinity,-Infinity,-Infinity,101.19059980643074,101.19059980643074	0.9902176837426251	101.19059980643074	0	true	154
44	35	34	36	16939	99216	793728	0	0	103.23930284951113	103.23930284951113	103.23930284951113	103.23930284951113	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,102.40772971348595,103.23930284951113,103.23930284951113	0.9897483934172143	103.23930284951113	0	true	613
45	36	35	9	4239	24804	198432	0	0	103.34075885942298	103.34075885942298	103.34075885942298	103.34075885942298	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,103.34075885942298,103.34075885942298	0.9895081188176721	103.34075885942298	0	true	229
46	39	37	15	7583	41340	330720	0	0	103.15675106677911	103.15675106677911	103.15675106677911	103.15675106677911	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,103.15675106677911,103.15675106677911	0.9890822190216477	103.15675106677911	0	true	280
47	42	39	8	4123	22048	176384	0	0	101.85551271609786	101.85551271609786	101.85551271609786	101.85551271609786	-Infinity,100.36655333308215,100.36655333308215,101.1054055101047,101.1054055101047,101.1054055101047,101.85551271609786,101.85551271609786	0.9882053428473253	101.85551271609786	0	true	259
48	44	41	27	11880	74412	595296	0	0	100.23861649708564	100.23861649708564	100.23861649708564	100.23861649708564	95.25117479586036,95.04120310346603,98.66105511450118,98.66105511450118,98.66105511450118,98.66105511450118,99.43592458759781,99.43592458759781,99.43592458759781,99.43592458759781,99.43592458759781,99.43592458759781,99.43592458759781,99.43592458759781,99.43592458759781,99.43592458759781,99.43592458759781,99.43592458759781,99.43592458759781,99.43592458759781,99.43592458759781,99.43592458759781,99.43614302070196,99.43614302070196,99.43614302070196,100.23861649708564,100.23861649708564	0.9868730671657612	100.23861649708564	0	true	339
49	46	43	15	6631	41340	330720	0	0	101.9377530600168	101.9377530600168	101.9377530600168	101.9377530600168	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,51.937831531070614,51.937831531070614,51.937831531070614,51.937831531070614,51.937831531070614,51.937831531070614,101.93773657680576,101.9377530600168,101.9377530600168	0.986621643356899	101.9377530600168	0	true	178
