# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 4
# run: 6a8c4f8c-2640-45a4-b7be-3a528833d9ec
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	71600	932976	7463808	0	0	-Infinity	-Infinity	-107.39717715742101	-107.39717715742101	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	23	true	1856
26	15	15	100	71400	924660	7397280	0	0	-448.0883120419434	-383.3654164554992	16.855355646539202	15.551509507393508	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-383.3654164554992,-383.3654164554992,-383.3654164554992,-383.3654164554992,-383.3654164554992,-383.3654164554992,-383.3654164554992,-383.3654164554992,-383.3654164554992,-383.3654164554992,-383.3654164554992,-383.3654164554992,-383.3654164554992,-383.3654164554992,-383.3654164554992,-383.3654164554992,-383.36561826382024,-383.36561826382024,-383.36561826382024,-383.36561826382024,-383.36561826382024,-383.36561826382024,-383.36561826382024,-383.36561826382024,-383.36561826382024,-383.36561826382024,-383.36561826382024,-383.36561826382024,-383.36561826382024,-383.36561826382024,-383.36561826382024,-384.0808969584383,-387.8503759391261,-391.0441164317185,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-391.0443703456253,-408.00189711692565,-423.87396526991694,-431.575097983343,-431.575097983343,-431.575097983343,-431.575097983343,-448.0883120419434,-448.0883120419434,-448.0883120419434,-448.0883120419434,-448.0883120419434,-448.0883120419434,-448.0883120419434,-448.0883120419434,-448.0883120419434	0.9960270797844731	-383.3654164554992	17	true	1393
27	16	16	100	73600	926838	7414704	0	0	-Infinity	-Infinity	-74.29643849265358	-74.29643849265358	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-Infinity	21	true	1160
28	16	16	100	73600	889020	7112160	0	0	23.11930776832036	24.65167568584124	69.9395161413083	69.93978438805296	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,9.600517991830735,9.600517991830735,9.600517991830735,9.600517991830735,9.600517991830735,9.600517991830735,20.066739202075546,22.565408847881486,23.15806991655125,23.15806991655125,23.15806991655125,23.15806991655125,23.15806991655125,23.15806991655125,23.15806991655125,24.65167568584124,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036,23.11930776832036	0.9954268136656409	24.65167568584124	17	true	1094
29	18	18	100	74800	856944	6855552	0	0	28.924242098719176	28.924242098719176	79.05587658717049	79.05587658717049	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.998149724514654,27.16388684467551,13.930556880349783,13.930556880349783,13.930556880349783,13.930556880349783,13.930556880349783,13.930556880349783,13.930556880349783,13.930556880349783,13.930556880349783,13.930556880349783,13.930556880349783,13.930464675037257,13.930464675037257,13.930464675037257,13.930464675037257,13.930464675037257,13.930464675037257,13.930464675037257,13.930464675037257,13.930464675037257,13.930464675037257,13.930464675037257,13.930464675037257,13.930464675037257,13.930464675037257,13.930464675037257,13.930464675037257,24.98703486663198,27.87186380618197,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176,28.924242098719176	0.9952702129681755	28.924242098719176	17	true	1075
30	18	18	100	74020	806652	6453216	0	0	25.679816532201208	33.45087036236972	74.40110590818468	73.87260626720817	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,7.623712388876207,-7.051458939519733,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-14.30976544872238,-0.7144971757242455,0.23241542017769667,0.23241542017769667,0.23241542017769667,0.23241542017769667,0.23241542017769667,0.23241542017769667,0.23241542017769667,0.23241542017769667,0.23241542017769667,0.23241542017769667,0.23241542017769667,0.23241542017769667,0.23241542017769667,0.23241542017769667,0.23241542017769667,0.23241542017769667,24.364886866057695,33.45087036236972,33.45087036236972,33.45087036236972,33.45087036236972,33.45087036236972,31.360325912043002,31.360325912043002,25.679816532201208	0.995024126157873	33.45087036236972	17	true	1091
31	18	18	100	68435	742500	5940000	0	0	16.901988886067407	16.901988886067407	70.05092691627638	70.05092691627638	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.8431436279164686,0.8431436279164686,0.8431436279164686,0.8431436279164686,0.8431436279164686,8.053118640611032,8.037905957835001,8.037905957835001,8.037905957835001,7.052909002596671,-2.6304019326738555,-2.6304019326738555,-2.6304019326738555,-2.6304019326738555,-2.630518398126874,-2.630518398126874,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,3.2533059826924173,4.428765288572649,4.428765288572649,4.428765288572649,4.428765288572649,1.1031973525950107,-11.059550085541701,-11.059550085541701,-11.059550085541701,-18.585958790972008,-18.585958790972008,-18.585958790972008,-18.585958790972008,-18.585958790972008,-18.585958790972008,-18.585958790972008,-18.585958790972008,-18.585958790972008,-18.585958790972008,-18.585958790972008,-18.585958790972008,-18.585958790972008,7.553161153649079,7.553161153649079,7.553161153649079,7.553161153649079,7.553161153649079,7.553161153649079,7.553161153649079,7.553161153649079,7.553161153649079,7.553161153649079,7.553161153649079,7.553161153649079,7.553161153649079,7.553161153649079,7.553161153649079,7.553161153649079,7.553161153649079,7.553161153649079,12.526064082381602,12.526064082381602,12.526064082381602,12.526064082381602,16.901988886067407	0.9947478816502295	16.901988886067407	19	true	1022
32	20	20	100	70317	760914	6087312	0	0	26.895105391778927	26.895105391778927	77.65824223549264	77.65824223549264	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,18.426205494168293,15.951135991205014,15.951135991205014,15.951135991205014,15.951135991205014,15.951135991205014,15.951135991205014,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,21.781292576968042,26.895105391778927,26.895105391778927,26.895105391778927,26.895105391778927	0.9943563799065661	26.895105391778927	17	true	1148
33	23	22	100	71214	772794	6182352	0	0	33.2604602999109	35.862521908296394	77.55544559998657	77.53938131675815	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,16.579928407966353,16.579928407966353,17.73337378556756,17.73337378556756,17.73337378556756,17.73337378556756,17.73337378556756,21.644755492278296,29.11065443636977,30.17548870415797,30.164631897953463,30.164631897953463,30.164631897953463,30.164631897953463,30.164631897953463,27.230342619618547,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,19.50225181359935,20.603217241098456,20.603217241098456,20.603217241098456,20.603217241098456,20.603217241098456,20.603217241098456,20.603217241098456,20.603217241098456,20.603217241098456,20.603217241098456,22.87656332826878,24.935368754989035,24.935368754989035,24.935368754989035,24.935368754989035,24.935368754989035,24.935368754989035,24.935368754989035,24.935368754989035,29.767951636824286,29.767951636824286,29.767951636824286,34.10803504488524,35.862521908296394,35.862521908296394,35.862521908296394,35.862521908296394,35.862521908296394,35.862521908296394,35.862521908296394,35.862521908296394,35.862521908296394,35.862521908296394,35.862521908296394,35.862521908296394,35.862521908296394,35.862521908296394,35.862521908296394,35.862521908296394,35.862521908296394,35.578250882402955,35.578250882402955,35.578250882402955,33.2604602999109,33.2604602999109,33.2604602999109,33.2604602999109,33.2604602999109,33.2604602999109,33.2604602999109,33.2604602999109,33.2604602999109,33.2604602999109	0.9932272391633342	35.862521908296394	15	true	1163
34	23	21	100	70871	735768	5886144	0	0	24.720598210891048	25.11382952750835	76.34517757541268	75.69779784100554	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,25.11382952750835,25.11382952750835,23.694484130570913,23.694484130570913,23.694484130570913,23.694484130570913,21.89747522811612,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,19.32772375129405,20.406628943960364,20.406628943960364,20.406628943960364,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048,24.720598210891048	0.9932821810046719	25.11382952750835	19	true	798
