# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 25
# run: 6b8fab78-10b8-4000-ae1b-f791c20a59dd
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	36	20220	149760	1198080	0	0	-186.54166835140276	-186.54166835140276	-186.54166835140276	-186.54166835140276	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-188.10078487398366,-188.10078487398366,-188.03217905915477,-186.7775979316238,-186.7775979316238,-186.7775979316238,-188.80886738841994,-188.80886738841994,-186.54166835140276,-186.54166835140276	0.9968457241868389	-186.54166835140276	7	false	2127
26	15	15	15	8005	62400	499200	0	0	-175.4418992347011	-175.4418992347011	-175.4418992347011	-175.4418992347011	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-177.43951439290967,-177.43951439290967,-177.43951439290967,-177.43951439290967,-175.4418992347011,-175.4418992347011	0.9963744964578416	-175.4418992347011	5	false	930
27	15	15	9	4646	37440	299520	0	0	-172.3127352389865	-172.3127352389865	-172.3127352389865	-172.3127352389865	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-172.3127352389865,-172.3127352389865	0.9960270797844731	-172.3127352389865	7	false	509
28	15	15	10	5265	41600	332800	0	0	-118.24059800348886	-118.24059800348886	-118.24059800348886	-118.24059800348886	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-118.24059800348886,-118.24059800348886	0.9960270797844731	-118.24059800348886	7	false	473
29	15	15	11	5685	45760	366080	0	0	-68.96997664271579	-68.96997664271579	-68.96997664271579	-68.96997664271579	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-118.96997599006771,-118.96997599006771,-118.96997599006771,-68.96997664271579,-68.96997664271579	0.9959945094713449	-68.96997664271579	7	false	458
30	16	16	13	6468	54080	432640	0	0	-67.71718153771978	-67.71718153771978	-67.71718153771978	-67.71718153771978	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-67.71718153771978,-67.71718153771978	0.9954268136656409	-67.71718153771978	6	false	804
31	17	17	27	11157	112320	898560	0	0	-63.31216795312783	-63.31216795312783	-63.31216795312783	-63.31216795312783	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-64.00636890898421,-63.98950034747561,-63.98950034747561,-63.98950034747561,-63.98950034747561,-63.98950034747561,-63.98950034747561,-63.98950034747561,-63.98950034747561,-63.98950034747561,-63.98950034747561,-63.98950034747561,-63.98950034747561,-63.98887343640497,-63.98887343640497,-63.9887473179257,-63.31216795312783,-63.31216795312783	0.9952876130456717	-63.31216795312783	3	false	827
32	18	18	30	12108	124800	998400	0	0	-15.30240848884489	-15.30240848884489	-15.30240848884489	-15.30240848884489	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-15.539493837438894,-15.341475793382752,-15.341475793382752,-15.341475793382752,-15.341475793382752,-15.341475793382752,-15.30240848884489,-15.30240848884489	0.9949686359947655	-15.30240848884489	5	false	764
33	18	18	10	3959	41600	332800	0	0	-11.975661703301526	-11.975661703301526	-11.975661703301526	-11.975661703301526	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.975661703301526,-11.975661703301526	0.9949686359947655	-11.975661703301526	5	false	327
34	18	18	17	6664	70720	565760	0	0	-18.248028226076585	-18.248028226076585	-18.248028226076585	-18.248028226076585	-21.398334346183923,-21.398334346183923,-20.602578612675458,-20.602578612675458,-18.54742465567814,-18.248731809200034,-18.248731809200034,-18.248731809200034,-18.248731809200034,-18.248731809200034,-18.248731809200034,-18.248731809200034,-18.248731809200034,-18.248731809200034,-18.248731809200034,-18.248028226076585,-18.248028226076585	0.9945946805477371	-18.248028226076585	6	false	803
35	20	20	38	15369	158080	1264640	0	0	88.6436436478739	88.6436436478739	88.6436436478739	88.6436436478739	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,88.16193927740814,88.16193927740814,88.16193927740814,88.16193927740814,88.16193927740814,88.16193927740814,88.23477345569046,88.23477345569046,88.463426704549,88.463426704549,88.50168110587639,88.50168110587639,88.50168110587639,88.50168110587639,88.50168110587639,88.50168110587639,88.50168110587639,88.50168110587639,88.50168110587639,88.50168110587639,88.50168110587639,88.50168110587639,88.50168110587639,88.6436436478739,88.6436436478739	0.9940017253858359	88.6436436478739	5	false	609
