# solver: Greedy
# max_time: 300000
# main_solver: Greedy
# random.seed: 11
# run: 6bb75c97-8f8f-43a2-9a5d-d330d0eca48c
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	0	0	0	0	0	-1367.1382748400442	-1367.1382748400442	-1163.2333609912725	-1163.2333609912725	-1367.1382748400442	0.9960270797844731	-1367.1382748400442	2	true	127
26	15	15	1	0	0	0	0	0	-1362.465229140694	-1362.465229140694	-1159.6409331882865	-1159.6409331882865	-1362.465229140694	0.9960270797844731	-1362.465229140694	2	true	25
27	16	16	1	0	0	0	0	0	-1361.4971833503107	-1361.4971833503107	-1158.6984989743894	-1158.6984989743894	-1361.4971833503107	0.995805594344244	-1361.4971833503107	2	true	9
28	16	16	1	0	0	0	0	0	-1360.1757629361232	-1360.1757629361232	-1158.4427316191775	-1158.4427316191775	-1360.1757629361232	0.9955956967707507	-1360.1757629361232	2	true	9
29	17	17	1	0	0	0	0	0	-1409.3426995623188	-1409.3426995623188	-1156.5970888655231	-1156.5970888655231	-1409.3426995623188	0.9952876130456717	-1409.3426995623188	2	true	10
30	18	18	1	0	0	0	0	0	-1408.894459849516	-1408.894459849516	-1156.1082936284006	-1156.1082936284006	-1408.894459849516	0.9952702129681755	-1408.894459849516	2	true	11
31	18	18	1	0	0	0	0	0	-1261.4194631132123	-1261.4194631132123	-1158.2901936548333	-1158.2901936548333	-1261.4194631132123	0.9947478816502295	-1261.4194631132123	3	true	9
32	19	19	1	0	0	0	0	0	-1260.1162708153763	-1260.1162708153763	-1156.8828363482503	-1156.8828363482503	-1260.1162708153763	0.994524166368136	-1260.1162708153763	3	true	8
33	21	21	1	0	0	0	0	0	-1259.813964037658	-1259.813964037658	-1155.9008478376616	-1155.9008478376616	-1259.813964037658	0.9939532537413823	-1259.813964037658	3	true	8
34	23	23	1	0	0	0	0	0	-1318.5044164271717	-1318.5044164271717	-1156.6502663202682	-1156.6502663202682	-1318.5044164271717	0.9931903919404012	-1318.5044164271717	5	true	9
35	23	23	1	0	0	0	0	0	-1215.7423238967783	-1215.7423238967783	-1056.5379929096498	-1056.5379929096498	-1215.7423238967783	0.9930215088352917	-1215.7423238967783	4	true	9
36	24	24	1	0	0	0	0	0	-1214.9373852743242	-1214.9373852743242	-1055.7008755548486	-1055.7008755548486	-1214.9373852743242	0.9925791228313874	-1214.9373852743242	4	true	8
