# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 2
# run: 6df2c008-9fbf-4163-94ea-16b5a7708c5e
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	32	8577	69120	552960	0	0	-2990.6081211949468	-2990.6081211949468	-2990.6081211949468	-2990.6081211949468	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2992.6168695377173,-2992.6168695377173,-2992.6168695377173,-2992.6168695377173,-2990.6081211949468,-2990.6081211949468	0.9961066961054532	-2990.6081211949468	8	false	1050
26	15	15	3	788	6480	51840	0	0	-2981.6479502236116	-2981.6479502236116	-2981.6479502236116	-2981.6479502236116	-Infinity,-2981.6479502236116,-2981.6479502236116	0.9960270797844731	-2981.6479502236116	8	false	120
27	15	15	7	1772	15120	120960	0	0	-2977.361600006029	-2977.361600006029	-2977.361600006029	-2977.361600006029	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2977.361600006029,-2977.361600006029	0.9960270797844731	-2977.361600006029	8	false	102
28	16	16	10	2439	21600	172800	0	0	-2965.7451233726947	-2965.7451233726947	-2965.7451233726947	-2965.7451233726947	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2966.045381520376,-2965.7451233726947,-2965.7451233726947	0.9958381646573722	-2965.7451233726947	5	false	115
29	16	16	53	11859	114480	915840	0	0	-1297.4821518468855	-1297.4821518468855	-1297.4821518468855	-1297.4821518468855	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1300.7251171953326,-1298.9989930024353,-1298.9989930024353,-1298.9989930024353,-1298.9989930024353,-1298.9989930024353,-1298.9989930024353,-1298.9989930024353,-1298.9989930024353,-1298.6771113196323,-1298.6771113196323,-1298.6771113196323,-1298.6768855320431,-1298.1984114779953,-1298.1984114779953,-1298.1984114779953,-1298.1984114779953,-1298.1984114779953,-1298.1984114779953,-1298.1984114779953,-1298.1984114779953,-1298.1984114779953,-1298.1105989773657,-1298.1105989773657,-1298.1105989773657,-1297.4821518468855,-1297.4821518468855	0.9954268136656409	-1297.4821518468855	13	false	149
30	18	18	32	6737	69120	552960	0	0	-721.5806262389971	-721.5806262389971	-721.5806262389971	-721.5806262389971	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-923.8108518314175,-923.5359273926243,-922.8316942483515,-922.0316130779186,-921.9830417989517,-921.9830417989517,-921.9830417989517,-921.9830417989517,-921.9829657526569,-920.7611859369639,-920.7611859369639,-920.7611859369639,-920.7611859369639,-823.1633841414953,-822.5755546281429,-722.835377440938,-722.835377440938,-722.835377440938,-722.835377440938,-722.8019718123082,-724.8210078978162,-722.563289951544,-721.5806262389971,-721.5806262389971	0.9952702129681755	-721.5806262389971	6	false	141
31	18	17	17	3439	36720	293760	0	0	-724.6650247705389	-724.6650247705389	-724.6650247705389	-724.6650247705389	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-724.6650247705389,-724.6650247705389	0.9952515700280012	-724.6650247705389	7	false	98
32	18	16	58	11065	125280	1002240	0	0	-735.1695653330096	-735.1695653330096	-735.1695653330096	-735.1695653330096	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.8247959247343,-735.2920335663389,-735.2920335663389,-735.2920335663389,-735.2920335663389,-735.2920335663389,-735.2920335663389,-735.2920335663389,-735.2920335663389,-735.2920335663389,-735.1764319581893,-735.1764319581893,-735.1764319581893,-735.1764319581893,-735.1764319581893,-735.1764319581893,-735.1764319581893,-735.1695653330096,-735.1695653330096	0.9948847427639808	-735.1695653330096	10	false	129
33	19	18	35	6394	75600	604800	0	0	-725.5145874755576	-725.5145874755576	-725.5145874755576	-725.5145874755576	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-726.0770785907405,-726.0770785907405,-725.9517876595892,-725.9517876595892,-725.73507145001,-725.73507145001,-725.73507145001,-725.5192748404246,-725.5192748404246,-725.5192748404246,-725.5192748404246,-725.5192748404246,-725.5192748404246,-725.5192748404246,-725.5192748404246,-725.5192748404246,-725.5145874755576,-725.5145874755576	0.994186290493563	-725.5145874755576	10	false	106
34	21	21	38	6466	82080	656640	0	0	-710.2219926455468	-710.2219926455468	-710.2219926455468	-710.2219926455468	-Infinity,-Infinity,-719.1553452672144,-717.1766732311994,-717.1766732311994,-713.5918665908199,-711.527979679865,-711.527979679865,-710.4832840697355,-710.4832840697355,-710.4832840697355,-710.4832840697355,-710.4832840697355,-710.4832840697355,-710.4832840697355,-710.4832840697355,-710.4832713317627,-710.4832713317627,-710.4832713317627,-710.4832713317627,-710.4832713317627,-710.4832713317627,-710.4832713317627,-710.4832713317627,-710.2789257083718,-710.2789257083718,-710.2789257083718,-710.2789257083718,-710.2789257083718,-710.2789257083718,-710.2789257083718,-710.2789257083718,-710.2789257083718,-710.2789257083718,-710.2789257083718,-710.2789257083718,-710.2219926455468,-710.2219926455468	0.9939532537413823	-710.2219926455468	5	true	108
35	22	19	19	3140	41040	328320	0	0	-728.3325898522011	-728.3325898522011	-728.3325898522011	-728.3325898522011	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-728.332620783902,-728.332620783902,-728.332620783902,-728.3325898522011,-728.3325898522011	0.9934161542904352	-728.3325898522011	8	false	141
36	23	20	21	3203	45360	362880	0	0	-725.0481827113142	-725.0481827113142	-725.0481827113142	-725.0481827113142	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-725.1214683857854,-725.1214683857854,-725.1214683857854,-725.1214683857854,-725.1214683857854,-725.1214683857854,-725.1214683857854,-725.1214683857854,-725.1214683857854,-725.1214683857854,-725.1214683857854,-725.1214683857854,-725.0481827113142,-725.0481827113142	0.99298341874968	-725.0481827113142	7	false	86
37	24	22	24	3422	51840	414720	0	0	-717.4278027078726	-717.4278027078726	-717.4278027078726	-717.4278027078726	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-782.5587439689011,-726.5607697932328,-722.7191229928218,-722.7191229928218,-721.9185259020792,-720.2951971476252,-718.4807216858653,-718.9458380919588,-718.9458380919588,-718.9458380919588,-718.9458380919588,-718.9458380919588,-717.4279332650246,-717.4279332650246,-717.4279332650246,-717.4279332650246,-717.4278027078726,-717.4278027078726	0.9927282663527827	-717.4278027078726	6	false	86
38	25	21	15	1955	32400	259200	0	0	68.00245084611028	68.00245084611028	68.00245084611028	68.00245084611028	-Infinity,-Infinity,-Infinity,-34.01803805212282,-34.01803805212282,-32.81185177234037,-31.894003316566465,-31.894003316566465,-31.894003316566465,-31.894003316566465,-31.89400153541052,-31.89400153541052,-31.89400153541052,68.00245084611028,68.00245084611028	0.9921775319671592	68.00245084611028	8	false	69
39	26	23	19	2489	41040	328320	0	0	32.90743066523463	32.90743066523463	32.90743066523463	32.90743066523463	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,32.61719914221787,32.61719914221787,32.68611046661037,32.82951289127445,32.90743066523463,32.90743066523463	0.991872226405714	32.90743066523463	6	true	75
