# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 10
# run: 6e7aa83f-350f-415c-a72b-de3eeda21d71
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	55515	620730	4965840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	13	true	1043
26	15	15	100	55676	612810	4902480	0	0	-Infinity	-Infinity	-2455.2387958505847	-2455.2387958505847	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	11	true	1046
27	16	16	100	55794	607464	4859712	0	0	-Infinity	-Infinity	-2485.6981493449666	-2485.6981493449666	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9958381646573722	-Infinity	9	true	853
28	16	16	100	55598	583704	4669632	0	0	-Infinity	-Infinity	-2494.9381194973	-2494.9381194973	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-Infinity	12	true	810
29	17	17	100	55949	562518	4500144	0	0	-1438.1738783178992	-1438.1738783178992	-1426.4749708916443	-1426.4749708916443	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992,-1438.1738783178992	0.9952876130456717	-1438.1738783178992	11	true	713
30	18	18	100	55999	549252	4394016	0	0	-1036.3001429027033	-1036.3001429027033	-1025.405740918734	-1025.405740918734	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1041.4631724960284,-1038.242450684629,-1038.242450684629,-1038.242450684629,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033,-1036.3001429027033	0.9952702129681755	-1036.3001429027033	10	true	681
31	18	18	100	56351	529452	4235616	0	0	-650.724235380215	-650.724235380215	-632.4066463009152	-632.4066463009152	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-669.7017093385625,-655.3505920896891,-655.3505920896891,-655.3505920896891,-655.3505920896891,-655.3505920896891,-655.3505920896891,-655.3505920896891,-655.3505920896891,-655.3505920896891,-655.3505920896891,-655.6966044018856,-655.6966044018856,-655.6966044018856,-655.6966044018856,-655.6966044018856,-655.6966044018856,-651.403856853575,-651.403856853575,-651.403856853575,-651.403856853575,-651.403856853575,-651.403856853575,-651.403856853575,-651.403856853575,-650.724235380215,-650.724235380215,-650.724235380215,-650.724235380215,-650.724235380215,-650.724235380215,-650.724235380215,-650.724235380215,-650.724235380215,-650.724235380215,-650.724235380215,-650.724235380215,-650.724235380215,-650.724235380215,-650.724235380215,-650.724235380215,-650.724235380215,-650.724235380215	0.9948854007501045	-650.724235380215	13	true	702
32	18	17	100	55956	487278	3898224	0	0	-Infinity	-Infinity	-657.1606404124594	-657.1606404124594	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9947847288731626	-Infinity	13	true	548
33	20	20	100	56520	491040	3928320	0	0	-663.4896854358813	-656.013004781862	-623.1333371250304	-623.3560625809671	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-668.7217289593417,-668.7217289593417,-668.7217289593417,-668.7217289593417,-668.7217289593417,-668.7217289593417,-668.7217289593417,-668.7217289593417,-664.2445140166222,-664.2445140166222,-661.3553118360093,-659.5475360707737,-659.5475360707737,-659.5475360707737,-659.5475360707737,-659.5475360707737,-659.5475360707737,-659.5475360707737,-659.5475360707737,-658.6993738678173,-658.6993738678173,-658.6993738678173,-658.6993738678173,-658.7407140407769,-658.7407140407769,-659.6432718378637,-659.6432718378637,-656.013004781862,-656.013004781862,-657.4182340455984,-657.4182340455984,-657.4182340455984,-657.4182340455984,-657.4182340455984,-657.4182340455984,-657.4182340455984,-657.4182340455984,-657.4182340455984,-659.8086432147962,-659.8086432147962,-663.4896854358813,-663.4896854358813	0.9940017253858359	-656.013004781862	15	true	566
34	22	21	100	56746	481734	3853872	0	0	-669.7504819623446	-669.7504819623446	-625.5776926824657	-625.5776926824657	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446,-669.7504819623446	0.9934347972306098	-669.7504819623446	17	true	587
