# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 5
# run: 6fa76e83-7cbd-42ac-90b2-8c554f7f6b79
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	82636	1144836	9158688	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9964541127788218	-Infinity	30	false	1777
26	15	15	100	82862	1134540	9076320	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9963744964578416	-Infinity	30	false	1416
27	15	15	100	82717	1108800	8870400	0	0	-77.69838519175032	-7.17021934852194	66.59564372817478	73.93839487963919	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-7.17021934852194,-7.17021934852194,-7.17021934852194,-7.17021934852194,-7.17021934852194,-11.047022577694008,-28.97805645100373,-28.97805645100373,-32.3609333099394,-51.139255069499086,-59.70385521384334,-59.70385521384334,-68.57656610305997,-77.69838519175032,-77.69838519175032,-77.69838519175032,-77.69838519175032,-77.69838519175032,-77.69838519175032,-77.69838519175032,-77.69838519175032,-77.69838519175032	0.9960270797844731	-7.17021934852194	24	false	1450
28	15	15	100	82382	1036332	8290656	0	0	-0.6955929154644593	-0.6955929154644593	79.14749308879756	79.14749308879756	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.6955929154644593,-0.6955929154644593,-0.6955929154644593,-0.6955929154644593,-0.6955929154644593	0.9960270797844731	-0.6955929154644593	24	false	1019
29	16	16	100	83461	980892	7847136	0	0	19.417736097155643	19.417736097155643	79.45970203085493	79.45970203085493	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,8.405540498213199,10.17939080722659,9.11461158275461,-9.075238054284696,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-16.732320494707267,-10.530330141561194,-4.720019392681365,-1.315388743794088,-1.315388743794088,0.27970756671500396,0.27970756671500396,0.5408460760337732,0.5408460760337732,0.5408460760337732,0.5408460760337732,0.5408460760337732,0.5408460760337732,0.5408460760337732,0.5408460760337732,0.5408460760337732,0.5408460760337732,0.5408460760337732,0.5408460760337732,0.5408460760337732,0.5408460760337732,0.5408460760337732,12.91813929045059,12.91813929045059,12.91813929045059,12.91813929045059,12.91813929045059,12.91813929045059,12.91813929045059,3.1639836217690345,3.1639836217690345,19.417736097155643	0.995805594344244	19.417736097155643	23	false	1500
30	17	17	100	84854	939708	7517664	0	0	13.43744180607078	22.601788107874263	83.60036778269192	81.80212365439239	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.027273525680586,-4.027273525680586,-4.027273525680586,-4.027273525680586,-4.027273525680586,-4.027273525680586,-4.027273525680586,-4.027273525680586,22.601788107874263,22.601788107874263,22.601788107874263,14.748757773615239,14.748757773615239,14.748757773615239,14.748757773615239,14.748757773615239,14.748757773615239,7.474362215241861,7.474362215241861,7.474362215241861,7.474362215241861,7.474362215241861,7.474362215241861,7.474362215241861,7.474362215241861,7.474362215241861,7.474362215241861,7.474362215241861,7.474362215241861,7.474362215241861,7.474362215241861,7.474362215241861,7.474362215241861,11.367212177671465,14.453417674534052,14.231275249130988,14.231275249130988,6.163046247697402,6.163046247697402,6.163046247697402,6.163046247697402,6.163046247697402,6.163046247697402,6.163046247697402,6.163046247697402,6.163046247697402,6.163046247697402,6.163046247697402,6.163046247697402,7.508077306941644,7.508077306941644,7.508077306941644,13.43744180607078,13.43744180607078,13.43744180607078,13.43744180607078,13.43744180607078,13.43744180607078,13.43744180607078,13.43744180607078,13.43744180607078,13.43744180607078,13.43744180607078	0.9952876130456717	22.601788107874263	24	false	1093
31	17	17	100	80584	879516	7036128	0	0	44.62717775901641	53.17832816000134	85.75711714969044	87.2931642961665	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,6.3670414076606985,6.3670414076606985,6.3670414076606985,6.3670414076606985,6.3670414076606985,6.3670414076606985,6.3670414076606985,6.3670414076606985,6.3670414076606985,6.3670414076606985,6.3670414076606985,6.3670414076606985,6.3670414076606985,6.3670414076606985,11.822183079245297,11.822183079245297,11.822183079245297,11.822183079245297,11.822183079245297,15.939125282325257,15.939125282325257,15.939125282325257,15.939125282325257,15.939125282325257,15.939125282325257,15.939125282325257,15.939125282325257,15.939125282325257,23.796103341829895,32.763653355779624,33.631467316600464,33.84386400455878,33.84386400455878,33.84386400455878,33.84386400455878,33.84386400455878,33.84386400455878,33.84386400455878,33.84386400455878,33.84386400455878,33.84386400455878,33.25553024296816,33.25553024296816,33.25553024296816,33.25553024296816,33.25553024296816,33.25553024296816,38.712730278462395,38.712730278462395,38.712730278462395,38.712730278462395,50.24789355446799,48.97544694818049,48.97544694818049,48.97544694818049,48.97544694818049,48.97544694818049,48.97544694818049,48.97544694818049,48.97544694818049,48.97544694818049,48.97544694818049,53.17832816000134,53.17832816000134,49.19685340777261,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641,44.62717775901641	0.9952876130456717	53.17832816000134	20	false	1078
32	18	18	100	80398	815364	6522912	0	0	48.01035736572695	52.0800884988177	85.76789143428294	86.46557547795015	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,33.02095914924168,33.02095914924168,33.02095914924168,33.02095914924168,33.02095914924168,36.29420559068245,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,35.19857715037409,40.09382070664796,44.49133576686616,44.49133576686616,49.343043797260805,52.0800884988177,52.0800884988177,52.0800884988177,52.0800884988177,52.0800884988177,52.0800884988177,52.0800884988177,34.434707097390145,34.434707097390145,34.434707097390145,34.434707097390145,34.434707097390145,34.434707097390145,34.434707097390145,34.434707097390145,46.15067429949809,47.9943565668961,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695,48.01035736572695	0.9949686359947655	52.0800884988177	20	false	858
33	18	18	100	80177	789228	6313824	0	0	21.419970335517554	22.04655505820964	80.9462975684997	80.9462975684997	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,18.931860801353906,18.931860801353906,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,18.921693711527375,20.376485653581305,20.376485653581305,20.376485653581305,20.376485653581305,20.376485653581305,21.883099160212502,21.883099160212502,22.04655505820964,22.04655505820964,22.04655505820964,22.04655505820964,22.04655505820964,22.04655505820964,22.04655505820964,22.04655505820964,22.04655505820964,22.04655505820964,22.04655505820964,22.04655505820964,22.04655505820964,22.04655505820964,22.04655505820964,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554,21.419970335517554	0.9947478816502295	22.04655505820964	26	false	1229
34	19	19	100	79753	756756	6054048	0	0	37.508686950128684	40.36098607460509	82.67047210866617	82.67047210866617	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,40.36098607460509,40.36098607460509,40.36098607460509,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684,37.508686950128684	0.9941856690622237	40.36098607460509	24	false	884
