# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 7
# run: 717978d1-c58c-452b-b755-92fb396793aa
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	82694	1144836	9158688	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	30	false	1748
26	16	16	100	84012	1162260	9298080	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995805594344244	-Infinity	30	false	1255
27	16	16	100	83915	1141668	9133344	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-Infinity	30	false	1265
28	17	17	100	84743	1112760	8902080	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952876130456717	-Infinity	26	false	1148
29	18	18	100	86011	1039896	8319168	0	0	-Infinity	-Infinity	-17.31107135804471	-17.31107135804471	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995024126157873	-Infinity	21	false	1211
30	18	18	100	86087	987624	7900992	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9948854007501045	-Infinity	21	false	1205
31	20	20	100	81770	907236	7257888	0	0	46.7821220975804	46.7821220975804	88.45277568292272	88.45277568292272	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,6.508680766508228,6.508680766508228,6.508680766508228,6.508680766508228,16.968712219588646,13.56590532722218,13.56590532722218,13.56590532722218,13.56590532722218,13.56590532722218,13.56590532722218,13.56590532722218,13.56590532722218,13.56590532722218,13.56590532722218,17.86360626929038,17.86360626929038,17.86360626929038,24.00485069538218,27.1709302718697,27.1709302718697,27.1709302718697,27.1709302718697,27.1709302718697,31.44535093183311,31.44535093183311,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,30.31352025860194,46.7821220975804,46.7821220975804,46.7821220975804,46.7821220975804	0.9943563799065661	46.7821220975804	20	true	1056
32	21	21	100	82945	885852	7086816	0	0	26.10831570505883	26.10831570505883	84.7026638204006	84.7026638204006	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-15.663625988843954,-15.663625988843954,-15.663625988843954,-15.663625988843954,-10.592131875298215,-10.592131875298215,-4.4271492840169415,2.163666728163612,2.163666728163612,2.163666728163612,2.163666728163612,2.163666728163612,2.163666728163612,0.3777858233347686,-2.3595790841954667,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,-6.735109539477463,0.9688401435588005,8.361798058549837,8.361798058549837,8.361798058549837,8.361798058549837,8.361798058549837,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883,26.10831570505883	0.993416592947851	26.10831570505883	24	true	1038
33	22	21	100	82789	833976	6671808	0	0	28.0542905959436	28.0542905959436	84.71873108044328	84.71873108044328	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,2.450519423897525,2.420969483373618,-0.8993666441029546,-4.9760588855064185,-4.9760588855064185,-4.9760588855064185,-4.9760588855064185,-4.9760588855064185,-4.9760588855064185,-4.9760588855064185,-4.9760588855064185,-4.9760588855064185,-4.9760588855064185,-4.9760588855064185,-4.9760588855064185,-2.981137375357008,-2.63766039110223,-10.414177155930217,-10.414177155930217,-10.414177155930217,-10.414177155930217,-10.414177155930217,-10.414177155930217,-10.414177155930217,-10.414177155930217,-10.414177155930217,-10.414177155930217,-10.414177155930217,-10.414177155930217,-10.414177155930217,-10.414177155930217,-10.414177155930217,-2.551194524207011,-2.551194524207011,-2.551194524207011,-2.551194524207011,1.2549499588966224,1.2549499588966224,1.2549499588966224,1.2549499588966224,1.2549499588966224,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,2.228545471370401,-3.5397930747923088,20.445416344161753,25.256101509016425,25.10532835338929,25.10532835338929,25.10532835338929,25.10532835338929,25.10532835338929,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436,28.0542905959436	0.9932579451824449	28.0542905959436	24	true	994
34	24	23	100	84760	841896	6735168	0	0	50.28447267081902	50.46845169183712	92.93443521177828	92.93443521177828	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,41.76114812525987,41.76114812525987,45.442423265643775,45.442423265643775,45.442423265643775,45.442423265643775,48.01012087939634,49.60549802007461,49.60549802007461,50.27947184626768,50.033341903036856,50.033341903036856,50.033341903036856,50.033341903036856,50.033341903036856,50.033341903036856,50.033341903036856,50.033341903036856,50.033341903036856,50.033341903036856,50.033341903036856,50.033341903036856,50.033341903036856,50.033341903036856,50.033341903036856,50.27947184626768,50.46845169183712,50.28447267081902,50.28447267081902,50.28447267081902	0.9928875721043129	50.46845169183712	21	true	1064
