# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 18
# run: 71e7c9cf-b261-429f-a6c8-690d5b3186bc
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	12	12	31	14568	53382	427056	0	0	-198.23322277790973	-198.23322277790973	-198.23322277790973	-198.23322277790973	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-198.23322277790973,-198.23322277790973	0.9974600273429788	-198.23322277790973	3	true	820
26	13	13	5	2245	8610	68880	0	0	-188.4984353941622	-188.4984353941622	-188.4984353941622	-188.4984353941622	-190.27960197094228,-189.21620180728212,-189.21620180728212,-188.4984353941622,-188.4984353941622	0.9973879413076377	-188.4984353941622	1	true	329
27	14	14	21	9416	36162	289296	0	0	-184.26528082025368	-184.26528082025368	-184.26528082025368	-184.26528082025368	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-186.10352849119664,-186.10352849119664,-185.32358358395524,-185.32358358395524,-185.32358358395524,-185.32358358395524,-185.32358358395524,-185.32358358395524,-185.32358358395524,-185.32358358395524,-185.32358358395524,-185.32358358395524,-184.26528082025368,-184.26528082025368	0.9968457241868389	-184.26528082025368	1	true	489
28	15	15	8	3648	13776	110208	0	0	-182.54601367222236	-182.54601367222236	-182.54601367222236	-182.54601367222236	-185.4770501837919,-184.58756632572667,-184.58756632572667,-183.41867423156143,-183.24585219836206,-183.24585219836206,-182.54601367222236,-182.54601367222236	0.9960270797844731	-182.54601367222236	0	true	206
29	15	15	11	4911	18942	151536	0	0	-80.03902697417814	-80.03902697417814	-80.03902697417814	-80.03902697417814	-Infinity,-Infinity,-Infinity,-Infinity,-130.0390258134857,-130.0390258134857,-130.0390258134857,-130.0390258134857,-130.0390258134857,-80.03902697417814,-80.03902697417814	0.9960270797844731	-80.03902697417814	0	true	256
30	15	15	19	8378	32718	261744	0	0	-79.1787720858597	-79.1787720858597	-79.1787720858597	-79.1787720858597	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-79.1787720858597,-79.1787720858597	0.9960270797844731	-79.1787720858597	0	true	621
31	15	15	14	5601	24108	192864	0	0	-28.665989140102447	-28.665989140102447	-28.665989140102447	-28.665989140102447	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-28.665989140102447,-28.665989140102447	0.9960270797844731	-28.665989140102447	0	true	294
32	16	16	10	3933	17220	137760	0	0	17.857318830078736	17.857318830078736	17.857318830078736	17.857318830078736	-Infinity,16.94886829409494,16.94886829409494,16.94886829409494,16.94886829409494,16.94886829409494,16.94886829409494,16.94886829409494,17.857318830078736,17.857318830078736	0.9954268136656409	17.857318830078736	0	true	203
33	16	16	1	390	1722	13776	0	0	19.132177720962325	19.132177720962325	19.132177720962325	19.132177720962325	19.132177720962325	0.9954268136656409	19.132177720962325	0	true	151
34	17	16	18	7356	30996	247968	0	0	18.836066200742074	18.836066200742074	18.836066200742074	18.836066200742074	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,18.836066200742074,18.836066200742074	0.9954594205335539	18.836066200742074	0	true	277
