# solver: Greedy
# max_time: 300000
# main_solver: Greedy
# random.seed: 24
# run: 7331a4ce-3a4e-46e9-bc62-f904a3ef71aa
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	0	0	0	0	0	-1367.1328982161374	-1367.1328982161374	-1165.0565226003355	-1165.0565226003355	-1367.1328982161374	0.9960270797844731	-1367.1328982161374	2	true	96
26	15	15	1	0	0	0	0	0	-1362.481659797993	-1362.481659797993	-1161.4746164824398	-1161.4746164824398	-1362.481659797993	0.9960270797844731	-1362.481659797993	2	true	57
27	15	15	1	0	0	0	0	0	-1361.219185322765	-1361.219185322765	-1160.1411049846736	-1160.1411049846736	-1361.219185322765	0.9960270797844731	-1361.219185322765	2	true	9
28	16	16	1	0	0	0	0	0	-1362.7199764018744	-1362.7199764018744	-1158.9282742932226	-1158.9282742932226	-1362.7199764018744	0.995805594344244	-1362.7199764018744	3	true	9
29	16	16	1	0	0	0	0	0	-1411.1705464449765	-1411.1705464449765	-1157.7596741526577	-1157.7596741526577	-1411.1705464449765	0.9954268136656409	-1411.1705464449765	3	true	9
30	18	18	1	0	0	0	0	0	-1410.6934835160735	-1410.6934835160735	-1156.205825282417	-1156.205825282417	-1410.6934835160735	0.9952702129681755	-1410.6934835160735	3	true	9
31	18	17	1	0	0	0	0	0	-1364.5223767282987	-1364.5223767282987	-1156.7399735830475	-1156.7399735830475	-1364.5223767282987	0.9950186429401746	-1364.5223767282987	4	true	9
32	18	18	1	0	0	0	0	0	-1363.8202920408442	-1363.8202920408442	-1156.2598989116323	-1156.2598989116323	-1363.8202920408442	0.9948311168948906	-1363.8202920408442	4	true	8
33	19	19	1	0	0	0	0	0	-1163.8257332013334	-1163.8257332013334	-1157.3393779793641	-1157.3393779793641	-1163.8257332013334	0.9941695118474059	-1163.8257332013334	4	true	8
34	21	21	1	0	0	0	0	0	-1221.985461960178	-1221.985461960178	-1157.221595011568	-1157.221595011568	-1221.985461960178	0.993575679370673	-1221.985461960178	6	true	9
35	22	22	1	0	0	0	0	0	-1220.5484595490661	-1220.5484595490661	-1156.0896736859602	-1156.0896736859602	-1220.5484595490661	0.9933979500076767	-1220.5484595490661	6	true	9
36	24	24	1	0	0	0	0	0	-1129.0257391843822	-1129.0257391843822	-1056.2341513531892	-1056.2341513531892	-1129.0257391843822	0.9926487962509413	-1129.0257391843822	7	true	8
37	25	25	1	0	0	0	0	0	-1079.1286350145208	-1079.1286350145208	-1056.7522665523215	-1056.7522665523215	-1079.1286350145208	0.9922590856917259	-1079.1286350145208	7	true	8
38	27	27	1	0	0	0	0	0	-1078.0026028618768	-1078.0026028618768	-1055.5620132740028	-1055.5620132740028	-1078.0026028618768	0.9914139390704847	-1078.0026028618768	7	true	8
39	28	28	1	0	0	0	0	0	-1077.9368937336624	-1077.9368937336624	-1055.4576607926251	-1055.4576607926251	-1077.9368937336624	0.9911454807319727	-1077.9368937336624	7	true	8
40	30	30	1	0	0	0	0	0	-1077.8987675432008	-1077.8987675432008	-1055.413368973148	-1055.413368973148	-1077.8987675432008	0.9909851514464726	-1077.8987675432008	7	true	8
41	30	30	1	0	0	0	0	0	-1077.8775101103927	-1077.8775101103927	-459.88620906749844	-459.88620906749844	-1077.8775101103927	0.9906075770757631	-1077.8775101103927	7	true	8
42	31	31	1	0	0	0	0	0	-1077.5813757036358	-1077.5813757036358	-459.8772626234405	-459.8772626234405	-1077.5813757036358	0.990523062413639	-1077.5813757036358	7	true	8
43	31	31	1	0	0	0	0	0	-1077.345807735325	-1077.345807735325	-459.52053826245225	-459.52053826245225	-1077.345807735325	0.990523062413639	-1077.345807735325	7	true	8
44	34	34	1	0	0	0	0	0	-1077.1185901949268	-1077.1185901949268	-459.4845158260903	-459.4845158260903	-1077.1185901949268	0.9900786293417944	-1077.1185901949268	7	true	8
