# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 10
# run: 738c183c-86f3-4d3b-92d9-06b54609431f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	74600	732996	5863968	0	0	-633.8991083226018	-633.8991083226018	0.7009397391296823	0.7009397391296823	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1176.1224929514808,-1176.1224929514808,-1176.1224929514808,-1176.1224929514808,-1176.1224929514808,-1176.1224929514808,-1176.1224929514808,-1176.1224929514808,-1176.1224929514808,-1176.1224929514808,-1176.1224929514808,-1176.1224929514808,-1176.1224929514808,-1176.1224929514808,-1176.1224929514808,-1176.1224929514808,-876.1225630997183,-876.1225630997183,-876.1225630997183,-876.1225630997183,-876.1225630997183,-876.1225630997183,-876.1225630997183,-876.1225630997183,-876.1225630997183,-1079.5975199194518,-1070.160229787681,-1169.5047515688611,-1169.5047515688611,-1169.5047515688611,-1170.7828593593395,-1170.7828593593395,-1170.7828593593395,-1170.7828593593395,-1170.7828593593395,-1170.7828593593395,-1170.7828593593395,-1170.7828593593395,-1169.5047515688611,-1170.7836353094779,-1179.4365790970066,-1180.5398693245236,-1195.3777755970802,-1205.6249136354456,-1205.6249136354456,-818.3522730268656,-818.3522730268656,-633.8991083226018,-633.8991083226018,-633.8991083226018,-633.8991083226018,-633.8991083226018,-633.8991083226018	0.9960270797844731	-633.8991083226018	18	true	1173
26	15	15	100	71000	729828	5838624	0	0	-326.44909275357656	-326.44909275357656	6.755609924258925	6.755609924258925	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1172.4451815753928,-1172.4451815753928,-1172.4451815753928,-1172.4451815753928,-1172.4454360567718,-1172.4454360567718,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4456227747851,-872.4458771359434,-872.4458771359434,-872.4458771359434,-872.4458771359434,-872.4458771359434,-872.4458771359434,-872.4458771359434,-872.4458771359434,-872.4460751138151,-872.4460751138151,-872.4460751138151,-872.4460751138151,-1075.2458929149518,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1178.253554571717,-1078.9843587124694,-797.272779473498,-811.0636595266106,-811.0636595266106,-811.0636595266106,-511.0640804336467,-418.6012764630867,-326.44909275357656,-326.44909275357656,-326.44909275357656,-326.44909275357656,-326.44909275357656,-326.44909275357656,-326.44909275357656,-326.44909275357656	0.9960270797844731	-326.44909275357656	18	true	792
27	16	16	100	77800	745668	5965344	0	0	-324.18680931477354	-324.18680931477354	10.097542102532735	10.097542102532735	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-872.3190198383314,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3192808725253,-872.3194555184156,-872.3194555184156,-872.3194555184156,-872.3194555184156,-872.3194555184156,-872.3194555184156,-872.3194555184156,-872.3194555184156,-872.3194555184156,-872.3194555184156,-872.3194555184156,-872.3194555184156,-872.3194555184156,-872.3194555184156,-872.3194555184156,-872.3194555184156,-872.3194555184156,-877.756894987339,-877.756894987339,-877.756894987339,-877.756894987339,-877.756894987339,-877.756894987339,-877.756894987339,-877.756894987339,-877.756894987339,-877.756894987339,-877.756894987339,-877.756894987339,-877.756894987339,-877.756894987339,-877.756894987339,-875.7521564554488,-875.7521564554488,-875.7521564554488,-875.7521564554488,-875.7521564554488,-875.7521564554488,-875.7521564554488,-875.7521564554488,-875.7521564554488,-875.7521564554488,-875.7521564554488,-875.7521564554488,-875.7521564554488,-875.7521564554488,-875.7521564554488,-875.7521564554488,-875.7521564554488,-875.7521564554488,-679.2863526200401,-490.5353568450613,-494.9103318359471,-508.8011661364076,-508.8011661364076,-508.8011661364076,-324.18680931477354,-324.18680931477354,-324.18680931477354,-324.18680931477354,-324.18680931477354,-324.18680931477354,-324.18680931477354,-324.18680931477354,-324.18680931477354	0.9958381646573722	-324.18680931477354	18	true	820
28	16	16	100	73800	728244	5825952	0	0	-1185.4773849066855	-477.5877360401561	5.738766903609237	5.623638127817074	-Infinity,-Infinity,-Infinity,-777.5876518373196,-777.5876604008712,-477.5877360401561,-477.5877360401561,-477.5879394653675,-477.5879394653675,-477.5879394653675,-477.5879394653675,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.5880607762092,-477.58851204017196,-477.58851204017196,-477.58851204017196,-477.58851204017196,-477.58851204017196,-477.58851204017196,-477.58851204017196,-477.58851204017196,-477.58851204017196,-477.58851204017196,-477.58851204017196,-880.0613487661947,-980.697024511918,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1185.1570523280939,-1180.081622827542,-1180.081622827542,-1175.559968860245,-1175.559968860245,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855,-1185.4773849066855	0.9955956967707507	-477.5877360401561	13	true	724
29	17	17	100	75600	723492	5787936	0	0	11.450572104486739	27.818304609104665	63.215271041980316	63.341348642131734	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,27.818304609104665,-272.1816853247091,-272.1816853247091,-272.1816853247091,-272.1816853247091,-272.1816853247091,-272.1816853247091,-272.1816853247091,-275.6957960271943,-275.6957960271943,-275.6957960271943,-275.6957960271943,-275.6957960271943,-275.6957960271943,-275.6957960271943,-275.6957960271943,-275.6957960271943,-275.6957960271943,-275.6957960271943,-275.6957960271943,-275.6957960271943,-275.6957960271943,-275.6957960271943,-277.00901201709456,-277.00901201709456,-279.31382174202514,-279.31382174202514,-282.74327938112594,-282.74327938112594,-282.74327938112594,-282.74327938112594,-282.74327938112594,-282.74327938112594,-282.74327938112594,-282.74327938112594,-278.16049646054034,21.83932655690269,21.83932655690269,25.83303063509569,25.83303063509569,27.1370829574293,27.1370829574293,27.1370829574293,27.1370829574293,27.1370829574293,27.1370829574293,27.1370829574293,27.1370829574293,27.1370829574293,27.1370829574293,26.161716648663088,11.450572104486739,11.450572104486739,11.450572104486739,11.450572104486739,11.450572104486739,11.450572104486739	0.9952876130456717	27.818304609104665	13	true	690
30	18	18	100	64400	709236	5673888	0	0	46.97850239880344	46.97850239880344	69.28055113772517	69.28055113772517	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,17.775016030847,17.775016030847,17.775016030847,17.775016030847,17.775016030847,17.775016030847,17.774708555232664,17.774708555232664,17.774708555232664,17.774708555232664,17.774708555232664,17.774708555232664,17.774708555232664,17.774708555232664,17.774708555232664,17.774708555232664,17.774708555232664,17.774708555232664,17.774708555232664,17.774708555232664,12.339795132096798,12.339795132096798,12.339795132096798,12.339795132096798,12.339795132096798,12.339795132096798,12.339795132096798,12.339795132096798,12.339795132096798,12.339795132096798,12.339795132096798,12.339795132096798,12.339795132096798,12.339795132096798,12.339795132096798,12.339795132096798,12.339795132096798,-287.66013777064484,-287.66013777064484,-287.66013777064484,-283.5616577196793,-282.6081230004011,-282.6081230004011,-282.6081230004011,-278.4230636382072,-278.4230636382072,-277.86849143126517,-277.86849143126517,-277.86849143126517,-272.99023318287607,-272.99023318287607,-272.0264928310199,-276.8128824891287,-276.8128824891287,-276.8128824891287,-276.8128824891287,-276.8128824891287,-276.8128824891287,-298.3728927791352,-298.3728927791352,-298.3728927791352,-298.3728927791352,-298.3728927791352,1.626610735179156,-3.4442730480684673,-3.4442730480684673,-3.4442730480684673,-3.4442730480684673,-3.4442730480684673,-3.4442730480684673,-3.4442730480684673,-3.4442730480684673,-3.4442730480684673,18.11573724193798,22.582590086929784,22.582590086929784,22.582590086929784,22.582590086929784,22.582590086929784,22.582590086929784,26.43917070520758,28.470023384692993,30.435365914434982,33.576062378295745,46.06996030694009,43.23401996392127,43.23401996392127,43.23401996392127,46.97850239880344	0.9952702129681755	46.97850239880344	9	true	675
31	18	18	100	63514	622116	4976928	0	0	32.47270340491143	33.92280855753507	64.53867406011624	64.42734197111368	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-42.12832208756187,-42.12832208756187,-42.12832208756187,-42.12832208756187,-42.12832208756187,-42.12832208756187,-42.12832208756187,-42.12832208756187,-42.12832208756187,-42.12832208756187,-42.12832208756187,-42.12832208756187,-42.12832208756187,-42.12832208756187,-42.12832208756187,-40.45076821107881,-40.45076821107881,-40.45076821107881,-43.235554154596926,-43.235554154596926,-23.609838855020044,-16.138273454924047,-16.138273454924047,-16.138273454924047,-16.138273454924047,7.79215772442744,7.79215772442744,7.79215772442744,7.79215772442744,7.79215772442744,7.79215772442744,7.79215772442744,7.79215772442744,7.79215772442744,7.79215772442744,7.79215772442744,7.79215772442744,33.92280855753507,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143,32.47270340491143	0.9948854007501045	33.92280855753507	11	true	632
32	18	18	100	57975	574992	4599936	0	0	12.576390769732988	28.352499209083618	62.89639629732964	62.56535190278009	-Infinity,-Infinity,23.752671147718125,23.752671147718125,23.75260982714031,23.75260982714031,23.75260982714031,23.75260982714031,23.75260982714031,23.75260982714031,28.352499209083618,28.352499209083618,28.352499209083618,28.352499209083618,28.352499209083618,28.352499209083618,28.352499209083618,26.477560150587095,26.477560150587095,26.477560150587095,26.477560150587095,26.477560150587095,19.354322257754944,19.354322257754944,19.354322257754944,19.354322257754944,19.354322257754944,19.354322257754944,19.354322257754944,19.354322257754944,19.354322257754944,14.861723111366711,14.861723111366711,-8.12548276507755,-8.12548276507755,-8.12548276507755,-8.12548276507755,-8.12548276507755,-8.12548276507755,-8.12548276507755,-8.12548276507755,-8.12548276507755,-8.12548276507755,-8.12548276507755,-8.12548276507755,-8.12548276507755,-8.12548276507755,-8.12548276507755,-8.12548276507755,-3.476555819597415,-3.476555819597415,-3.476555819597415,-3.476555819597415,-3.476555819597415,-3.476555819597415,-3.476555819597415,2.8045461394017437,2.8045461394017437,2.8045461394017437,2.8045461394017437,2.8045461394017437,2.8045461394017437,2.8045461394017437,2.8045461394017437,2.8045461394017437,2.8045461394017437,2.8045461394017437,2.8045461394017437,2.8045461394017437,2.8045461394017437,2.8045461394017437,2.8045461394017437,2.8045461394017437,12.627997408148723,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988,12.576390769732988	0.9947478816502295	28.352499209083618	14	true	447
33	21	21	100	60949	605880	4847040	0	0	61.78219902082445	61.78219902082445	71.7789668166246	71.7789668166246	-Infinity,-Infinity,43.758723175698094,43.758723175698094,43.758698054986525,43.758698054986525,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,43.758611179578395,48.245014348404794,48.245014348404794,48.245014348404794,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,50.12432214681898,58.94767165116453,58.94767165116453,58.94767165116453,58.94767165116453,58.94767165116453,58.94767165116453,58.94767165116453,48.12698559207979,48.12698559207979,48.12698559207979,48.12698559207979,48.12698559207979,48.12698559207979,48.12698559207979,50.36557817108144,50.36557817108144,50.36557817108144,50.36557817108144,50.36557817108144,50.36557817108144,50.36557817108144,50.36557817108144,50.36557817108144,50.36557817108144,50.36557817108144,52.55934821677842,52.55934821677842,52.55934821677842,52.55934821677842,52.55934821677842,52.55934821677842,52.55934821677842,52.55934821677842,52.55934821677842,52.55934821677842,50.74793049969401,50.74793049969401,50.74793049969401,50.74793049969401,61.78219902082445,61.78219902082445	0.9937941673185605	61.78219902082445	8	true	512
34	23	23	100	62442	613800	4910400	0	0	55.861643338126385	55.88227462297458	73.1707168251163	73.19711150285825	-Infinity,-Infinity,-Infinity,43.49999374290028,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,43.499955218702716,52.96317116724016,52.96317116724016,52.96317116724016,52.96317116724016,52.96317116724016,55.88227462297458,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,54.33413971806095,55.861643338126385,55.861643338126385,55.861643338126385,55.861643338126385,55.861643338126385,55.861643338126385,55.861643338126385,55.861643338126385,55.861643338126385,55.861643338126385,55.861643338126385,55.861643338126385,55.861643338126385,55.861643338126385,55.861643338126385,55.861643338126385,55.861643338126385,55.861643338126385	0.9931903919404012	55.88227462297458	9	true	542
