# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 25
# run: 7403844f-090f-469d-94fb-538347db1b01
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	100	53400	172260	1378080	0	0	-1163.3099064126245	-1163.3099064126245	-1163.3099064126245	-1163.3099064126245	-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1171.1903768161458,-1169.1978276531656,-1169.1978276531656,-1169.1978276531656,-1169.1978276531656,-1169.1978276531656,-1169.1978276531656,-1169.1978276531656,-1169.1978276531656,-1169.1978276531656,-1169.1978276531656,-1169.1978276531656,-1169.1978276531656,-1169.1978276531656,-1169.1978276531656,-1167.2206019283337,-1167.2206019283337,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1167.2524269073692,-1165.2612671777918,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1165.2846431985186,-1163.3099064126245,-1163.3099064126245,-1163.3099064126245	0.9968457241868389	-1163.3099064126245	0	true	752
26	15	15	100	53200	174240	1393920	0	0	-1159.121396330451	-1159.121396330451	-1159.121396330451	-1159.121396330451	-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451,-1159.121396330451	0.9963744964578416	-1159.121396330451	0	true	345
27	15	15	100	51600	171270	1370160	0	0	-1157.4429179358942	-1157.4429179358942	-1157.4429179358942	-1157.4429179358942	-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942,-1157.4429179358942	0.9960270797844731	-1157.4429179358942	0	true	191
28	15	15	100	51400	170280	1362240	0	0	-1156.4659835481825	-1156.4659835481825	-1156.4659835481825	-1156.4659835481825	-1158.375696568095,-1158.375696568095,-1158.375696568095,-1158.375696568095,-1158.375696568095,-1158.375696568095,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825,-1156.4659835481825	0.9960270797844731	-1156.4659835481825	0	true	171
29	15	15	100	50000	168300	1346400	0	0	-1156.9398032985575	-1156.9398032985575	-1156.9398032985575	-1156.9398032985575	-1160.107744498734,-1160.107744498734,-1158.120064996453,-1158.120064996453,-1158.120064996453,-1158.120064996453,-1158.120064996453,-1158.120064996453,-1158.120064996453,-1158.120064996453,-1158.120064996453,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575,-1156.9398032985575	0.9959945094713449	-1156.9398032985575	0	true	174
30	16	16	100	49800	170280	1362240	0	0	-1155.2937191511735	-1155.2937191511735	-1155.2937191511735	-1155.2937191511735	-1157.293021322295,-1157.293021322295,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735,-1155.2937191511735	0.9954268136656409	-1155.2937191511735	0	true	169
31	17	17	100	48000	169290	1354320	0	0	-1154.7731625302347	-1154.7731625302347	-1154.7731625302347	-1154.7731625302347	-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347,-1154.7731625302347	0.9952876130456717	-1154.7731625302347	0	true	174
32	18	18	100	48291	169290	1354320	0	0	-1155.2566419706864	-1155.2566419706864	-1155.2566419706864	-1155.2566419706864	-1160.432942640338,-1160.432942640338,-1160.432942640338,-1160.432942640338,-1160.432942640338,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864,-1155.2566419706864	0.9949686359947655	-1155.2566419706864	0	true	173
33	18	18	100	47647	168300	1346400	0	0	-1154.9284140167026	-1154.9284140167026	-1154.9284140167026	-1154.9284140167026	-1156.8994663676615,-1156.8994663676615,-1156.8994663676615,-1156.8994663676615,-1156.8994663676615,-1156.8994663676615,-1156.8994663676615,-1156.8994663676615,-1156.8994663676615,-1156.8994663676615,-1156.8994663676615,-1156.8994663676615,-1156.8994663676615,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026,-1154.9284140167026	0.9948854007501045	-1154.9284140167026	0	true	161
34	18	18	100	47845	167310	1338480	0	0	-1156.8606244707973	-1156.8606244707973	-1155.6614393279283	-1155.6614393279283	-1158.841163144065,-1158.841163144065,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973,-1156.8606244707973	0.9945946805477371	-1156.8606244707973	1	true	163
