# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 13
# run: 747ba1eb-01bb-4c66-8bec-f02e715383df
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	73600	932976	7463808	0	0	-Infinity	-Infinity	-157.36846906318752	-157.36846906318752	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	23	true	1791
26	15	15	100	87400	928818	7430544	0	0	-448.02565870111385	-383.3752380530967	15.455479355283114	16.558042745563963	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-383.3752380530967,-383.3752380530967,-383.3752380530967,-383.3752380530967,-383.3752380530967,-383.3752380530967,-383.3752380530967,-383.3752380530967,-383.3752380530967,-383.3752380530967,-383.3752380530967,-383.3752380530967,-383.3752380530967,-383.37549247277593,-484.0369194226622,-484.0369194226622,-790.9825562612531,-790.9825562612531,-790.9825562612531,-790.9825562612531,-790.9825562612531,-790.9825562612531,-790.9825562612531,-790.9825562612531,-790.9825562612531,-790.9825562612531,-790.9825562612531,-790.9825562612531,-790.9825562612531,-790.9825562612531,-790.9825562612531,-790.9825562612531,-790.9825562612531,-790.9825562612531,-390.9829236354775,-390.9829236354775,-390.9829236354775,-390.9829236354775,-390.9829236354775,-390.9829236354775,-390.9829236354775,-390.9829236354775,-390.9829236354775,-390.9829236354775,-390.9829236354775,-407.94059600245345,-431.51288868457056,-431.51288868457056,-431.51288868457056,-431.51288868457056,-431.51288868457056,-448.02565870111385,-448.02565870111385,-448.02565870111385,-448.02565870111385,-448.02565870111385,-448.02565870111385,-448.02565870111385,-448.02565870111385,-448.02565870111385	0.9960270797844731	-383.3752380530967	17	true	1555
27	16	16	100	71853	922680	7381440	0	0	-Infinity	-Infinity	-70.6563084850678	-70.6563084850678	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9958381646573722	-Infinity	21	true	1051
28	16	16	100	75800	874566	6996528	0	0	14.109970169643859	14.109970169643859	71.17781672539849	71.17781672539849	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-411.8581097744778,-411.8581097744778,-411.8581097744778,-411.8581097744778,-411.8581097744778,-411.8581097744778,-411.8581097744778,-411.8581097744778,-405.6298084682911,-396.3259040196826,-396.3259040196826,-394.63824169746795,-394.63824169746795,-394.63824169746795,-385.8897428772054,-385.8897428772054,-385.8897428772054,-385.8897428772054,-385.8897428772054,-385.8897428772054,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859,14.109970169643859	0.9955956967707507	14.109970169643859	17	true	1135
29	17	17	100	73400	836748	6693984	0	0	29.954061830334837	40.09463812146815	75.47561214854184	74.61881162177804	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,40.03624577004054,40.0361846411861,40.0361846411861,40.0361846411861,40.03579376566314,40.03579376566314,40.03579376566314,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.035854894517584,40.09463812146815,40.09463812146815,35.6584838703953,30.07580046257356,30.07580046257356,25.97785717700819,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,5.594005043370899,11.010608883628677,15.951323395944087,18.370219739413727,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,18.861216178012626,29.954061830334837,29.954061830334837,29.954061830334837,29.954061830334837,29.954061830334837,29.954061830334837	0.9952876130456717	40.09463812146815	15	true	993
30	18	18	100	68804	792000	6336000	0	0	54.60890847335605	54.666343920584495	79.27978999588935	79.4221226444924	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,20.684639652910583,20.684639652910583,20.684639652910583,20.684639652910583,20.684639652910583,20.684639652910583,20.684658692254196,20.684658692254196,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,20.684423750304212,25.48306085653569,25.48306085653569,25.48306085653569,25.48306085653569,25.48306085653569,25.48306085653569,25.48306085653569,25.48306085653569,25.48306085653569,28.989894743935935,28.989894743935935,28.989894743935935,31.183729258417287,31.183729258417287,49.642551806389804,49.642551806389804,49.642551806389804,49.642551806389804,49.69998725361825,49.69998725361825,49.69998725361825,49.69998725361825,49.69998725361825,49.69981088626258,49.69981088626258,49.69981088626258,49.69981088626258,49.69981088626258,49.69981088626258,49.69981088626258,47.62883407313802,47.62883407313802,47.62883407313802,47.62883407313802,47.62883407313802,47.62883407313802,47.62883407313802,47.62883407313802,47.62883407313802,47.62883407313802,47.62883407313802,47.62883407313802,47.62883407313802,52.595367107459964,52.595367107459964,52.595367107459964,54.63085152752839,54.666343920584495,54.60890847335605,54.60890847335605,54.60890847335605,54.60890847335605	0.9952702129681755	54.666343920584495	12	true	927
31	18	18	100	68149	740916	5927328	0	0	39.70726822594696	39.76918406460034	73.62407427714304	73.87629355912678	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,21.565854956916233,21.565854956916233,21.565854956916233,21.565854956916233,21.565854956916233,21.565854956916233,21.565854956916233,21.565854956916233,21.565854956916233,21.565854956916233,21.565854956916233,21.565854956916233,25.0814873136761,25.0814873136761,25.0814873136761,25.0814873136761,25.0814873136761,25.0814873136761,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,22.376887805092466,21.328912693023064,21.328912693023064,21.328912693023064,21.328912693023064,23.917281535791894,23.917281535791894,23.917281535791894,27.812591644998225,27.812591644998225,27.812591644998225,27.812591644998225,27.812591644998225,27.812591644998225,20.885442184323384,20.885442184323384,20.885442184323384,20.885442184323384,20.885442184323384,20.885442184323384,20.885442184323384,27.812591644998225,27.812591644998225,27.812591644998225,27.812591644998225,27.812591644998225,27.812591644998225,27.812591644998225,27.812591644998225,27.812591644998225,27.812591644998225,27.812591644998225,29.938996148295054,29.938996148295054,31.123529472301513,31.123529472301513,31.123529472301513,31.123529472301513,31.123529472301513,31.123529472301513,31.123529472301513,31.123529472301513,31.123529472301513,31.123529472301513,36.67366608607368,36.67366608607368,36.67366608607368,36.67366608607368,36.67366608607368,39.76918406460034,39.70726822594696	0.9948854007501045	39.76918406460034	16	true	743
32	18	18	100	68519	734184	5873472	0	0	32.37141680546564	34.18375105541966	71.73758992804373	71.61289919241639	-Infinity,-Infinity,7.730346966734793,7.730346966734793,7.730346966734793,7.7302887190315275,7.7302887190315275,7.7302887190315275,7.7302887190315275,7.7302887190315275,7.7302887190315275,7.7302887190315275,7.7302887190315275,7.7302887190315275,7.7302887190315275,7.7302887190315275,7.7302887190315275,7.7302887190315275,7.7302887190315275,9.96985235742796,12.799519675934675,12.799519675934675,15.86629687542031,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,16.215912788185356,22.608613287805262,28.497297121763417,28.497297121763417,28.497297121763417,28.497297121763417,25.385620874734286,25.385620874734286,25.385620874734286,25.385620874734286,30.612224890439435,30.612224890439435,30.612224890439435,30.612224890439435,30.612224890439435,30.612224890439435,34.18375105541966,34.18375105541966,34.18375105541966,34.18375105541966,34.18375105541966,34.18375105541966,34.18375105541966,34.18375105541966,34.18375105541966,34.18375105541966,34.18375105541966,34.18375105541966,34.18375105541966,34.18375105541966,34.18375105541966,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564,32.37141680546564	0.9947478816502295	34.18375105541966	18	true	702
33	21	20	100	70601	739134	5913072	0	0	37.6386266163335	37.6386266163335	76.41508483380649	76.41508483380649	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,23.562017932674685,30.504934252136103,30.504934252136103,30.504934252136103,30.504934252136103,28.49791942742427,28.49791942742427,28.821487086004858,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.0991162982368,29.145572336038178,28.888633805457317,28.888633805457317,28.888633805457317,28.888633805457317,28.888633805457317,28.888633805457317,28.888633805457317,28.888633805457317,28.888633805457317,28.888633805457317,28.888633805457317,28.888633805457317,28.888633805457317,28.888633805457317,28.888633805457317,28.888633805457317,28.888633805457317,34.99336983366547,34.99336983366547,34.99336983366547,37.6386266163335	0.9938441742639696	37.6386266163335	16	true	951
34	23	22	100	69647	701712	5613696	0	0	45.60396338484327	45.60396338484327	78.3726471796249	78.3726471796249	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,35.66897601596166,40.20767495558138,40.20767495558138,40.20767495558138,40.20767495558138,43.441470439668976,45.478202255266275,45.478202255266275,45.478202255266275,45.478202255266275,45.478202255266275,45.478202255266275,45.478202255266275,45.478202255266275,45.478202255266275,45.60396338484327,45.60396338484327,45.60396338484327,45.60396338484327,45.60396338484327,45.60396338484327	0.9932403988858102	45.60396338484327	16	true	931
