# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 10
# run: 74a6dac4-b83d-4781-a952-678eb2038d8e
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	16	7333	6080	48640	0	0	-116.19833885010816	-116.19833885010816	-116.19833885010816	-116.19833885010816	-1363.1986068484007,-1263.2029383106901,-1165.0245741055528,-715.0252354912594,-465.02555649448993,-365.06807885539354,-215.0683075628243,-215.0683075628243,-215.0683075628243,-215.0683075628243,-215.0683075628243,-215.0683075628243,-215.0683075628243,-215.0683075628243,-116.19833885010816,-116.19833885010816	0.9960270797844731	-116.19833885010816	0	true	259
26	15	15	1	435	380	3040	0	0	-111.95919268032151	-111.95919268032151	-111.95919268032151	-111.95919268032151	-111.95919268032151	0.9960270797844731	-111.95919268032151	0	true	30
27	16	16	4	1776	1520	12160	0	0	-108.24147872346313	-108.24147872346313	-108.24147872346313	-108.24147872346313	-110.65047089173933,-109.115345467239,-108.24147872346313,-108.24147872346313	0.9958381646573722	-108.24147872346313	0	true	32
28	16	16	5	2140	1900	15200	0	0	-7.427425091482848	-7.427425091482848	-7.427425091482848	-7.427425091482848	-8.995394466429595,-8.995394466429595,-8.995394466429595,-7.427425091482848,-7.427425091482848	0.9955956967707507	-7.427425091482848	0	true	33
29	17	17	9	4010	3420	27360	0	0	-6.065647285986465	-6.065647285986465	-6.065647285986465	-6.065647285986465	-156.09618911797713,-156.09618911797713,-156.09618911797713,-156.09618911797713,-156.09618911797713,-156.09618911797713,-156.0653601591125,-6.065647285986465,-6.065647285986465	0.9952876130456717	-6.065647285986465	0	true	48
30	18	18	1	439	380	3040	0	0	-5.180605246579489	-5.180605246579489	-5.180605246579489	-5.180605246579489	-5.180605246579489	0.9952702129681755	-5.180605246579489	0	true	19
31	18	18	3	1326	1140	9120	0	0	-6.313307336415301	-6.313307336415301	-6.313307336415301	-6.313307336415301	-7.096029726224826,-6.313307336415301,-6.313307336415301	0.9948854007501045	-6.313307336415301	0	true	24
32	18	18	13	5720	4940	39520	0	0	-7.043206759286416	-7.043206759286416	-7.043206759286416	-7.043206759286416	-7.455751801647529,-7.455751801647529,-7.455751801647529,-7.455751801647529,-7.455751801647529,-7.455751801647529,-7.346638934727333,-7.346638934727333,-7.346638934727333,-7.346638934727333,-7.346638934727333,-7.043206759286416,-7.043206759286416	0.9947478816502295	-7.043206759286416	0	true	57
33	21	21	19	8797	7220	57760	0	0	-4.817089805166308	-4.817089805166308	-4.817089805166308	-4.817089805166308	-5.965567309846762,-5.965567309846762,-5.965567309846762,-5.169753034135802,-5.169753034135802,-5.169753034135802,-5.169753034135802,-5.169753034135802,-5.169753034135802,-5.169753034135802,-5.169753034135802,-5.169753034135802,-5.169753034135802,-5.169753034135802,-5.169753034135802,-5.169753034135802,-5.169753034135802,-4.817089805166308,-4.817089805166308	0.9937941673185605	-4.817089805166308	0	true	90
34	23	23	41	19639	15580	124640	0	0	-5.057604013612388	-5.057604013612388	-5.057604013612388	-5.057604013612388	-10.222796761456635,-10.222796761456635,-10.222796761456635,-7.4100237221486,-7.4100237221486,-7.4100237221486,-7.4100237221486,-7.4100237221486,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-6.597650378338268,-5.827654007043589,-5.827654007043589,-5.827654007043589,-5.827654007043589,-5.827654007043589,-5.827654007043589,-5.827654007043589,-5.827654007043589,-5.827654007043589,-5.827654007043589,-5.057604013612388,-5.057604013612388	0.9931903919404012	-5.057604013612388	0	true	182
35	23	23	1	477	380	3040	0	0	-3.6063951925365996	-3.6063951925365996	-3.6063951925365996	-3.6063951925365996	-3.6063951925365996	0.9931903919404012	-3.6063951925365996	0	true	17
36	25	25	17	8364	6460	51680	0	0	-3.8068868871310637	-3.8068868871310637	-3.8068868871310637	-3.8068868871310637	-5.453230486199526,-5.453230486199526,-5.453230486199526,-5.453230486199526,-5.453230486199526,-5.453230486199526,-5.453230486199526,-5.453230486199526,-4.626576706005547,-4.626576706005547,-4.626576706005547,-4.626576706005547,-4.626576706005547,-4.626576706005547,-4.626576706005547,-3.8068868871310637,-3.8068868871310637	0.9925715194361789	-3.8068868871310637	0	true	94
