# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 2
# run: 755d4b40-2b08-45ad-ba78-712dfcf9f429
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	82667	1144836	9158688	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9961066961054532	-Infinity	30	false	1925
26	15	15	100	82708	1134540	9076320	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	30	false	1273
27	15	15	100	82580	1108800	8870400	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	30	false	1365
28	16	16	100	83887	1058904	8471232	0	0	-Infinity	-Infinity	-57.64350853432158	-57.64350853432158	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9958381646573722	-Infinity	24	false	1431
29	16	16	100	83537	991584	7932672	0	0	-Infinity	-Infinity	-29.957341620767473	-29.957341620767473	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954268136656409	-Infinity	22	false	1010
30	18	18	100	80179	883080	7064640	0	0	55.369532573505076	55.86611215481447	90.3592769957264	90.3592769957264	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,11.031302296490871,11.031302296490871,23.13285731968505,23.13285731968505,23.13285731968505,23.13285731968505,29.03284603672921,28.431037906665008,36.79095641874278,38.04728525473594,35.931018537749665,35.931018537749665,35.931018537749665,35.931018537749665,35.931018537749665,35.931018537749665,35.931018537749665,35.931018537749665,37.70526763274201,38.66154227157736,38.66154227157736,38.82440621412505,38.21162181440342,38.21162181440342,38.21162181440342,40.48522496689461,40.48522496689461,40.48522496689461,40.48522496689461,40.48522496689461,40.48522496689461,40.48522496689461,40.48522496689461,40.48522496689461,40.48522496689461,40.48522496689461,40.48522496689461,40.48522496689461,40.48522496689461,40.48522496689461,40.48522496689461,40.811701383625596,40.811701383625596,42.31697603251907,39.67583192777079,39.67583192777079,39.67583192777079,43.52132416044533,43.52132416044533,43.52132416044533,46.6093529994684,46.98818063650475,46.98818063650475,46.98818063650475,46.98818063650475,51.2508281666728,55.86611215481447,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076,55.369532573505076	0.9952702129681755	55.86611215481447	18	false	916
31	18	18	100	80882	833580	6668640	0	0	61.7489625646505	61.7489625646505	91.79365698178022	91.79365698178022	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,49.622135136640054,49.622135136640054,49.622135136640054,49.622135136640054,49.622135136640054,49.622135136640054,49.622135136640054,49.622135136640054,49.622135136640054,49.622135136640054,49.622135136640054,49.622135136640054,49.622135136640054,53.55843135992454,53.55843135992454,53.55843135992454,53.55843135992454,53.55843135992454,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,58.34228743996961,58.34228743996961,58.34228743996961,58.34228743996961,58.34228743996961,58.34228743996961,58.34228743996961,58.34228743996961,58.34228743996961,58.34228743996961,58.34228743996961,58.34228743996961,58.34228743996961,58.34228743996961,58.34228743996961,58.34228743996961,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505,61.7489625646505	0.9952147228050682	61.7489625646505	18	false	1013
32	18	18	100	80578	822888	6583104	0	0	34.40588087425736	36.5111822321866	82.04892540239733	81.66162529591574	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,10.336177146850517,10.336177146850517,10.336177146850517,0.3463468370082978,0.3463468370082978,0.3463468370082978,0.3463468370082978,0.3463468370082978,0.3463468370082978,0.3463468370082978,0.3463468370082978,0.3463468370082978,0.3463468370082978,0.3463468370082978,0.3463468370082978,0.3463468370082978,0.3463468370082978,0.3463468370082978,2.2390099520157065,2.2390099520157065,2.2390099520157065,2.2390099520157065,2.2390099520157065,2.2390099520157065,2.2390099520157065,2.2390099520157065,2.2390099520157065,2.2390099520157065,2.2390099520157065,2.2390099520157065,2.2390099520157065,3.4763444406613075,3.4763444406613075,3.4763444406613075,3.4763444406613075,4.081726699320768,4.064480564930236,10.423756860141197,10.423756860141197,10.423756860141197,10.423756860141197,10.423756860141197,19.066145783516305,25.48491436499542,25.48491436499542,25.48491436499542,25.48491436499542,20.74573196044112,20.74573196044112,20.74573196044112,20.74573196044112,20.74573196044112,20.74573196044112,20.74573196044112,20.74573196044112,20.74573196044112,20.74573196044112,20.74573196044112,13.963158993207387,13.963158993207387,14.257748649383856,14.257748649383856,14.257748649383856,14.257748649383856,30.65649781231805,30.65649781231805,30.65649781231805,30.65649781231805,36.5111822321866,36.5111822321866,36.5111822321866,36.5111822321866,36.5111822321866,36.5111822321866,36.5111822321866,36.5111822321866,36.5111822321866,34.40588087425736,34.40588087425736,34.40588087425736,34.40588087425736,34.40588087425736,34.40588087425736,34.40588087425736,34.40588087425736,34.40588087425736,34.40588087425736,34.40588087425736,34.40588087425736,34.40588087425736	0.9948311168948906	36.5111822321866	21	false	937
33	19	19	100	81849	810216	6481728	0	0	28.47623565390836	28.517267858043823	77.13345569379186	76.96353716987318	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,1.419464053021585,1.419464053021585,1.419464053021585,1.419464053021585,1.419464053021585,1.419464053021585,1.419464053021585,1.419464053021585,-1.2295624006410009,-1.2295624006410009,-1.2295624006410009,-1.2295624006410009,-1.2295624006410009,-1.2295624006410009,-0.02208473653075771,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-10.183027727439566,-6.880290337232282,-4.11543199903965,-2.1034809874479166,-2.1034809874479166,-2.1034809874479166,-2.1034809874479166,-0.920857506434281,-0.920857506434281,7.305172742514273,10.585705428633602,11.097710082844962,11.097710082844962,11.097710082844962,11.097710082844962,11.097710082844962,11.097710082844962,11.097710082844962,11.097710082844962,17.308281757498712,23.128969064065586,23.128969064065586,23.128969064065586,23.128969064065586,23.128969064065586,23.128969064065586,23.128969064065586,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,26.56085090272964,28.517267858043823,28.47623565390836,28.47623565390836,28.47623565390836,28.47623565390836	0.9941695118474059	28.517267858043823	22	false	914
34	21	21	100	80861	778140	6225120	0	0	44.811048110008926	44.811048110008926	92.12057342574003	92.12057342574003	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,44.811048110008926,44.811048110008926,44.811048110008926,44.811048110008926,44.811048110008926,44.811048110008926,44.811048110008926,44.811048110008926,44.811048110008926,44.811048110008926,44.811048110008926,44.811048110008926,44.811048110008926	0.9937941673185605	44.811048110008926	20	true	1270
