# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 18
# run: 764930c4-365c-4a91-8166-1717faf42c7d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	12	12	100	53400	166320	1330560	0	0	-1165.5298315374616	-1165.5057451246919	-1163.5554623637322	-1165.3429725038097	-1180.0304899345288,-1180.0304899345288,-1180.0304899345288,-1176.7564741611293,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1169.4714557623306,-1167.4948807044414,-1167.4948807044414,-1167.4948807044414,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5057451246919,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616,-1165.5298315374616	0.9974600273429788	-1165.5057451246919	1	true	1256
26	13	13	100	53200	168300	1346400	0	0	-1159.5836826284492	-1159.5836826284492	-1159.5836826284492	-1159.5836826284492	-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.0029776369765,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1161.2730695750588,-1159.5836826284492	0.9973879413076377	-1159.5836826284492	0	true	535
27	14	14	100	51600	168300	1346400	0	0	-1158.170393866672	-1158.170393866672	-1158.170393866672	-1158.170393866672	-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672,-1158.170393866672	0.9968457241868389	-1158.170393866672	0	true	287
28	15	15	100	51400	170280	1362240	0	0	-1157.2472442199564	-1157.2472442199564	-1157.2472442199564	-1157.2472442199564	-1159.2308691913813,-1159.2308691913813,-1159.2308691913813,-1159.2308691913813,-1159.2308691913813,-1159.2308691913813,-1159.2308691913813,-1159.2308691913813,-1159.2308691913813,-1159.2308691913813,-1159.2308691913813,-1159.2308691913813,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564,-1157.2472442199564	0.9960270797844731	-1157.2472442199564	0	true	297
29	15	15	100	50000	168300	1346400	0	0	-1155.5812624029518	-1155.5812624029518	-1155.5812624029518	-1155.5812624029518	-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518,-1155.5812624029518	0.9960270797844731	-1155.5812624029518	0	true	213
30	15	15	100	49800	167310	1338480	0	0	-1155.131754116027	-1155.131754116027	-1155.131754116027	-1155.131754116027	-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027,-1155.131754116027	0.9960270797844731	-1155.131754116027	0	true	348
31	15	15	100	48000	163350	1306800	0	0	-1154.8708302160933	-1154.8708302160933	-1154.8708302160933	-1154.8708302160933	-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933,-1154.8708302160933	0.9960270797844731	-1154.8708302160933	0	true	182
32	15	15	100	47400	160380	1283040	0	0	-1156.4749289498595	-1156.4749289498595	-1156.4749289498595	-1156.4749289498595	-1166.6145317101207,-1166.6145317101207,-1162.5933504471136,-1162.6577817944426,-1162.6577817944426,-1162.6577817944426,-1162.6577817944426,-1162.6577817944426,-1162.6577817944426,-1162.6577817944426,-1162.6577817944426,-1161.4737339581714,-1161.4737339581714,-1161.4737339581714,-1161.4737339581714,-1161.4737339581714,-1161.4737339581714,-1161.4737339581714,-1161.4737339581714,-1161.4737339581714,-1161.4737339581714,-1158.268417570089,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1158.3528000862302,-1156.4749289498595,-1156.4749289498595,-1156.4749289498595,-1156.4749289498595,-1156.4749289498595,-1156.4749289498595,-1156.4749289498595,-1156.4749289498595,-1156.4749289498595,-1156.4749289498595,-1156.4749289498595,-1156.4749289498595,-1156.4749289498595,-1156.4749289498595,-1156.4749289498595,-1156.4749289498595	0.995615728792742	-1156.4749289498595	0	true	258
33	16	16	100	47596	162360	1298880	0	0	-1154.5183463671087	-1154.5183463671087	-1154.5183463671087	-1154.5183463671087	-1156.4989790033712,-1156.4989790033712,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087,-1154.5183463671087	0.9954268136656409	-1154.5183463671087	0	true	414
34	17	17	100	47584	164340	1314720	0	0	-1153.9892255679488	-1153.9892255679488	-1153.9892255679488	-1153.9892255679488	-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488,-1153.9892255679488	0.9954094135881447	-1153.9892255679488	0	true	180
