# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 22
# run: 7812a41f-0c70-48bb-9dd0-85bc4b2e8e86
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	81800	932976	7463808	0	0	-Infinity	-Infinity	-107.36337374865113	-107.36337374865113	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	23	true	1591
26	16	16	100	83800	951786	7614288	0	0	-448.05743682616134	-383.3006697362198	-31.963284716287134	20.235282145004717	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-983.3004389004913,-983.3004389004913,-983.3004389004913,-983.3004389004913,-983.3004389004913,-983.3004389004913,-983.3004389004913,-983.3004389004913,-983.3004389004913,-983.3004389004913,-983.3004389004913,-983.3004389004913,-983.3004389004913,-383.3006697362198,-383.3006697362198,-383.3006697362198,-585.5009954802684,-790.955199448372,-790.955199448372,-790.955199448372,-790.955199448372,-790.955199448372,-790.955199448372,-790.955199448372,-790.955199448372,-790.955199448372,-790.955199448372,-790.955199448372,-790.955199448372,-790.955199448372,-790.955199448372,-790.955199448372,-790.955199448372,-790.955199448372,-790.955199448372,-390.9555663894475,-390.9555663894475,-390.9555663894475,-390.9555663894475,-390.9555663894475,-390.9555663894475,-390.9555663894475,-390.9555663894475,-390.9555663894475,-390.9555663894475,-390.9555663894475,-390.9555663894475,-423.85584541854024,-431.5428499008862,-431.5428499008862,-431.5428499008862,-431.5428499008862,-448.05743682616134,-448.05743682616134,-448.05743682616134,-448.05743682616134,-448.05743682616134,-448.05743682616134,-448.05743682616134,-448.05743682616134,-448.05743682616134	0.9958381646573722	-383.3006697362198	17	true	1257
27	16	16	100	76000	926838	7414704	0	0	-Infinity	-Infinity	-70.60359648203949	-70.60359648203949	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954268136656409	-Infinity	21	true	1066
28	17	17	100	73201	916146	7329168	0	0	15.314800498597549	15.315106599472003	74.3945879030719	74.3945879030719	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,7.176957471106505,7.176957471106505,7.176957471106505,7.176957471106505,7.176957471106505,7.176957471106505,7.176957471106505,7.176957471106505,12.202940486972011,15.315106599472003,15.315106599472003,15.315106599472003,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,-384.68491217382723,15.314800498597549,15.314800498597549,15.314800498597549,15.314800498597549,15.314800498597549,15.314800498597549	0.9952876130456717	15.315106599472003	17	true	965
29	18	18	100	77400	886446	7091568	0	0	29.927270426116436	38.55879930731203	77.86836271556227	72.91922639467846	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,38.55879930731203,38.55879930731203,38.55879930731203,38.55879930731203,38.55879930731203,38.55879930731203,38.55879930731203,38.55879930731203,38.55879930731203,38.5586622094132,38.5586622094132,38.5586622094132,38.5586622094132,38.5586622094132,38.5586622094132,38.5586622094132,38.5586622094132,38.53643924556344,28.644241194413077,28.644241194413077,28.644241194413077,28.22143013049346,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,5.550422316427827,11.029040760125781,11.029040760125781,11.029040760125781,18.549758138924275,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,18.833905273667682,23.73525547864748,29.927270426116436,29.927270426116436,29.927270426116436,29.927270426116436,29.927270426116436,29.927270426116436	0.9952702129681755	38.55879930731203	15	true	983
30	18	18	100	74245	813582	6508656	0	0	32.56160050664765	38.9259554223199	73.77352514243385	73.61645648778233	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-106.88618700475455,-324.05439075488766,-432.9977540910043,-432.9977540910043,-432.9977540910043,-432.9977540910043,-432.9977540910043,-432.9977540910043,-432.9977540910043,-432.9977540910043,-432.9977540910043,-432.9977540910043,-432.9977540910043,-429.2928944374445,-429.2928944374445,-429.2928944374445,-429.2928944374445,-429.2928944374445,-429.2928944374445,-429.2928944374445,-429.2928944374445,-429.2928944374445,-429.2928944374445,-429.2928944374445,-315.56685240596335,4.2160765027532,10.158505068466116,10.158505068466116,10.158505068466116,10.158505068466116,11.439539537644325,11.439539537644325,11.439539537644325,8.650139527741505,8.650139527741505,4.548348984327625,4.548348984327625,28.675809613703652,38.9259554223199,37.73704170720741,37.73704170720741,37.73704170720741,37.73704170720741,32.56160050664765,32.56160050664765,32.56160050664765	0.9949686359947655	38.9259554223199	16	true	896
31	18	18	100	68061	741906	5935248	0	0	14.360109280132434	14.360109280132434	69.88797220428044	69.88797220428044	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,5.903254134963692,5.903254134963692,5.903254134963692,5.903254134963692,5.903254134963692,5.903254134963692,5.903254134963692,5.903254134963692,5.903254134963692,5.903254134963692,5.903254134963692,5.903254134963692,5.903254134963692,5.903254134963692,7.3961324062138445,7.3961324062138445,13.283039836054847,13.283039836054847,11.790161564804691,11.790161564804691,11.790161564804691,11.790161564804691,11.790161564804691,11.790161564804691,11.790161564804691,11.79008978426728,11.79008978426728,11.79008978426728,11.79008978426728,11.79008978426728,11.79008978426728,11.79008978426728,11.79008978426728,11.79008978426728,11.79008978426728,11.79008978426728,11.79008978426728,11.79008978426728,11.79008978426728,9.003620521486297,9.003620521486297,9.003620521486297,9.003620521486297,11.592632004148712,13.790938025404358,12.085555757629066,12.085555757629066,7.481717635205619,9.079340414657572,9.079340414657572,9.825151487523542,9.825151487523542,3.5607907676749946,-3.0541140119748746,-3.0541140119748746,-3.0541140119748746,-3.0541140119748746,-3.8978346438003726,-3.8978346438003726,-3.8978346438003726,-3.8978346438003726,-3.8978346438003726,-3.8978346438003726,13.516388648306922,13.516388648306922,13.516388648306922,13.516388648306922,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434,14.360109280132434	0.9947478816502295	14.360109280132434	21	true	684
32	21	21	100	71187	786060	6288480	0	0	11.643738325878637	29.724544144618164	76.90165346195326	77.9831290665782	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,9.71735689820175,9.717321564742484,9.717321564742484,9.717321564742484,9.717321564742484,9.717321564742484,9.717321564742484,9.717321564742484,9.717321564742484,9.717321564742484,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,9.717191906278167,14.554532292972574,17.376987838787826,17.376987838787826,17.376987838787826,17.376987838787826,23.499989852381276,29.238957591324805,29.238957591324805,29.238957591324805,29.238957591324805,29.724544144618164,29.724544144618164,29.724544144618164,29.724544144618164,29.724544144618164,29.724544144618164,28.55739705498556,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,6.932380742367453,11.743031213222604,4.834527214047197,4.834527214047197,10.213421295426828,11.643738325878637,11.643738325878637,11.643738325878637,11.643738325878637	0.9937941673185605	29.724544144618164	19	true	896
33	23	23	100	73078	799920	6399360	0	0	52.52593234551749	52.52593234551749	80.07226078777886	80.07226078777886	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,25.756298495916354,28.98055843214412,35.7659725513964,35.7659725513964,35.7659725513964,35.7659725513964,35.7659725513964,35.7659725513964,35.7659725513964,35.7659725513964,40.1051560075955,40.1051560075955,40.1051560075955,41.85761866825261,42.759460165801144,42.759460165801144,42.476981360889326,42.703590848344845,42.9266798456361,42.9266798456361,42.9266798456361,42.9266798456361,42.9266798456361,42.9266798456361,42.9266798456361,42.9266798456361,42.9266798456361,42.9266798456361,44.59543286597568,44.59543286597568,44.59543286597568,44.59543286597568,44.59543286597568,44.59543286597568,45.04691665923243,45.04691665923243,45.04691665923243,45.04691665923243,45.04691665923243,45.04691665923243,45.04691665923243,45.04691665923243,52.52593234551749,52.52593234551749	0.9931903919404012	52.52593234551749	15	true	819
34	23	23	100	73991	767052	6136416	0	0	56.24288227758392	56.24288227758392	80.93018130487215	80.93018130487215	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,39.29899699617972,39.29899699617972,39.29899699617972,39.29899699617972,39.29899699617972,39.29899699617972,34.035595672249094,34.035595672249094,34.035595672249094,34.035595672249094,34.035595672249094,34.035595672249094,34.035595672249094,34.035595672249094,34.035595672249094,37.00550398421711,37.00550398421711,37.00550398421711,37.00550398421711,37.00550398421711,37.00550398421711,37.00550398421711,37.00550398421711,37.00550398421711,42.994956965278405,42.994956965278405,42.994956965278405,42.994956965278405,42.994956965278405,42.994956965278405,42.994956965278405,42.994956965278405,42.994956965278405,43.52743623417285,43.52743623417285,43.52743623417285,43.52743623417285,43.52743623417285,43.52743623417285,43.79418404745452,44.06019425143228,44.06019425143228,44.06019425143228,44.06019425143228,44.06019425143228,44.06019425143228,44.06019425143228,44.45934481722753,44.45934481722753,44.45934481722753,45.53856439385882,46.06093306672267,46.06093306672267,45.62209207178164,45.62209207178164,45.62209207178164,50.88549339571226,50.88549339571226,50.88549339571226,50.88549339571226,50.88549339571226,50.88549339571226,50.88549339571226,54.959193679611985,54.959193679611985,54.959193679611985,54.959193679611985,56.24288227758392,56.24288227758392,56.24288227758392,56.24288227758392,56.24288227758392,56.24288227758392,56.24288227758392,56.24288227758392,56.24288227758392,56.24288227758392,56.24288227758392,56.24288227758392,56.24288227758392,56.24288227758392,56.24288227758392	0.9930914746931229	56.24288227758392	15	true	870
