# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 6
# run: 78180e12-b3d3-4c88-ae81-1b323ed8503a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	84400	331848	2654784	0	0	-381.88299248466905	-381.88299248466905	-30.069988893388533	-30.069988893388533	-1171.1473027006389,-1171.1473027006389,-1171.1473027006389,-971.1477306932655,-971.1477750152156,-971.1477750152156,-972.4581090620522,-976.5268029735852,-976.5269361453077,-976.5269361453077,-976.5269361453077,-676.5269743425878,-676.676692148081,-676.676692148081,-676.676692148081,-676.676692148081,-676.676692148081,-676.676692148081,-676.676692148081,-676.676692148081,-676.676692148081,-676.676692148081,-676.676692148081,-676.676692148081,-676.676692148081,-676.676692148081,-676.676692148081,-676.676692148081,-976.6768131539346,-976.6768131539346,-976.6768131539346,-976.6768131539346,-976.6768131539346,-976.6768131539346,-976.6768131539346,-976.6768131539346,-976.6768131539346,-976.6768131539346,-976.6768131539346,-976.6768131539346,-976.6768131539346,-976.6768131539346,-976.6768131539346,-976.6768131539346,-976.6768131539346,-976.6768131539346,-676.6768836683839,-676.6768836683839,-676.6768836683839,-676.6768836683839,-676.6768836683839,-676.6768836683839,-676.6768836683839,-676.6768836683839,-676.6768836683839,-676.6768836683839,-676.6768836683839,-676.6768836683839,-676.6768836683839,-779.6275258503651,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-885.091141421715,-875.3899588789635,-870.1051201515411,-870.1051201515411,-870.9790593534956,-870.9790593534956,-870.9790593534956,-870.9790593534956,-870.9790593534956,-771.9253439098882,-676.1707422252642,-686.189832716921,-581.1997128618527,-381.88299248466905,-381.88299248466905,-381.88299248466905,-381.88299248466905,-381.88299248466905,-381.88299248466905	0.9959945094713449	-381.88299248466905	5	true	893
26	16	16	100	82000	341352	2730816	0	0	-377.74299843477723	-377.74299843477723	-26.27787296334963	-26.27787296334963	-1167.1885835831117,-1167.1885835831117,-1167.1885835831117,-667.1889206978442,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-667.188985044,-765.7469707511985,-767.7569915638364,-767.7569915638364,-667.199005856638,-667.199005856638,-667.199005856638,-665.9815767098637,-472.7564880254414,-472.7564880254414,-472.7564880254414,-472.7564880254414,-472.7564880254414,-472.7564880254414,-377.74299843477723,-377.74299843477723,-377.74299843477723,-377.74299843477723,-377.74299843477723,-377.74299843477723,-377.74299843477723,-377.74299843477723,-377.74299843477723,-377.74299843477723	0.995805594344244	-377.74299843477723	5	true	338
27	17	17	100	81800	352044	2816352	0	0	-376.68345430707893	-376.68345430707893	-25.189260881695734	-25.189260881695734	-1166.0720705424064,-1166.0720705424064,-1166.0720705424064,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.0723143472513,-666.081926752663,-666.081926752663,-467.5790780638202,-471.69824942299095,-471.69824942299095,-471.69824942299095,-471.69824942299095,-471.69824942299095,-376.68345430707893,-376.68345430707893,-376.68345430707893,-376.68345430707893,-376.68345430707893,-376.68345430707893,-376.68345430707893,-376.68345430707893,-376.68345430707893,-376.68345430707893,-376.68345430707893	0.9954564961507815	-376.68345430707893	5	true	285
28	18	18	100	84200	362736	2901888	0	0	-Infinity	-515.209160868003	-Infinity	-10.50636680926824	-667.12855947038,-667.12855947038,-667.12855947038,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-667.1288616508659,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1289660008752,-617.1293026754024,-617.1293026754024,-617.1293026754024,-617.1293026754024,-617.1293026754024,-617.1293026754024,-617.1293026754024,-617.1293026754024,-617.1293026754024,-617.1293026754024,-617.1293026754024,-617.1293026754024,-617.1293026754024,-617.1293026754024,-617.1293026754024,-617.1293026754024,-617.1293026754024,-615.2085680624874,-615.2085680624874,-615.2085680624874,-615.2085680624874,-615.2085680624874,-615.2085680624874,-615.2085680624874,-615.2085680624874,-515.209160868003,-515.209160868003,-515.209160868003,-515.209160868003,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952702129681755	-515.209160868003	3	true	330
29	18	18	100	84200	362736	2901888	0	0	-Infinity	-124.79656986127313	-Infinity	-59.52332736213376	-671.8408698683057,-671.8408698683057,-671.8408698683057,-671.8409956309994,-371.84101970447966,-371.84134310874225,-371.84134310874225,-371.84134310874225,-371.84134310874225,-671.8414144846952,-671.8414144846952,-671.8414144846952,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-676.6021429716519,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.6022009899983,-626.602376118999,-626.602376118999,-626.602376118999,-626.602376118999,-626.602376118999,-626.602376118999,-626.602376118999,-626.602376118999,-626.6025886266805,-626.6025886266805,-626.6025886266805,-626.6025886266805,-626.6025886266805,-626.6025886266805,-626.602376118999,-626.602376118999,-624.7872981664007,-324.78722721410224,-324.78722721410224,-324.78722721410224,-324.78722721410224,-324.78722721410224,-324.78722721410224,-324.78722721410224,-324.78722721410224,-324.78722721410224,-324.7962427630991,-324.7962427630991,-324.7962427630991,-324.7962427630991,-324.7962427630991,-324.7962427630991,-224.79670308322264,-224.79670308322264,-124.79656986127313,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9947478816502295	-124.79656986127313	5	true	306
30	18	18	100	84200	362340	2898720	0	0	-271.91661548106146	-271.91661548106146	-10.483496840807002	-10.483496840807002	-674.9018184324558,-674.9018184324558,-674.9018184324558,-674.9018424976368,-674.9018424976368,-674.9018424976368,-674.9018424976368,-674.9018424976368,-674.9018424976368,-674.9018424976368,-674.9018424976368,-574.9019101366385,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-574.9021509476885,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-274.9020398040734,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146,-271.91661548106146	0.9947478816502295	-271.91661548106146	5	true	352
31	22	22	100	85600	386100	3088800	0	0	-267.03604830419584	-169.90031053280302	-9.43387714148551	-8.163391001160626	-669.9001138163773,-669.9001138163773,-669.9001138163773,-269.90025434486705,-169.90031053280302,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-274.5311792847683,-380.59907978167126,-380.59907978167126,-380.59907978167126,-380.59907978167126,-380.59907978167126,-380.59907978167126,-380.59907978167126,-380.59907978167126,-380.59907978167126,-380.59907978167126,-380.59907978167126,-380.5991754863718,-380.5991754863718,-380.5991754863718,-380.5991754863718,-380.5991754863718,-380.5991754863718,-380.5991754863718,-380.5991754863718,-274.53124535705444,-274.53124535705444,-274.53124535705444,-274.53124535705444,-274.53124535705444,-274.53124535705444,-274.53124535705444,-274.53124535705444,-274.53124535705444,-274.53124535705444,-274.53124535705444,-274.53124535705444,-274.53124535705444,-271.269169174607,-271.269169174607,-271.269169174607,-271.269169174607,-271.269169174607,-271.269169174607,-271.269169174607,-271.269169174607,-271.269169174607,-271.269169174607,-271.269169174607,-271.64668603117843,-271.64668603117843,-271.64668603117843,-271.64668603117843,-267.03604830419584,-267.03604830419584,-267.03604830419584,-267.03604830419584,-267.03604830419584,-267.03604830419584,-267.03604830419584,-267.03604830419584,-267.03604830419584,-267.03604830419584,-267.03604830419584,-267.03604830419584,-267.03604830419584,-267.03604830419584	0.993745695674107	-169.90031053280302	5	true	358
32	23	23	100	86200	394812	3158496	0	0	-70.41783689521611	27.580605544126506	41.75548053157734	41.569478576998605	-172.41930135632828,-172.41930135632828,-172.41930135632828,-72.41935558468792,27.580605544126506,27.580605544126506,27.580605544126506,27.580605544126506,27.580605544126506,27.580605544126506,27.580605544126506,27.580605544126506,27.580605544126506,27.580605544126506,27.580605544126506,27.580605544126506,27.580605544126506,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580605544126506,27.580605544126506,27.580605544126506,27.580605544126506,27.580605544126506,27.580605544126506,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,27.580451804556212,26.394926751391687,26.394926751391687,-70.41783689521611,-70.41783689521611,-70.41783689521611	0.9931903919404012	27.580605544126506	6	true	363
33	24	24	100	81400	401544	3212352	0	0	-Infinity	30.55476170110881	24.89835471576056	41.09799497834143	-80.14046459537803,-80.14046459537803,-80.14046459537803,19.859512776244998,19.859512776244998,19.859161442248016,19.859161442248016,19.85878258761933,19.85878258761933,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,19.85868647046538,-369.48231000472504,-470.2650353737887,-470.2650353737887,-470.2650353737887,-470.2650353737887,-470.2650353737887,-470.2650353737887,-470.2650353737887,-470.2650353737887,-470.2650353737887,-470.2650353737887,-470.2650353737887,-469.80214215240085,-469.80214215240085,-469.80214215240085,-469.80214215240085,-469.80214215240085,-469.80214215240085,-469.80214215240085,-469.8023437904546,-469.8023437904546,-469.8023437904546,-469.8023437904546,-469.8023437904546,-469.8023437904546,-469.8023437904546,-469.8023437904546,-469.8023437904546,-369.87178714819106,-369.87178714819106,-369.87178714819106,-271.62333547038236,-271.62333547038236,-271.62333547038236,-271.62333547038236,-271.55379599549184,-271.55379599549184,-271.55379599549184,-271.55379599549184,-271.55379599549184,-271.55379599549184,-271.55379599549184,-271.55379599549184,-271.55379599549184,-271.55379599549184,-271.55379599549184,-271.55379599549184,-271.55379599549184,-271.55379599549184,-271.55379599549184,-271.55379599549184,-271.55377069462196,-271.55377069462196,-Infinity,-271.69463813390917,-271.69463813390917,-271.69463813390917,-271.69463813390917,-267.0878112799415,-269.45854838107266,-170.158805964494,30.55476170110881,30.55476170110881,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9929675539731397	30.55476170110881	3	true	427
34	26	26	100	85800	422136	3377088	0	0	-Infinity	38.0547836833796	29.46746385519733	42.05132172087859	-80.39932831280312,-80.39932831280312,-80.39932831280312,19.60061433768081,19.60061433768081,19.600330524291564,19.600330524291564,19.600241935082266,19.600241935082266,19.600241935082266,19.600241935082266,19.600241935082266,19.600241935082266,19.600241935082266,19.600241935082266,19.600241935082266,19.600241935082266,19.59988511239019,19.59988511239019,19.59988511239019,19.59988511239019,19.59988511239019,19.59988511239019,19.59988511239019,19.59988511239019,19.59988511239019,19.59988511239019,19.59988511239019,19.59988511239019,19.59988511239019,19.59988511239019,19.59988511239019,-171.06182330313936,-467.64087020701464,-467.64087020701464,-467.64087020701464,-467.64087020701464,-467.64087020701464,-467.64087020701464,-467.64087020701464,-467.64087020701464,-467.64087020701464,-467.64087020701464,-467.64087020701464,-467.64087020701464,-467.64087020701464,-467.64087020701464,-468.9551581259419,-468.9551581259419,-468.9551581259419,-468.9551581259419,-468.9553489247605,-468.9553489247605,-468.9553489247605,-468.9553489247605,-468.9553489247605,-468.9553489247605,-468.9553489247605,-468.9553489247605,-468.9553489247605,-268.95519925700813,-268.95519925700813,-268.95519925700813,-268.95519925700813,-268.95519925700813,-268.95519925700813,-268.95519925700813,-268.9806966065668,-272.28637700086716,-272.28637700086716,-272.28637700086716,-272.28637700086716,-272.28637700086716,-272.28637700086716,-272.28637700086716,-272.28637700086716,-272.28637700086716,-272.28637700086716,-272.28637700086716,-272.28637700086716,-272.28637700086716,-269.02689979159027,-269.0268040286962,-269.0268040286962,-269.0268040286962,-Infinity,-Infinity,-269.0264609574892,-269.0264609574892,-269.0264609574892,-269.0264609574892,-169.45335457570542,31.58412949009864,38.0547836833796,29.46786306336017,29.46786306336017,29.46786306336017,29.46786306336017,-Infinity,-Infinity	0.9923350099794561	38.0547836833796	1	true	365
