# solver: Greedy
# max_time: 300000
# main_solver: Greedy
# random.seed: 28
# run: 785bde24-38a8-43f3-95d7-772fc64e19d2
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	0	0	0	0	0	-1367.1287808563825	-1367.1287808563825	-1165.0212327636598	-1165.0212327636598	-1367.1287808563825	0.9961066961054532	-1367.1287808563825	2	true	98
26	15	15	1	0	0	0	0	0	-1362.4806754314632	-1362.4806754314632	-1161.4640811935005	-1161.4640811935005	-1362.4806754314632	0.9960270797844731	-1362.4806754314632	2	true	20
27	15	15	1	0	0	0	0	0	-1361.2526213515496	-1361.2526213515496	-1160.1181062867038	-1160.1181062867038	-1361.2526213515496	0.9960270797844731	-1361.2526213515496	2	true	9
28	16	16	1	0	0	0	0	0	-1362.7543437498232	-1362.7543437498232	-1158.9577662480413	-1158.9577662480413	-1362.7543437498232	0.995805594344244	-1362.7543437498232	3	true	8
29	16	16	1	0	0	0	0	0	-1411.203651844232	-1411.203651844232	-1157.7855935305881	-1157.7855935305881	-1411.203651844232	0.9954268136656409	-1411.203651844232	3	true	9
30	17	17	1	0	0	0	0	0	-1410.739794378896	-1410.739794378896	-1156.2776228963387	-1156.2776228963387	-1410.739794378896	0.9952876130456717	-1410.739794378896	3	true	9
31	18	17	1	0	0	0	0	0	-1364.6476938058593	-1364.6476938058593	-1157.8506006038149	-1157.8506006038149	-1364.6476938058593	0.9952647297504772	-1364.6476938058593	4	true	9
32	18	17	1	0	0	0	0	0	-1363.6159944457352	-1363.6159944457352	-1157.1005832214983	-1157.1005832214983	-1363.6159944457352	0.9950186429401746	-1363.6159944457352	4	true	9
33	18	18	1	0	0	0	0	0	-1268.230718016564	-1268.230718016564	-1157.094864942388	-1157.094864942388	-1268.230718016564	0.9945946805477371	-1268.230718016564	5	true	12
34	21	21	1	0	0	0	0	0	-1326.037102376115	-1326.037102376115	-1157.193081174775	-1157.193081174775	-1326.037102376115	0.993575679370673	-1326.037102376115	7	true	9
35	22	22	1	0	0	0	0	0	-1324.5628444485278	-1324.5628444485278	-1156.2596298267263	-1156.2596298267263	-1324.5628444485278	0.9933979500076767	-1324.5628444485278	7	true	8
36	22	22	1	0	0	0	0	0	-1324.5632295114567	-1324.5632295114567	-1056.5380363349273	-1056.5380363349273	-1324.5632295114567	0.9932990327603982	-1324.5632295114567	7	true	8
37	23	23	1	0	0	0	0	0	-1234.9830357266999	-1234.9830357266999	-1057.754391289535	-1057.754391289535	-1234.9830357266999	0.9927866808986627	-1234.9830357266999	9	true	7
38	26	26	1	0	0	0	0	0	-1184.0835898902312	-1184.0835898902312	-1055.981622233362	-1055.981622233362	-1184.0835898902312	0.9920521490557898	-1184.0835898902312	9	true	7
39	28	28	1	0	0	0	0	0	-1081.2158169445922	-1081.2158169445922	-1056.9819093707415	-1056.9819093707415	-1081.2158169445922	0.9911454807319727	-1081.2158169445922	8	true	8
40	30	29	1	0	0	0	0	0	-1180.7636854513041	-1180.7636854513041	-1057.1378262334256	-1057.1378262334256	-1180.7636854513041	0.9910219986694057	-1180.7636854513041	8	true	8
41	30	29	1	0	0	0	0	0	-1179.8475611936124	-1179.8475611936124	-1056.5214074146693	-1056.5214074146693	-1179.8475611936124	0.9910219986694057	-1179.8475611936124	8	true	7
42	31	30	1	0	0	0	0	0	-1078.626048719132	-1078.626048719132	-460.49662056224105	-460.49662056224105	-1078.626048719132	0.9905332611985581	-1078.626048719132	7	true	7
43	31	29	1	0	0	0	0	0	-1083.349999450612	-1083.349999450612	-460.4222252521789	-460.4222252521789	-1083.349999450612	0.9905701084214912	-1083.349999450612	9	true	8
44	33	31	1	0	0	0	0	0	-1082.49225407646	-1082.49225407646	-459.4440567393264	-459.4440567393264	-1082.49225407646	0.9904619793684796	-1082.49225407646	9	true	7
45	34	32	1	0	0	0	0	0	-1082.2912786911224	-1082.2912786911224	-459.47899583123046	-459.47899583123046	-1082.2912786911224	0.9900931050365182	-1082.2912786911224	9	true	7
46	38	37	1	0	0	0	0	0	-1074.0017543275262	-1074.0017543275262	-459.0304563605526	-459.0304563605526	-1074.0017543275262	0.9889517915499958	-1074.0017543275262	7	true	12
47	41	40	1	0	0	0	0	0	-1071.783309419971	-1071.783309419971	-458.84922036109896	-458.84922036109896	-1071.783309419971	0.9883930882213172	-1071.783309419971	6	true	8
48	43	41	1	0	0	0	0	0	-Infinity	-Infinity	-1071.937711769684	-1071.937711769684	-Infinity	0.9879006221624345	-Infinity	6	true	4
49	45	42	1	0	0	0	0	0	-Infinity	-Infinity	-1080.8886073836052	-1080.8886073836052	-Infinity	0.9870623843954931	-Infinity	8	true	5
50	46	42	1	0	0	0	0	0	-Infinity	-Infinity	-1488.0519136041073	-1488.0519136041073	-Infinity	0.9869350275257526	-Infinity	9	true	3
51	48	45	1	0	0	0	0	0	-Infinity	-Infinity	-1485.885017575636	-1485.885017575636	-Infinity	0.9858538101052043	-Infinity	9	true	4
52	49	45	1	0	0	0	0	0	-Infinity	-Infinity	-1089.5747517810082	-1089.5747517810082	-Infinity	0.9853028198360883	-Infinity	9	true	4
53	49	45	1	0	0	0	0	0	-Infinity	-Infinity	-1138.3817260497672	-1138.3817260497672	-Infinity	0.9851824083754321	-Infinity	9	true	3
54	53	49	1	0	0	0	0	0	-Infinity	-Infinity	-1138.145540137093	-1138.145540137093	-Infinity	0.984606231859688	-Infinity	9	true	4
55	54	49	1	0	0	0	0	0	-Infinity	-Infinity	-1138.2037980550267	-1138.2037980550267	-Infinity	0.9841159590878847	-Infinity	9	true	3
56	56	50	1	0	0	0	0	0	-Infinity	-Infinity	-1102.750885075905	-1102.750885075905	-Infinity	0.9837101644234211	-Infinity	11	true	5
57	58	53	1	0	0	0	0	0	-Infinity	-Infinity	-1101.7439410802967	-1101.7439410802967	-Infinity	0.9827898977197125	-Infinity	11	true	4
58	60	54	1	0	0	0	0	0	-Infinity	-Infinity	-1104.1984887876326	-1104.1984887876326	-Infinity	0.9820450939823513	-Infinity	11	true	4
59	60	57	1	0	0	0	0	0	-Infinity	-Infinity	-1077.3382453747854	-1077.3382453747854	-Infinity	0.9817518514998428	-Infinity	7	true	4
60	61	57	1	0	0	0	0	0	-1083.3663330688819	-1083.3663330688819	-460.1311119933546	-460.1311119933546	-1083.3663330688819	0.9810593211045395	-1083.3663330688819	9	true	10
61	63	58	1	0	0	0	0	0	-1085.9262251230648	-1085.9262251230648	-459.3793004701182	-459.3793004701182	-1085.9262251230648	0.9802811062940029	-1085.9262251230648	9	true	13
62	64	57	1	0	0	0	0	0	-Infinity	-Infinity	-1096.1408218561592	-1096.1408218561592	-Infinity	0.9792011682909177	-Infinity	10	true	4
63	69	64	1	0	0	0	0	0	-Infinity	-Infinity	-1077.081419521912	-1077.081419521912	-Infinity	0.9754539007610709	-Infinity	8	true	4
64	70	64	1	0	0	0	0	0	-Infinity	-Infinity	-988.9725164862105	-988.9725164862105	-Infinity	0.9748411329058865	-Infinity	9	true	4
