# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 12
# run: 7b2799de-78e3-4c76-bc50-d7ec32f33a66
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	75000	732996	5863968	0	0	-333.88281879388046	-333.88281879388046	0.8072564443836314	0.8072564443836314	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-333.88281879388046,-333.88281879388046	0.9963744964578416	-333.88281879388046	18	true	1125
26	15	15	100	71400	729828	5838624	0	0	-326.3670029113831	-326.366688536468	5.324207359407814	5.324207359407814	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1172.4112958550274,-1172.4112958550274,-1172.4112958550274,-1172.4112958550274,-1172.4115610985461,-1172.4115610985461,-1172.4115610985461,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4117549707552,-872.4120097529097,-872.4120097529097,-872.4120097529097,-872.4120097529097,-872.4120097529097,-872.4120097529097,-872.4120097529097,-872.4120097529097,-872.4120097529097,-872.4120097529097,-872.4120097529097,-873.2888056607543,-875.1671390537377,-878.1667327345235,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-878.1669305039593,-778.8977887787754,-492.8620383796866,-510.9826053048589,-510.9826053048589,-510.9826053048589,-510.9826053048589,-418.51832336755535,-326.366688536468,-326.3670029113831,-326.3670029113831,-326.3670029113831,-326.3670029113831,-326.3670029113831,-326.3670029113831,-326.3670029113831	0.9960270797844731	-326.366688536468	18	true	741
27	15	15	100	73800	723492	5787936	0	0	-324.07979556520615	-324.07979556520615	7.928078292994849	7.928078292994849	-Infinity,-Infinity,-Infinity,-Infinity,-1770.3491251588757,-1170.3491496181973,-1170.3491496181973,-1170.3491496181973,-1170.3493614262215,-1170.349379691485,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-870.3494611834607,-871.069563376983,-875.6876602881267,-875.6876602881267,-875.6876602881267,-875.6876602881267,-875.6876602881267,-875.6876602881267,-875.6876602881267,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1475.6876983389716,-1090.385865487899,-1090.385865487899,-1090.385865487899,-508.6961349616173,-508.6961349616173,-508.6961349616173,-324.07979556520615,-324.07979556520615,-324.07979556520615,-324.07979556520615,-324.07979556520615,-324.07979556520615,-324.07979556520615,-324.07979556520615,-324.07979556520615	0.9960270797844731	-324.07979556520615	18	true	660
28	16	16	100	78800	739332	5914656	0	0	-22.201095948710893	14.655081422051168	62.82989491263596	65.28919315035218	-Infinity,-Infinity,-Infinity,-880.1966319184775,-880.1966319184775,-880.196751885122,-880.196751885122,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.1968236792957,-580.7379170083165,-580.7379170083165,-585.1233101435446,-585.1233101435446,-585.1233101435446,-585.1233101435446,-585.1233101435446,-585.1233101435446,-585.1233101435446,-585.1233101435446,-585.1233101435446,-585.1233101435446,-585.1233101435446,-585.1233101435446,-585.1233101435446,-585.1233101435446,-585.1233101435446,-585.1233101435446,-585.1233101435446,-580.0404746437415,-580.0404746437415,-573.5569566692172,-573.5569566692172,-585.3443255464177,-585.3443255464177,-585.3443255464177,-585.3443255464177,-585.3443255464177,-585.3443255464177,-585.3443255464177,-585.3443255464177,-585.3443255464177,-585.3443255464177,-585.3443255464177,-585.3443255464177,14.655081422051168,14.655081422051168,14.655081422051168,11.66401244090892,11.66401244090892,11.66401244090892,11.66401244090892,0.3909110925963475,-14.352684432202267,-22.201095948710893,-22.201095948710893,-22.201095948710893,-22.201095948710893,-22.201095948710893,-22.201095948710893,-22.201095948710893,-22.201095948710893	0.995805594344244	14.655081422051168	14	true	633
29	16	16	100	76800	711612	5692896	0	0	-581.5698639914622	25.0149620832132	57.346907367540744	63.301894581071814	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,25.0149620832132,25.0149620832132,25.0149620832132,25.0149620832132,25.0149620832132,25.0149620832132,25.0149620832132,25.0149620832132,25.0149620832132,25.0149620832132,25.0149620832132,25.0149620832132,25.0149620832132,14.579546046589641,14.579546046589641,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,3.1397381506562425,10.002915525880383,11.480505523847597,11.480505523847597,15.42980517261769,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,18.430438185606064,-581.5698639914622,-581.5698639914622,-581.5698639914622,-581.5698639914622,-581.5698639914622,-581.5698639914622,-581.5698639914622,-581.5698639914622,-581.5698639914622	0.9955956967707507	25.0149620832132	13	true	653
30	17	17	100	72200	712008	5696064	0	0	37.54436271904562	38.59048254683074	66.58418353543104	65.93706795636801	-Infinity,-Infinity,-Infinity,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59048254683074,38.59032529904589,38.59032529904589,38.59032529904589,38.59032529904589,38.59032529904589,38.59032529904589,38.59032529904589,38.59032529904589,38.59032529904589,38.59032529904589,38.59032529904589,38.59032529904589,38.59032529904589,38.59032529904589,38.59032529904589,38.59032529904589,38.59032529904589,38.59032529904589,28.93416659176041,28.93416659176041,28.93416659176041,28.93416659176041,28.93416659176041,28.93416659176041,28.93416659176041,28.93416659176041,28.93416659176041,28.93416659176041,26.14600568778239,26.6398141771827,24.414907968242126,18.783098510381933,15.184295362988465,12.917562453980565,8.984330909587662,2.7008153780119386,2.7008153780119386,2.7008153780119386,2.7008153780119386,2.7008153780119386,2.7008153780119386,2.7008153780119386,2.7008153780119386,2.7008153780119386,2.7008153780119386,2.7008153780119386,2.7008153780119386,2.7008153780119386,2.7008153780119386,2.7008153780119386,2.7008153780119386,2.7008153780119386,9.600934020485013,11.581524415251593,11.581524415251593,11.581524415251593,11.581524415251593,11.581524415251593,11.581524415251593,15.597607443999415,15.597607443999415,18.958109369469994,19.5421699621173,19.5421699621173,19.5421699621173,19.5421699621173,19.5421699621173,19.5421699621173,19.5421699621173,19.5421699621173,19.5421699621173,19.5421699621173,19.5421699621173,31.999598166946143,37.54436271904562	0.9952876130456717	38.59048254683074	11	true	557
31	18	18	100	72000	665676	5325408	0	0	27.479516156559953	49.303913452141245	70.2876024091015	68.47158335959242	-Infinity,-Infinity,42.99084875931841,42.99084875931841,42.99084875931841,42.99084875931841,42.99084875931841,42.99084875931841,49.303913452141245,47.14392895945856,47.14392895945856,47.14392895945856,47.14392895945856,47.14392895945856,47.14392895945856,44.740012021255595,39.70611222428895,34.14900179893096,34.14900179893096,34.14900179893096,34.14900179893096,34.14900179893096,34.14900179893096,34.14900179893096,34.14900179893096,34.14900179893096,34.14900179893096,34.14900179893096,34.14900179893096,34.14900179893096,34.14900179893096,34.14900179893096,34.14900179893096,34.14885373536041,34.14885373536041,34.14885373536041,34.14885373536041,34.14885373536041,34.14885373536041,34.14885373536041,34.14855017437679,34.14855017437679,34.14855017437679,34.14855017437679,18.810865807563935,18.810865807563935,18.810865807563935,4.9674808931442485,4.9674808931442485,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0523611458359312,1.0522968332738856,1.0522968332738856,7.130752750898523,12.700098289779966,12.700098289779966,12.700098289779966,12.700098289779966,12.700098289779966,12.700098289779966,15.592776618854217,15.21008244300181,11.386191515130136,11.386191515130136,11.386191515130136,11.386191515130136,15.301311262438468,15.301311262438468,15.301311262438468,15.301311262438468,15.301311262438468,18.543551327702204,19.013628237457468,19.013628237457468,19.013628237457468,19.013628237457468,19.013628237457468,23.60142080909148,27.603335392915795,28.852524559346506,28.852524559346506,30.773517390685925,30.773517390685925,27.479516156559953	0.9952702129681755	49.303913452141245	9	true	506
32	18	18	100	68000	620532	4964256	0	0	33.35536938356824	48.07003487234033	67.10044414599928	67.43606125486805	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,24.55943379796645,24.55943379796645,24.55943379796645,24.55943379796645,24.55943379796645,24.55943379796645,24.55943379796645,24.55943379796645,24.55943379796645,24.55943379796645,24.55943379796645,24.55943379796645,22.987878603985322,20.412242049463664,16.700662286436014,16.700662286436014,16.700662286436014,16.700662286436014,16.700662286436014,16.700662286436014,16.700662286436014,16.700662286436014,16.700662286436014,16.700662286436014,16.700662286436014,16.700662286436014,16.700662286436014,11.165303391793218,11.165303391793218,11.165303391793218,11.165303391793218,11.165303391793218,11.165303391793218,11.165303391793218,-0.9164722400769403,-8.400440040716871,-8.400440040716871,-8.400440040716871,-8.400440040716871,-8.400440040716871,-23.004719164049817,-31.722071471844288,-31.722071471844288,-31.722071471844288,-31.722071471844288,-31.722071471844288,-40.87098241864254,-50.24874413678074,-50.24874413678074,-50.24874413678074,-50.24874413678074,-50.24874413678074,-50.24874413678074,-50.24874413678074,-50.24874413678074,-50.24874413678074,-50.24874413678074,-50.24874413678074,-40.710263419627864,-40.710263419627864,-40.710263419627864,-40.710263419627864,-27.29090846191645,-20.362654596804866,-15.967207814313113,-15.967207814313113,-6.247203723814245,-2.77406740277074,-2.77406740277074,4.954631247871838,12.349578846045404,17.418960321692865,22.00106078582806,27.23514991900241,27.23514991900241,27.23514991900241,27.23514991900241,27.23514991900241,27.23514991900241,29.20507448058696,44.46856393782936,48.07003487234033,48.07003487234033,48.07003487234033,48.07003487234033,39.398308111847015,33.473469778055964,33.473469778055964,33.35536938356824	0.9949686359947655	48.07003487234033	10	true	468
33	18	18	100	67200	600732	4805856	0	0	49.73011596490514	49.73011596490514	65.46687793512011	65.46687793512011	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,11.246130024306957,10.405853950068634,10.405853950068634,10.405853950068634,10.405853950068634,10.405853950068634,4.895219856586264,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,0.6008176611454861,4.771324904436971,4.771324904436971,4.771324904436971,8.973691889542181,8.973691889542181,8.973691889542181,34.870934845052005,34.870934845052005,37.10182606896997,37.10182606896997,41.460671617376065,42.247129367891716,42.247129367891716,42.247129367891716,42.247129367891716,42.247129367891716,42.247129367891716,42.247129367891716,42.247129367891716,42.247129367891716,42.247129367891716,42.247129367891716,42.247129367891716,42.247129367891716,46.0512847741223,49.73011596490514	0.9947478816502295	49.73011596490514	10	true	450
34	22	22	100	62800	615384	4923072	0	0	56.56472703548317	56.56472703548317	72.85714425470299	72.85714425470299	-Infinity,-Infinity,34.09370786114043,34.09370428480696,34.09364696327583,34.09364696327583,34.09364696327583,34.09364696327583,34.09364696327583,34.09364696327583,34.09364696327583,34.09364696327583,34.09364696327583,34.09364696327583,34.09364696327583,34.09364696327583,34.09364696327583,35.4142670844341,35.4142670844341,34.062584489777734,34.062584489777734,42.566083255636585,42.566083255636585,42.566083255636585,43.75608215004014,43.75608215004014,43.75608215004014,43.75608215004014,43.75608215004014,43.75608215004014,43.75608215004014,43.75608215004014,45.739085308626315,45.739085308626315,45.739085308626315,45.739085308626315,45.739085308626315,45.739085308626315,45.739085308626315,45.739085308626315,45.739085308626315,45.739085308626315,45.739085308626315,45.739085308626315,45.739085308626315,45.739085308626315,50.13295997236866,50.13295997236866,50.13275971692433,50.13275971692433,50.13275971692433,51.921828510811764,51.921630054808816,51.921630054808816,51.921630054808816,51.921630054808816,51.921630054808816,51.921630054808816,51.921630054808816,51.921630054808816,51.921630054808816,51.921630054808816,51.92396495056185,51.92396495056185,50.13853650344217,50.13853650344217,50.13853650344217,45.74973064250935,45.74973064250935,45.74973064250935,45.74973064250935,45.74973064250935,45.74973064250935,45.74973064250935,45.74973064250935,45.74973064250935,45.74973064250935,45.74973064250935,45.74973064250935,45.74973064250935,45.74973064250935,45.74973064250935,46.01197895855684,46.01197895855684,46.01197895855684,50.389199490772405,50.389199490772405,50.389199490772405,50.389199490772405,50.62577227893048,50.62577227893048,50.62577227893048,52.41752312636936,52.41752312636936,52.41752312636936,52.41752312636936,52.17592117455035,52.17592117455035,56.56472703548317,56.56472703548317	0.993745695674107	56.56472703548317	9	true	584
