# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 24
# run: 7e95ed25-72c8-4a29-88fa-f4fd1441572d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67888	772200	6177600	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	19	false	1254
26	15	15	100	67788	767250	6138000	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	18	false	788
27	15	15	100	67778	732600	5860800	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	18	false	861
28	16	16	100	67998	710820	5686560	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995805594344244	-Infinity	17	false	891
29	16	16	100	67955	691020	5528160	0	0	-Infinity	-Infinity	-1716.207732379604	-1716.207732379604	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954268136656409	-Infinity	18	false	878
30	18	18	100	68563	672210	5377680	0	0	-1153.938633084382	-1151.8981805560315	-1113.8166826772433	-1113.8166826772433	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1154.6918259397853,-1154.6918259397853,-1154.6918259397853,-1154.6918259397853,-1152.9561754170284,-1152.9561754170284,-1152.9561754170284,-1152.9561754170284,-1152.0381467420248,-1151.8981805560315,-1151.8981805560315,-1151.8981805560315,-1151.8981805560315,-1151.8981805560315,-1153.938633084382,-1153.938633084382,-1153.938633084382,-1153.938633084382,-1153.938633084382,-1153.938633084382,-1153.938633084382,-1153.938633084382,-1153.938633084382,-1153.938633084382	0.9952702129681755	-1151.8981805560315	18	false	794
31	18	18	100	68553	632610	5060880	0	0	-656.0648316741753	-656.0648316741753	-626.7931672449178	-626.7931672449178	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-666.1654080002336,-666.1654080002336,-666.1654080002336,-666.1654080002336,-666.1654080002336,-666.1654080002336,-666.1654080002336,-666.1654080002336,-656.0648316741753,-656.0648316741753,-656.0648316741753,-656.0648316741753,-656.0648316741753,-656.0648316741753,-656.0648316741753	0.9949686359947655	-656.0648316741753	20	false	710
32	18	17	100	68070	609840	4878720	0	0	-759.667119852614	-759.667119852614	-732.136848497251	-732.136848497251	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-801.5314411219316,-800.5112112597052,-800.5112112597052,-800.5112112597052,-800.5112112597052,-800.5112112597052,-800.5112112597052,-800.5112112597052,-793.6065430186857,-779.7868047833304,-779.7868047833304,-779.7868047833304,-779.7868047833304,-779.7868047833304,-779.7868047833304,-779.7868047833304,-774.8292049954913,-774.8292049954913,-774.8292049954913,-774.8292049954913,-774.8292049954913,-774.8292049954913,-774.8292049954913,-774.8292049954913,-774.8292049954913,-774.8292049954913,-769.2154448450196,-765.9419476238338,-759.667119852614,-759.667119852614,-759.667119852614,-759.667119852614,-759.667119852614,-759.667119852614,-759.667119852614	0.9948538174161619	-759.667119852614	19	false	704
33	19	17	100	67995	570240	4561920	0	0	-754.1284646198869	-754.1284646198869	-730.8342263742487	-730.8342263742487	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-791.8285213918534,-784.9234005310607,-759.8420800175844,-759.8420800175844,-756.7474448604506,-756.7474448604506,-756.7474448604506,-756.7474448604506,-756.7474448604506,-756.7474448604506,-754.1394822786528,-754.1394822786528,-754.1394822786528,-754.1394822786528,-754.1394822786528,-754.1394822786528,-754.1394822786528,-754.1394822786528,-754.1394822786528,-754.1394822786528,-754.1394822786528,-754.1394822786528,-754.1394822786528,-754.1394822786528,-754.1394822786528,-754.1284646198869,-754.1284646198869,-754.1284646198869	0.9942922262594953	-754.1284646198869	19	false	630
34	21	21	100	68953	582120	4656960	0	0	-772.0428029849792	-760.167092355616	-714.0542149575481	-713.9646440041361	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-768.5105159062183,-767.8532528941171,-767.8532528941171,-767.8532528941171,-767.8532528941171,-767.8532528941171,-767.8532528941171,-767.8532528941171,-767.8532528941171,-767.8532528941171,-767.8532528941171,-767.8532528941171,-767.8532528941171,-767.8532528941171,-767.8532528941171,-762.764874964788,-762.764874964788,-762.764874964788,-762.764874964788,-760.167092355616,-760.2074695501493,-762.8456471762642,-762.8456471762642,-762.8456471762642,-762.8456471762642,-762.8456471762642,-762.8456471762642,-762.8456471762642,-762.8456471762642,-762.8456471762642,-762.094933519729,-762.059535623641,-762.059535623641,-762.8889128647963,-767.2300505742102,-767.2300505742102,-767.2300505742102,-767.2300505742102,-767.2300505742102,-767.2300505742102,-769.0791238677268,-769.0791238677268,-769.0791238677268,-769.0791238677268,-769.0791238677268,-769.0791238677268,-769.0791238677268,-769.0791238677268,-769.0791238677268,-769.0791238677268,-769.0791238677268,-768.7164032161071,-771.9412923891958,-771.9412923891958,-771.9412923891958,-771.9412923891958,-771.9412923891958,-772.3636972095543,-772.3636972095543,-772.3636972095543,-770.3712937467836,-769.1510365494512,-770.2916111470848,-770.2916111470848,-770.2916111470848,-770.2916111470848,-774.0295928982375,-772.0428029849792,-772.0428029849792,-772.0428029849792,-772.0428029849792,-772.0428029849792	0.9936589146153343	-760.167092355616	22	true	643
