# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 29
# run: 7e9f434d-4f56-44a5-b9b1-afe0dc2bf96e
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	472230	3777840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	7	true	866
26	16	16	100	53200	474606	3796848	0	0	-2036.9002337999436	-2036.9002337999436	-2034.152318843831	-2034.152318843831	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2036.9002337999436,-2036.9002337999436,-2036.9002337999436,-2036.9002337999436,-2036.9002337999436,-2036.9002337999436,-2036.9002337999436,-2036.9002337999436,-2036.9002337999436,-2036.9002337999436,-2036.9002337999436,-2036.9002337999436	0.9958381646573722	-2036.9002337999436	3	true	569
27	16	16	100	52200	459756	3678048	0	0	-2036.6791940609562	-2036.6791940609562	-2033.135221266732	-2033.135221266732	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2041.5860143352304,-2036.6791940609562,-2036.6791940609562,-2036.6791940609562,-2036.6791940609562,-2036.6791940609562,-2036.6791940609562,-2036.6791940609562,-2036.6791940609562,-2036.6791940609562,-2036.6791940609562,-2036.6791940609562,-2036.6791940609562,-2036.6791940609562,-2036.6791940609562,-2036.6791940609562	0.9956367112391343	-2036.6791940609562	3	true	446
28	16	16	100	51400	447876	3583008	0	0	-2036.6104582027367	-2036.6104582027367	-2033.085726993177	-2033.085726993177	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2050.163005101482,-2046.9707322963993,-2047.0058704201565,-2043.0918964296518,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2045.1466482949,-2041.5199063650405,-2041.5199063650405,-2041.5199063650405,-2041.5199063650405,-2041.5199063650405,-2041.5199063650405,-2041.5199063650405,-2041.5199063650405,-2041.5199063650405,-2041.5199063650405,-2041.5199063650405,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367,-2036.6104582027367	0.9954268136656409	-2036.6104582027367	3	true	429
29	18	18	100	47200	440748	3525984	0	0	-1144.089278868266	-1144.089278868266	-1132.866663547449	-1132.866663547449	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1149.0659460486506,-1149.0659460486506,-1149.0659460486506,-1149.0659460486506,-1149.0659460486506,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266,-1144.089278868266	0.9952702129681755	-1144.089278868266	6	true	540
30	18	18	100	46400	428868	3430944	0	0	-1129.3316245649146	-1129.3316245649146	-1125.9494812012	-1125.9494812012	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1140.6887826320283,-1140.6887826320283,-1140.6887826320283,-1140.6887826320283,-1139.4269459342531,-1139.4269459342531,-1139.4269459342531,-1134.668539276981,-1134.668539276981,-1134.668539276981,-1134.668539276981,-1135.930375974756,-1132.9633048830106,-1132.9633048830106,-1132.9633048830106,-1132.9633048830106,-1131.3217103149116,-1131.3217103149116,-1131.3217103149116,-1131.3217103149116,-1131.3217103149116,-1131.3217103149116,-1131.3217103149116,-1131.3217103149116,-1131.3217103149116,-1131.3217103149116,-1131.3217103149116,-1131.3217103149116,-1131.3217103149116,-1131.3217103149116,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146,-1129.3316245649146	0.9952147228050682	-1129.3316245649146	3	true	435
31	18	18	100	45788	402138	3217104	0	0	-549.4163791475779	-549.4163791475779	-540.9387054207338	-540.9387054207338	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-573.3924867010552,-573.3924867010552,-573.3924867010552,-573.3924867010552,-573.3924867010552,-573.3924867010552,-573.3924867010552,-573.3924867010552,-573.3924867010552,-573.3924867010552,-573.3924867010552,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-570.7329007411927,-573.3924867010552,-573.3924867010552,-573.3924867010552,-573.3924867010552,-577.6879294134764,-577.6879294134764,-577.6879294134764,-577.6879294134764,-577.6879294134764,-577.6879294134764,-577.6879294134764,-577.6879294134764,-577.6879294134764,-577.6879294134764,-579.7612344918405,-582.7241152432695,-576.609222588437,-570.7966332869534,-570.7966332869534,-574.2368483767499,-574.2368483767499,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.4041020948918,-558.2164119732499,-558.2164119732499,-558.2164119732499,-558.2164119732499,-554.2090306237849,-549.4163791475779,-549.4163791475779,-549.4163791475779,-549.4163791475779	0.9947478816502295	-549.4163791475779	7	true	359
32	20	19	100	45968	395604	3164832	0	0	-545.7364910658715	-545.7364910658715	-534.6274447683938	-534.6274447683938	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-576.04022934402,-576.04022934402,-576.04022934402,-576.04022934402,-576.04022934402,-576.04022934402,-576.04022934402,-576.04022934402,-576.04022934402,-569.5814186689029,-562.8891959589888,-561.4553329652146,-561.4553329652146,-561.0163508010509,-561.5083390607066,-562.9367303864378,-565.3434553938688,-565.3434553938688,-565.3434553938688,-565.3434553938688,-565.3434553938688,-565.3434553938688,-565.3434553938688,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-570.2264041218751,-564.1408516214269,-564.1408516214269,-564.1408516214269,-564.1408516214269,-564.1408516214269,-564.1408516214269,-564.1408516214269,-564.1408516214269,-564.1408516214269,-564.1408516214269,-564.1408516214269,-564.1408516214269,-564.1408516214269,-558.5012269955821,-553.254623179996,-553.254623179996,-553.254623179996,-550.4551890866326,-549.4376218115417,-549.4376218115417,-545.7364910658715,-545.7364910658715,-545.7364910658715,-545.7364910658715,-545.7364910658715,-545.7364910658715,-545.7364910658715,-545.7364910658715,-545.7364910658715,-545.7364910658715,-545.7364910658715,-545.7364910658715,-545.7364910658715,-545.7364910658715,-545.7364910658715,-545.7364910658715	0.9940385726087689	-545.7364910658715	7	true	334
33	22	21	100	46457	397386	3179088	0	0	-549.9985279333888	-549.9985279333888	-533.2625873467928	-533.2625873467928	-574.414953507349,-574.414953507349,-574.4155045086771,-577.5542859831095,-580.4154467105714,-580.4154467105714,-569.1459971410568,-566.2787039490024,-563.7525993210934,-563.7525993210934,-563.7525993210934,-563.7525993210934,-563.7525993210934,-566.4064490269141,-566.4064490269141,-566.4064490269141,-566.4064490269141,-566.4064490269141,-566.4064490269141,-566.4064490269141,-563.7525993210934,-563.7525993210934,-563.7525993210934,-563.7525993210934,-563.7525993210934,-563.7525993210934,-563.7525993210934,-560.8952676985739,-560.8952676985739,-560.8952676985739,-560.8952676985739,-560.8952676985739,-555.8405409443476,-553.2275039418789,-555.0158140279989,-554.9462638327528,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-556.0573765900615,-557.6253624948381,-557.6253624948381,-557.6253624948381,-557.6253624948381,-557.6253624948381,-557.6253624948381,-557.6253624948381,-561.0848073815154,-561.0848073815154,-561.0848073815154,-561.0848073815154,-561.0848073815154,-561.0848073815154,-561.0848073815154,-561.0848073815154,-561.0848073815154,-561.0848073815154,-561.0848073815154,-561.0848073815154,-561.0848073815154,-556.741023562724,-556.741023562724,-556.741023562724,-549.9985279333888,-549.9985279333888,-549.9985279333888,-549.9985279333888,-549.9985279333888,-549.9985279333888,-549.9985279333888,-549.9985279333888,-549.9985279333888,-549.9985279333888	0.9934347972306098	-549.9985279333888	8	true	393
34	22	22	100	46632	399762	3198096	0	0	-544.154230715777	-544.154230715777	-529.7588265104833	-529.7588265104833	-556.5958089042188,-556.5958089042188,-562.5083574738884,-562.5083574738884,-562.5083574738884,-562.5083574738884,-562.5083574738884,-562.5083574738884,-562.5083574738884,-562.5083574738884,-562.5083574738884,-570.4062936552826,-570.4062936552826,-563.847324223213,-563.847324223213,-559.6228050725479,-557.0321420120837,-557.0321420120837,-551.5596060991819,-551.5596060991819,-551.5596060991819,-551.5596060991819,-551.5596060991819,-551.5596060991819,-551.5596060991819,-551.5596060991819,-551.5596060991819,-551.5596060991819,-551.5596060991819,-551.5596060991819,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777,-544.154230715777	0.9932990327603982	-544.154230715777	9	true	409
