# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 21
# run: 80b0d189-e17d-4f6e-9458-25adbe81b50c
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	79800	533016	4264128	0	0	-614.4360131726432	-368.7573823198783	-7.328351432872186	-3.2853800452752546	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1068.7571721978786,-868.7572415101048,-868.7572415101048,-868.7572415101048,-868.7572415101048,-868.7572415101048,-868.7572415101048,-868.7572415101048,-368.7573823198783,-368.7573823198783,-368.7577269608056,-368.7577269608056,-968.7578449866378,-968.7578449866378,-968.7578449866378,-968.7578449866378,-968.7578449866378,-968.7578449866378,-968.7578449866378,-968.7578449866378,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-968.7578346940785,-1070.433479849742,-1070.433479849742,-1173.8956446638906,-1173.8956446638906,-1173.8956446638906,-1173.8956446638906,-1173.8956446638906,-1173.8956446638906,-1173.8956446638906,-1168.7960804537504,-1165.4659099114656,-1163.4479922691423,-1163.4479922691423,-1163.465504070194,-1163.465504070194,-1163.465504070194,-1163.465504070194,-1163.465504070194,-1163.465504070194,-1163.465504070194,-1163.465504070194,-1163.465504070194,-1163.465504070194,-1163.465504070194,-1182.338803031793,-1182.338803031793,-1084.031516899608,-800.1839726683002,-707.1254485825633,-614.4360131726432,-614.4360131726432,-614.4360131726432,-614.4360131726432,-614.4360131726432	0.9960270797844731	-368.7573823198783	7	true	1075
26	16	16	100	80000	545886	4367088	0	0	-465.29990929379875	-362.3689044710806	1.9807632071025787	3.14770076321529	-Infinity,-Infinity,-Infinity,-Infinity,-962.3688740242151,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.3689044710806,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-362.36933993838267,-459.67481430061247,-459.67481430061247,-459.67481430061247,-459.67481430061247,-460.8473132617252,-465.29990929379875	0.9958381646573722	-362.3689044710806	7	true	519
27	16	16	100	78600	543708	4349664	0	0	-372.0362668138281	-361.5228995377296	1.518447881057461	1.5593918536595788	-Infinity,-Infinity,-Infinity,-Infinity,-364.7905170125137,-364.7905170125137,-364.7905170125137,-364.7905170125137,-364.7905170125137,-364.7905170125137,-364.7905170125137,-364.7905170125137,-364.7905170125137,-364.7905170125137,-964.7906455333971,-964.7906455333971,-964.7906455333971,-964.7906455333971,-964.7906455333971,-964.7906455333971,-964.7906455333971,-964.7906455333971,-964.7906455333971,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-964.7911564598679,-364.7910279389845,-361.5228995377296,-361.5228995377296,-361.5228995377296,-361.5228995377296,-361.5228995377296,-361.5228995377296,-361.5228995377296,-361.5228995377296,-361.5228995377296,-361.5228995377296,-361.5228995377296,-361.5228995377296,-361.5228995377296,-361.5228995377296,-361.5228995377296,-361.5228995377296,-361.5233539967094,-361.5233539967094,-361.5233539967094,-361.5233539967094,-361.5233539967094,-361.5233539967094,-361.5233539967094,-361.5233539967094,-361.5233539967094,-361.5233539967094,-362.55006813856136,-362.55006813856136,-366.89164148313245,-366.89164148313245,-372.0356285147471,-372.0362668138281,-372.0362668138281,-372.0362668138281	0.9954268136656409	-361.5228995377296	7	true	452
28	16	16	100	75400	521334	4170672	0	0	40.7659427711251	40.7659427711251	53.84908590453178	53.84908590453178	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-381.36216059722307,-381.36216059722307,-381.36216059722307,-381.36216059722307,-381.36216059722307,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-381.362412894521,-372.51490831108487,-370.2032829681248,-366.3610219496576,-166.36165408780505,-166.36165408780505,-166.36165408780505,-166.36165408780505,-166.36165408780505,-166.36165408780505,-166.36165408780505,-166.36165408780505,-166.36165408780505,-166.36165408780505,-166.36165408780505,-166.36165408780505,-166.36165408780505,-166.36165408780505,-166.36165408780505,-166.36165408780505,-166.36165408780505,-162.38146109086998,-163.93540045115708,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,-160.7879391522608,39.21200341083793,39.21200341083793,39.21200341083793,40.7659427711251,40.7659427711251,40.7659427711251,40.7659427711251,40.7659427711251,40.7659427711251	0.9954268136656409	40.7659427711251	7	true	419
29	18	18	100	77600	532224	4257792	0	0	-158.39153904518926	-158.39114539890943	57.768161387378	57.768161387378	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-365.32381689137594,-365.3239007300888,-365.324084714091,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-365.32419237664845,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-165.32474117184162,-161.41575587089645,-161.41575587089645,-161.41575587089645,-158.39114539890943,-158.39114539890943,-159.94368840018447,-159.94368840018447,-159.94368840018447,-159.94368840018447,-159.94368840018447,-159.94368840018447,-159.94368840018447,-159.94368840018447,-159.94368840018447,-159.94368840018447,-159.94368840018447,-159.94368840018447,-159.94368840018447,-159.94368840018447,-159.94368840018447,-159.94368840018447,-158.39153904518926,-158.39153904518926,-158.39153904518926,-158.39153904518926,-158.39153904518926,-158.39153904518926,-158.39153904518926,-158.39153904518926,-158.39153904518926	0.9952702129681755	-158.39114539890943	7	true	406
30	18	18	100	62800	493812	3950496	0	0	-680.3070119346239	51.137461470987304	53.81875181380807	54.563853946681455	-365.387310956864,-365.387310956864,-365.387310956864,-365.387310956864,-365.387310956864,-365.387310956864,-375.3270162211817,-375.3270162211817,-375.32710436152,-375.32710436152,-375.32710436152,-375.32741712667644,-375.32741712667644,-375.32741712667644,-375.32741712667644,-375.32741712667644,-375.32741712667644,-375.32741712667644,-375.32741712667644,-375.32741712667644,-375.32741712667644,-377.922695500649,-381.01166048366053,-385.261124721894,-191.7845917441794,-191.7845917441794,-191.7845917441794,-191.7845917441794,-191.7845917441794,-191.7845917441794,-191.7845917441794,-191.7845917441794,-191.7845917441794,-191.7845917441794,-191.7845917441794,-191.7845917441794,-191.7845917441794,-191.7845917441794,-191.7845917441794,-191.7845917441794,-191.7845917441794,-191.7845917441794,-185.2616942529944,-185.2616942529944,-198.1690295810617,-198.1690295810617,-198.1690295810617,-205.58536245765828,-205.58536245765828,-205.58536245765828,-214.12917419310534,-220.97446330930381,-220.97446330930381,-220.97446330930381,-220.97446330930381,-220.97446330930381,-220.97446330930381,-20.974972789867707,-14.129683673669277,-14.129683673669277,-5.585871938222191,-0.43282377119131255,3.6272056971509823,3.6272056971509823,3.6272056971509823,16.40713481752404,26.213749577180423,26.213749577180423,26.213749577180423,33.25406833943696,33.25406833943696,41.12945669779285,37.096274578720674,36.80389754494092,36.80389754494092,36.80389754494092,36.80389754494092,36.80389754494092,36.80389754494092,36.80389754494092,36.80389754494092,36.80389754494092,36.80389754494092,36.80389754494092,44.114142299995116,44.114142299995116,44.114142299995116,44.114142299995116,44.114142299995116,51.137461470987304,-680.3070119346239,-680.3070119346239,-680.3070119346239,-680.3070119346239,-680.3070119346239,-680.3070119346239,-680.3070119346239,-680.3070119346239,-680.3070119346239,-680.3070119346239	0.9948311168948906	51.137461470987304	3	true	484
31	19	19	100	61400	487674	3901392	0	0	32.60496824377665	47.42167681732592	54.82628617338811	54.34344085808427	-166.40374966328898,-166.40374966328898,-166.40374966328898,-166.40374966328898,-166.40376697824172,33.596178813537065,33.596043316655184,33.596043316655184,33.596043316655184,34.44102354813204,34.440980026907425,34.440980026907425,34.440651423253826,34.440651423253826,34.440651423253826,34.440651423253826,34.440651423253826,34.440651423253826,34.440651423253826,34.440651423253826,34.440651423253826,34.440651423253826,34.440651423253826,34.440651423253826,34.440651423253826,34.440651423253826,29.616372695989355,29.616372695989355,29.616372695989355,29.616372695989355,31.34764465627562,31.34764465627562,31.34764465627562,31.34764465627562,31.34764465627562,30.954624177128537,30.954624177128537,30.954624177128537,30.954624177128537,30.954624177128537,30.954624177128537,41.08997634788516,41.08997634788516,41.08997634788516,36.42579224896467,31.269365158746737,31.269365158746737,31.269365158746737,39.36494366722375,39.36494366722375,39.36494366722375,39.36494366722375,39.36494366722375,39.36494366722375,39.36494366722375,39.36494366722375,39.36494366722375,39.36471819738971,39.36471819738971,39.36471819738971,39.36471819738971,39.36471819738971,39.36471819738971,39.36471819738971,39.36471819738971,39.36471819738971,39.36471819738971,39.36471819738971,39.36471819738971,39.36471819738971,39.36471819738971,42.540416117352265,42.540416117352265,42.540416117352265,42.53958940802492,47.42167681732592,47.42167681732592,47.42167681732592,47.42167681732592,47.42167681732592,47.42167681732592,28.926879704726076,28.926879704726076,28.926879704726076,28.926879704726076,28.926879704726076,28.926879704726076,28.926879704726076,28.926879704726076,28.926879704726076,28.926879704726076,28.926879704726076,28.926879704726076,32.60496824377665,32.60496824377665,32.60496824377665,32.60496824377665,32.60496824377665,32.60496824377665,32.60496824377665	0.994524166368136	47.42167681732592	5	true	381
32	20	20	100	66200	487080	3896640	0	0	40.65606121709416	48.402697842418405	57.01762701506086	57.50814731327353	41.508837754415936,41.508837754415936,41.508837754415936,41.508837754415936,41.50876233857139,41.50876233857139,41.50876233857139,41.50876233857139,41.50842851779713,41.50842851779713,41.50842851779713,35.4505515980167,35.4505515980167,35.4505515980167,35.4505515980167,35.4505515980167,35.4505515980167,35.4505515980167,35.4505515980167,35.4505515980167,35.4505515980167,35.4505515980167,35.4505515980167,35.4505515980167,35.4505515980167,35.4505515980167,33.662650747396356,33.662650747396356,33.662650747396356,33.662650747396356,33.662650747396356,33.662650747396356,33.66247145907245,36.58618166483876,36.58618166483876,38.192867983079566,38.192867983079566,38.192867983079566,38.19304727140346,38.19304727140346,38.19304727140346,38.19304727140346,42.013989922424386,42.013989922424386,32.25153707691979,32.25153707691979,32.25153707691979,32.25153707691979,32.25153707691979,36.5427581376822,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,40.34505521615522,48.402697842418405,48.402697842418405,48.402697842418405,48.402697842418405,48.402697842418405,48.402697842418405,48.402697842418405,48.402697842418405,48.402697842418405,48.402697842418405,48.402697842418405,29.909692156416682,29.909692156416682,29.909692156416682,29.909692156416682,29.909692156416682,29.909692156416682,29.909692156416682,29.909692156416682,29.909692156416682,29.909483483770003,29.909483483770003,29.909483483770003,29.909483483770003,29.909483483770003,29.909483483770003,29.909483483770003,40.65606121709416,40.65606121709416,40.65606121709416	0.9940017253858359	48.402697842418405	5	true	395
33	23	23	100	91111	510048	4080384	0	0	38.4951158173709	44.38818518135844	57.244089505538305	57.054756438887814	-Infinity,-Infinity,-164.833560700759,35.16643539804804,35.16643539804804,35.16634577650427,35.16634577650427,35.16634577650427,35.16607938541186,35.16607938541186,35.16607938541186,35.16607938541186,35.16607938541186,35.16607938541186,35.16607938541186,35.16607938541186,35.17463201130711,35.17463201130711,35.17463201130711,35.17463201130711,35.17463201130711,35.17463201130711,42.24555993507212,42.24555993507212,42.24555993507212,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,30.86005759786951,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,29.142587324914064,40.52808966211667,40.52808966211667,40.52808966211667,40.52808966211667,40.52808966211667,40.52808966211667,38.649340467776526,38.649340467776526,38.649340467776526,38.028566263879966,28.940367357767144,28.940367357767144,28.940367357767144,28.940367357767144,28.940367357767144,28.940367357767144,28.940367357767144,28.940367357767144,28.940367357767144,28.940367357767144,28.940367357767144,34.620182017911425,39.71028876038736,39.71028876038736,44.38818518135844,38.4951158173709	0.9930914746931229	44.38818518135844	4	true	443
34	23	22	100	89997	501336	4010688	0	0	42.81104757015518	42.81104757015518	54.04777233433928	54.04777233433928	-Infinity,-Infinity,-Infinity,34.140329050223144,34.14025422277376,34.14025422277376,34.14025422277376,34.140001456304304,34.140001456304304,34.140001456304304,34.140001456304304,34.140001456304304,34.140001456304304,34.140001456304304,34.140001456304304,34.140001456304304,34.140001456304304,34.140001456304304,34.140001456304304,33.1747968209635,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,22.32706750231676,20.38479975135457,20.38479975135457,20.38479975135457,20.38479975135457,23.503898663605998,25.866468131605757,25.866468131605757,25.866468131605757,25.866468131605757,25.866468131605757,25.866468131605757,25.866468131605757,25.866468131605757,25.866468131605757,25.866468131605757,25.866468131605757,26.86623948885739,26.86623948885739,24.83277965192896,24.83277965192896,24.83277965192896,24.83277965192896,24.83277965192896,24.83277965192896,24.83277965192896,24.83277965192896,24.83277965192896,24.83277965192896,24.83277965192896,24.83277965192896,24.83277965192896,24.83277965192896,30.897012863628,36.37050095440742,36.37050095440742,36.37050095440742,36.37050095440742,36.37050095440742,36.37050095440742,36.37050095440742,36.37050095440742,38.40377553432877,38.40377553432877,38.40377553432877,38.40377553432877,38.40377553432877,38.40377553432877,38.40377553432877,38.40377553432877,42.81104757015518,42.81104757015518,42.81104757015518,42.81104757015518,42.81104757015518	0.9929968343556489	42.81104757015518	4	true	397
