# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 5
# run: 814a2b5b-122c-440e-8fc8-7b97c3fac388
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	54400	323730	2589840	0	0	-1655.3434748809764	-1655.3434748809764	-1651.0617453540774	-1651.0617453540774	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1667.6481959014,-1667.6806266502945,-1667.6806266502945,-1667.6806266502945,-1664.410473968562,-1664.410473968562,-1664.410473968562,-1665.7243191682387,-1665.7243191682387,-1665.7243191682387,-1665.7243191682387,-1665.7243191682387,-1665.7243191682387,-1665.7243191682387,-1665.7243191682387,-1665.7243191682387,-1665.7243191682387,-1665.7243191682387,-1665.7243191682387,-1665.7243191682387,-1665.7243191682387,-1665.7243191682387,-1666.5034492689829,-1663.2343958898402,-1663.2343958898402,-1663.2343958898402,-1665.8776195683627,-1665.8776195683627,-1665.8776195683627,-1665.8776195683627,-1665.8776195683627,-1665.8776195683627,-1665.8776195683627,-1665.8776195683627,-1661.2845971184433,-1661.2845971184433,-1661.2845971184433,-1661.2845971184433,-1657.2766833376584,-1657.2408697810731,-1657.2408697810731,-1657.2408697810731,-1657.2408697810731,-1657.2408697810731,-1657.2408697810731,-1657.2408697810731,-1657.2408697810731,-1657.2408697810731,-1655.98884652011,-1655.98884652011,-1655.98884652011,-1657.2935936638212,-1657.2935936638212,-1657.2935936638212,-1657.2935936638212,-1657.2935936638212,-1657.2935936638212,-1657.2935936638212,-1657.2935936638212,-1657.2935936638212,-1657.2935936638212,-1657.2935936638212,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764,-1655.3434748809764	0.9964541127788218	-1655.3434748809764	2	true	1014
26	15	15	100	54200	321750	2574000	0	0	-1650.4114403752644	-1650.4114403752644	-1646.745474427101	-1646.745474427101	-Infinity,-Infinity,-Infinity,-Infinity,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1654.246645740996,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644,-1650.4114403752644	0.9963744964578416	-1650.4114403752644	2	true	651
27	15	15	100	51200	311850	2494800	0	0	-1647.2924356605538	-1647.2924356605538	-1644.5346343378026	-1644.5346343378026	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538,-1647.2924356605538	0.9960270797844731	-1647.2924356605538	2	true	403
28	15	15	100	51000	309870	2478960	0	0	-1645.8136932668174	-1645.8136932668174	-1642.9276383343454	-1642.9276383343454	-Infinity,-Infinity,-1650.9629254173835,-1650.9629254173835,-1647.7372192378746,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174,-1645.8136932668174	0.9960270797844731	-1645.8136932668174	2	true	377
29	16	16	100	47800	302148	2417184	0	0	-1645.5883951877179	-1645.5883951877179	-1642.6601187583549	-1642.6601187583549	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1647.4069434410715,-1647.4069434410715,-1647.4069434410715,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179,-1645.5883951877179	0.995805594344244	-1645.5883951877179	2	true	434
30	17	17	100	47400	302346	2418768	0	0	-853.0992773162594	-853.0992773162594	-850.0051450653735	-850.0051450653735	-879.626539956559,-879.626539956559,-868.5007239231057,-868.5007239231057,-863.246561155441,-861.3121196044401,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-864.7849292423955,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-861.2703086664619,-859.6271977598358,-859.6271977598358,-859.6271977598358,-859.6271977598358,-859.6271977598358,-859.6271977598358,-859.6271977598358,-859.6271977598358,-855.9684784550891,-855.9684784550891,-855.9684784550891,-855.9684784550891,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594,-853.0992773162594	0.9952876130456717	-853.0992773162594	3	true	358
31	17	17	100	46400	292446	2339568	0	0	-647.2161668116411	-647.2161668116411	-647.2161668116411	-647.2161668116411	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-651.5151380928478,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-649.864201486546,-648.7753120242522,-648.7753120242522,-647.8962239161089,-647.8962239161089,-647.2161668116411,-647.2161668116411,-647.2161668116411	0.9952876130456717	-647.2161668116411	0	true	391
32	18	17	100	43400	282546	2260368	0	0	-660.3070210040763	-658.1604501077503	-651.420055738985	-651.5927522740175	-Infinity,-Infinity,-669.5939210951315,-669.5939210951315,-669.5939210951315,-658.1604501077503,-658.1604501077503,-658.1604501077503,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763,-660.3070210040763	0.9950186429401746	-658.1604501077503	5	true	399
33	18	17	100	43200	280566	2244528	0	0	-658.9697835574668	-658.9697835574668	-653.190463666841	-653.190463666841	-667.0656175742703,-667.0656175742703,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-666.3106906658836,-667.0953056429717,-669.7441339724892,-669.7441339724892,-669.7441339724892,-669.7441339724892,-669.7441339724892,-669.7441339724892,-669.7441339724892,-669.7441339724892,-669.7441339724892,-669.7441339724892,-669.7441339724892,-669.7441339724892,-669.7441339724892,-669.7441339724892,-669.7441339724892,-662.6475552443449,-662.6475552443449,-662.6475552443449,-662.6475552443449,-662.6475552443449,-662.6475552443449,-662.6475552443449,-662.6475552443449,-662.6475552443449,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668,-658.9697835574668	0.9947978885956386	-658.9697835574668	5	true	316
34	18	18	100	42600	278784	2230272	0	0	-657.1764352442693	-654.7523354785167	-648.427130400054	-648.2715359288803	-662.0892376419887,-662.0892376419887,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-660.1122450685423,-657.3097970541811,-657.3097970541811,-657.3097970541811,-657.3097970541811,-655.7982137443961,-655.7982137443961,-655.7982137443961,-655.7982137443961,-655.7982137443961,-654.7523354785167,-654.7523354785167,-654.7523354785167,-654.7523354785167,-654.7523354785167,-654.7523354785167,-654.7523354785167,-654.7523354785167,-654.7523354785167,-654.7523354785167,-654.7523354785167,-654.7523354785167,-654.7523354785167,-654.7523354785167,-654.7523354785167,-654.7523354785167,-654.7523354785167,-655.3716552026016,-655.3716552026016,-655.3716552026016,-655.3716552026016,-655.3716552026016,-655.3716552026016,-655.3716552026016,-655.3716552026016,-655.3716552026016,-655.3716552026016,-655.3716552026016,-655.3716552026016,-655.3716552026016,-655.3716552026016,-655.3716552026016,-655.3716552026016,-657.1764352442693,-657.1764352442693,-657.1764352442693,-657.1764352442693	0.9943932271294993	-654.7523354785167	5	true	324
