# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 27
# run: 8195baea-170e-4503-9cb4-fa8cc44bd42d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	472230	3777840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	7	true	922
26	16	16	100	53200	474606	3796848	0	0	-2036.8063006473312	-2036.8063006473312	-2034.0572162910178	-2034.0572162910178	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2038.53325014034,-2038.53325014034,-2038.53325014034,-2038.53325014034,-2038.53325014034,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312,-2036.8063006473312	0.9958381646573722	-2036.8063006473312	3	true	945
27	16	16	100	52200	459756	3678048	0	0	-2038.8697982666897	-2038.8697982666897	-2035.3238911057801	-2035.3238911057801	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2047.3577550725772,-2047.3577550725772,-2047.3577550725772,-2045.348164090368,-2045.348164090368,-2045.348164090368,-2045.348164090368,-2045.348164090368,-2045.3735301223444,-2045.3735301223444,-2045.3735301223444,-2045.3735301223444,-2045.3735301223444,-2045.3735301223444,-2045.3735301223444,-2045.3735301223444,-2045.3735301223444,-2045.3735301223444,-2045.3735301223444,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2047.4341891164408,-2042.5274113577605,-2042.5274113577605,-2042.5274113577605,-2042.5274113577605,-2042.5274113577605,-2042.5274113577605,-2042.5274113577605,-2042.5274113577605,-2042.5274113577605,-2042.5274113577605,-2042.5274113577605,-2042.5274113577605,-2042.5274113577605,-2042.5274113577605,-2042.5274113577605,-2042.5274113577605,-2042.5274113577605,-2038.8697982666897,-2038.8697982666897,-2038.8697982666897,-2038.8697982666897,-2038.8697982666897,-2038.8697982666897,-2038.8697982666897,-2038.8697982666897,-2038.8697982666897,-2038.8697982666897,-2038.8697982666897,-2038.8697982666897,-2038.8697982666897,-2038.8697982666897,-2038.8697982666897,-2038.8697982666897,-2038.8697982666897	0.9954268136656409	-2038.8697982666897	3	true	629
28	18	18	100	51800	464508	3716064	0	0	-2032.7059204647173	-2032.7059204647173	-2029.970729935114	-2029.970729935114	-Infinity,-Infinity,-2042.9345359159317,-2042.9345359159317,-2042.9701159558244,-2039.724530725693,-2039.724530725693,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173,-2032.7059204647173	0.9952702129681755	-2032.7059204647173	3	true	721
29	18	18	100	47400	443718	3549744	0	0	-1135.6174553132882	-1135.6174553132882	-1131.878500159928	-1131.878500159928	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1139.8024563838358,-1136.8074611091513,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882,-1135.6174553132882	0.9952147228050682	-1135.6174553132882	4	true	483
30	18	18	100	46600	431838	3454704	0	0	-1147.072148836989	-1147.072148836989	-1135.2830414204798	-1135.2830414204798	-Infinity,-Infinity,-Infinity,-Infinity,-1166.1254078239763,-1166.1254078239763,-1166.1254078239763,-1168.3854548137392,-1168.3854548137392,-1168.3854548137392,-1168.3854548137392,-1169.3200940942054,-1171.224130096503,-1171.224130096503,-1171.224130096503,-1171.224130096503,-1171.224130096503,-1171.224130096503,-1171.224130096503,-1171.224130096503,-1165.58238967326,-1165.58238967326,-1165.58238967326,-1165.58238967326,-1160.3756426303016,-1160.3756426303016,-1160.3756426303016,-1160.3756426303016,-1160.3756426303016,-1160.3756426303016,-1160.3756426303016,-1160.3756426303016,-1160.3756426303016,-1160.3756426303016,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1160.1263732745952,-1156.4645334616857,-1149.4138846114965,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1151.0544024497963,-1147.072148836989,-1147.072148836989,-1147.072148836989,-1147.072148836989,-1147.072148836989,-1147.072148836989,-1147.072148836989,-1147.072148836989	0.9947478816502295	-1147.072148836989	6	true	557
31	19	18	100	45937	408078	3264624	0	0	-847.486801110291	-847.486801110291	-841.0257339718659	-841.0257339718659	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-903.8764646102794,-903.8764646102794,-898.4069605273387,-898.4069605273387,-898.4069605273387,-898.4069605273387,-898.4069605273387,-898.4069605273387,-898.4069605273387,-898.4069605273387,-898.4069605273387,-898.4069605273387,-898.4069605273387,-898.4069605273387,-898.4069605273387,-884.5547274007184,-884.5547274007184,-884.5547274007184,-884.5547274007184,-884.5547274007184,-884.5547274007184,-884.5547274007184,-884.5547274007184,-884.5547274007184,-884.5547274007184,-884.5547274007184,-878.1825349308076,-872.1284936564774,-868.4065257603903,-868.4065257603903,-868.4065257603903,-868.4065257603903,-868.4065257603903,-868.4065257603903,-868.4065257603903,-868.4065257603903,-868.4065257603903,-868.4065257603903,-866.4367644912314,-865.612532584515,-865.8120920790702,-865.8120920790702,-867.008829075313,-867.008829075313,-867.008829075313,-867.008829075313,-867.008829075313,-867.008829075313,-863.3333468339371,-863.3333468339371,-863.3333468339371,-863.3333468339371,-863.3333468339371,-858.3191883245147,-858.3191883245147,-853.8115631192566,-851.8996247482262,-852.0294505681424,-852.9136966132021,-852.9136966132021,-852.9136966132021,-855.1600819784346,-859.1776760497389,-859.1776760497389,-859.1776760497389,-859.1776760497389,-859.1776760497389,-859.1776760497389,-859.1776760497389,-859.1776760497389,-859.1776760497389,-859.1776760497389,-849.4938262535117,-847.486801110291,-847.486801110291,-847.486801110291,-847.486801110291,-847.486801110291,-847.486801110291,-847.486801110291,-847.486801110291,-847.486801110291,-847.486801110291,-847.486801110291,-847.486801110291,-847.486801110291,-847.486801110291	0.9942063590703389	-847.486801110291	5	true	475
32	21	21	100	46447	409266	3274128	0	0	-560.8388449790997	-560.8388449790997	-535.8764033840564	-535.8764033840564	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-567.3199785489735,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-575.08118625787,-570.6585869919477,-570.6585869919477,-570.6585869919477,-567.8620839363788,-564.6034795155676,-564.6034795155676,-564.6034795155676,-564.6034795155676,-564.6034795155676,-562.9700258726516,-562.9700258726516,-562.9700258726516,-562.9700258726516,-562.9700258726516,-562.9700258726516,-562.9700258726516,-562.9700258726516,-562.9700258726516,-562.9700258726516,-562.9700258726516,-562.9700258726516,-562.9700258726516,-562.9700258726516,-562.9700258726516,-562.9700258726516,-562.3100436643632,-562.3100436643632,-562.3100436643632,-562.3100436643632,-563.168005931588,-563.168005931588,-563.168005931588,-563.168005931588,-562.7394091565335,-563.2334916466094,-564.653471658914,-564.653471658914,-564.653471658914,-567.0540802087144,-563.1157713040805,-560.8388449790997,-560.8388449790997,-560.8388449790997,-560.8388449790997,-560.8388449790997,-560.8388449790997,-560.8388449790997,-560.8388449790997,-560.8388449790997,-560.8388449790997,-560.8388449790997,-560.8388449790997,-560.8388449790997,-560.8388449790997,-560.8388449790997,-560.8388449790997,-560.8388449790997	0.993575679370673	-560.8388449790997	11	true	486
33	22	22	100	46457	402732	3221856	0	0	-545.6448223191924	-545.6448223191924	-533.5698703196235	-533.5698703196235	-565.5930501517315,-565.5930501517315,-557.7049888780625,-553.1435944880592,-553.1435944880592,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-551.2078041381588,-550.0394659231025,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-555.0282485803307,-551.9940893308301,-551.9940893308301,-551.9940893308301,-551.9940893308301,-551.9940893308301,-551.9940893308301,-551.9940893308301,-550.2386884252456,-550.2386884252456,-550.2386884252456,-550.2386884252456,-550.2386884252456,-550.2386884252456,-550.2386884252456,-550.2386884252456,-550.2386884252456,-550.2386884252456,-546.3032259881679,-548.1577440818813,-548.1577440818813,-548.1577440818813,-548.1577440818813,-551.4331341733989,-551.4331341733989,-551.4331341733989,-551.4331341733989,-551.4331341733989,-550.3378420160582,-551.8021355708249,-551.8021355708249,-551.8021355708249,-551.8021355708249,-551.8021355708249,-547.8455238366898,-547.8455238366898,-547.8455238366898,-547.8455238366898,-547.8455238366898,-547.8455238366898,-547.8455238366898,-547.8455238366898,-547.8455238366898,-545.6448223191924,-545.6448223191924,-545.6448223191924,-545.6448223191924,-545.6448223191924,-545.6448223191924,-545.6448223191924	0.9932990327603982	-545.6448223191924	9	true	508
34	26	26	100	47295	415206	3321648	0	0	-537.4581384842861	-533.9330622501877	-525.7084585603711	-526.2428952012807	-556.6077681098718,-556.6077681098718,-543.9262270594604,-541.9461439140332,-543.9962515114098,-543.9962515114098,-543.9962515114098,-543.9962515114098,-543.9962515114098,-543.9962515114098,-543.9962515114098,-546.3114590279034,-546.3114590279034,-546.3114590279034,-546.3114590279034,-546.3114590279034,-546.3114590279034,-546.3114590279034,-546.3114590279034,-546.3114590279034,-546.3114590279034,-546.3114590279034,-546.3114590279034,-546.3114590279034,-546.4818803831844,-546.4818803831844,-542.4722379053876,-542.4722379053876,-542.4722379053876,-542.4722379053876,-539.221865697292,-539.221865697292,-539.221865697292,-539.221865697292,-539.221865697292,-539.221865697292,-539.221865697292,-539.221865697292,-539.221865697292,-539.2555285383654,-539.2555285383654,-539.2555285383654,-539.2555285383654,-539.2555285383654,-539.2555285383654,-539.2555285383654,-539.2555285383654,-539.2555285383654,-539.2555285383654,-539.2555285383654,-539.2555285383654,-539.2555285383654,-539.2555285383654,-539.2555285383654,-535.5981082990156,-535.5981082990156,-535.5981082990156,-535.5981082990156,-535.5981082990156,-533.9330622501877,-533.9330622501877,-533.9330622501877,-534.7296314397627,-534.7982463163129,-534.7982463163129,-534.7982463163129,-537.4581384842861,-536.0847717170585,-536.0847717170585,-536.0847717170585,-536.0847717170585,-536.0847717170585,-536.0847717170585,-536.0847717170585,-536.0847717170585,-536.0847717170585,-536.0847717170585,-536.0847717170585,-536.0847717170585,-536.0847717170585,-536.0847717170585,-536.0847717170585,-536.0847717170585,-537.4581384842861,-537.4581384842861,-537.4581384842861,-537.4581384842861,-537.4581384842861,-537.4581384842861,-537.4581384842861,-537.4581384842861,-537.4581384842861,-537.4581384842861,-537.4581384842861,-537.4581384842861,-537.4581384842861,-537.4581384842861,-537.4581384842861,-537.4581384842861,-537.4581384842861	0.9922323641441428	-533.9330622501877	5	true	471
