# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 15
# run: 8352c17f-953d-4596-ba12-b59f32103c5f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	16	16	20	12272	83200	665600	0	0	-134.33100377525153	-134.33100377525153	-134.33100377525153	-134.33100377525153	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-134.33100377525153,-134.33100377525153	0.995805594344244	-134.33100377525153	6	false	1446
26	16	16	18	9896	74880	599040	0	0	-125.14258751736142	-125.14258751736142	-125.14258751736142	-125.14258751736142	-125.14267377135585,-Infinity,-Infinity,-125.14267377135585,-125.14267377135585,-125.14267377135585,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-125.14267377135585,-125.14267377135585,-125.14258751736142,-125.14258751736142	0.9955956967707507	-125.14258751736142	6	false	984
27	17	17	31	16497	128960	1031680	0	0	-120.17501981205797	-120.17501981205797	-120.17501981205797	-120.17501981205797	-Infinity,-Infinity,-Infinity,-Infinity,-125.87792088674027,-125.40491102716803,-125.40491102716803,-123.3153531898288,-123.3153531898288,-123.3153531898288,-123.3153531898288,-121.39880848899284,-120.56508878324459,-120.56508878324459,-120.56508878324459,-120.56508878324459,-120.56508878324459,-120.56508878324459,-120.56508878324459,-120.56508878324459,-120.56508878324459,-120.56508878324459,-120.56508878324459,-120.56508878324459,-120.56508878324459,-120.56508878324459,-120.56508878324459,-120.56508878324459,-120.56508878324459,-120.17501981205797,-120.17501981205797	0.9952876130456717	-120.17501981205797	5	false	1405
28	18	18	6	3258	24960	199680	0	0	-218.7266838669205	-218.7266838669205	-218.7266838669205	-218.7266838669205	-Infinity,-Infinity,-Infinity,-Infinity,-218.7266838669205,-218.7266838669205	0.995024126157873	-218.7266838669205	4	false	385
29	19	19	34	18204	141440	1131520	0	0	-120.97787460459932	-120.97787460459932	-120.97787460459932	-120.97787460459932	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-124.6500078135337,-123.94185130110607,-123.10647837661715,-122.1600739006094,-122.1600739006094,-122.11448427337865,-122.11448427337865,-122.11448427337865,-121.78285710629481,-121.78285710629481,-121.78285710629481,-121.78285710629481,-121.78285710629481,-121.78285710629481,-121.78285710629481,-121.78285710629481,-121.78285710629481,-121.78285710629481,-121.78285710629481,-121.78285710629481,-121.78285710629481,-121.78285710629481,-121.78285710629481,-120.97787460459932,-120.97787460459932	0.994524166368136	-120.97787460459932	3	false	1387
30	20	20	8	4013	33280	266240	0	0	-12.976869433983424	-12.976869433983424	-12.976869433983424	-12.976869433983424	-Infinity,-Infinity,-Infinity,-Infinity,-12.976889314194679,-12.976889314194679,-12.976869433983424,-12.976869433983424	0.9943563799065661	-12.976869433983424	1	true	371
31	23	23	22	11356	91520	732160	0	0	-9.857672913442615	-9.857672913442615	-9.857672913442615	-9.857672913442615	-Infinity,-Infinity,-Infinity,-23.41710716949722,-19.464741536282347,-17.669899998748043,-17.669784652614176,-14.539214881919873,-14.539214881919873,-12.922631432349013,-12.007889597143224,-11.938443274631739,-10.838903379292942,-10.838903379292942,-10.838903379292942,-10.838903379292942,-10.838903379292942,-10.838903379292942,-10.838903379292942,-10.838903379292942,-9.857672913442615,-9.857672913442615	0.9931903919404012	-9.857672913442615	1	true	876
32	23	23	100	50788	416000	3328000	0	0	-8.943249457865564	-8.943249457865564	-8.432617423482535	-8.432617423482535	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.635417152596107,-11.313003434119091,-11.174074280658532,-11.174074280658532,-11.174074280658532,-11.174074280658532,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.890234648735603,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-9.838943458885954,-8.943249457865564,-8.943249457865564,-8.943249457865564,-8.943249457865564	0.99312042608257	-8.943249457865564	1	true	2679
33	26	26	25	11305	104000	832000	0	0	-2.737716477244543	-2.737716477244543	-2.737716477244543	-2.737716477244543	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.867452987107274,-9.867452987107274,-7.408265927578395,-7.408265927578395,-7.408265927578395,-4.485907151236088,-4.485907151236088,-3.8754087358328735,-3.8754087358328735,-3.8754087358328735,-3.6602718919459636,-3.6602718919459636,-3.6602718919459636,-3.6602718919459636,-3.6602718919459636,-2.737716477244543,-2.737716477244543	0.9923157090531579	-2.737716477244543	0	true	801
34	28	28	13	5971	54080	432640	0	0	4.598549141515349	4.598549141515349	4.598549141515349	4.598549141515349	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,4.598549141515349,4.598549141515349	0.9915307681622446	4.598549141515349	0	true	472
