# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 9
# run: 84219c58-0f94-4da2-bfc0-d72d4ceda2f7
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	37	9882	79920	639360	0	0	-2993.262075035432	-2993.262075035432	-2993.262075035432	-2993.262075035432	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3290.9006533466463,-3290.9006533466463,-3290.6363535898577,-3191.9440403961667,-3191.9440403961667,-3191.9440403961667,-3191.9440403961667,-3191.9440403961667,-3193.3074481825124,-3093.1983243742234,-3093.1983243742234,-3093.1983243742234,-3093.1983243742234,-3093.1983243742234,-3093.1983243742234,-3093.1983243742234,-3093.1983243742234,-3093.1983243742234,-3093.1983243742234,-3093.1983243742234,-3093.1983243742234,-2995.262160409387,-2993.262075035432,-2993.262075035432	0.9960270797844731	-2993.262075035432	8	false	722
26	16	16	28	7338	60480	483840	0	0	-2979.4314719033187	-2979.4314719033187	-2979.4314719033187	-2979.4314719033187	-Infinity,-2983.8855716026947,-2983.8855716026947,-2983.8855716026947,-2982.65928787175,-2981.426163207569,-2981.382903078428,-2981.382903078428,-2981.382903078428,-2981.382903078428,-2980.4935925566883,-2980.4935925566883,-2980.4935925566883,-2980.4935925566883,-2980.4935925566883,-2980.4935925566883,-2980.4935925566883,-2980.4935925566883,-2980.4935925566883,-2980.4935925566883,-2980.4935925566883,-2980.4935925566883,-2980.4935925566883,-2980.4935925566883,-2980.4935925566883,-2980.4935925566883,-2979.4314719033187,-2979.4314719033187	0.9955956967707507	-2979.4314719033187	6	false	165
27	17	17	14	3568	30240	241920	0	0	-2968.119768722876	-2968.119768722876	-2968.119768722876	-2968.119768722876	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2969.3241637089977,-2969.144251504648,-2968.119768722876,-2968.119768722876	0.9954564961507815	-2968.119768722876	5	false	131
28	18	18	12	2897	25920	207360	0	0	-2966.013676735006	-2966.013676735006	-2966.013676735006	-2966.013676735006	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2966.84488194598,-2966.84488194598,-2966.84488194598,-2966.84488194598,-2966.013676735006,-2966.013676735006	0.9951930092629826	-2966.013676735006	3	false	113
29	18	18	41	8876	88560	708480	0	0	-1246.7030877925263	-1246.7030877925263	-1246.7030877925263	-1246.7030877925263	-Infinity,-Infinity,-Infinity,-2077.817633949189,-2076.545825376345,-1980.1905116090154,-1736.3488490823304,-1639.3195471407482,-1639.3195471407482,-1639.3195471407482,-1638.5167622076685,-1540.8337320277674,-1540.8337320277674,-1442.980188910107,-1442.1854680387376,-1442.1854680387376,-1442.1854680387376,-1442.1854680387376,-1345.1294472183088,-1343.2624046576793,-1343.2624046576793,-1343.2624046576793,-1343.2624046576793,-1343.2290168265868,-1343.2290168265868,-1343.2290168265868,-1246.7975883566799,-1246.7975883566799,-1246.7975883566799,-1246.7975883566799,-1246.7975883566799,-1246.7975883566799,-1246.7975883566799,-1246.7975883566799,-1246.7687720970418,-1246.7687720970418,-1246.7687720970418,-1246.7687720970418,-1246.7687720970418,-1246.7030877925263,-1246.7030877925263	0.994803371813337	-1246.7030877925263	13	false	157
30	18	18	21	4384	45360	362880	0	0	-1229.4542924929758	-1229.4542924929758	-1229.4542924929758	-1229.4542924929758	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1232.4286730353008,-1232.067020687312,-1232.067020687312,-1232.067020687312,-1232.067020687312,-1230.1925551755508,-1229.4542924929758,-1229.4542924929758	0.9947478816502295	-1229.4542924929758	7	false	110
31	22	22	46	9126	99360	794880	0	0	-1214.0908368407281	-1214.0908368407281	-1214.0908368407281	-1214.0908368407281	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1264.723836505407,-1214.7239160055503,-1214.7239160055503,-1214.7239160055503,-1214.7239160055503,-1214.7239160055503,-1214.7239160055503,-1214.7239160055503,-1214.7239160055503,-1214.7239160055503,-1214.7239160055503,-1214.7239160055503,-1214.7239160055503,-1214.7239160055503,-1214.7239160055503,-1214.7239160055503,-1214.7239160055503,-1214.7237318499863,-1214.7237318499863,-1214.7237318499863,-1214.7237318499863,-1214.7237318499863,-1214.7237318499863,-1214.7237318499863,-1214.7237318499863,-1214.7237318499863,-1214.7237318499863,-1214.7237318499863,-1214.7237318499863,-1214.7237318499863,-1214.7237318499863,-1214.7237318499863,-1214.7237318499863,-1214.0908368407281,-1214.0908368407281	0.9937227758241277	-1214.0908368407281	2	true	172
32	23	23	41	7673	88560	708480	0	0	-712.2880453460191	-712.2880453460191	-712.2880453460191	-712.2880453460191	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-810.9684371090167,-810.9684371090167,-810.9684371090167,-712.6677851039954,-712.6677851039954,-712.6677851039954,-712.6677851039954,-712.6677851039954,-712.6677851039954,-712.6677851039954,-712.6677851039954,-712.6677851039954,-712.6677851039954,-712.6677851039954,-712.6677851039954,-712.6677851039954,-712.6677851039954,-712.6677851039954,-712.6677851039954,-712.2880453460191,-712.2880453460191	0.9931903919404012	-712.2880453460191	2	true	131
33	23	22	59	10524	127440	1019520	0	0	-715.198502643742	-715.198502643742	-715.198502643742	-715.198502643742	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.9306540483842,-715.198502643742,-715.198502643742	0.9931753679239077	-715.198502643742	3	true	145
34	26	25	20	3315	43200	345600	0	0	-706.1009049887658	-706.1009049887658	-706.1009049887658	-706.1009049887658	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-708.1287450332304,-708.1287450332304,-708.1287450332304,-706.6917832447764,-706.1009049887658,-706.1009049887658	0.9926794657152674	-706.1009049887658	1	true	104
35	27	27	15	2371	32400	259200	0	0	-701.6860516288867	-701.6860516288867	-701.6860516288867	-701.6860516288867	-704.080945687117,-703.1022391106499,-705.7968726645556,-707.0300371669102,-706.1147388930656,-703.8181001225817,-703.08796889466,-703.08796889466,-703.237164487505,-705.0279693524593,-703.221652096782,-702.7490696871398,-702.7490696871398,-701.6860516288867,-701.6860516288867	0.9921008034741668	-701.6860516288867	0	true	91
36	29	29	11	1705	23760	190080	0	0	-692.045345890418	-692.045345890418	-692.045345890418	-692.045345890418	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-693.4994601439888,-692.8969983593471,-692.8969983593471,-692.8969983593471,-692.045345890418,-692.045345890418	0.9911947565816889	-692.045345890418	0	true	91
37	30	30	22	3498	47520	380160	0	0	-737.9588044669883	-737.9588044669883	-737.9588044669883	-737.9588044669883	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-788.7177999735737,-738.7178104570692,-738.7178104570692,-738.7178104570692,-738.7178104570692,-738.7178104570692,-738.7178104570692,-738.7178104570692,-738.7178104570692,-738.7178104570692,-738.7178104570692,-738.7178104570692,-737.9588044669883,-737.9588044669883	0.9910809249822707	-737.9588044669883	0	true	93
38	31	31	28	4564	60480	483840	0	0	-735.6019398620159	-735.6019398620159	-735.6019398620159	-735.6019398620159	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-786.5780388631946,-786.5780388631946,-785.677418878332,-785.677418878332,-785.677418878332,-785.6021836799916,-785.6021836799916,-785.6021836799916,-785.6021836799916,-785.6021836799916,-785.6021836799916,-735.6021999239789,-735.6021999239789,-735.6021999239789,-735.6021999239789,-735.6021999239789,-735.6021999239789,-735.6021999239789,-735.6021999239789,-735.6021999239789,-735.6019398620159,-735.6019398620159	0.9908558937279299	-735.6019398620159	0	true	99
39	31	31	10	1630	21600	172800	0	0	-685.9042403719513	-685.9042403719513	-685.9042403719513	-685.9042403719513	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-685.9042403719513,-685.9042403719513	0.990294960557387	-685.9042403719513	0	true	291
40	32	32	10	1670	21600	172800	0	0	-685.2483057015831	-685.2483057015831	-685.2483057015831	-685.2483057015831	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-685.2483057015831,-685.2483057015831	0.9901823718206475	-685.2483057015831	0	true	70
