# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 30
# run: 8599d1fa-0d3d-4560-bc33-722ec2440493
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	40	10645	57440	459520	0	0	-2442.5385335600126	-2442.5385335600126	-2442.5385335600126	-2442.5385335600126	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2444.694523662207,-2444.694523662207,-2444.694523662207,-2444.694523662207,-2443.9753007370377,-2443.9753007370377,-2443.9753007370377,-2443.9753007370377,-2443.9753007370377,-2443.9753007370377,-2443.9753007370377,-2443.9753007370377,-2443.9753007370377,-2443.9753007370377,-2443.9753007370377,-2443.9753007370377,-2443.9753007370377,-2443.9753007370377,-2442.698682124917,-2442.698682124917,-2442.698682124917,-2442.5385335600126,-2442.5385335600126	0.9960270797844731	-2442.5385335600126	3	true	478
26	15	15	2	525	2872	22976	0	0	-2433.270585726908	-2433.270585726908	-2433.270585726908	-2433.270585726908	-2433.270585726908,-2433.270585726908	0.9960270797844731	-2433.270585726908	3	true	81
27	15	15	7	1757	10052	80416	0	0	-2429.778048992298	-2429.778048992298	-2429.778048992298	-2429.778048992298	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2429.778048992298,-2429.778048992298	0.9960270797844731	-2429.778048992298	3	true	73
28	16	16	40	9690	57440	459520	0	0	-2423.868185903819	-2423.868185903819	-2423.868185903819	-2423.868185903819	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2427.11648063612,-2427.11648063612,-2427.11648063612,-2427.11648063612,-2427.11648063612,-2427.11648063612,-2427.11648063612,-2427.11648063612,-2427.11648063612,-2427.11648063612,-2427.11648063612,-2425.0417772991636,-2425.0417772991636,-2425.0417772991636,-2425.0417772991636,-2425.0417772991636,-2425.0417772991636,-2425.0417772991636,-2425.0417772991636,-2425.0417772991636,-2423.8939720139974,-2423.8939720139974,-2423.8939720139974,-2423.8939720139974,-2423.8939720139974,-2423.8939720139974,-2423.8939720139974,-2423.8939720139974,-2423.8939720139974,-2423.868185903819,-2423.868185903819	0.9956692815522626	-2423.868185903819	3	true	122
29	16	16	31	6955	44516	356128	0	0	-1033.4534329640528	-1033.4534329640528	-1033.4534329640528	-1033.4534329640528	-Infinity,-Infinity,-Infinity,-Infinity,-1332.149987853938,-1331.2101641872496,-1331.2101641872496,-1331.2101641872496,-1329.927423578242,-1329.927423578242,-1329.927423578242,-1232.6018822833503,-1232.6018822833503,-1231.7975674063168,-1135.2837826146185,-1135.2800283318545,-1135.2800283318545,-1135.2800283318545,-1135.2800283318545,-1134.271688146586,-1134.271688146586,-1038.5230873540163,-1035.3996047657006,-1035.3996047657006,-1035.3996047657006,-1035.3996047657006,-1035.3996047657006,-1035.3996047657006,-1035.3996047657006,-1033.4534329640528,-1033.4534329640528	0.9954268136656409	-1033.4534329640528	4	true	93
30	18	18	19	4126	27284	218272	0	0	-626.3645043245176	-626.3645043245176	-626.3645043245176	-626.3645043245176	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-726.9714291977723,-726.0983688582776,-726.0983688582776,-726.0983688582776,-726.0983688582776,-726.0983688582776,-726.0983688582776,-726.0432770344138,-626.3645043245176,-626.3645043245176	0.9952147228050682	-626.3645043245176	3	true	68
31	18	18	11	2254	15796	126368	0	0	-626.1795306067945	-626.1795306067945	-626.1795306067945	-626.1795306067945	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-626.1795306067945,-626.1795306067945	0.9949686359947655	-626.1795306067945	3	true	60
32	18	18	14	2701	20104	160832	0	0	-628.6629750230134	-628.6629750230134	-628.6629750230134	-628.6629750230134	-Infinity,-Infinity,-Infinity,-629.5167020842347,-629.5167020842347,-629.5167020842347,-629.5167020842347,-629.5167020842347,-629.5167020842347,-629.391239613523,-628.7310232034059,-628.7310232034059,-628.6629750230134,-628.6629750230134	0.9945946805477371	-628.6629750230134	2	true	58
33	19	19	28	5228	40208	321664	0	0	-624.3806209424171	-624.3806209424171	-624.3806209424171	-624.3806209424171	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-628.819406400282,-627.8410055765261,-627.8410055765261,-626.6595179821702,-625.0096065639282,-625.0096065639282,-625.0096065639282,-625.0096065639282,-625.0096065639282,-625.0096065639282,-625.0096065639282,-625.0096065639282,-625.0096065639282,-625.0096065639282,-625.0096065639282,-625.0096065639282,-624.7099757445925,-624.7099757445925,-624.3806209424171,-624.3806209424171	0.9941695118474059	-624.3806209424171	2	true	74
34	22	22	22	3885	31592	252736	0	0	-619.3276176231401	-619.3276176231401	-619.3276176231401	-619.3276176231401	-Infinity,-Infinity,-Infinity,-624.6045173492724,-621.4336498250434,-621.4336498250434,-621.4336498250434,-621.4336498250434,-621.4336498250434,-621.4336498250434,-621.3719306413439,-621.3719306413439,-620.6278298029672,-619.8139637325415,-619.8139637325415,-619.8139637325415,-619.8139637325415,-619.8139637325415,-619.8139637325415,-619.8139637325415,-619.3276176231401,-619.3276176231401	0.9933979500076767	-619.3276176231401	0	true	70
