# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 14
# run: 86c09310-2586-4b16-af00-43e414124c76
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	43	11395	39216	313728	0	0	-2045.4476219838011	-2045.4476219838011	-2045.4476219838011	-2045.4476219838011	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2148.3390223563933,-2148.3390223563933,-2148.3390223563933,-2148.3390223563933,-2148.3390223563933,-2147.352874439598,-2147.352874439598,-2147.352874439598,-2147.352874439598,-2147.352874439598,-2147.352874439598,-2147.352874439598,-2147.352874439598,-2147.352874439598,-2147.352874439598,-2146.1002594044603,-2146.1002594044603,-2146.1002594044603,-2146.1002594044603,-2146.1002594044603,-2145.3840534915616,-2145.3840534915616,-2145.3840534915616,-2145.3840534915616,-2145.3840534915616,-2145.3840534915616,-2047.4134691225252,-2045.4476219838011,-2045.4476219838011	0.9968457241868389	-2045.4476219838011	1	true	454
26	15	15	30	7861	27360	218880	0	0	-2038.6521889502774	-2038.6521889502774	-2038.6521889502774	-2038.6521889502774	-2041.1841168205183,-2041.1841168205183,-2040.3892421425323,-2040.3892421425323,-2040.3892421425323,-2040.3892421425323,-2040.3892421425323,-2040.3892421425323,-2040.3892421425323,-2040.3892421425323,-2040.3892421425323,-2040.3892421425323,-2040.3892421425323,-2040.3892421425323,-2040.3892421425323,-2040.3295336621889,-2040.3295336621889,-2039.4917236985118,-2039.4917236985118,-2039.4917236985118,-2039.4917236985118,-2039.4917236985118,-2039.4917236985118,-2039.4917236985118,-2039.4917236985118,-2039.4917236985118,-2039.4917236985118,-2039.4917236985118,-2038.6521889502774,-2038.6521889502774	0.9960270797844731	-2038.6521889502774	1	true	147
27	15	15	7	1773	6384	51072	0	0	-2034.7828177256015	-2034.7828177256015	-2034.7828177256015	-2034.7828177256015	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2034.7828177256015,-2034.7828177256015	0.9960270797844731	-2034.7828177256015	1	true	50
28	15	15	7	1742	6384	51072	0	0	-2032.4027747853077	-2032.4027747853077	-2032.4027747853077	-2032.4027747853077	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2032.4027747853077,-2032.4027747853077	0.9960270797844731	-2032.4027747853077	1	true	44
29	16	16	14	3283	12768	102144	0	0	-1137.4304928363508	-1137.4304928363508	-1137.4304928363508	-1137.4304928363508	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1434.750923749343,-1434.750923749343,-1237.545603760042,-1237.545603760042,-1139.8689813429326,-1138.9919832299247,-1137.89172443169,-1137.4304928363508,-1137.4304928363508	0.995805594344244	-1137.4304928363508	2	true	48
30	16	16	32	7236	29184	233472	0	0	-1133.3866825308496	-1133.3866825308496	-1133.3866825308496	-1133.3866825308496	-Infinity,-Infinity,-Infinity,-1136.216462163522,-1136.216462163522,-1136.216462163522,-1134.267356196152,-1134.267356196152,-1134.267356196152,-1134.267356196152,-1134.267356196152,-1134.267356196152,-1134.267356196152,-1134.267356196152,-1134.267356196152,-1134.267356196152,-1134.267356196152,-1134.2195333590323,-1134.2195333590323,-1134.2195333590323,-1134.2195333590323,-1134.2195333590323,-1134.2195333590323,-1134.2195333590323,-1134.2195333590323,-1134.2195333590323,-1134.2195333590323,-1134.2195333590323,-1134.2195333590323,-1134.2195333590323,-1133.3866825308496,-1133.3866825308496	0.9954268136656409	-1133.3866825308496	0	true	89
31	17	16	23	4835	20976	167808	0	0	-1132.66512247706	-1132.66512247706	-1132.66512247706	-1132.66512247706	-Infinity,-Infinity,-Infinity,-Infinity,-1234.6430475876405,-1234.6430475876405,-1234.6430475876405,-1233.848829263255,-1233.848829263255,-1233.848829263255,-1182.9490490859441,-1182.9490490859441,-1182.8549870965946,-1182.8549870965946,-1182.8549870965946,-1182.8549870965946,-1182.665115951125,-1182.665115951125,-1182.665115951125,-1182.665115951125,-1182.665115951125,-1132.66512247706,-1132.66512247706	0.9953376199910808	-1132.66512247706	0	true	45
32	18	18	10	1990	9120	72960	0	0	-831.951305352481	-831.951305352481	-831.951305352481	-831.951305352481	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-832.7289398899019,-832.7289398899019,-831.951305352481,-831.951305352481	0.995024126157873	-831.951305352481	0	true	36
33	18	16	53	10282	48336	386688	0	0	-837.2725789412925	-837.2725789412925	-837.2725789412925	-837.2725789412925	-839.3812149652305,-838.4886120919142,-838.4886120919142,-838.4886120919142,-838.4886120919142,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.5343091179825,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4877729729815,-837.4579766164857,-837.4579766164857,-837.4579766164857,-837.4579766164857,-837.4579766164857,-837.4579766164857,-837.4579766164857,-837.4579766164857,-837.4579766164857,-837.4576610282479,-837.2725789412925,-837.2725789412925	0.9950354215863316	-837.2725789412925	1	true	351
34	18	18	16	3013	14592	116736	0	0	-835.4583870433482	-835.4583870433482	-835.4583870433482	-835.4583870433482	-Infinity,-Infinity,-Infinity,-Infinity,-838.9412667147725,-838.9412667147725,-838.9412667147725,-838.9412667147725,-838.9412667147725,-838.9412667147725,-838.9412667147725,-836.6630854246164,-835.997255152743,-835.997255152743,-835.4583870433482,-835.4583870433482	0.9947478816502295	-835.4583870433482	0	true	40
