# solver: Greedy
# max_time: 300000
# main_solver: Greedy
# random.seed: 12
# run: 8afc3541-540f-4263-a191-48402a16f4a6
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	0	0	0	0	0	-1367.131155853264	-1367.131155853264	-1165.0476272670114	-1165.0476272670114	-1367.131155853264	0.9963744964578416	-1367.131155853264	2	true	105
26	15	15	1	0	0	0	0	0	-1362.5059925358532	-1362.5059925358532	-1161.4692561489578	-1161.4692561489578	-1362.5059925358532	0.9960270797844731	-1362.5059925358532	2	true	17
27	15	15	1	0	0	0	0	0	-1361.231551400422	-1361.231551400422	-1160.0929807562688	-1160.0929807562688	-1361.231551400422	0.9960270797844731	-1361.231551400422	2	true	11
28	16	16	1	0	0	0	0	0	-1362.7833823990306	-1362.7833823990306	-1159.011154435377	-1159.011154435377	-1362.7833823990306	0.995805594344244	-1362.7833823990306	3	true	10
29	16	16	1	0	0	0	0	0	-1361.323061779781	-1361.323061779781	-1158.8598740939913	-1158.8598740939913	-1361.323061779781	0.9955956967707507	-1361.323061779781	3	true	11
30	17	17	1	0	0	0	0	0	-1360.865602983485	-1360.865602983485	-1156.2839877910035	-1156.2839877910035	-1360.865602983485	0.9952876130456717	-1360.865602983485	3	true	9
31	18	17	1	0	0	0	0	0	-1364.6236315184262	-1364.6236315184262	-1158.5529002593876	-1158.5529002593876	-1364.6236315184262	0.9953202199135847	-1364.6236315184262	4	true	9
32	18	17	1	0	0	0	0	0	-1363.4133365477733	-1363.4133365477733	-1156.998591556224	-1156.998591556224	-1363.4133365477733	0.9950186429401746	-1363.4133365477733	4	true	8
33	18	18	1	0	0	0	0	0	-1372.735276262522	-1372.735276262522	-1158.1989899509285	-1158.1989899509285	-1372.735276262522	0.9947478816502295	-1372.735276262522	6	true	8
34	21	21	1	0	0	0	0	0	-1421.6812849665457	-1421.6812849665457	-1156.6591048835985	-1156.6591048835985	-1421.6812849665457	0.9939532537413823	-1421.6812849665457	6	true	8
35	22	22	1	0	0	0	0	0	-1430.4242689760367	-1430.4242689760367	-1157.916287937539	-1157.916287937539	-1430.4242689760367	0.9933979500076767	-1430.4242689760367	8	true	8
36	22	22	1	0	0	0	0	0	-1327.716176400243	-1327.716176400243	-1058.0882506286944	-1058.0882506286944	-1327.716176400243	0.9933279841498455	-1327.716176400243	7	true	8
37	24	24	1	0	0	0	0	0	-1276.9066612166748	-1276.9066612166748	-1057.003803507875	-1057.003803507875	-1276.9066612166748	0.9926611517681547	-1276.9066612166748	7	true	8
38	26	26	1	0	0	0	0	0	-1276.8208416219659	-1276.8208416219659	-1056.264827863648	-1056.264827863648	-1276.8208416219659	0.9920620919572161	-1276.8208416219659	7	true	11
39	27	27	1	0	0	0	0	0	-1269.733433699202	-1269.733433699202	-1057.797302291634	-1057.797302291634	-1269.733433699202	0.9913629817006746	-1269.733433699202	5	true	8
40	30	30	1	0	0	0	0	0	-1268.0707525009873	-1268.0707525009873	-1055.811150599019	-1055.811150599019	-1268.0707525009873	0.9909851514464726	-1268.0707525009873	5	true	8
41	31	31	1	0	0	0	0	0	-1268.0470388147328	-1268.0470388147328	-558.906536722473	-558.906536722473	-1268.0470388147328	0.9908148792595463	-1268.0470388147328	5	true	8
42	31	31	1	0	0	0	0	0	-1267.8381059427697	-1267.8381059427697	-558.6981712851598	-558.6981712851598	-1267.8381059427697	0.9904373048888367	-1267.8381059427697	5	true	8
43	32	31	1	0	0	0	0	0	-1072.6383554796241	-1072.6383554796241	-558.9100822341051	-558.9100822341051	-1072.6383554796241	0.9902278825275441	-1072.6383554796241	6	true	7
44	34	33	1	0	0	0	0	0	-1071.60183472276	-1071.60183472276	-459.8203749001465	-459.8203749001465	-1071.60183472276	0.9901197534745323	-1071.60183472276	6	true	8
