# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 24
# run: 8dc3bab7-c648-4f08-966f-5e692cd3ff76
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	54400	323730	2589840	0	0	-1657.3495182970148	-1656.0370157239126	-1652.0540434986478	-1652.0540434986478	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1667.6373896983787,-1667.6373896983787,-1665.6453567201743,-1665.6453567201743,-1665.6453567201743,-1665.6453567201743,-1665.6453567201743,-1665.6453567201743,-1665.6453567201743,-1665.6453567201743,-1665.6453567201743,-1665.6453567201743,-1665.6453567201743,-1665.6453567201743,-1665.7138656353272,-1665.7138656353272,-1665.7138656353272,-1665.7138656353272,-1665.7138656353272,-1665.7138656353272,-1665.7138656353272,-1665.7138656353272,-1665.7138656353272,-1665.7138656353272,-1666.4927819212483,-1666.4927819212483,-1666.4927819212483,-1669.136116653093,-1669.136116653093,-1669.136116653093,-1669.136116653093,-1669.136116653093,-1669.136116653093,-1669.136116653093,-1664.5505433713492,-1664.5505433713492,-1664.5505433713492,-1664.5505433713492,-1664.5505433713492,-1664.5505433713492,-1664.5505433713492,-1661.2814248714485,-1661.2814248714485,-1661.2814248714485,-1657.2815864036595,-1657.2815864036595,-1657.2815864036595,-1656.0370157239126,-1656.0370157239126,-1656.0370157239126,-1656.0370157239126,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148,-1657.3495182970148	0.9960270797844731	-1656.0370157239126	3	true	1093
26	15	15	100	54200	321750	2574000	0	0	-1648.2081776172433	-1647.9241520101436	-1646.488423144801	-1646.488423144801	-Infinity,-Infinity,-Infinity,-Infinity,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1649.712402209612,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1647.9241520101436,-1648.2081776172433,-1648.2081776172433,-1648.2081776172433,-1648.2081776172433,-1648.2081776172433,-1648.2081776172433,-1648.2081776172433,-1648.2081776172433,-1648.2081776172433,-1648.2081776172433,-1648.2081776172433	0.9960270797844731	-1647.9241520101436	2	true	535
27	15	15	100	51200	311850	2494800	0	0	-1646.309808832071	-1646.0168757589565	-1644.583414319182	-1644.583414319182	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.0168757589565,-1646.309808832071,-1646.309808832071,-1646.309808832071,-1646.309808832071,-1646.309808832071,-1646.309808832071,-1646.309808832071,-1646.309808832071,-1646.309808832071,-1646.309808832071,-1646.309808832071,-1646.309808832071,-1646.309808832071,-1646.309808832071	0.9960270797844731	-1646.0168757589565	2	true	393
28	16	16	100	51000	314028	2512224	0	0	-1645.493935070054	-1645.493935070054	-1643.4930434599319	-1643.4930434599319	-Infinity,-Infinity,-Infinity,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1652.5614905924947,-1648.619271733436,-1648.619271733436,-1648.619271733436,-1648.619271733436,-1648.619271733436,-1648.619271733436,-1648.619271733436,-1648.619271733436,-1648.619271733436,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054,-1645.493935070054	0.995805594344244	-1645.493935070054	2	true	408
29	16	16	100	47800	302148	2417184	0	0	-1644.885192617346	-1643.9698440245384	-1642.5156547937254	-1642.5156547937254	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1643.9698440245384,-1644.885192617346,-1644.885192617346,-1644.885192617346,-1644.885192617346,-1644.885192617346,-1644.885192617346,-1644.885192617346,-1644.885192617346,-1644.885192617346	0.9954268136656409	-1643.9698440245384	2	true	328
30	18	18	100	47200	304524	2436192	0	0	-853.9303401406071	-853.9303401406071	-847.9290034077098	-847.9290034077098	-879.4621589273303,-879.4621589273303,-874.2181215858851,-874.2181215858851,-868.3555412285934,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-863.3108765053676,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-858.6359850140967,-855.6363111418908,-855.6363111418908,-855.6363111418908,-855.6363111418908,-855.6363111418908,-855.6363111418908,-855.6363111418908,-855.6363111418908,-853.9303401406071,-853.9303401406071,-853.9303401406071,-853.9303401406071,-853.9303401406071,-853.9303401406071,-853.9303401406071,-853.9303401406071,-853.9303401406071,-853.9303401406071	0.9952702129681755	-853.9303401406071	3	true	364
31	18	17	100	46400	292446	2339568	0	0	-860.7911416890963	-858.8636393106475	-852.2283079367298	-851.4084555689209	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-868.1979285379256,-863.5633050916433,-863.5633050916433,-863.5633050916433,-863.5633050916433,-863.5633050916433,-863.5633050916433,-863.5633050916433,-863.5633050916433,-861.4961213229737,-861.4961213229737,-861.4961213229737,-861.4961213229737,-861.4961213229737,-861.4961213229737,-861.4961213229737,-861.4961213229737,-861.4961213229737,-861.4961213229737,-861.4961213229737,-858.8636393106475,-859.5126202500296,-859.5126202500296,-859.5126202500296,-859.5126202500296,-859.5126202500296,-859.5126202500296,-859.5126202500296,-859.5126202500296,-859.5126202500296,-859.5126202500296,-860.7908652604688,-860.7908652604688,-860.7908652604688,-860.7908652604688,-860.7908652604688,-860.7911416890963,-860.7911416890963,-860.7911416890963,-860.7911416890963,-860.7911416890963,-860.7911416890963,-860.7911416890963,-860.7911416890963,-860.7911416890963,-860.7911416890963,-860.7911416890963,-860.7911416890963,-860.7911416890963,-860.7911416890963,-860.7911416890963,-860.7911416890963,-860.7911416890963,-860.7911416890963	0.9950186429401746	-858.8636393106475	5	true	297
32	18	18	100	43200	284724	2277792	0	0	-664.6736132872361	-663.2830917793668	-653.6753722539768	-653.151081036342	-673.1897994527334,-673.1897994527334,-663.2830917793668,-663.2830917793668,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361,-664.6736132872361	0.9947478816502295	-663.2830917793668	7	true	285
33	19	19	100	43000	286902	2295216	0	0	-657.4962061450113	-657.4962061450113	-650.2940413461133	-650.2940413461133	-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-659.212966827036,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113,-657.4962061450113	0.9941695118474059	-657.4962061450113	5	true	313
34	22	22	100	68285	293436	2347488	0	0	-647.6801585307459	-647.6604318005708	-644.5842758002392	-644.5845297620137	-663.7771398450491,-663.7771398450491,-663.7771398450491,-663.7771398450491,-663.7771398450491,-663.7771398450491,-663.7771398450491,-663.7771398450491,-663.7771398450491,-663.7771398450491,-659.4677657459684,-657.7457263178833,-657.7457263178833,-657.7457263178833,-657.7457263178833,-657.7457263178833,-657.7457263178833,-657.7457263178833,-654.883506815727,-654.883506815727,-654.883506815727,-654.883506815727,-654.883506815727,-654.883506815727,-654.883506815727,-654.883506815727,-654.883506815727,-654.883506815727,-655.3568201336992,-655.3568201336992,-655.3568201336992,-655.3568201336992,-655.3568201336992,-656.6839546658518,-656.6839546658518,-656.6839546658518,-656.6839546658518,-656.6839546658518,-656.6839546658518,-656.6839546658518,-656.6839546658518,-656.6839546658518,-656.6839546658518,-656.6839546658518,-656.6839546658518,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-654.932609704788,-650.9188783644893,-650.9188783644893,-650.9188783644893,-650.9188783644893,-650.9188783644893,-650.9188783644893,-650.9188783644893,-650.9188783644893,-647.6604318005708,-647.6604318005708,-647.6604318005708,-647.6604318005708,-647.6604318005708,-647.6604318005708,-647.6604318005708,-647.6604318005708,-647.6604318005708,-647.6801585307459,-647.6801585307459,-647.6801585307459	0.9933681213033975	-647.6604318005708	3	true	310
