# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 12
# run: 8dd3a4ca-0e75-4b41-80da-eb41df1b83b7
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	54400	323730	2589840	0	0	-1657.326323537788	-1656.0134658253066	-1652.1228876645735	-1653.0832133934616	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1665.723553326403,-1662.4547013646313,-1662.4547013646313,-1662.4547013646313,-1662.4547013646313,-1662.4547013646313,-1662.4547013646313,-1662.4547013646313,-1663.233860914201,-1663.233860914201,-1663.233860914201,-1663.233860914201,-1665.8774322009883,-1665.8774322009883,-1665.8774322009883,-1665.8774322009883,-1665.8774322009883,-1665.8774322009883,-1661.292407454415,-1661.292407454415,-1661.292407454415,-1661.292407454415,-1661.292407454415,-1661.292407454415,-1661.2574770804458,-1661.2574770804458,-1661.2574770804458,-1657.2578644789364,-1657.2578644789364,-1656.0134658253066,-1656.0134658253066,-1656.0134658253066,-1656.0134658253066,-1656.0134658253066,-1656.0134658253066,-1656.0134658253066,-1656.0134658253066,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788,-1657.326323537788	0.9963744964578416	-1656.0134658253066	3	true	883
26	15	15	100	54200	321750	2574000	0	0	-1648.3164866730583	-1648.0311124550533	-1646.5525825140644	-1646.5983388546638	-Infinity,-Infinity,-Infinity,-Infinity,-1649.77437499143,-1649.77437499143,-1649.77437499143,-1649.77437499143,-1649.77437499143,-1649.77437499143,-1649.77437499143,-1649.77437499143,-1649.77437499143,-1649.77437499143,-1649.77437499143,-1649.77437499143,-1649.77437499143,-1649.77437499143,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.0311124550533,-1648.3164866730583,-1648.3164866730583,-1648.3164866730583,-1648.3164866730583,-1648.3164866730583,-1648.3164866730583,-1648.3164866730583,-1648.3164866730583,-1648.3164866730583,-1648.3164866730583,-1648.3164866730583,-1648.3164866730583	0.9960270797844731	-1648.0311124550533	2	true	517
27	15	15	100	51200	311850	2494800	0	0	-1646.4718505858355	-1646.182419675056	-1644.7897077855525	-1644.708755661426	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.182419675056,-1646.4718505858355,-1646.4718505858355,-1646.4718505858355,-1646.4718505858355,-1646.4718505858355,-1646.4718505858355,-1646.4718505858355,-1646.4718505858355,-1646.4718505858355,-1646.4718505858355,-1646.4718505858355,-1646.4718505858355,-1646.4718505858355,-1646.4718505858355,-1646.4718505858355	0.9960270797844731	-1646.182419675056	2	true	291
28	16	16	100	51200	316008	2528064	0	0	-1645.700996906122	-1645.700996906122	-1643.6173280986093	-1643.6173280986093	-1648.8954605043396,-1648.8954605043396,-1648.9304339460525,-1648.9304339460525,-1648.9304339460525,-1648.9304339460525,-1648.9304339460525,-1648.9304339460525,-1648.9304339460525,-1648.9304339460525,-1648.9304339460525,-1648.9304339460525,-1648.9304339460525,-1648.9304339460525,-1648.9304339460525,-1648.9304339460525,-1648.9304339460525,-1648.9304339460525,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122,-1645.700996906122	0.995805594344244	-1645.700996906122	2	true	247
29	16	16	100	47800	302148	2417184	0	0	-1645.0891679786675	-1644.1768895238897	-1643.572809775566	-1642.6976561524816	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1644.1768895238897,-1644.1768895238897,-1644.1768895238897,-1644.1768895238897,-1644.1768895238897,-1644.1768895238897,-1644.1768895238897,-1644.1768895238897,-1645.0891679786675,-1645.0891679786675,-1645.0891679786675,-1645.0891679786675,-1645.0891679786675,-1645.0891679786675,-1645.0891679786675,-1645.0891679786675,-1645.0891679786675	0.9955956967707507	-1644.1768895238897	2	true	230
30	17	17	100	47200	300366	2402928	0	0	-855.0147479045079	-855.0147479045079	-850.8229728325742	-850.8229728325742	-879.9051845892278,-879.9051845892278,-870.8280487664674,-870.8280487664674,-860.7419779301525,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-865.0219205679391,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-861.5053734805223,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079,-855.0147479045079	0.9952876130456717	-855.0147479045079	3	true	235
31	18	18	100	46200	294624	2356992	0	0	-646.480636024825	-646.480636024825	-645.6379417226262	-645.6379417226262	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-651.4577115553437,-648.210644159451,-648.210644159451,-648.210644159451,-648.210644159451,-648.210644159451,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825,-646.480636024825	0.9952702129681755	-646.480636024825	1	true	232
32	18	18	100	43600	288684	2309472	0	0	-654.4326494935915	-654.4326494935915	-648.8990765767085	-648.8990765767085	-657.7501528576005,-657.7501528576005,-657.7501528576005,-657.7501528576005,-657.7501528576005,-657.7501528576005,-657.7501528576005,-657.7501528576005,-657.7501528576005,-657.7501528576005,-657.7501528576005,-657.7501528576005,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-660.498942163984,-656.5229403983186,-654.4326494935915,-654.4326494935915,-654.4326494935915,-654.4326494935915	0.9949686359947655	-654.4326494935915	3	true	241
33	18	18	100	43400	286704	2293632	0	0	-662.2211637365266	-661.8731086616647	-651.9393027607705	-652.7585446842533	-663.1140095509953,-663.1140095509953,-663.1140095509953,-663.1140095509953,-663.1351887847495,-661.8731086616647,-661.8731086616647,-661.8731086616647,-663.1764377456507,-663.1764377456507,-663.1764377456507,-663.1764377456507,-663.1764377456507,-663.1764377456507,-663.1764377456507,-663.1764377456507,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-665.9443937810352,-663.4422776703673,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266,-662.2211637365266	0.9947478816502295	-661.8731086616647	7	true	222
34	22	22	100	68374	297396	2379168	0	0	-649.0091637621849	-649.0091637621849	-643.840634591393	-643.840634591393	-666.4543884732217,-666.4543884732217,-666.4543884732217,-666.4543884732217,-666.4543884732217,-666.4543884732217,-662.5449269105628,-662.5449269105628,-659.4324932859132,-659.4324932859132,-659.4324932859132,-659.4324932859132,-657.1087371288928,-657.1087371288928,-657.1087371288928,-656.6786913010304,-656.6786913010304,-656.6786913010304,-656.6786913010304,-656.6786913010304,-656.6786913010304,-656.6786913010304,-656.6786913010304,-656.6786913010304,-656.6786913010304,-656.6786913010304,-656.6786913010304,-656.6786913010304,-656.6786913010304,-653.8100717456487,-653.8100717456487,-653.8100717456487,-654.0854274467509,-654.0854274467509,-654.0854274467509,-654.0854274467509,-654.0854274467509,-654.0854274467509,-654.0854274467509,-652.5171954682284,-652.5171954682284,-652.5171954682284,-651.2862130280945,-651.2862130280945,-651.2862130280945,-651.2862130280945,-651.2862130280945,-652.6234999196456,-652.6234999196456,-652.6234999196456,-652.6234999196456,-652.6234999196456,-652.6234999196456,-652.6234999196456,-652.6234999196456,-652.6234999196456,-652.6234999196456,-650.6795629137068,-650.6795629137068,-650.6795629137068,-650.6795629137068,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849,-649.0091637621849	0.993745695674107	-649.0091637621849	3	true	232
