# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 20
# run: 8e2149c7-cbe0-403a-9774-68db7f37ad50
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	36	21455	149760	1198080	0	0	-130.51405254593607	-130.51405254593607	-130.51405254593607	-130.51405254593607	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-130.5140796005149,-130.5140796005149,-130.5140796005149,-130.5140796005149,-130.5140583517757,-130.5140583517757,-130.5140583517757,-130.5140583517757,-130.5140583517757,-130.5140583517757,-130.5140583517757,-130.5140583517757,-130.51405254593607,-130.51405254593607	0.9966555661970596	-130.51405254593607	6	false	2141
26	15	15	10	5475	41600	332800	0	0	-126.41300900499641	-126.41300900499641	-126.41300900499641	-126.41300900499641	-Infinity,-Infinity,-Infinity,-Infinity,-127.49372707731088,-127.49372707731088,-127.49372707731088,-126.64675554595462,-126.41300900499641,-126.41300900499641	0.9960270797844731	-126.41300900499641	7	false	531
27	15	15	17	9097	70720	565760	0	0	-121.56454416555864	-121.56454416555864	-121.56454416555864	-121.56454416555864	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-121.56454416555864,-121.56454416555864	0.9960270797844731	-121.56454416555864	7	false	747
28	15	15	12	6247	49920	399360	0	0	-167.877460533979	-167.877460533979	-167.877460533979	-167.877460533979	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-167.877460533979,-167.877460533979	0.9960270797844731	-167.877460533979	7	false	535
29	16	16	15	7689	62400	499200	0	0	-115.87687120959728	-115.87687120959728	-115.87687120959728	-115.87687120959728	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-165.87687048643474,-165.87687048643474,-165.87687048643474,-165.87687048643474,-165.87687048643474,-165.87687048643474,-115.87687120959728,-115.87687120959728	0.9956367112391343	-115.87687120959728	6	false	600
30	16	16	9	4398	37440	299520	0	0	-65.47794328855689	-65.47794328855689	-65.47794328855689	-65.47794328855689	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-65.47794328855689,-65.47794328855689	0.9954268136656409	-65.47794328855689	6	false	413
31	17	17	12	5568	49920	399360	0	0	38.56153003358234	38.56153003358234	38.56153003358234	38.56153003358234	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,38.56153003358234,38.56153003358234	0.9952876130456717	38.56153003358234	4	false	383
32	18	18	8	3687	33280	266240	0	0	34.97543288802725	34.97543288802725	34.97543288802725	34.97543288802725	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,34.97543288802725,34.97543288802725	0.9949686359947655	34.97543288802725	4	false	308
33	18	18	12	5430	49920	399360	0	0	37.49939488420285	37.49939488420285	37.49939488420285	37.49939488420285	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,37.49939488420285,37.49939488420285	0.9949686359947655	37.49939488420285	4	false	353
34	18	18	22	9598	91520	732160	0	0	29.711227081254904	29.711227081254904	29.711227081254904	29.711227081254904	-Infinity,-Infinity,26.87668044431603,26.87668044431603,26.87668044431603,26.87668044431603,26.87668044431603,26.87668044431603,27.67671155927102,27.67671155927102,27.67671155927102,29.578890727783488,29.578890727783488,29.578890727783488,29.578890727783488,29.578890727783488,29.578890727783488,29.578890727783488,29.578890727783488,29.613406249767372,29.711227081254904,29.711227081254904	0.9943932271294993	29.711227081254904	5	false	500
35	21	20	55	20440	228800	1830400	0	0	30.547638139358384	30.547638139358384	30.547638139358384	30.547638139358384	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,28.163026278797865,28.163026278797865,28.163026278797865,28.748528288629856,28.748528288629856,28.748528288629856,28.748528288629856,28.748528288629856,28.748528288629856,28.748528288629856,28.748528288629856,28.748528288629856,28.748528288629856,28.748528288629856,28.748528288629856,28.748528288629856,28.748528288629856,28.748528288629856,28.748528288629856,29.641628409219713,29.70532444090734,29.70532444090734,29.70532444090734,30.17530101435812,30.17530101435812,30.17530101435812,30.213747296897623,30.213747296897623,30.224774217221096,30.224774217221096,30.224774217221096,30.224774217221096,30.224774217221096,30.224774217221096,30.224774217221096,30.224774217221096,30.282255797996832,30.282255797996832,30.282255797996832,30.282255797996832,30.282255797996832,30.547638139358384,30.547638139358384	0.9936125265936061	30.547638139358384	4	false	1097
36	22	20	11	3351	45760	366080	0	0	31.88186219112012	31.88186219112012	31.88186219112012	31.88186219112012	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,31.88186219112012,31.88186219112012	0.9933787587457324	31.88186219112012	6	false	290
