# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 3
# run: 8f3dd718-60d1-4828-af05-3cc81f19fc16
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	21	10354	36162	289296	0	0	-293.98081509072927	-293.98081509072927	-293.98081509072927	-293.98081509072927	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-295.8619935551825,-295.8619935551825,-295.8619935551825,-295.8619935551825,-293.98081509072927,-293.98081509072927	0.9968457241868389	-293.98081509072927	1	true	672
26	15	15	9	4100	15498	123984	0	0	-234.46378492526645	-234.46378492526645	-234.46378492526645	-234.46378492526645	-Infinity,-Infinity,-Infinity,-Infinity,-236.97626909097318,-235.15852251021016,-235.15852251021016,-234.46378492526645,-234.46378492526645	0.9964541127788218	-234.46378492526645	0	true	234
27	15	15	24	10656	41328	330624	0	0	-233.1219740142427	-233.1219740142427	-233.1219740142427	-233.1219740142427	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-233.1219740142427,-233.1219740142427	0.9960270797844731	-233.1219740142427	0	true	617
28	15	15	3	1356	5166	41328	0	0	-180.8819059015405	-180.8819059015405	-180.8819059015405	-180.8819059015405	-Infinity,-180.8819059015405,-180.8819059015405	0.9960270797844731	-180.8819059015405	0	true	125
29	15	15	24	10584	41328	330624	0	0	-79.23829144927012	-79.23829144927012	-79.23829144927012	-79.23829144927012	-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-129.23829085846916,-79.23829144927012,-79.23829144927012	0.9960270797844731	-79.23829144927012	0	true	429
30	16	16	5	2040	8610	68880	0	0	-79.74949574788083	-79.74949574788083	-79.74949574788083	-79.74949574788083	-84.61646694484097,-80.41185011530939,-80.41185011530939,-79.74949574788083,-79.74949574788083	0.9956367112391343	-79.74949574788083	0	true	117
31	16	16	12	4774	20664	165312	0	0	-30.75168640153709	-30.75168640153709	-30.75168640153709	-30.75168640153709	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-30.751732143222785,-30.75168640153709,-30.75168640153709	0.9954268136656409	-30.75168640153709	0	true	208
32	18	18	36	14738	61992	495936	0	0	-27.97658451698636	-27.97658451698636	-27.97658451698636	-27.97658451698636	-29.77400797633574,-29.77400797633574,-29.77400797633574,-28.963914679977428,-28.963914679977428,-28.963914679977428,-28.963914679977428,-29.82701339429472,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97698428585336,-27.97658451698636,-27.97658451698636	0.9952702129681755	-27.97658451698636	0	true	685
33	18	18	33	13784	56826	454608	0	0	19.393103408359565	19.393103408359565	19.393103408359565	19.393103408359565	-Infinity,-33.010185943489,-33.010185943489,-33.010185943489,-33.010185943489,-33.010185943489,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.19378712737857,-31.11189002413265,-30.790973065579664,-30.790973065579664,-30.790973065579664,19.209502224469997,19.209502224469997,19.393103408359565,19.393103408359565	0.9949686359947655	19.393103408359565	0	true	489
34	18	18	2	837	3444	27552	0	0	17.89667900038007	17.89667900038007	17.89667900038007	17.89667900038007	17.89667900038007,17.89667900038007	0.9948311168948906	17.89667900038007	0	true	257
