# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 7
# run: 90027d8b-6bc5-4529-b784-9f01eb886f0f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	36	9570	51696	413568	0	0	-2492.848983774634	-2492.848983774634	-2492.848983774634	-2492.848983774634	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2694.261164778279,-2695.3613814645414,-2694.435975639037,-2692.0925800362115,-2692.0925800362115,-2692.0925800362115,-2690.981116856356,-2690.981116856356,-2690.981116856356,-2690.4337132078836,-2690.4337132078836,-2690.4337132078836,-2690.4337132078836,-2690.4337132078836,-2593.742824305323,-2593.742824305323,-2591.9846090151723,-2590.7074243833063,-2590.7074243833063,-2590.7074243833063,-2495.7536579280045,-2494.848985773338,-2493.1322746754363,-2495.083595584704,-2494.068768810143,-2492.848983774634,-2492.848983774634	0.9960270797844731	-2492.848983774634	4	true	517
26	16	16	17	4470	24412	195296	0	0	-2429.844896015494	-2429.844896015494	-2429.844896015494	-2429.844896015494	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2429.844896015494,-2429.844896015494	0.995805594344244	-2429.844896015494	2	true	104
27	16	16	5	1270	7180	57440	0	0	-2478.030947321591	-2478.030947321591	-2478.030947321591	-2478.030947321591	-Infinity,-Infinity,-Infinity,-2478.030947321591,-2478.030947321591	0.9955956967707507	-2478.030947321591	2	true	139
28	17	17	13	3184	18668	149344	0	0	-2424.2360492205207	-2424.2360492205207	-2424.2360492205207	-2424.2360492205207	-Infinity,-Infinity,-Infinity,-Infinity,-2426.573796962307,-2427.9216779966046,-2425.337549201808,-2425.337549201808,-2425.337549201808,-2425.337549201808,-2425.337549201808,-2424.2360492205207,-2424.2360492205207	0.9952876130456717	-2424.2360492205207	1	true	72
29	18	18	33	7601	47388	379104	0	0	-1431.7999505022171	-1431.0863558933163	-1431.7999505022171	-1429.8380703304476	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1628.5637662022452,-1628.5637662022452,-1627.383478880951,-1530.7416765683924,-1530.7416765683924,-1531.1187424620032,-1530.096858944599,-1439.7267331890398,-1439.6604507472134,-1434.3027521567235,-1432.0735857860648,-1431.0863558933163,-1431.0863558933163,-1431.0863558933163,-1435.0993132512087,-1435.0993132512087,-1436.5602128740356,-1436.5602128740356,-1434.2572275361624,-1432.9988077490639,-1434.3375471246613,-1434.3065194094913,-1432.778066984813,-1432.778066984813,-1431.7999505022171,-1431.7999505022171	0.995024126157873	-1431.0863558933163	5	true	93
30	18	18	20	4480	28720	229760	0	0	-1426.189690791912	-1426.189690791912	-1426.189690791912	-1426.189690791912	-1429.0597459164508,-1429.0597459164508,-1427.9102060171128,-1427.9102060171128,-1427.9102060171128,-1427.9102060171128,-1427.9102060171128,-1427.1102791441597,-1427.1102791441597,-1426.1899565635342,-1426.1899565635342,-1426.1899565635342,-1426.1899565635342,-1426.1899565635342,-1426.1899565635342,-1426.1899565635342,-1426.1899565635342,-1426.1899565635342,-1426.189690791912,-1426.189690791912	0.9948854007501045	-1426.189690791912	2	true	69
31	20	20	10	2094	14360	114880	0	0	-1422.4778502706565	-1422.4778502706565	-1422.4778502706565	-1422.4778502706565	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1422.4778502706565,-1422.4778502706565	0.9943563799065661	-1422.4778502706565	0	true	60
32	22	22	26	5004	37336	298688	0	0	-1023.5830131892226	-1023.5830131892226	-1023.5830131892226	-1023.5830131892226	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1222.0395674844199,-1222.0395674844199,-1222.0395674844199,-1222.0395674844199,-1123.6464842403861,-1122.589866537636,-1122.589866537636,-1122.589866537636,-1122.589866537636,-1122.589866537636,-1122.589866537636,-1122.589866537636,-1122.589866537636,-1122.589866537636,-1122.589866537636,-1122.589866537636,-1122.589866537636,-1121.9753879402397,-1023.5830131892226,-1023.5830131892226	0.9933681213033975	-1023.5830131892226	1	true	74
33	23	22	33	6204	47388	379104	0	0	-1021.5906254257162	-1021.5906254257162	-1021.5906254257162	-1021.5906254257162	-1025.2853295516331,-1024.4722220051046,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.8626891138039,-1021.5906254257162,-1021.5906254257162	0.9932453337817388	-1021.5906254257162	1	true	84
34	25	24	45	8203	64620	516960	0	0	-1017.6127796917068	-1017.6127796917068	-1017.6127796917068	-1017.6127796917068	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.63005455637,-1017.6127796917068,-1017.6127796917068	0.9928049948457754	-1017.6127796917068	0	true	90
