# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 26
# run: 90b6e6be-80e7-4892-b060-6a83df74efbc
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	74800	533016	4264128	0	0	-614.4499498711987	-614.4499498711987	-34.265156785913554	-34.265156785913554	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1670.044987803169,-1670.044987803169,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1670.0451172413416,-1470.045186190441,-1470.045186190441,-1470.045186190441,-870.04522349787,-870.04522349787,-870.04522349787,-870.04522349787,-870.04522349787,-870.04522349787,-870.04522349787,-870.04522349787,-870.04522349787,-870.04522349787,-870.04522349787,-870.04522349787,-870.04522349787,-870.04522349787,-870.04522349787,-870.04522349787,-870.04522349787,-670.0454437032604,-670.0454437032604,-670.0454437032604,-670.045794338653,-670.045794338653,-670.045794338653,-670.045794338653,-670.045794338653,-670.045794338653,-670.045794338653,-670.045794338653,-670.045794338653,-670.045794338653,-670.045794338653,-1270.045914448834,-1270.045914448834,-1270.045914448834,-970.0459850365545,-970.0459850365545,-970.0459850365545,-970.0459850365545,-970.0459850365545,-1071.7149671057045,-1071.7149671057045,-1175.1837456297906,-1175.1837456297906,-1175.1837366485322,-1175.1837366485322,-1175.1837366485322,-1175.1837366485322,-1175.1837366485322,-1170.0843403211904,-1165.4755800279945,-1163.4581739535256,-1163.4749045764738,-1163.4749045764738,-1163.4749045764738,-1163.4749045764738,-1163.4749045764738,-1163.4749045764738,-1163.4749045764738,-1163.4749045764738,-1163.4749045764738,-1163.4749045764738,-1163.4749045764738,-1168.39788345668,-1182.3479433805692,-1182.3479433805692,-1084.0419997528243,-800.1977183081317,-707.1345838180052,-614.4499498711987,-614.4499498711987,-614.4499498711987,-614.4499498711987,-614.4499498711987	0.9960270797844731	-614.4499498711987	13	true	1040
26	16	16	100	75000	545886	4367088	0	0	-408.9162914741603	-408.9162914741603	-5.494064326883406	-5.494064326883406	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-966.5508390715955,-966.5508390715955,-966.5508390715955,-966.5508390715955,-966.5508390715955,-966.5508390715955,-966.5508390715955,-966.5511292274269,-966.5511292274269,-766.5513293569479,-766.5513293569479,-766.5513293569479,-766.5513293569479,-766.5513293569479,-766.5513293569479,-766.5513293569479,-766.5513293569479,-766.5513293569479,-766.5513293569479,-766.5513293569479,-766.5513293569479,-766.5513293569479,-766.5513293569479,-766.5513293569479,-766.5513293569479,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-766.5515041301119,-867.8564390476944,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-970.9414090230823,-974.9837076138674,-877.7389575739635,-594.8247620232402,-594.8247620232402,-594.8247620232402,-594.8247620232402,-501.68078587694293,-408.9162914741603,-408.9162914741603,-408.9162914741603,-408.9162914741603,-408.9162914741603,-408.9162914741603,-408.9162914741603,-408.9162914741603	0.9958381646573722	-408.9162914741603	13	true	683
27	16	16	100	74800	543708	4349664	0	0	-407.3932087247498	-369.2935120288026	-5.1664072708891755	1.6634244661600472	-Infinity,-Infinity,-Infinity,-Infinity,-965.213896177202,-965.213896177202,-965.213896177202,-965.2140897016999,-965.2140897016999,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-765.2142270025913,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-969.2929945162629,-369.2935120288026,-369.2935120288026,-369.2935120288026,-369.2935120288026,-369.2935120288026,-369.2935120288026,-369.2935120288026,-369.2935120288026,-369.2935120288026,-369.2935120288026,-369.2935120288026,-369.2935120288026,-369.2935120288026,-369.2935120288026,-369.2935120288026,-369.2935120288026,-380.95764475842356,-380.95764475842356,-386.90534584570173,-393.30233173061,-393.30233173061,-393.30233173061,-400.1577841240383,-407.3932087247498,-407.3932087247498,-407.3932087247498,-407.3932087247498,-407.3932087247498,-407.3932087247498,-407.3932087247498	0.9955956967707507	-369.2935120288026	7	true	477
28	17	17	100	75200	558756	4470048	0	0	-365.79981104661425	-165.23764021340799	6.281162509540707	6.286485224052898	-Infinity,-Infinity,-Infinity,-Infinity,-765.2372229699947,-765.2372229699947,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-765.2373164105821,-165.23764021340799,-165.23764021340799,-165.23764021340799,-165.23764021340799,-165.23764021340799,-165.23764021340799,-165.2378155589704,-165.2378155589704,-165.2378155589704,-165.2378155589704,-165.2378155589704,-165.2378155589704,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-374.2971328734778,-369.723941124172,-369.723941124172,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425,-365.79981104661425	0.9952876130456717	-165.23764021340799	7	true	633
29	18	18	100	76200	556974	4455792	0	0	-765.8753810093335	-157.1265260003229	50.34614736497456	5.872509992734862	-559.884412191918,-559.884412191918,-559.884412191918,-559.8848727450556,-359.88493693814866,-359.88499283496725,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-359.8850843352498,-159.88534873858157,-159.88534873858157,-159.88534873858157,-159.88534873858157,-159.88534873858157,-159.88534873858157,-159.88534873858157,-159.88534873858157,-159.88534873858157,-159.88534873858157,-159.88534873858157,-159.88534873858157,-159.8853383145276,-159.8853383145276,-159.8853383145276,-159.8853383145276,-159.8853383145276,-159.8853383145276,-159.8853383145276,-159.8853383145276,-157.1265260003229,-162.851347948567,-162.851347948567,-162.851347948567,-162.851347948567,-162.851347948567,-162.851347948567,-162.851347948567,-162.851347948567,-762.8514010493557,-762.8514010493557,-762.8514010493557,-762.8514010493557,-773.3339429599195,-773.3339429599195,-773.334460177549,-773.334460177549,-773.334460177549,-773.334460177549,-773.334460177549,-773.334460177549,-773.334460177549,-773.334460177549,-773.334460177549,-773.334460177549,-773.334460177549,-773.334460177549,-773.334460177549,-773.334460177549,-773.334460177549,-773.334460177549,-773.334460177549,-769.2623568184348,-769.2623568184348,-769.2623568184348,-769.2623568184348,-765.8753810093335,-765.8753810093335,-765.8753810093335,-765.8753810093335,-765.8753810093335,-765.8753810093335,-765.8753810093335,-765.8753810093335,-765.8753810093335,-765.8753810093335,-765.8753810093335,-765.8753810093335,-765.8753810093335,-765.8753810093335,-765.8753810093335,-765.8753810093335,-765.8753810093335,-765.8753810093335	0.9952702129681755	-157.1265260003229	5	true	657
30	18	18	100	68800	510246	4081968	0	0	-266.0807214720385	33.562846261931575	50.57647957412221	55.41460106526158	-368.2325337445004,-368.2325337445004,-368.2325337445004,-168.23255512122128,-168.2325646418532,-174.3224598857247,8.619821837896623,8.619821837896623,8.619821837896623,8.619821837896623,8.619821837896623,8.619804235749058,8.619804235749058,8.619804235749058,8.619804235749058,8.619804235749058,8.619713530981656,8.619713530981656,8.619419853587473,8.619419853587473,8.619419853587473,8.619419853587473,8.619419853587473,8.619419853587473,8.619329166615984,8.619329166615984,8.619329166615984,8.619329166615984,8.619329166615984,8.619329166615984,8.619329166615984,8.619329166615984,8.619329166615984,8.619329166615984,8.619329166615984,8.619329166615984,8.619329166615984,-4.929331596785936,-4.929331596785936,-4.929331596785936,-4.929331596785936,-4.929402964307094,-4.929402964307094,-4.929402964307094,-4.929683576419798,-4.929683576419798,-21.053663030813027,-21.053663030813027,-21.053663030813027,-21.053663030813027,-21.053663030813027,-21.053663030813027,-21.053663030813027,-21.053663030813027,-5.533284080851345,2.5800887942530366,2.5800887942530366,2.5800887942530366,21.20829717286408,27.608809865747155,32.715578342945925,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,33.562846261931575,24.800214166575472,24.800214166575472,24.800214166575472,24.800214166575472,24.800214166575472,-575.2001982888834,-575.2001982888834,-575.2001982888834,-575.2001982888834,-575.2001982888834,-575.2001982888834,-470.6177961263715,-470.6177961263715,-265.3808296314346,-265.7172852170491,-265.7172852170491,-266.0807214720385,-266.0807214720385,-266.0807214720385	0.9949686359947655	33.562846261931575	7	true	531
31	18	18	100	69800	510444	4083552	0	0	-583.3004797855048	30.598154424471037	50.161380028870006	52.294334531148884	-175.41107842560274,-175.41107842560274,-175.41107842560274,-175.41107842560274,-176.50795414850722,8.825315238490337,4.136849442929336,4.136849442929336,4.136849442929336,4.136849442929336,4.136692460195594,4.136692460195594,4.136692460195594,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136384091529184,4.136215222918334,4.136215222918334,-9.411960832127829,-9.411960832127829,-9.411960832127829,-9.411960832127829,-9.411960832127829,-9.411960832127829,-9.411960832127829,-9.411960832127829,-9.411960832127829,-9.411960832127829,-9.412201785927966,-9.412201785927966,-9.412201785927966,-9.412201785927966,-9.412201785927966,-9.412201785927966,-9.412201785927966,9.130616616710368,22.50418977012244,22.50418977012244,22.50418977012244,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,30.598154424471037,-269.3065482616565,-480.58409546144895,-480.8669031897503,-480.8669031897503,-480.8669031897503,-587.1333377910372,-587.1333377910372,-587.1333377910372,-587.1333377910372,-587.1333377910372,-583.3004797855048	0.9947478816502295	30.598154424471037	9	true	535
32	21	21	100	69800	548856	4390848	0	0	-71.18250088693614	33.585015369463946	55.74648702288894	56.10387698541017	-375.0790286814223,-375.0790286814223,-375.0790286814223,24.920958889897516,24.920939633399666,24.920939633399666,24.920793667099485,18.76346933824828,12.252972945609155,12.252972945609155,5.325315272642268,5.325268586457721,5.325268586457721,5.325268586457721,5.325268586457721,5.325102196652377,5.325102196652377,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,5.325046678167009,-8.22186550094197,-8.22186550094197,-8.22186550094197,-8.22186550094197,-8.22186550094197,-8.22186550094197,-8.22186550094197,-8.22186550094197,-0.07311782551811419,7.758925201236661,7.758925201236661,7.758925201236661,7.758925201236661,23.37800593126148,23.37800593126148,31.46915450976181,31.46915450976181,31.46915450976181,31.46915450976181,31.46915450976181,31.46915450976181,31.46915450976181,31.46915450976181,31.46915450976181,31.46915450976181,31.46915450976181,31.46915450976181,31.46915450976181,32.52929750774395,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,33.585015369463946,32.451279915474316,21.95782330427844,21.95782330427844,21.79713577264693,21.79713577264693,21.79713577264693,21.79713577264693,24.639205692686737,24.639205692686737,24.639205692686737,-71.18250088693614	0.9941547071596204	33.585015369463946	9	true	800
33	23	23	100	91005	552618	4420944	0	0	38.547368933982014	46.77167332073161	56.54596965601306	57.228627652835314	-Infinity,-Infinity,30.43227065798454,30.43227065798454,30.432192541546947,30.432192541546947,30.432192541546947,30.432192541546947,30.432131713495373,30.432131713495373,30.432131713495373,30.432131713495373,30.432131713495373,30.432131713495373,30.43196317223532,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,30.43195001211742,26.219010634068212,26.219010634068212,30.210617240541282,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.896878043803994,32.89678642602382,32.89678642602382,32.89678642602382,32.89678642602382,32.89678642602382,32.89678642602382,32.89678642602382,39.8757504261406,39.8757504261406,39.8757504261406,39.8757504261406,39.8757504261406,43.1084663965877,43.1084663965877,45.57947080883025,46.77167332073161,46.77167332073161,42.82038891886509,38.547368933982014,38.547368933982014,38.547368933982014,38.547368933982014,38.547368933982014,38.547368933982014,38.547368933982014,38.547368933982014,38.547368933982014,38.547368933982014,38.547368933982014,38.547368933982014,38.547368933982014,38.547368933982014	0.9931903919404012	46.77167332073161	4	true	662
34	24	24	100	92621	557568	4460544	0	0	48.80416434907694	51.797525090148525	60.41605302173333	60.43099622681697	-Infinity,-Infinity,-Infinity,38.441068783453034,38.44098381107521,38.44098381107521,38.44098381107521,38.44098381107521,38.44098381107521,38.44098381107521,38.44098381107521,38.44098381107521,38.44098381107521,38.44098381107521,38.44098381107521,38.44098381107521,38.44088457893089,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.44076598543697,38.4406369920173,38.4406369920173,38.4406369920173,38.4406369920173,38.4406369920173,38.4406369920173,38.4406369920173,38.4406369920173,38.4406369920173,38.4406369920173,42.084944089111204,42.084944089111204,42.084944089111204,42.084944089111204,42.084944089111204,42.084944089111204,42.084944089111204,42.084944089111204,42.084683915429366,42.084683915429366,42.728297108781845,42.728297108781845,42.728297108781845,42.728297108781845,42.728297108781845,42.728297108781845,42.728297108781845,42.728297108781845,42.728297108781845,42.728297108781845,42.728297108781845,42.728297108781845,42.728297108781845,42.728297108781845,42.728297108781845,41.89186582859169,41.89186582859169,41.89186582859169,41.89186582859169,41.89186582859169,41.89186582859169,48.80416434907694,48.80416434907694,48.80416434907694,48.80416434907694,48.80416434907694,48.80416434907694,51.797525090148525,47.620479044051635,47.620479044051635,47.620479044051635,47.620479044051635,47.620479044051635,47.620479044051635,47.620479044051635,47.620479044051635,51.797525090148525,51.797525090148525,48.80416434907694,48.80416434907694,48.80416434907694,48.80416434907694,48.80416434907694,48.80416434907694	0.9929728909716994	51.797525090148525	3	true	541
