# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 8
# run: 939d3bd8-d859-4e86-8b1c-7e055f11ef31
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	55598	620730	4965840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	13	true	1092
26	16	16	100	55657	619344	4954752	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995805594344244	-Infinity	11	true	701
27	16	16	100	55648	603504	4828032	0	0	-Infinity	-Infinity	-2490.2573376668583	-2490.2573376668583	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-Infinity	9	true	738
28	17	17	100	55879	582318	4658544	0	0	-2439.247382165184	-2439.247382165184	-2424.2825004279107	-2424.2825004279107	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184,-2439.247382165184	0.9952876130456717	-2439.247382165184	11	true	590
29	18	18	100	56109	569052	4552416	0	0	-1447.9325936859639	-1447.9325936859639	-1429.711449014684	-1429.711449014684	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639,-1447.9325936859639	0.995024126157873	-1447.9325936859639	13	true	793
30	18	18	100	56013	553212	4425696	0	0	-1052.9270902173391	-1051.5774190813188	-1033.2968817534793	-1034.4893395084823	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1089.5786709273689,-1089.5786709273689,-1089.5786709273689,-1089.5786709273689,-1089.5786709273689,-1089.5786709273689,-1089.5786709273689,-1082.9509681482568,-1078.4138441471812,-1078.4138441471812,-1078.4691970503825,-1078.4691970503825,-1075.4746727930365,-1075.4746727930365,-1075.4746727930365,-1075.4746727930365,-1077.8499684931758,-1077.8499684931758,-1077.8499684931758,-1077.8499684931758,-1077.8499684931758,-1077.8499684931758,-1077.8499684931758,-1077.8499684931758,-1077.8499684931758,-1071.667839965045,-1071.667839965045,-1071.667839965045,-1066.5593016780538,-1059.0270062939517,-1059.0270062939517,-1059.0270062939517,-1059.0270062939517,-1053.952714781458,-1051.5774190813188,-1051.5774190813188,-1051.5774190813188,-1051.5774190813188,-1051.5774190813188,-1051.5774190813188,-1051.5774190813188,-1051.5774190813188,-1051.5774190813188,-1051.5774190813188,-1052.9270902173391,-1052.9270902173391	0.9947478816502295	-1051.5774190813188	13	true	693
31	20	20	100	56315	534600	4276800	0	0	-1050.4730352246336	-1050.4730352246336	-1024.1578354298085	-1024.1578354298085	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336,-1050.4730352246336	0.9943563799065661	-1050.4730352246336	13	true	648
32	22	21	100	56607	517374	4138992	0	0	-1056.4442695044547	-1056.4442695044547	-1025.5894626710924	-1025.5894626710924	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1062.5485109231274,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547,-1056.4442695044547	0.9934181282488065	-1056.4442695044547	15	true	892
33	23	22	100	57105	504108	4032864	0	0	-659.8070875692376	-658.2317892582681	-623.190399523394	-624.0216342520275	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-664.7692207680269,-664.7692207680269,-663.0985077408282,-663.0985077408282,-663.0985077408282,-663.0985077408282,-663.0985077408282,-663.0985077408282,-663.0985077408282,-663.0985077408282,-663.0985077408282,-659.287516790231,-659.287516790231,-659.287516790231,-659.287516790231,-659.287516790231,-658.2317892582681,-658.2317892582681,-658.2317892582681,-658.2317892582681,-658.2317892582681,-658.2317892582681,-658.2317892582681,-658.2317892582681,-658.2317892582681,-659.7323944277507,-659.7323944277507,-659.7323944277507,-659.7323944277507,-659.7323944277507,-659.7323944277507,-659.7323944277507,-659.7323944277507,-659.7323944277507,-659.7323944277507,-659.7323944277507,-659.7323944277507,-659.7323944277507,-659.7323944277507,-659.7323944277507,-659.7323944277507,-662.0627028960292,-659.8070875692376,-659.8070875692376,-659.8070875692376,-659.8070875692376,-659.8070875692376,-659.8070875692376,-659.8070875692376,-659.8070875692376,-659.8070875692376,-659.8070875692376,-659.8070875692376,-659.8070875692376,-659.8070875692376	0.9932453337817388	-658.2317892582681	15	true	533
34	25	22	100	56804	484308	3874464	0	0	-691.8775804269657	-691.8775804269657	-626.7559017515168	-626.7559017515168	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-701.0063121487664,-701.0063121487664,-701.0063121487664,-701.0063121487664,-701.0063121487664,-696.6548966759364,-696.6548966759364,-696.6548966759364,-696.6548966759364,-696.6548966759364,-696.6548966759364,-692.8884793926788,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657,-691.8775804269657	0.9928918490141176	-691.8775804269657	17	true	563
