# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 6
# run: 940e2b0a-9d45-4186-93cf-9468cc393422
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	55	31764	228800	1830400	0	0	-193.11105921954965	-193.11105921954965	-193.11105921954965	-193.11105921954965	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-196.42677618774994,-195.27800057935048,-194.18392815103454,-194.18392815103454,-194.18392815103454,-194.18392815103454,-193.16568143797724,-193.16568143797724,-193.16568143797724,-193.16568143797724,-193.16568143797724,-193.16568143797724,-193.16563996079668,-193.16563996079668,-193.16563996079668,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.14357115420583,-193.11105921954965,-193.11105921954965	0.9959945094713449	-193.11105921954965	7	false	2544
26	16	16	51	28313	212160	1697280	0	0	-124.44698629978859	-124.44698629978859	-124.44698629978859	-124.44698629978859	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-127.73235439783686,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-127.09063142456932,-126.67960965368013,-126.67960965368013,-126.67960965368013,-126.67960965368013,-126.67960965368013,-126.67960965368013,-126.67960965368013,-126.67960965368013,-126.67960965368013,-126.67960965368013,-126.67960965368013,-126.67960965368013,-126.12084821554228,-125.66533727643224,-124.75637497838119,-124.75637497838119,-124.75637497838119,-124.75637497838119,-124.75637497838119,-124.44698629978859,-124.44698629978859	0.995805594344244	-124.44698629978859	6	false	1870
27	17	17	13	7093	54080	432640	0	0	-118.19141224622474	-118.19141224622474	-118.19141224622474	-118.19141224622474	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-118.19141224622474,-118.19141224622474	0.9954564961507815	-118.19141224622474	4	false	626
28	18	18	12	6829	49920	399360	0	0	-113.17430499925536	-113.17430499925536	-113.17430499925536	-113.17430499925536	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-113.24934325759548,-113.24934325759548,-113.24934325759548,-113.17430499925536,-113.17430499925536	0.9952702129681755	-113.17430499925536	4	false	617
29	18	18	14	7601	58240	465920	0	0	-71.0331396138601	-71.0331396138601	-71.0331396138601	-71.0331396138601	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-122.05234700153468,-72.05234748278,-72.05234748278,-71.88178708558013,-71.88178708558013,-71.88178708558013,-71.8723582664976,-71.0331396138601,-71.0331396138601	0.9947478816502295	-71.0331396138601	6	false	836
30	18	18	9	4756	37440	299520	0	0	-17.883977558437067	-17.883977558437067	-17.883977558437067	-17.883977558437067	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-17.883977558437067,-17.883977558437067	0.9947478816502295	-17.883977558437067	6	false	431
31	21	21	20	10957	83200	665600	0	0	38.38745803019841	38.38745803019841	38.38745803019841	38.38745803019841	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,36.913463649710465,36.913463649710465,36.913463649710465,36.913463649710465,36.913463649710465,37.798544258715026,37.798544258715026,37.798544258715026,38.38745803019841,38.38745803019841	0.9939532537413823	38.38745803019841	3	true	768
32	23	23	17	9495	70720	565760	0	0	42.36400596860875	42.36400596860875	42.36400596860875	42.36400596860875	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,42.36400596860875,42.36400596860875	0.9931903919404012	42.36400596860875	1	true	590
33	24	24	6	3503	24960	199680	0	0	45.16458017607986	45.16458017607986	45.16458017607986	45.16458017607986	-Infinity,-Infinity,-Infinity,-Infinity,45.16458017607986,45.16458017607986	0.9929675539731397	45.16458017607986	1	true	282
34	26	26	9	5191	37440	299520	0	0	51.638027060648845	51.638027060648845	51.638027060648845	51.638027060648845	-Infinity,-Infinity,-Infinity,-Infinity,50.62256907965254,50.62256907965254,50.62256907965254,51.638027060648845,51.638027060648845	0.9924146263004364	51.638027060648845	0	true	311
