# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 14
# run: 950f91b9-a990-454d-9935-c790b91e1f2b
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	39	22945	162240	1297920	0	0	-138.99862361259244	-138.99862361259244	-138.99862361259244	-138.99862361259244	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-140.38381284302557,-140.200696892702,-140.200696892702,-139.22470293839717,-139.22470293839717,-139.22470293839717,-141.33060941678522,-140.0551731321139,-140.0551731321139,-138.99862361259244,-138.99862361259244	0.9968457241868389	-138.99862361259244	7	false	2034
26	15	15	24	13639	99840	798720	0	0	-129.9864066453454	-129.9864066453454	-129.9864066453454	-129.9864066453454	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-130.14115619995974,-130.14115619995974,-130.14115619995974,-130.14115619995974,-130.14115619995974,-130.14115619995974,-130.14115619995974,-130.14115619995974,-130.14115619995974,-130.14115619995974,-130.14115619995974,-130.14115619995974,-130.14115619995974,-130.14115619995974,-130.14115619995974,-130.14115619995974,-129.9864066453454,-129.9864066453454	0.9960270797844731	-129.9864066453454	8	false	1161
27	15	15	10	5473	41600	332800	0	0	-74.3979485848882	-74.3979485848882	-74.3979485848882	-74.3979485848882	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-74.3979485848882,-74.3979485848882	0.9960270797844731	-74.3979485848882	8	false	512
28	15	15	8	4360	33280	266240	0	0	-121.03380144374138	-121.03380144374138	-121.03380144374138	-121.03380144374138	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-121.03380144374138,-121.03380144374138	0.9960270797844731	-121.03380144374138	8	false	414
29	16	16	11	5863	45760	366080	0	0	-118.34905054078294	-118.34905054078294	-118.34905054078294	-118.34905054078294	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-118.34905054078294,-118.34905054078294	0.995805594344244	-118.34905054078294	6	false	560
30	16	16	13	6600	54080	432640	0	0	-69.09696087765295	-69.09696087765295	-69.09696087765295	-69.09696087765295	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-69.09696087765295,-69.09696087765295	0.9954268136656409	-69.09696087765295	7	false	469
31	17	17	21	10556	87360	698880	0	0	-65.02520362758624	-65.02520362758624	-65.02520362758624	-65.02520362758624	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-65.02520362758624,-65.02520362758624	0.9952876130456717	-65.02520362758624	5	false	633
32	18	18	18	9003	74880	599040	0	0	-63.09776622796097	-63.09776622796097	-63.09776622796097	-63.09776622796097	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-63.82898343052788,-63.09776622796097,-63.09776622796097	0.995024126157873	-63.09776622796097	4	false	677
33	18	18	11	5421	45760	366080	0	0	-62.43115853204282	-62.43115853204282	-62.43115853204282	-62.43115853204282	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-62.43115853204282,-62.43115853204282	0.9949686359947655	-62.43115853204282	5	false	542
34	18	17	26	12333	108160	865280	0	0	-18.91877105709103	-18.91877105709103	-18.91877105709103	-18.91877105709103	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-18.91877105709103,-18.91877105709103	0.9947646602963864	-18.91877105709103	7	false	571
