# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 11
# run: 96e7588d-7756-4dc5-9a88-56441b4216df
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	27	14701	74412	595296	0	0	-190.02732214479016	-190.02732214479016	-190.02732214479016	-190.02732214479016	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-191.00290580822502,-191.1934649917933,-191.1934649917933,-191.1934649917933,-191.1934649917933,-191.1934649917933,-191.1934649917933,-191.1934649917933,-191.1934649917933,-191.1934649917933,-190.02732214479016,-190.02732214479016	0.9960270797844731	-190.02732214479016	3	true	1222
26	15	15	2	999	5512	44096	0	0	-130.65990921601127	-130.65990921601127	-130.65990921601127	-130.65990921601127	-130.65990921601127,-130.65990921601127	0.9960270797844731	-130.65990921601127	3	true	157
27	16	16	22	10700	60632	485056	0	0	-126.06709350603673	-126.06709350603673	-126.06709350603673	-126.06709350603673	-Infinity,-Infinity,-Infinity,-126.38838292922655,-126.38838292922655,-126.38838292922655,-126.38838292922655,-126.38833856490625,-126.38833856490625,-126.38833856490625,-126.38833856490625,-126.38833856490625,-126.38833856490625,-126.38833856490625,-126.38833856490625,-126.38833856490625,-126.38833856490625,-126.38833856490625,-126.38833856490625,-126.38833856490625,-126.06709350603673,-126.06709350603673	0.995805594344244	-126.06709350603673	1	true	817
28	16	16	13	6406	35828	286624	0	0	-174.8155828280008	-174.8155828280008	-174.8155828280008	-174.8155828280008	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-174.8155828280008,-174.8155828280008	0.9955956967707507	-174.8155828280008	1	true	391
29	17	17	20	9807	55120	440960	0	0	-72.70740513024482	-72.70740513024482	-72.70740513024482	-72.70740513024482	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-124.44538094103793,-124.44538094103793,-124.44538094103793,-124.44538094103793,-122.70740473236451,-122.70740473236451,-122.70740473236451,-122.70740473236451,-122.70740473236451,-122.70740473236451,-122.70740473236451,-122.70740473236451,-72.70740513024482,-72.70740513024482	0.9952876130456717	-72.70740513024482	1	true	561
30	18	18	6	2945	16536	132288	0	0	-67.38667968979249	-67.38667968979249	-67.38667968979249	-67.38667968979249	-Infinity,-Infinity,-Infinity,-69.29361322428342,-67.38667968979249,-67.38667968979249	0.9952702129681755	-67.38667968979249	1	true	237
31	18	18	9	4096	24804	198432	0	0	-25.697987302568368	-25.697987302568368	-25.697987302568368	-25.697987302568368	-27.864608109424243,-27.864608109424243,-27.864608109424243,-26.062851218993867,-26.46213613868439,-27.02671130729127,-27.02671130729127,-25.697987302568368,-25.697987302568368	0.9947478816502295	-25.697987302568368	1	true	280
32	19	19	15	6894	41340	330720	0	0	-22.920387114744337	-22.920387114744337	-22.920387114744337	-22.920387114744337	-Infinity,-Infinity,-Infinity,-22.920716339448354,-22.920716339448354,-22.920716339448354,-22.920716339448354,-22.920716339448354,-22.920716339448354,-22.920716339448354,-22.920716339448354,-22.920716339448354,-22.920716339448354,-22.920387114744337,-22.920387114744337	0.994524166368136	-22.920387114744337	1	true	427
33	21	20	21	9524	57876	463008	0	0	-22.968689374240235	-22.968689374240235	-22.968689374240235	-22.968689374240235	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-22.968689374240235,-22.968689374240235	0.9939700323875393	-22.968689374240235	0	true	464
34	22	22	15	6545	41340	330720	0	0	-21.781667323332368	-21.781667323332368	-21.781667323332368	-21.781667323332368	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-21.781667323332368,-21.781667323332368	0.9933979500076767	-21.781667323332368	0	true	372
