# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 30
# run: 97549226-9f3e-43d1-ab86-af6147af2dae
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	54400	323730	2589840	0	0	-1657.3691677114612	-1656.019741166829	-1652.0743412249624	-1652.1270768564643	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1669.7579293801723,-1665.7325274352056,-1665.7325274352056,-1665.7325274352056,-1665.7325274352056,-1665.7325274352056,-1665.7325274352056,-1665.7325274352056,-1665.7325274352056,-1665.7325274352056,-1665.7325274352056,-1665.7325274352056,-1665.7325274352056,-1665.7325274352056,-1665.7325274352056,-1665.7325274352056,-1662.463504084361,-1662.463504084361,-1662.463504084361,-1662.463504084361,-1662.463504084361,-1662.463504084361,-1662.463504084361,-1662.463504084361,-1662.463504084361,-1662.463504084361,-1662.463504084361,-1662.463504084361,-1662.463504084361,-1663.243116570328,-1665.8857532294817,-1665.8857532294817,-1665.8857532294817,-1665.8857532294817,-1665.8857532294817,-1665.8857532294817,-1665.8857532294817,-1665.8857532294817,-1661.3004248572768,-1657.299927642619,-1657.299927642619,-1657.299927642619,-1657.299927642619,-1657.299927642619,-1657.299927642619,-1657.299927642619,-1657.299927642619,-1657.299927642619,-1657.299927642619,-1657.2641673803541,-1657.2641673803541,-1656.019741166829,-1656.019741166829,-1656.019741166829,-1656.019741166829,-1656.019741166829,-1656.019741166829,-1656.019741166829,-1656.019741166829,-1657.3334074491963,-1657.3334074491963,-1657.3334074491963,-1657.3334074491963,-1657.3334074491963,-1657.3334074491963,-1657.3334074491963,-1657.3334074491963,-1657.3334074491963,-1657.3334074491963,-1657.3334074491963,-1657.3334074491963,-1657.3334074491963,-1657.3691677114612,-1657.3691677114612,-1657.3691677114612,-1657.3691677114612,-1657.3691677114612,-1657.3691677114612,-1657.3691677114612,-1657.3691677114612,-1657.3691677114612,-1657.3691677114612	0.9960270797844731	-1656.019741166829	3	true	891
26	15	15	100	54200	321750	2574000	0	0	-1648.1805611282286	-1647.8956072629635	-1646.4616467913197	-1646.4616467913197	-Infinity,-Infinity,-Infinity,-Infinity,-1649.6409744843095,-1649.6409744843095,-1649.6409744843095,-1649.6409744843095,-1649.6409744843095,-1649.6409744843095,-1649.6409744843095,-1649.6409744843095,-1649.6409744843095,-1649.6409744843095,-1649.6409744843095,-1649.6409744843095,-1649.6409744843095,-1649.6409744843095,-1649.6409744843095,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1647.8956072629635,-1648.1805611282286,-1648.1805611282286,-1648.1805611282286,-1648.1805611282286,-1648.1805611282286,-1648.1805611282286,-1648.1805611282286,-1648.1805611282286,-1648.1805611282286,-1648.1805611282286,-1648.1805611282286,-1648.1805611282286,-1648.1805611282286	0.9960270797844731	-1647.8956072629635	2	true	470
27	15	15	100	51200	311850	2494800	0	0	-1646.263047230525	-1645.9740886052668	-1644.5502664405385	-1644.5502664405385	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1645.9740886052668,-1646.263047230525,-1646.263047230525,-1646.263047230525,-1646.263047230525,-1646.263047230525,-1646.263047230525,-1646.263047230525,-1646.263047230525,-1646.263047230525,-1646.263047230525,-1646.263047230525,-1646.263047230525,-1646.263047230525,-1646.263047230525,-1646.263047230525,-1646.263047230525	0.9960270797844731	-1645.9740886052668	2	true	320
28	16	16	100	51000	314028	2512224	0	0	-1642.9532084597658	-1642.9532084597658	-1641.8883816074008	-1641.8883816074008	-Infinity,-Infinity,-Infinity,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.3142997645846,-1644.603918706288,-1644.603918706288,-1644.603918706288,-1644.603918706288,-1644.603918706288,-1644.603918706288,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1646.1481222320645,-1642.9532084597658,-1642.9532084597658,-1642.9532084597658,-1642.9532084597658,-1642.9532084597658,-1642.9532084597658,-1642.9532084597658,-1642.9532084597658,-1642.9532084597658,-1642.9532084597658	0.9956692815522626	-1642.9532084597658	1	true	274
29	16	16	100	48000	304128	2433024	0	0	-1642.276725773492	-1642.276725773492	-1642.276725773492	-1642.276725773492	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1644.6624454767928,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492,-1642.276725773492	0.9954268136656409	-1642.276725773492	0	true	299
30	18	18	100	47600	308484	2467872	0	0	-854.49294485791	-854.49294485791	-848.5050389902846	-848.5050389902846	-878.7846479300579,-878.7846479300579,-874.7849898606262,-874.7849898606262,-874.7849898606262,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-863.8817656035931,-860.6592079346312,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-859.2065724726332,-856.2096740527512,-854.49294485791,-854.49294485791,-854.49294485791,-854.49294485791,-854.49294485791,-854.49294485791,-854.49294485791,-854.49294485791,-854.49294485791,-854.49294485791,-854.49294485791,-854.49294485791,-854.49294485791,-854.49294485791,-854.49294485791,-854.49294485791	0.9952147228050682	-854.49294485791	3	true	242
31	18	18	100	46600	298584	2388672	0	0	-854.7306073727466	-854.7306073727466	-849.4645143601357	-849.4645143601357	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-867.3846696606471,-862.801960572457,-858.7163068124893,-858.7163068124893,-858.7163068124893,-858.7163068124893,-858.7163068124893,-858.7163068124893,-858.7163068124893,-858.7163068124893,-858.7163068124893,-858.7163068124893,-858.7163068124893,-858.7163068124893,-858.7163068124893,-858.7163068124893,-856.0798644874247,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466,-854.7306073727466	0.9949686359947655	-854.7306073727466	3	true	365
32	18	18	100	43400	286704	2293632	0	0	-660.524214264061	-660.524214264061	-653.4377580785067	-653.4377580785067	-664.1917820777057,-664.1917820777057,-664.1917820777057,-664.1917820777057,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-664.2141586117086,-661.7282579074655,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061,-660.524214264061	0.9945946805477371	-660.524214264061	5	true	262
33	19	19	100	43000	286902	2295216	0	0	-657.4759425590257	-657.4759425590257	-651.0089206999588	-651.0089206999588	-659.4754915915983,-659.4754915915983,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257,-657.4759425590257	0.9941695118474059	-657.4759425590257	5	true	249
34	23	23	100	68510	301554	2412432	0	0	-647.7763058552612	-647.7763058552612	-643.1734500010809	-643.1734500010809	-663.270201297112,-663.270201297112,-663.270201297112,-663.270201297112,-663.270201297112,-663.270201297112,-663.270201297112,-663.270201297112,-663.270201297112,-663.270201297112,-658.9472322807729,-657.2384835639429,-657.2384835639429,-657.2384835639429,-657.2384835639429,-657.2384835639429,-657.2384835639429,-657.2384835639429,-657.2384835639429,-657.2384835639429,-657.2384835639429,-657.2384835639429,-657.2384835639429,-657.2384835639429,-657.2384835639429,-657.2384835639429,-657.2384835639429,-654.4417127788352,-654.4417127788352,-654.9282172888575,-654.9282172888575,-654.9282172888575,-654.9282172888575,-656.2496832029185,-656.2496832029185,-656.2496832029185,-656.2496832029185,-652.2592582815289,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0239329599642,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-649.0107234211304,-647.7763058552612,-647.7763058552612,-647.7763058552612,-647.7763058552612	0.9931903919404012	-647.7763058552612	3	true	248
