# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 12
# run: 98575e7c-fd17-4ca4-963c-73224c194806
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	23	6182	49680	397440	0	0	-3042.044358676601	-3042.044358676601	-3042.044358676601	-3042.044358676601	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3045.451418740408,-3044.488800422061,-3042.210050996773,-3042.044358676601,-3042.044358676601	0.9963744964578416	-3042.044358676601	6	false	651
26	15	15	12	3155	25920	207360	0	0	-2983.2910586561547	-2983.2910586561547	-2983.2910586561547	-2983.2910586561547	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2983.2910586561547,-2983.2910586561547	0.9960270797844731	-2983.2910586561547	7	false	123
27	15	15	13	3267	28080	224640	0	0	-3028.60285303717	-3028.60285303717	-3028.60285303717	-3028.60285303717	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3028.60285303717,-3028.60285303717	0.9960270797844731	-3028.60285303717	7	false	124
28	16	16	18	4346	38880	311040	0	0	-2920.4539303729634	-2920.4539303729634	-2920.4539303729634	-2920.4539303729634	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2970.453527138339,-2970.453527138339,-2970.453527138339,-2970.453527138339,-2920.4539303729634,-2920.4539303729634	0.995805594344244	-2920.4539303729634	5	false	107
29	16	16	49	10905	105840	846720	0	0	-1728.776092749955	-1728.776092749955	-1728.776092749955	-1728.776092749955	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2321.0215427534777,-2320.1264114813052,-2320.1264114813052,-2320.1264114813052,-2223.553011492556,-2125.0850529625222,-2026.5622657331303,-2026.5622657331303,-2026.5622657331303,-2026.5622657331303,-2025.1057685515423,-1928.760806712046,-1926.8791232979106,-1926.1755616132345,-1926.1755616132345,-1926.1755616132345,-1926.1755616132345,-1925.8842163684267,-1925.8842163684267,-1925.8842163684267,-1925.8841387747955,-1925.8841387747955,-1925.8841387747955,-1925.8841387747955,-1925.8841387747955,-1925.3305153829126,-1826.2807960023324,-1826.2807960023324,-1826.2807960023324,-1826.2807960023324,-1826.2807960023324,-1826.2807960023324,-1826.2807960023324,-1826.2807960023324,-1826.2807960023324,-1826.2807960023324,-1826.2807960023324,-1728.776092749955,-1728.776092749955	0.9955956967707507	-1728.776092749955	10	false	248
30	17	17	50	10924	108000	864000	0	0	-1712.7375246006995	-1712.7375246006995	-1712.7375246006995	-1712.7375246006995	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1714.068976229344,-1713.8984639624173,-1713.8984639624173,-1712.7375246006995,-1712.7375246006995	0.9952876130456717	-1712.7375246006995	5	false	135
31	18	18	34	6971	73440	587520	0	0	-1707.851576448776	-1707.851576448776	-1707.851576448776	-1707.851576448776	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1757.8515121831674,-1757.8515121831674,-1757.8515121831674,-1757.8515121831674,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851591223653,-1707.851576448776,-1707.851576448776	0.9952702129681755	-1707.851576448776	3	false	115
32	18	18	13	2562	28080	224640	0	0	-1764.4919322531418	-1764.4919322531418	-1764.4919322531418	-1764.4919322531418	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1764.5898937545264,-1764.4919322531418,-1764.4919322531418	0.9949686359947655	-1764.4919322531418	6	false	152
33	18	18	50	9208	108000	864000	0	0	-1277.6530552411841	-1277.6530552411841	-1277.6530552411841	-1277.6530552411841	-Infinity,-Infinity,-Infinity,-1670.5604015580248,-1670.5604015580248,-1670.5604015580248,-1573.3210872723484,-1572.9145164865274,-1572.9145164865274,-1571.9863901952049,-1571.9863901952049,-1571.9863901952049,-1571.9863901952049,-1571.9863901952049,-1571.9863901952049,-1571.9863901952049,-1571.9863901952049,-1571.9863901952049,-1571.9863901952049,-1571.9863901952049,-1474.8156844937098,-1474.1350134360678,-1474.1350134360678,-1474.1350134360678,-1474.1350134360678,-1378.1020927071734,-1282.0199338271452,-1279.4262878955653,-1279.2187846463014,-1279.2187846463014,-1279.2187846463014,-1279.2187846463014,-1279.1769281084278,-1278.553230014658,-1278.553230014658,-1278.553230014658,-1278.553230014658,-1278.3096345928614,-1278.3096345928614,-1278.3096345928614,-1278.3096345928614,-1278.3096345928614,-1278.3096345928614,-1278.3096345928614,-1278.3096345928614,-1278.3096345928614,-1278.3096345928614,-1278.3096345928614,-1277.6530552411841,-1277.6530552411841	0.9947478816502295	-1277.6530552411841	6	false	123
34	21	21	22	3963	47520	380160	0	0	-715.83594476165	-715.83594476165	-715.83594476165	-715.83594476165	-Infinity,-1025.813501846037,-1023.3575131825387,-1023.3575131825387,-1020.5270231146582,-1019.8440835437925,-1019.0208518781126,-1019.0208518781126,-1017.6847783698286,-1017.6847783698286,-916.1748213336806,-817.8720612501666,-721.7688553010236,-721.7688553010236,-718.3156828858026,-716.6148048484582,-716.6148048484582,-716.6148048484582,-718.0711655815251,-717.0019711279365,-715.83594476165,-715.83594476165	0.9939532537413823	-715.83594476165	4	true	104
