# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 27
# run: 987e59bf-cbb3-4ca5-bdf2-959c1f92f6fa
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	21	9521	7980	63840	0	0	-63.50747112435986	-63.50747112435986	-63.50747112435986	-63.50747112435986	-867.129697861206,-863.2057476033559,-563.2060450027268,-563.2060450027268,-363.2060883521029,-263.3540398160179,-263.3540398160179,-263.3540398160179,-263.3540398160179,-263.3540398160179,-163.5069651877919,-163.5069651877919,-163.5069651877919,-163.5069651877919,-163.5069651877919,-113.50733865353773,-113.50733865353773,-113.50733865353773,-113.50733865353773,-63.50747112435986,-63.50747112435986	0.9960270797844731	-63.50747112435986	0	true	294
26	16	16	1	429	380	3040	0	0	-58.82118764960147	-58.82118764960147	-58.82118764960147	-58.82118764960147	-58.82118764960147	0.9958381646573722	-58.82118764960147	0	true	26
27	16	16	24	10488	9120	72960	0	0	-58.312274137809126	-58.312274137809126	-58.312274137809126	-58.312274137809126	-59.99679830086697,-59.99679830086697,-59.99679830086697,-59.99679830086697,-59.99679830086697,-59.99679830086697,-59.99679830086697,-59.99679830086697,-59.99679830086697,-59.99679830086697,-59.99679830086697,-59.99679830086697,-59.99679830086697,-59.99679830086697,-59.12161116840785,-59.12161116840785,-59.12161116840785,-59.12161116840785,-59.12161116840785,-59.12161116840785,-59.12161116840785,-59.12161116840785,-58.312274137809126,-58.312274137809126	0.9954268136656409	-58.312274137809126	0	true	122
28	18	18	1	458	380	3040	0	0	-56.528361923054156	-56.528361923054156	-56.528361923054156	-56.528361923054156	-56.528361923054156	0.9952702129681755	-56.528361923054156	0	true	23
29	18	18	3	1368	1140	9120	0	0	-5.717562115443393	-5.717562115443393	-5.717562115443393	-5.717562115443393	-55.71756204588482,-5.717562115443393,-5.717562115443393	0.9952147228050682	-5.717562115443393	0	true	33
30	18	18	51	22511	19380	155040	0	0	-8.71920844641648	-8.71920844641648	-8.71920844641648	-8.71920844641648	-110.30399125873929,-110.30399125873929,-10.304095119505943,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-9.50358550583465,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.719312307183152,-8.71920844641648,-8.71920844641648	0.9947478816502295	-8.71920844641648	0	true	197
31	19	19	4	1800	1520	12160	0	0	-7.1285055961526504	-7.1285055961526504	-7.1285055961526504	-7.1285055961526504	-7.388254595853852,-7.388254595853852,-7.1285055961526504,-7.1285055961526504	0.9941695118474059	-7.1285055961526504	0	true	28
32	21	21	36	17604	13680	109440	0	0	41.758355758622656	41.758355758622656	41.758355758622656	41.758355758622656	40.1004283085858,40.1004283085858,40.1004283085858,40.1004283085858,40.1004283085858,40.1004283085858,39.66696712615649,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.606130004856624,41.758355758622656,41.758355758622656	0.993575679370673	41.758355758622656	0	true	154
33	23	23	11	5522	4180	33440	0	0	44.71057661146804	44.71057661146804	44.71057661146804	44.71057661146804	43.88783315883299,43.88783315883299,43.88783315883299,43.88783315883299,44.69478333612746,44.69478333612746,44.69478333612746,44.69478333612746,44.69478333612746,44.71057661146804,44.71057661146804	0.9930914746931229	44.71057661146804	0	true	73
34	25	25	24	11784	9120	72960	0	0	46.32347240605145	46.32347240605145	46.32347240605145	46.32347240605145	43.81051667915229,43.81051667915229,44.61064670242623,44.61064670242623,44.61064670242623,44.61064670242623,44.61064670242623,44.61064670242623,44.61064670242623,44.61064670242623,45.47262448016628,45.47262448016628,45.47262448016628,45.47262448016628,45.47262448016628,45.47262448016628,45.47262448016628,45.47262448016628,45.47262448016628,45.47262448016628,45.47262448016628,45.47262448016628,46.32347240605145,46.32347240605145	0.9923616218626856	46.32347240605145	0	true	99
35	26	26	1	496	380	3040	0	0	47.460863092850914	47.460863092850914	47.460863092850914	47.460863092850914	47.460863092850914	0.9922360927321776	47.460863092850914	0	true	18
36	29	28	15	7301	5700	45600	0	0	46.32474152213874	46.32474152213874	46.32474152213874	46.32474152213874	-57.1339687769513,42.8657232410506,44.566218102886495,44.566218102886495,44.566218102886495,44.566218102886495,44.566218102886495,44.566218102886495,44.566218102886495,44.566218102886495,44.566218102886495,45.36564252923379,45.36564252923379,46.32474152213874,46.32474152213874	0.9910208289162967	46.32474152213874	0	true	73
37	30	29	1	479	380	3040	0	0	47.830340390444164	47.830340390444164	47.830340390444164	47.830340390444164	47.830340390444164	0.9910059145641571	47.830340390444164	0	true	17
