# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 26
# run: 9882fe57-fc7b-48b8-b3a4-f4f46d5e26a0
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	55634	620730	4965840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	13	true	2113
26	16	16	100	55718	619344	4954752	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9958381646573722	-Infinity	9	true	1226
27	16	16	100	55572	599544	4796352	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-Infinity	9	true	1266
28	17	17	100	55772	594198	4753584	0	0	-Infinity	-Infinity	-2487.164198326221	-2487.164198326221	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952876130456717	-Infinity	11	true	1270
29	18	18	100	55918	573012	4584096	0	0	-Infinity	-Infinity	-2428.5722955089286	-2428.5722955089286	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952702129681755	-Infinity	9	true	977
30	18	18	100	55834	545292	4362336	0	0	-1061.480531800074	-1061.480531800074	-1029.8139985851365	-1029.8139985851365	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1061.480531800074,-1061.480531800074,-1061.480531800074,-1061.480531800074,-1061.480531800074,-1061.480531800074,-1061.480531800074,-1061.480531800074,-1061.480531800074,-1061.480531800074,-1061.480531800074,-1061.480531800074,-1061.480531800074,-1061.480531800074,-1061.480531800074,-1061.480531800074,-1061.480531800074,-1061.480531800074	0.9949686359947655	-1061.480531800074	15	true	718
31	18	18	100	55983	529452	4235616	0	0	-1059.6734560533855	-1059.6734560533855	-1031.1733193359303	-1031.1733193359303	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1081.3592157637927,-1076.3921041658655,-1076.3921041658655,-1076.3921041658655,-1076.3921041658655,-1076.3921041658655,-1076.3921041658655,-1076.3921041658655,-1076.3921041658655,-1076.3921041658655,-1076.3921041658655,-1076.3921041658655,-1076.3921041658655,-1076.3921041658655,-1076.3921041658655,-1076.3921041658655,-1076.3921041658655,-1077.4058391133015,-1079.3961068950532,-1079.3961068950532,-1079.3961068950532,-1079.3961068950532,-1079.3961068950532,-1079.3961068950532,-1079.3961068950532,-1079.3961068950532,-1079.3961068950532,-1074.257572652845,-1063.3460137389968,-1060.8835851885112,-1060.8835851885112,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855,-1059.6734560533855	0.9947478816502295	-1059.6734560533855	13	true	1214
32	21	21	100	56732	517374	4138992	0	0	-660.7780677810696	-652.7778752844199	-624.1244170383687	-623.585095780894	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-660.5272707720877,-663.5202028540646,-663.5202028540646,-663.5202028540646,-663.5202028540646,-663.5202028540646,-663.5202028540646,-663.5202028540646,-663.5202028540646,-654.8438113330312,-654.8438113330312,-654.8499926463721,-654.8499926463721,-654.8499926463721,-654.8499926463721,-654.8499926463721,-654.8499926463721,-654.8499926463721,-654.8499926463721,-654.8499926463721,-654.8499926463721,-653.579621643976,-653.579621643976,-652.7778752844199,-652.7778752844199,-652.7778752844199,-652.7778752844199,-652.7778752844199,-652.7778752844199,-652.7778752844199,-652.7778752844199,-652.7778752844199,-661.1264132518617,-661.1264132518617,-661.1264132518617,-661.1264132518617,-661.1264132518617,-661.1264132518617,-661.1264132518617,-661.1264132518617,-661.1264132518617,-661.1264132518617,-664.8941862569382,-670.2679342439038,-670.2679342439038,-670.2679342439038,-670.2679342439038,-662.6744698677975,-662.6744698677975,-662.6744698677975,-662.6744698677975,-662.6744698677975,-659.8649153685028,-660.7780677810696,-660.7780677810696,-660.7780677810696,-660.7780677810696,-660.7780677810696,-660.7780677810696,-660.7780677810696,-660.7780677810696,-660.7780677810696,-660.7780677810696,-660.7780677810696	0.9941547071596204	-652.7778752844199	13	true	959
33	23	23	100	57212	514602	4116816	0	0	-644.3589793175206	-640.3958863431483	-619.755158121584	-620.3429903918377	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-640.3958863431483,-640.3958863431483,-640.3958863431483,-640.3958863431483,-640.3958863431483,-640.3958863431483,-640.3958863431483,-640.3958863431483,-640.3958863431483,-640.3958863431483,-640.3958863431483,-640.3958863431483,-640.3958863431483,-640.9538401177729,-640.9538401177729,-643.3758474322224,-643.3758474322224,-643.3758474322224,-643.3758474322224,-643.3758474322224,-643.3758474322224,-643.3758474322224,-643.3758474322224,-642.5314664203459,-642.5314664203459,-642.5314664203459,-642.5314664203459,-642.5314664203459,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.271148758895,-644.3589793175206,-644.3589793175206,-644.3589793175206	0.9931903919404012	-640.3958863431483	13	true	1141
34	24	24	100	57374	513216	4105728	0	0	-634.9922304422918	-629.6105127935725	-613.7635351056998	-613.6711105552453	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-635.6649224419341,-635.6649224419341,-635.6649224419341,-635.6649224419341,-635.6649224419341,-630.6707132005107,-630.6707132005107,-630.6707132005107,-630.6707132005107,-630.6707132005107,-629.6105127935725,-631.1147328862454,-631.1767220887779,-631.1767220887779,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-636.1289082188445,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918,-634.9922304422918	0.9929728909716994	-629.6105127935725	11	true	1182
