# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 9
# run: 999d7ba6-83f8-4c66-94e6-38170bc7e636
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	25	14503	68900	551200	0	0	-39.33548721964328	-39.33548721964328	-39.33548721964328	-39.33548721964328	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-39.33548721964328,-39.33548721964328	0.9960270797844731	-39.33548721964328	3	true	1261
26	16	16	9	4895	24804	198432	0	0	-31.662854646891233	-31.662854646891233	-31.662854646891233	-31.662854646891233	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-31.662854646891233,-31.662854646891233	0.9955956967707507	-31.662854646891233	2	true	407
27	17	17	8	4283	22048	176384	0	0	-24.288862941746522	-24.288862941746522	-24.288862941746522	-24.288862941746522	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-24.288862941746522,-24.288862941746522	0.9954564961507815	-24.288862941746522	0	true	366
28	18	18	10	5576	27560	220480	0	0	-23.009686195965493	-23.009686195965493	-23.009686195965493	-23.009686195965493	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-24.93283268688446,-24.93283268688446,-24.93283268688446,-23.009686195965493,-23.009686195965493	0.9951930092629826	-23.009686195965493	0	true	404
29	18	18	20	10700	55120	440960	0	0	73.85466146102468	73.85466146102468	73.85466146102468	73.85466146102468	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,20.903305466254917,20.903305466254917,20.903305466254917,20.903305466254917,20.903305466254917,22.975647708647518,22.975647708647518,72.97564684686651,72.97564684686651,73.03782256165934,73.85466146102468,73.85466146102468	0.994803371813337	73.85466146102468	0	true	659
30	18	18	5	2540	13780	110240	0	0	75.1393280639057	75.1393280639057	75.1393280639057	75.1393280639057	-Infinity,-Infinity,-Infinity,75.1393280639057,75.1393280639057	0.9947478816502295	75.1393280639057	0	true	201
31	22	22	60	30408	165360	1322880	0	0	28.115719060731024	28.115719060731024	28.115719060731024	28.115719060731024	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,27.96119635515599,27.96119635515599,27.96119635515599,27.96119635515599,27.96119635515599,27.96119635515599,27.96119635515599,27.96119635515599,27.96119635515599,27.96119635515599,27.96119635515599,27.96119635515599,27.96119635515599,27.96119635515599,27.96119635515599,28.108489229332584,28.108489229332584,28.108489229332584,28.108489229332584,28.108492686126255,28.108492686126255,28.108492686126255,28.108492686126255,28.108492686126255,28.108492686126255,28.108492686126255,28.108492686126255,28.108492686126255,28.108492686126255,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.108525176000377,28.115719060731024,28.115719060731024	0.9937227758241277	28.115719060731024	0	true	1490
32	23	23	16	7856	44096	352768	0	0	82.71874014487288	82.71874014487288	82.71874014487288	82.71874014487288	27.8901070714695,30.570796066215927,31.75789185802516,31.75789185802516,31.75789185802516,31.75789185802516,31.75789185802516,31.75789185802516,81.75773475151051,81.75773475151051,81.75773475151051,81.75773475151051,81.75773475151051,81.75773475151051,82.71874014487288,82.71874014487288	0.9931903919404012	82.71874014487288	0	true	435
33	23	23	4	1948	11024	88192	0	0	81.94623062454039	81.94623062454039	81.94623062454039	81.94623062454039	-Infinity,-Infinity,81.94623062454039,81.94623062454039	0.99312042608257	81.94623062454039	0	true	191
34	27	27	31	16060	85436	683488	0	0	89.66083416384706	89.66083416384706	89.66083416384706	89.66083416384706	-Infinity,83.48522138917728,84.33704307961803,85.13678928174632,85.13678928174632,85.74693062502237,87.33764988291263,88.11004460784763,88.11004460784763,88.11004460784763,88.11004460784763,88.11004460784763,88.11004460784763,88.89141160223052,88.5386531351417,88.5386531351417,88.5386531351417,88.5386531351417,88.5386531351417,88.5386531351417,88.5386531351417,88.5386531351417,88.5386531351417,88.5386531351417,88.5386531351417,88.5386531351417,88.5386531351417,88.5386531351417,88.5386531351417,89.66083416384706,89.66083416384706	0.9924952661553873	89.66083416384706	0	true	770
35	27	26	17	7791	46852	374816	0	0	90.02193800047803	90.02193800047803	90.02193800047803	90.02193800047803	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,90.02193800047803,90.02193800047803	0.9922399675393511	90.02193800047803	0	true	289
