# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 1
# run: 9f6d64a3-c96a-4088-85cf-b995b3c06f6f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	10	2640	2300	18400	0	0	-1165.0930746970062	-1165.0930746970062	-1165.0930746970062	-1165.0930746970062	-1367.1943105616024,-1363.2742232897554,-1363.2742232897554,-1263.2799257475126,-1263.2799257475126,-1263.2799257475126,-1263.2799257475126,-1263.2799257475126,-1165.0930746970062,-1165.0930746970062	0.9968457241868389	-1165.0930746970062	0	true	134
26	15	15	1	262	230	1840	0	0	-1160.7091806297979	-1160.7091806297979	-1160.7091806297979	-1160.7091806297979	-1160.7091806297979	0.9961066961054532	-1160.7091806297979	0	true	18
27	15	15	5	1280	1150	9200	0	0	-1159.3940473611776	-1159.3940473611776	-1159.3940473611776	-1159.3940473611776	-1160.388667710223,-1160.388667710223,-1160.388667710223,-1159.3940473611776,-1159.3940473611776	0.9960270797844731	-1159.3940473611776	0	true	62
28	15	15	3	762	690	5520	0	0	-1158.0346080930549	-1158.0346080930549	-1158.0346080930549	-1158.0346080930549	-1158.088835427962,-1158.0346080930549,-1158.0346080930549	0.9960270797844731	-1158.0346080930549	0	true	33
29	15	15	4	1000	920	7360	0	0	-1157.0198046175578	-1157.0198046175578	-1157.0198046175578	-1157.0198046175578	-1207.0198037218472,-1207.0198037218472,-1157.0198046175578,-1157.0198046175578	0.9960270797844731	-1157.0198046175578	0	true	24
30	16	16	23	5658	5290	42320	0	0	-1156.9754026514709	-1156.9754026514709	-1156.9754026514709	-1156.9754026514709	-1159.8066431324917,-1159.8066431324917,-1159.8066431324917,-1158.9886590866934,-1158.9886590866934,-1158.9886590866934,-1158.0725928953414,-1158.0725928953414,-1158.0725928953414,-1158.0725928953414,-1158.0725928953414,-1158.0725928953414,-1158.0725928953414,-1157.2557437731514,-1157.2557437731514,-1157.2557437731514,-1157.2557437731514,-1157.2557437731514,-1157.2557437731514,-1157.2557437731514,-1157.2557437731514,-1156.9754026514709,-1156.9754026514709	0.9955956967707507	-1156.9754026514709	0	true	25
31	16	15	8	1920	1840	14720	0	0	-1157.1707792403204	-1157.1707792403204	-1157.1707792403204	-1157.1707792403204	-1161.3514472164143,-1158.3512013322495,-1158.3512013322495,-1158.3512013322495,-1158.3512013322495,-1158.3512013322495,-1157.1707792403204,-1157.1707792403204	0.99547682061105	-1157.1707792403204	0	true	30
32	18	17	17	3978	3910	31280	0	0	-1154.7940107213583	-1154.7940107213583	-1154.7940107213583	-1154.7940107213583	-1155.894892761526,-1155.894892761526,-1155.894892761526,-1155.894892761526,-1155.894892761526,-1155.894892761526,-1155.894892761526,-1155.0956762413605,-1155.0956762413605,-1155.0956762413605,-1155.0956762413605,-1155.0956762413605,-1155.0956762413605,-1155.0956762413605,-1155.0956762413605,-1154.7940107213583,-1154.7940107213583	0.9953202199135847	-1154.7940107213583	0	true	14
33	18	17	1	232	230	1840	0	0	-1153.9527944754034	-1153.9527944754034	-1153.9527944754034	-1153.9527944754034	-1153.9527944754034	0.9952647297504772	-1153.9527944754034	0	true	9
34	18	18	14	3192	3220	25760	0	0	-1054.5366094158317	-1054.5366094158317	-1054.5366094158317	-1054.5366094158317	-1204.9506939647774,-1105.3212375853266,-1105.3212375853266,-1105.3212375853266,-1105.3212375853266,-1055.3212418705484,-1055.3212418705484,-1055.3212418705484,-1055.3212418705484,-1055.3212418705484,-1055.3212418705484,-1055.3212418705484,-1054.5366094158317,-1054.5366094158317	0.9949686359947655	-1054.5366094158317	0	true	13
