# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 28
# run: 9fb0e74b-e68e-48f8-9bb3-87d1439f9186
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	85200	331848	2654784	0	0	-381.8729142686867	-381.8729142686867	-29.0473728922598	-29.0473728922598	-1169.137976964126,-1169.137976964126,-1169.137976964126,-969.13840426001,-969.1384474612976,-969.1384474612976,-969.1384474612976,-974.5174247842,-974.5175581750365,-974.5175581750365,-974.5175581750365,-974.5175581750365,-674.666109016507,-674.666109016507,-674.666109016507,-674.666109016507,-674.666109016507,-674.666109016507,-674.666109016507,-674.666109016507,-674.666109016507,-674.666109016507,-674.666109016507,-674.666109016507,-674.666109016507,-674.666109016507,-674.666109016507,-674.666109016507,-674.666109016507,-974.6662301200607,-974.6662301200607,-974.6662301200607,-974.6662301200607,-974.6662301200607,-974.6662301200607,-974.6662301200607,-974.6662301200607,-974.6662301200607,-974.6662301200607,-974.6662301200607,-974.6662301200607,-974.6662301200607,-974.6662301200607,-974.6662301200607,-974.6662301200607,-974.6662301200607,-974.6662301200607,-674.6663011054939,-674.6663011054939,-674.6663011054939,-674.6663011054939,-674.6663011054939,-674.6663011054939,-674.6663011054939,-674.6663011054939,-674.6663011054939,-674.6663011054939,-674.6663011054939,-674.6663011054939,-777.615318548918,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-883.08123167737,-873.3800892934898,-868.094094777808,-868.094094777808,-868.094094777808,-868.9677076668468,-868.9677076668468,-868.9677076668468,-868.9677076668468,-868.9677076668468,-771.911534800563,-676.9381692324062,-581.1878449447472,-381.8729142686867,-381.8729142686867,-381.8729142686867,-381.8729142686867,-381.8729142686867,-381.8729142686867	0.9961066961054532	-381.8729142686867	5	true	2818
26	15	15	100	78400	330660	2645280	0	0	-377.6837630303265	-377.6837630303265	-26.228225854727327	-26.228225854727327	-1167.15986848394,-1167.15986848394,-1167.15986848394,-667.1602061193438,-667.1602382393072,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-667.1602760218344,-472.698512061149,-472.698512061149,-472.698512061149,-472.698512061149,-472.698512061149,-472.698512061149,-472.698512061149,-377.6837630303265,-377.6837630303265,-377.6837630303265,-377.6837630303265,-377.6837630303265,-377.6837630303265,-377.6837630303265,-377.6837630303265,-377.6837630303265,-377.6837630303265	0.9960270797844731	-377.6837630303265	5	true	602
27	15	15	100	80000	330660	2645280	0	0	-376.5733178938215	-376.5733178938215	-25.07406956819601	-25.07406956819601	-1165.9897341274846,-1165.9897341274846,-1165.9897341274846,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-665.9900779690001,-469.4599311642751,-471.58769536711736,-471.58769536711736,-471.58769536711736,-471.58769536711736,-471.58769536711736,-471.58769536711736,-376.5733178938215,-376.5733178938215,-376.5733178938215,-376.5733178938215,-376.5733178938215,-376.5733178938215,-376.5733178938215,-376.5733178938215,-376.5733178938215,-376.5733178938215,-376.5733178938215	0.9960270797844731	-376.5733178938215	5	true	611
28	16	16	100	83200	340164	2721312	0	0	-Infinity	-215.06420460638847	-Infinity	-12.239028448494958	-666.9441313386981,-666.9441313386981,-666.9441313386981,-666.9443771317204,-666.9443771317204,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-666.9448180255404,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.945129118327,-716.9452282101513,-716.9452282101513,-716.9452282101513,-716.9452282101513,-716.9452282101513,-716.9452282101513,-716.9452282101513,-716.9452282101513,-716.9452282101513,-716.9452282101513,-716.9452282101513,-716.9452282101513,-716.9452282101513,-716.9452282101513,-615.0643986368412,-615.0643986368412,-615.0643986368412,-615.0643986368412,-615.0643986368412,-615.0643986368412,-515.0641914317049,-515.0641914317049,-515.0641914317049,-215.06420460638847,-218.55992607850268,-218.55992607850268,-218.55992607850268,-218.55992607850268,-218.55992607850268,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995805594344244	-215.06420460638847	3	true	539
29	16	16	100	83200	340164	2721312	0	0	-Infinity	-113.45210521170283	-60.37767010044368	-57.79666705783945	-665.2109369603613,-665.2109369603613,-665.2109369603613,-665.2111663670264,-565.2112834265822,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-665.2114934908161,-615.2115518426883,-615.2115518426883,-615.2115518426883,-615.2115518426883,-615.2115518426883,-615.2115518426883,-615.2115518426883,-715.2118245245015,-715.2118245245015,-715.2118245245015,-715.2118245245015,-715.2118245245015,-715.2118245245015,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-415.2118349229843,-413.4512639738846,-413.4512639738846,-313.4509912920713,-313.4509912920713,-313.4509912920713,-313.4509912920713,-313.4509912920713,-313.4509912920713,-313.4509912920713,-313.4509912920713,-213.45164256550345,-213.45164256550345,-213.45164256550345,-113.45210521170283,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954268136656409	-113.45210521170283	3	true	316
30	17	17	100	84200	350460	2803680	0	0	-363.19731843694245	-363.19731843694245	-7.983652088572216	-7.983652088572216	-664.8341884866833,-664.8341884866833,-664.8341884866833,-664.8341884866833,-664.8341884866833,-664.8343637968211,-664.8343637968211,-664.8343637968211,-664.8343637968211,-664.8343637968211,-664.8343637968211,-664.8343637968211,-664.8343637968211,-664.8343637968211,-664.8343637968211,-664.8343637968211,-664.8343637968211,-664.8343637968211,-664.8343637968211,-664.8343637968211,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-664.8346484504797,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-364.8345468899757,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245,-363.19731843694245	0.9952876130456717	-363.19731843694245	3	true	370
31	18	18	100	88000	361152	2889216	0	0	-363.12488365246287	-363.12488365246287	-7.631916522291879	-7.631916522291879	-664.7315104173721,-664.7315104173721,-664.7315104173721,-664.7315130676352,-664.7315130676352,-664.7315130676352,-664.7315130676352,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-364.73166828802357,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287,-363.12488365246287	0.9952147228050682	-363.12488365246287	3	true	799
32	18	18	100	86400	359964	2879712	0	0	-273.3967669884922	-270.3209517459845	41.29132558293659	41.12120185572476	-670.320718283184,-670.320718283184,-670.320718283184,-570.320772447096,-570.320772447096,-570.320772447096,-570.320772447096,-270.3209517459845,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-275.00387465084333,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922,-273.3967669884922	0.9948854007501045	-270.3209517459845	5	true	799
33	18	18	100	80400	342936	2743488	0	0	-Infinity	-23.793062957958867	-Infinity	-8.337251433748651	-568.8980185583906,-568.8980185583906,-568.8980185583906,-568.8983704891527,-568.8983704891527,-568.8983704891527,-568.8983704891527,-568.898399244106,-568.898399244106,-568.898399244106,-568.898399244106,-568.898399244106,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-573.7922093910514,-579.8599772301095,-579.8599772301095,-579.8599772301095,-579.8599772301095,-579.8599484751562,-579.8600441216057,-579.8600441216057,-579.8600441216057,-579.8600441216057,-579.8600441216057,-579.8600441216057,-579.8600441216057,-579.8600441216057,-579.8600441216057,-579.8603945795335,-579.8603945795335,-579.8603945795335,-579.8603945795335,-579.8603945795335,-573.7926267404754,-573.7926267404754,-573.7926268415284,-573.7926268415284,-577.6083658081284,-583.857532745434,-583.857532745434,-583.857532745434,-273.7928019239942,-173.79309081390954,-173.79309081390954,-173.79309081390954,-173.79309081390954,-23.793062957958867,-29.10542263564067,-29.10542263564067,-29.10542263564067,-29.10542263564067,-33.73406734407529,-28.84025719712976,-28.84025719712976,-28.84025719712976,-28.84082219540749,-28.84082219540749,-28.84082219540749,-29.87696927799688,-29.87696927799688,-29.87696927799688,-29.87696927799688,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9945946805477371	-23.793062957958867	6	true	430
34	22	22	100	89800	381744	3053952	0	0	-271.11546225840385	-72.22108526316318	-7.278927401115149	-7.278927401115149	-184.61002593830233,-184.61002593830233,-184.61002593830233,-84.61047106843615,-84.61047106843615,-84.61047106843615,-84.61047106843615,-84.61056372313494,-84.61056372313494,-84.61072826873496,-84.61072826873496,-84.61072826873496,-84.61072826873496,-84.61072826873496,-84.61072826873496,-84.61072826873496,-84.61072826873496,-84.61071469213113,-84.61071469213113,-84.49917777659566,-84.49917777659566,-84.49917777659566,-84.49917777659566,-84.49917777659566,-84.49917777659566,-84.49917777659566,-84.49917777659566,-84.49917777659566,-84.49917777659566,-84.49917777659566,-84.49917777659566,-84.49917777659566,-275.56228414600713,-274.3460039316215,-274.3460039316215,-279.9387596438727,-279.9387596438727,-279.9387596438727,-279.9387596438727,-279.9387596438727,-279.9387596438727,-279.9387596438727,-279.9387596438727,-279.9387596438727,-279.9387596438727,-279.9387596438727,-279.9387596438727,-279.9387596438727,-279.9387596438727,-279.9387596438727,-279.9387596438727,-279.9387596438727,-279.9388350341816,-279.9388350341816,-279.9388350341816,-279.9388350341816,-279.9388350341816,-86.09853479354655,-86.09853479354655,-86.09853479354655,-86.09853479354655,-86.09853479354655,-86.09853479354655,-86.09853479354655,-86.09853479354655,-86.09853479354655,-86.09853479354655,-86.09853479354655,-72.22108526316318,-72.85021110513183,-72.85021110513183,-72.85021110513183,-72.85021110513183,-72.85021110513183,-72.85021110513183,-72.85021110513183,-72.93536944496871,-72.93536944496871,-72.93536944496871,-72.93536944496871,-72.93536944496871,-72.93536944496871,-73.36103880290338,-73.36103880290338,-73.36103880290338,-73.36103880290338,-73.36103880290338,-73.36103880290338,-73.36103880290338,-73.36103880290338,-73.36103880290338,-73.36103880290338,-73.36103880290338,-271.11546225840385,-271.11546225840385,-271.11546225840385,-271.11546225840385,-271.11546225840385,-271.11546225840385,-271.11546225840385	0.9933681213033975	-72.22108526316318	5	true	409
