# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 16
# run: a02a88c7-1389-4980-bcbc-751e7f628f0b
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	55515	620730	4965840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	13	true	1718
26	15	15	100	55433	612810	4902480	0	0	-Infinity	-Infinity	-2451.240809125954	-2451.240809125954	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	11	true	1979
27	16	16	100	55692	599544	4796352	0	0	-Infinity	-Infinity	-2504.9627296914273	-2504.9627296914273	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-Infinity	11	true	1344
28	16	16	100	55667	587664	4701312	0	0	-2449.168261452124	-2449.168261452124	-2430.4378897648703	-2430.4378897648703	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124,-2449.168261452124	0.9955956967707507	-2449.168261452124	13	true	991
29	18	18	100	56078	569052	4552416	0	0	-1434.8935436056656	-1434.8935436056656	-1424.5158373480042	-1424.5158373480042	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656,-1434.8935436056656	0.9952702129681755	-1434.8935436056656	10	true	1622
30	18	18	100	56129	545292	4362336	0	0	-1045.4955560500084	-1043.2974892728357	-1028.397325807383	-1028.6896643913838	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1050.507881100417,-1046.5251621069758,-1043.2974892728357,-1043.2974892728357,-1043.3479230458145,-1043.3479230458145,-1043.3479230458145,-1043.3479230458145,-1043.3479230458145,-1043.3479230458145,-1043.4045057832375,-1043.4045057832375,-1043.4045057832375,-1043.4045057832375,-1043.4045057832375,-1043.4045057832375,-1043.4045057832375,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084,-1045.4955560500084	0.995024126157873	-1043.2974892728357	13	true	931
31	18	18	100	56046	525492	4203936	0	0	-1044.4898058648341	-1043.2933119764755	-1035.2241578728779	-1033.5782729775808	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1070.8475346981786,-1070.8475346981786,-1070.8475346981786,-1070.8475346981786,-1070.8475346981786,-1070.8475346981786,-1070.8475346981786,-1068.105190956919,-1068.105190956919,-1068.105190956919,-1068.105190956919,-1068.105190956919,-1068.105190956919,-1068.105190956919,-1068.105190956919,-1068.105190956919,-1068.105190956919,-1068.105190956919,-1068.105190956919,-1068.105190956919,-1068.105190956919,-1068.105190956919,-1054.7216665006704,-1046.1638425164538,-1048.242896191565,-1048.242896191565,-1048.242896191565,-1048.242896191565,-1048.242896191565,-1048.242896191565,-1048.242896191565,-1048.242896191565,-1048.242896191565,-1048.242896191565,-1048.242896191565,-1048.242896191565,-1048.242896191565,-1048.242896191565,-1048.242896191565,-1048.242896191565,-1049.356892081627,-1049.356892081627,-1049.356892081627,-1049.356892081627,-1049.356892081627,-1049.356892081627,-1049.356892081627,-1049.356892081627,-1045.4012254021288,-1045.4012254021288,-1045.4012254021288,-1045.4012254021288,-1045.4012254021288,-1045.4012254021288,-1045.4012254021288,-1045.4012254021288,-1045.4012254021288,-1045.4012254021288,-1045.4012254021288,-1043.2933119764755,-1043.2933119764755,-1043.2933119764755,-1043.2933119764755,-1043.2933119764755,-1043.2933119764755,-1044.4898058648341	0.9947478816502295	-1043.2933119764755	11	true	1128
32	20	20	100	56558	506880	4055040	0	0	-1054.4270781814498	-1054.4270781814498	-1022.0307958462442	-1022.0307958462442	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498,-1054.4270781814498	0.9943563799065661	-1054.4270781814498	13	true	1321
33	21	20	100	56537	483120	3864960	0	0	-685.1031771655603	-685.1031771655603	-630.7653363154894	-630.7653363154894	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-688.3829813474671,-688.3829813474671,-687.8439410798721,-687.8439410798721,-687.8439410798721,-687.8439410798721,-687.9845632724533,-687.9845632724533,-687.9845632724533,-687.9845632724533,-688.799156379147,-690.2726899569085,-690.2726899569085,-690.2726899569085,-690.2726899569085,-692.4421792881486,-692.4421792881486,-692.4421792881486,-692.4421792881486,-692.4421792881486,-692.4421792881486,-689.7274346133344,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-695.0328632795472,-685.1031771655603,-685.1031771655603,-685.1031771655603,-685.1031771655603,-685.1031771655603,-685.1031771655603,-685.1031771655603,-685.1031771655603,-685.1031771655603,-685.1031771655603,-685.1031771655603,-685.1031771655603,-685.1031771655603,-685.1031771655603,-685.1031771655603	0.9936125265936061	-685.1031771655603	17	true	996
34	22	21	100	56773	485694	3885552	0	0	-640.8289284415551	-640.8289284415551	-625.8570728712758	-625.8570728712758	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-662.079432713364,-662.079432713364,-662.079432713364,-658.3066403376883,-656.8208837190572,-656.8208837190572,-656.8208837190572,-653.0698166628268,-653.0698166628268,-653.0698166628268,-653.0698166628268,-653.0698166628268,-653.0698166628268,-653.0698166628268,-653.0698166628268,-653.0698166628268,-653.0698166628268,-653.0698166628268,-653.0698166628268,-653.0698166628268,-653.0698166628268,-653.0698166628268,-653.0698166628268,-652.069425360694,-652.069425360694,-647.7787361721655,-647.7787361721655,-647.7787361721655,-647.7787361721655,-644.0044299870815,-644.0044299870815,-640.8289284415551,-640.8289284415551,-640.8289284415551	0.9934347972306098	-640.8289284415551	11	true	1602
