# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 15
# run: a075807c-427c-46f7-bbe0-c9060cad803a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	16	16	15	7783	13950	111600	0	0	-153.97502457572796	-153.97502457572796	-153.97502457572796	-153.97502457572796	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-153.97502457572796,-153.97502457572796	0.995805594344244	-153.97502457572796	0	true	552
26	16	16	2	886	1860	14880	0	0	-148.47903199540443	-148.47903199540443	-148.47903199540443	-148.47903199540443	-148.47903199540443,-148.47903199540443	0.9955956967707507	-148.47903199540443	0	true	135
27	17	17	9	3896	8370	66960	0	0	-145.01086658948228	-145.01086658948228	-145.01086658948228	-145.01086658948228	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-145.01086658948228,-145.01086658948228	0.9952876130456717	-145.01086658948228	0	true	329
28	18	18	9	4066	8370	66960	0	0	-93.58440049170031	-93.58440049170031	-93.58440049170031	-93.58440049170031	-Infinity,-Infinity,-Infinity,-94.43963618654432,-94.43963618654432,-94.43963618654432,-93.66114842381175,-93.58440049170031,-93.58440049170031	0.995024126157873	-93.58440049170031	0	true	255
29	19	19	10	4600	9300	74400	0	0	-96.30776428638879	-96.30776428638879	-96.30776428638879	-96.30776428638879	-96.8369383648395,-96.8369383648395,-96.8369383648395,-96.5763401240091,-96.5763401240091,-96.5763401240091,-96.5763401240091,-96.5763401240091,-96.30776428638879,-96.30776428638879	0.994524166368136	-96.30776428638879	0	true	133
30	20	20	9	4149	8370	66960	0	0	-94.41056395559158	-94.41056395559158	-94.41056395559158	-94.41056395559158	-95.29019986391076,-95.29019986391076,-95.29019986391076,-95.07931165364805,-94.4709271979059,-94.4709271979059,-94.4709271979059,-94.41056395559158,-94.41056395559158	0.9943563799065661	-94.41056395559158	0	true	115
31	23	23	22	10724	20460	163680	0	0	-43.015026200328435	-43.015026200328435	-43.015026200328435	-43.015026200328435	-49.32288776318608,-49.32288776318608,-49.28467840296579,-46.471588237125324,-46.471588237125324,-46.29726312129714,-45.4843552752791,-45.4843552752791,-45.4843552752791,-45.4843552752791,-45.4843552752791,-45.4843552752791,-45.4843552752791,-45.4843552752791,-45.4843552752791,-44.72530583158262,-44.72530583158262,-44.72530583158262,-44.658514064860114,-44.658514064860114,-43.015026200328435,-43.015026200328435	0.9931903919404012	-43.015026200328435	0	true	249
32	23	23	4	1882	3720	29760	0	0	-92.57803313634835	-92.57803313634835	-92.57803313634835	-92.57803313634835	-142.57778804648956,-142.57778804648956,-92.57803313634835,-92.57803313634835	0.99312042608257	-92.57803313634835	0	true	77
33	26	26	21	10300	19530	156240	0	0	-40.20567575978672	-40.20567575978672	-40.20567575978672	-40.20567575978672	-92.83107457156818,-92.83107457156818,-92.83107457156818,-92.57974128545875,-91.857472398497,-91.857472398497,-91.857472398497,-90.20600908248208,-90.20600908248208,-90.20600908248208,-90.20600908248208,-90.20600908248208,-90.20600908248208,-90.20600908248208,-90.20600908248208,-90.20600908248208,-90.20600908248208,-90.20600908248208,-90.20600908248208,-40.20567575978672,-40.20567575978672	0.9923157090531579	-40.20567575978672	0	true	239
34	27	27	7	3618	6510	52080	0	0	-40.28405582563828	-40.28405582563828	-40.28405582563828	-40.28405582563828	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-40.28405582563828,-40.28405582563828	0.9916600258807873	-40.28405582563828	0	true	88
35	28	28	1	521	930	7440	0	0	-39.235681140379825	-39.235681140379825	-39.235681140379825	-39.235681140379825	-39.235681140379825	0.9911454807319727	-39.235681140379825	0	true	47
