# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 13
# run: a1316a75-0930-4a84-b7f7-5ebabbe862d8
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	43	22543	118508	948064	0	0	-189.40763706313928	-189.40763706313928	-189.40763706313928	-189.40763706313928	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-189.46649167036372,-189.46649167036372,-189.46649167036372,-189.46649167036372,-189.46649167036372,-189.46649167036372,-189.46649167036372,-189.46649167036372,-189.43689384113753,-189.43689384113753,-189.43689384113753,-189.43689384113753,-189.43689384113753,-189.43689384113753,-189.43689384113753,-189.43689384113753,-189.43689384113753,-189.40763706313928,-189.40763706313928	0.9960270797844731	-189.40763706313928	3	true	1916
26	15	15	1	501	2756	22048	0	0	-179.7762800978257	-179.7762800978257	-179.7762800978257	-179.7762800978257	-179.7762800978257	0.9960270797844731	-179.7762800978257	3	true	158
27	16	16	14	6871	38584	308672	0	0	-173.16531761364087	-173.16531761364087	-173.16531761364087	-173.16531761364087	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-173.16531761364087,-173.16531761364087	0.9958381646573722	-173.16531761364087	1	true	548
28	16	16	4	1976	11024	88192	0	0	-123.6542964041383	-123.6542964041383	-123.6542964041383	-123.6542964041383	-Infinity,-Infinity,-123.6542964041383,-123.6542964041383	0.9955956967707507	-123.6542964041383	1	true	223
29	17	17	49	24118	135044	1080352	0	0	-71.39116144868932	-71.39116144868932	-71.39116144868932	-71.39116144868932	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-123.48228020706527,-123.48228020706527,-123.48228020706527,-73.48228082411812,-73.48228082411812,-73.48228082411812,-73.48228082411812,-71.51718811220194,-71.51718811220194,-71.51718811220194,-71.51718811220194,-71.51718811220194,-71.51718811220194,-71.51718811220194,-71.51718811220194,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.42606873677313,-71.39116144868932,-71.39116144868932	0.9952876130456717	-71.39116144868932	0	true	1458
30	18	18	24	11478	66144	529152	0	0	-117.85537469439403	-117.85537469439403	-117.85537469439403	-117.85537469439403	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-117.85537469439403,-117.85537469439403	0.9952702129681755	-117.85537469439403	0	true	779
31	18	18	7	2738	19292	154336	0	0	-73.1848176155886	-73.1848176155886	-73.1848176155886	-73.1848176155886	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-73.1848176155886,-73.1848176155886	0.9948854007501045	-73.1848176155886	0	true	332
32	18	18	13	5001	35828	286624	0	0	-74.33810704797887	-74.33810704797887	-74.33810704797887	-74.33810704797887	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-74.33810704797887,-74.33810704797887	0.9947478816502295	-74.33810704797887	0	true	381
33	20	20	21	8275	57876	463008	0	0	-70.68893720206246	-70.68893720206246	-70.68893720206246	-70.68893720206246	-77.8859318073622,-77.8859318073622,-75.53764409057604,-75.532989304204,-75.532989304204,-72.60260979797893,-72.54197630705633,-72.54197630705633,-70.8486286196104,-70.8486286196104,-70.8486286196104,-70.81423161375834,-70.81423161375834,-70.81423161375834,-70.81423161375834,-70.81423161375834,-70.81423161375834,-70.81423161375834,-70.81423161375834,-70.68893720206246,-70.68893720206246	0.9940017253858359	-70.68893720206246	0	true	655
34	22	22	28	11549	77168	617344	0	0	-69.59509920755237	-69.59509920755237	-69.59509920755237	-69.59509920755237	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-70.13977133811936,-69.59509920755237,-69.59509920755237	0.9933979500076767	-69.59509920755237	0	true	749
