# solver: Greedy
# max_time: 300000
# main_solver: Greedy
# random.seed: 15
# run: a2e63cb3-3901-42e5-89cf-7304d3d3d731
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	16	16	1	0	0	0	0	0	-1367.1112341286275	-1367.1112341286275	-1164.2251257186829	-1164.2251257186829	-1367.1112341286275	0.995805594344244	-1367.1112341286275	2	true	106
26	16	16	1	0	0	0	0	0	-1362.5402577131097	-1362.5402577131097	-1160.7541627921003	-1160.7541627921003	-1362.5402577131097	0.9955956967707507	-1362.5402577131097	2	true	13
27	17	17	1	0	0	0	0	0	-1361.3911640432439	-1361.3911640432439	-1158.5874993077512	-1158.5874993077512	-1361.3911640432439	0.9952876130456717	-1361.3911640432439	2	true	9
28	18	18	1	0	0	0	0	0	-1362.3438607959858	-1362.3438607959858	-1157.8512902640744	-1157.8512902640744	-1362.3438607959858	0.995024126157873	-1362.3438607959858	3	true	9
29	19	19	1	0	0	0	0	0	-1214.2294336655636	-1214.2294336655636	-1157.6026461302727	-1157.6026461302727	-1214.2294336655636	0.994524166368136	-1214.2294336655636	4	true	10
30	20	20	1	0	0	0	0	0	-1212.8279234428044	-1212.8279234428044	-1156.4670157930218	-1156.4670157930218	-1212.8279234428044	0.9943563799065661	-1212.8279234428044	4	true	9
31	23	23	1	0	0	0	0	0	-1171.2747001464568	-1171.2747001464568	-1156.9465008596592	-1156.9465008596592	-1171.2747001464568	0.9931903919404012	-1171.2747001464568	6	true	9
32	23	23	1	0	0	0	0	0	-1168.1151015700282	-1168.1151015700282	-1156.470115351471	-1156.470115351471	-1168.1151015700282	0.99312042608257	-1168.1151015700282	5	true	9
33	26	26	1	0	0	0	0	0	-1167.226026178317	-1167.226026178317	-1155.3586948967131	-1155.3586948967131	-1167.226026178317	0.9923157090531579	-1167.226026178317	5	true	9
34	27	27	1	0	0	0	0	0	-1217.4501700869853	-1217.4501700869853	-1155.5834010194842	-1155.5834010194842	-1217.4501700869853	0.9916600258807873	-1217.4501700869853	5	true	10
35	28	28	1	0	0	0	0	0	-1216.8071417736517	-1216.8071417736517	-1154.9112364707323	-1154.9112364707323	-1216.8071417736517	0.9911454807319727	-1216.8071417736517	5	true	10
36	30	30	1	0	0	0	0	0	-1116.7026223371295	-1116.7026223371295	-1054.8071429137256	-1054.8071429137256	-1116.7026223371295	0.9909851514464726	-1116.7026223371295	5	true	9
37	32	32	1	0	0	0	0	0	-1066.6930974862796	-1066.6930974862796	-1054.7609185424112	-1054.7609185424112	-1066.6930974862796	0.9907713790658058	-1066.6930974862796	5	true	9
38	32	32	1	0	0	0	0	0	-1066.7140182661233	-1066.7140182661233	-1054.7833673354853	-1054.7833673354853	-1066.7140182661233	0.9903938046950963	-1066.7140182661233	5	true	8
39	36	36	1	0	0	0	0	0	-1066.6849666174821	-1066.6849666174821	-1054.7529827198105	-1054.7529827198105	-1066.6849666174821	0.9897667073643269	-1066.6849666174821	5	true	10
40	37	37	1	0	0	0	0	0	-1066.5997200055335	-1066.5997200055335	-1054.66720541629	-1054.66720541629	-1066.5997200055335	0.9897542787375438	-1066.5997200055335	5	true	9
