# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 29
# run: a368f2e2-0942-4c9f-beef-23e9ddcddbaf
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	29	7739	41644	333152	0	0	-2495.531249388428	-2495.531249388428	-2495.531249388428	-2495.531249388428	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2495.7242907531568,-2495.7242907531568,-2495.531249388428,-2495.531249388428	0.9960270797844731	-2495.531249388428	4	true	557
26	16	16	11	2883	15796	126368	0	0	-2430.3424832353085	-2430.3424832353085	-2430.3424832353085	-2430.3424832353085	-2434.906740418586,-2433.9247433569435,-2433.9247433569435,-2433.9247433569435,-2432.1035616890185,-2432.1035616890185,-2431.373361418562,-2431.373361418562,-2431.373361418562,-2430.3424832353085,-2430.3424832353085	0.9958381646573722	-2430.3424832353085	3	true	88
27	16	16	11	2791	15796	126368	0	0	-2481.099923188569	-2481.099923188569	-2481.099923188569	-2481.099923188569	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2481.155053238882,-2481.099923188569,-2481.099923188569	0.9956367112391343	-2481.099923188569	4	true	74
28	16	16	6	1481	8616	68928	0	0	-2479.6953758903046	-2479.6953758903046	-2479.6953758903046	-2479.6953758903046	-Infinity,-Infinity,-Infinity,-Infinity,-2479.6953758903046,-2479.6953758903046	0.9954268136656409	-2479.6953758903046	4	true	146
29	18	18	39	8996	56004	448032	0	0	-1421.2097793072687	-1421.2097793072687	-1421.2097793072687	-1421.2097793072687	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1521.9337926051035,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1520.956956326846,-1421.8841070333972,-1421.8841070333972,-1421.8841070333972,-1421.8841070333972,-1421.8841070333972,-1421.2097793072687,-1421.2097793072687	0.9952702129681755	-1421.2097793072687	0	true	100
30	18	18	3	668	4308	34464	0	0	-1417.2292916809301	-1417.2292916809301	-1417.2292916809301	-1417.2292916809301	-Infinity,-1417.2292916809301,-1417.2292916809301	0.9952147228050682	-1417.2292916809301	0	true	60
31	18	18	3	620	4308	34464	0	0	-1425.6914601499657	-1425.6914601499657	-1425.6914601499657	-1425.6914601499657	-Infinity,-1425.6914601499657,-1425.6914601499657	0.9947478816502295	-1425.6914601499657	0	true	60
32	20	20	19	3713	27284	218272	0	0	-1024.4398886831316	-1024.4398886831316	-1024.4398886831316	-1024.4398886831316	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1026.1475620889344,-1026.1475620889344,-1025.4676201022546,-1025.4676201022546,-1025.4676201022546,-1025.4676201022546,-1025.4676201022546,-1025.4676201022546,-1025.4676201022546,-1024.4398886831316,-1024.4398886831316	0.9940017253858359	-1024.4398886831316	1	true	73
33	22	21	28	5112	40208	321664	0	0	-1025.3046772154419	-1025.3046772154419	-1025.3046772154419	-1025.3046772154419	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1026.7736389561069,-1026.7736389561069,-1026.7736389561069,-1025.6288662064703,-1025.6288662064703,-1025.6288662064703,-1025.340704537647,-1025.340704537647,-1025.340704537647,-1025.340704537647,-1025.340704537647,-1025.340704537647,-1025.340704537647,-1025.340704537647,-1025.340704537647,-1025.340704537647,-1025.340704537647,-1025.340704537647,-1025.3046772154419,-1025.3046772154419	0.9934347972306098	-1025.3046772154419	0	true	74
34	23	21	43	7658	61748	493984	0	0	-1071.8027780248794	-1071.8027780248794	-1071.8027780248794	-1071.8027780248794	-Infinity,-Infinity,-Infinity,-1074.776762307035,-1074.776762307035,-1074.776762307035,-1074.773328243644,-1074.773328243644,-1074.7581302288074,-1074.7581302288074,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.5607809561652,-1073.3187736902478,-1073.3187736902478,-1073.3187736902478,-1073.3187736902478,-1073.3187736902478,-1073.3187736902478,-1073.3187736902478,-1073.3187736902478,-1073.3187736902478,-1073.3187736902478,-1071.8027780248794,-1071.8027780248794	0.9931451005622128	-1071.8027780248794	1	true	86
35	25	25	11	1903	15796	126368	0	0	-1064.5098851674097	-1064.5098851674097	-1064.5098851674097	-1064.5098851674097	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1115.6985562225368,-1115.6985562225368,-1115.6985562225368,-1064.6989999524465,-1064.5098851674097,-1064.5098851674097	0.9926511357571592	-1064.5098851674097	0	true	60
36	27	26	25	4017	35900	287200	0	0	-866.9676249582977	-866.9676249582977	-866.9676249582977	-866.9676249582977	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-967.8875613754342,-967.8875613754342,-967.1871140625267,-966.3472541566309,-965.0351560351291,-965.0351560351291,-868.4659065613422,-868.4659065613422,-867.9671775356225,-867.9671775356225,-867.9671775356225,-867.9671775356225,-867.9671775356225,-867.9671775356225,-867.9671775356225,-866.9676289234113,-866.9676289234113,-866.9676289234113,-866.9676249582977,-866.9676249582977	0.9916968731037203	-866.9676249582977	0	true	66
37	28	27	24	3744	34464	275712	0	0	-861.2885978146553	-861.2885978146553	-861.2885978146553	-861.2885978146553	-863.3912733607183,-862.5845455155753,-862.5845455155753,-862.5845455155753,-862.5845455155753,-862.5845455155753,-861.7916026063593,-861.7916026063593,-861.7916026063593,-861.7916026063593,-861.7916026063593,-861.7916026063593,-861.7916026063593,-861.7916026063593,-861.7916026063593,-861.7916026063593,-861.7916026063593,-861.7916026063593,-861.7916026063593,-861.7916026063593,-861.7916026063593,-861.7916026063593,-861.2885978146553,-861.2885978146553	0.9911823279549058	-861.2885978146553	0	true	97
38	31	30	35	5320	50260	402080	0	0	-856.2682384193312	-856.2682384193312	-856.2682384193312	-856.2682384193312	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-856.4230296354185,-856.4230296354185,-856.4230296354185,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2963085424947,-856.2682384193312,-856.2682384193312	0.9908726723740868	-856.2682384193312	0	true	73
39	31	30	23	3496	33028	264224	0	0	-805.8612407149548	-805.8612407149548	-805.8612407149548	-805.8612407149548	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-905.8610443124427,-905.8610443124427,-905.8610443124427,-905.8610443124427,-855.8612373703228,-855.8612373703228,-855.8612373703228,-855.8612373703228,-855.8612373703228,-855.8612373703228,-855.8612373703228,-855.8612373703228,-855.8612373703228,-855.8612373703228,-805.8612407149548,-805.8612407149548	0.990892740950863	-805.8612407149548	0	true	61
40	31	31	15	2340	21540	172320	0	0	-802.7181651670039	-802.7181651670039	-802.7181651670039	-802.7181651670039	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-852.7180668769169,-852.7180668769169,-852.7180668769169,-852.7180668769169,-802.7181651670039,-802.7181651670039	0.9904783193572204	-802.7181651670039	0	true	52
41	31	30	6	912	8616	68928	0	0	-806.0904348250625	-806.0904348250625	-806.0904348250625	-806.0904348250625	-Infinity,-806.8527452481438,-806.8527452481438,-806.8527452481438,-806.0904348250625,-806.0904348250625	0.99033180778032	-806.0904348250625	0	true	43
42	33	32	14	2240	20104	160832	0	0	-604.23407714231	-604.23407714231	-604.23407714231	-604.23407714231	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-605.7121361133773,-605.7121361133773,-605.7121361133773,-605.7121361133773,-605.7121361133773,-605.7121361133773,-605.7121361133773,-604.23407714231,-604.23407714231	0.9901235551721362	-604.23407714231	0	true	48
43	34	33	23	3772	33028	264224	0	0	-601.7781443606372	-601.7781443606372	-601.7781443606372	-601.7781443606372	-Infinity,-Infinity,-Infinity,-602.178765917505,-602.178765917505,-602.178765917505,-602.178720741255,-602.178720741255,-602.1570942990959,-601.9170064529056,-601.9170064529056,-601.9170064529056,-601.9170064529056,-601.9170064529056,-601.9170064529056,-601.9170064529056,-601.9170064529056,-601.9170064529056,-601.9170064529056,-601.9170064529056,-601.9170064529056,-601.7781443606372,-601.7781443606372	0.9898041394638142	-601.7781443606372	0	true	60
44	38	37	10	1800	14360	114880	0	0	-599.5323716989357	-599.5323716989357	-599.5323716989357	-599.5323716989357	-Infinity,-Infinity,-Infinity,-600.5423853658202,-600.5423853658202,-600.5423853658202,-600.3330565283061,-600.3330565283061,-599.5323716989357,-599.5323716989357	0.9889204275447611	-599.5323716989357	0	true	45
45	42	42	23	4600	33028	264224	0	0	-597.3502611227681	-597.3502611227681	-597.3502611227681	-597.3502611227681	-Infinity,-Infinity,-598.8272667656521,-598.8272667656521,-598.8272667656521,-598.8272667656521,-598.8272667656521,-598.4845149933287,-598.4845149933287,-598.4845149933287,-598.4845149933287,-598.4845149933287,-598.4559046677149,-598.4559046677149,-598.3965841817763,-598.3965841817763,-598.3513157593693,-598.3513157593693,-597.3650426437704,-597.3650426437704,-597.3650426437704,-597.3502611227681,-597.3502611227681	0.9881610384483223	-597.3502611227681	0	true	60
46	43	41	54	10584	77544	620352	0	0	-397.2650806248467	-397.2650806248467	-397.2650806248467	-397.2650806248467	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-397.2650806248467,-397.2650806248467	0.9873925837652889	-397.2650806248467	0	true	77
47	45	44	10	2080	14360	114880	0	0	-395.88330728260564	-395.88330728260564	-395.88330728260564	-395.88330728260564	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-395.88330728260564,-395.88330728260564	0.9869172253456252	-395.88330728260564	0	true	45
48	46	43	14	2856	20104	160832	0	0	-448.9213555223103	-448.9213555223103	-448.9213555223103	-448.9213555223103	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-448.9213555223103,-448.9213555223103	0.9863936877197855	-448.9213555223103	0	true	58
49	48	45	39	8268	56004	448032	0	0	-446.93977482357053	-446.93977482357053	-446.93977482357053	-446.93977482357053	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-448.5505074236663,-448.5505074236663,-448.5505074236663,-448.5505074236663,-448.5505074236663,-448.5505074236663,-447.6924285518295,-446.94001169405584,-446.94001169405584,-446.94001169405584,-446.94001169405584,-446.94001169405584,-446.94001169405584,-446.93997942807806,-446.93997942807806,-446.93997942807806,-446.93997942807806,-446.93997942807806,-446.93997942807806,-446.93997942807806,-446.93997942807806,-446.93997942807806,-446.93997942807806,-446.93997942807806,-446.93997942807806,-446.93997942807806,-446.93997942807806,-446.93997942807806,-446.93977482357053,-446.93977482357053	0.9858125397533283	-446.93977482357053	0	true	67
50	49	46	21	4536	30156	241248	0	0	-444.720088361024	-444.720088361024	-444.720088361024	-444.720088361024	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-494.7210966767835,-494.7210966767835,-494.7210966767835,-494.7210966767835,-494.7210966767835,-444.7205985149249,-444.7205985149249,-444.7205985149249,-444.7205985149249,-444.7205985149249,-444.7205985149249,-444.7205985149249,-444.720088361024,-444.720088361024	0.9856360532530101	-444.720088361024	0	true	50
51	51	48	23	5152	33028	264224	0	0	-597.0492277688904	-597.0492277688904	-597.0492277688904	-597.0492277688904	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-598.6087997682155,-598.6087997682155,-597.8496704209176,-597.8496704209176,-597.8496704209176,-597.8496704209176,-597.8496704209176,-597.0492277688904,-597.0492277688904	0.9848669771386377	-597.0492277688904	0	true	54
