# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 29
# run: a3989d7d-84a6-49f1-b726-531e0d717de9
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	16	7486	6080	48640	0	0	-66.22683114435328	-66.22683114435328	-66.22683114435328	-66.22683114435328	-1367.1308627464289,-1365.2427045980605,-913.2730698073153,-913.2730698073153,-613.2734749629979,-613.2734749629979,-513.2775913842783,-513.2775913842783,-513.2775913842783,-513.2775913842783,-415.1209253432623,-217.18266786374062,-117.1827631403515,-67.17550756899584,-66.22683114435328,-66.22683114435328	0.9960270797844731	-66.22683114435328	0	true	276
26	16	16	7	3087	2660	21280	0	0	-59.35250376488765	-59.35250376488765	-59.35250376488765	-59.35250376488765	-61.93412174565897,-61.93412174565897,-61.93412174565897,-61.93412174565897,-60.24019386104434,-59.35250376488765,-59.35250376488765	0.9958381646573722	-59.35250376488765	0	true	58
27	16	16	21	9366	7980	63840	0	0	-58.33810214799616	-58.33810214799616	-58.33810214799616	-58.33810214799616	-59.902579607577884,-59.902579607577884,-59.902579607577884,-59.902579607577884,-59.902579607577884,-59.902579607577884,-59.902579607577884,-59.902579607577884,-59.902579607577884,-59.902579607577884,-59.902579607577884,-59.902579607577884,-59.902579607577884,-59.119515662260675,-59.119515662260675,-59.119515662260675,-59.119515662260675,-59.119515662260675,-59.119515662260675,-58.33810214799616,-58.33810214799616	0.9956367112391343	-58.33810214799616	0	true	100
28	16	16	8	3464	3040	24320	0	0	-7.085270559472319	-7.085270559472319	-7.085270559472319	-7.085270559472319	-7.893286167893679,-7.893286167893679,-7.893286167893679,-7.893286167893679,-7.893286167893679,-7.893286167893679,-7.085270559472319,-7.085270559472319	0.9954268136656409	-7.085270559472319	0	true	44
29	18	18	18	8132	6840	54720	0	0	-55.95755119516599	-55.95755119516599	-55.95755119516599	-55.95755119516599	-106.07950163446684,-56.08027062620786,-56.08027062620786,-56.08027062620786,-56.08027062620786,-56.08027062620786,-56.08027062620786,-56.08027062620786,-56.08027062620786,-56.08027062620786,-56.08027062620786,-56.08027062620786,-56.08027062620786,-56.08027062620786,-56.08027062620786,-56.08027062620786,-55.95755119516599,-55.95755119516599	0.9952702129681755	-55.95755119516599	0	true	84
30	18	18	1	444	380	3040	0	0	-55.03287730361508	-55.03287730361508	-55.03287730361508	-55.03287730361508	-55.03287730361508	0.9952147228050682	-55.03287730361508	0	true	18
31	18	18	6	2640	2280	18240	0	0	-58.459887795218606	-58.459887795218606	-58.459887795218606	-58.459887795218606	-60.04508433435098,-60.04508433435098,-60.04508433435098,-59.26006777698187,-58.459887795218606,-58.459887795218606	0.9947478816502295	-58.459887795218606	0	true	32
32	20	20	35	15820	13300	106400	0	0	-57.02434854954691	-57.02434854954691	-57.02434854954691	-57.02434854954691	-57.514044767893715,-57.514044767893715,-57.514044767893715,-57.514044767893715,-57.514044767893715,-57.514044767893715,-57.514044767893715,-57.514044767893715,-57.514044767893715,-57.514044767893715,-57.514044767893715,-57.514044767893715,-57.514044767893715,-57.514044767893715,-57.274419251180085,-57.274419251180085,-57.030541980796606,-57.030541980796606,-57.030541980796606,-57.030541980796606,-57.030541980796606,-57.030541980796606,-57.030541980796606,-57.030541980796606,-57.030541980796606,-57.030541980796606,-57.030541980796606,-57.030541980796606,-57.030541980796606,-57.030541980796606,-57.030541980796606,-57.030541980796606,-57.030541980796606,-57.02434854954691,-57.02434854954691	0.9940017253858359	-57.02434854954691	0	true	150
33	23	23	92	43976	34960	279680	0	0	-56.566022322141826	-56.566022322141826	-56.566022322141826	-56.566022322141826	-59.54262425526714,-59.54262425526714,-59.54262425526714,-58.72965020215054,-58.72965020215054,-58.72965020215054,-58.72965020215054,-58.72965020215054,-58.72965020215054,-58.72965020215054,-58.72965020215054,-57.972981189262725,-57.66291657103642,-57.66291657103642,-57.66291657103642,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.650736579743395,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-57.33693902864428,-56.566022322141826,-56.566022322141826	0.9931903919404012	-56.566022322141826	0	true	427
34	23	23	1	478	380	3040	0	0	-54.50586788682382	-54.50586788682382	-54.50586788682382	-54.50586788682382	-54.50586788682382	0.9930914746931229	-54.50586788682382	0	true	21
