# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 25
# run: a4856d26-913d-4a9a-98b1-11b0d2a4b6b7
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	100	67410	764280	6114240	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9968457241868389	-Infinity	19	false	1302
26	15	15	100	67591	767250	6138000	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9963744964578416	-Infinity	18	false	832
27	15	15	100	67747	742500	5940000	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	18	false	1111
28	15	15	100	67784	707850	5662800	0	0	-Infinity	-Infinity	-2939.6489795097586	-2939.6489795097586	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	17	false	1216
29	15	15	100	67606	668250	5346000	0	0	-Infinity	-Infinity	-1744.8198105914096	-1744.8198105914096	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9959945094713449	-Infinity	14	false	716
30	16	16	100	67837	646470	5171760	0	0	-1274.0538205025507	-1274.0538205025507	-1233.0296925274067	-1233.0296925274067	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1274.0538205025507,-1274.0538205025507,-1274.0538205025507,-1274.0538205025507,-1274.0538205025507,-1274.0538205025507,-1274.0538205025507,-1274.0538205025507,-1274.0538205025507,-1274.0538205025507,-1274.0538205025507,-1274.0538205025507,-1274.0538205025507,-1274.0538205025507,-1274.0538205025507	0.9954268136656409	-1274.0538205025507	20	false	844
31	17	16	100	67968	631620	5052960	0	0	-1270.8875002038076	-1270.8875002038076	-1230.3211695524976	-1230.3211695524976	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076,-1270.8875002038076	0.9953376199910808	-1270.8875002038076	20	false	648
32	18	16	100	67826	592020	4736160	0	0	-772.2487781705566	-772.2487781705566	-734.7912236833698	-734.7912236833698	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-791.5620649312009,-791.5620649312009,-791.5620649312009,-791.5620649312009,-791.5620649312009,-791.5620649312009,-791.5620649312009,-791.5620649312009,-791.5620649312009,-791.5620649312009,-791.5620649312009,-791.5620649312009,-791.5620649312009,-791.5620649312009,-791.5620649312009,-791.5620649312009,-791.5620649312009,-792.0301598391309,-792.0301598391309,-792.0301598391309,-792.0301598391309,-792.0301598391309,-792.0301598391309,-791.0384850230876,-791.0384850230876,-790.8089322432336,-790.8089322432336,-790.8089322432336,-790.8089322432336,-790.8089322432336,-791.3412733018454,-792.6092787824387,-792.6092787824387,-782.1111136792277,-781.2774960112811,-781.2774960112811,-781.2774960112811,-781.3465636527308,-781.3465636527308,-782.2835261550845,-782.2835261550845,-778.1978285193555,-778.1978285193555,-778.1978285193555,-778.1978285193555,-778.1978285193555,-778.1978285193555,-778.1978285193555,-772.8330045597929,-772.2487781705566,-772.2487781705566,-772.2487781705566,-772.2487781705566,-772.2487781705566,-772.2487781705566,-772.2487781705566,-772.2487781705566,-772.2487781705566,-772.2487781705566,-772.2487781705566,-772.2487781705566,-772.2487781705566,-772.2487781705566,-772.2487781705566,-772.2487781705566,-772.2487781705566	0.9950554901631077	-772.2487781705566	22	false	650
33	18	16	100	67702	582120	4656960	0	0	-755.224470436128	-755.224470436128	-729.7662869419177	-729.7662869419177	-Infinity,-Infinity,-Infinity,-Infinity,-787.1616187068661,-787.1616187068661,-787.1616187068661,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-788.1578774348288,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-787.1616187068661,-771.5441342549253,-771.5441342549253,-771.5441342549253,-771.5441342549253,-763.1728990002523,-763.1728990002523,-766.0796492309407,-766.0796492309407,-766.0796492309407,-766.0796492309407,-766.0796492309407,-766.0796492309407,-766.0796492309407,-766.0796492309407,-766.0796492309407,-766.0796492309407,-766.0796492309407,-766.0796492309407,-766.0796492309407,-766.0796492309407,-765.8355523097639,-765.8355523097639,-765.8355523097639,-765.8355523097639,-765.8355523097639,-765.8355523097639,-765.8355523097639,-765.8355523097639,-765.8355523097639,-765.8355523097639,-765.8355523097639,-765.8355523097639,-765.8355523097639,-765.8355523097639,-765.8271677071443,-765.8271677071443,-761.3916491057256,-757.0924451697482,-755.224470436128,-755.224470436128,-755.224470436128,-755.224470436128,-755.224470436128,-755.224470436128,-755.224470436128,-755.224470436128,-755.224470436128,-755.224470436128	0.9950554901631077	-755.224470436128	20	false	644
34	18	14	100	67239	546480	4371840	0	0	-786.4926031105508	-786.4926031105508	-748.7622569345579	-748.7622569345579	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-815.3518740844933,-812.2665711777981,-812.2665711777981,-812.2665711777981,-809.1550765833496,-807.7544729747773,-807.7544729747773,-807.7544729747773,-807.7544729747773,-807.7544729747773,-807.7544729747773,-807.7544729747773,-807.7544729747773,-807.7544729747773,-807.7544729747773,-807.7544729747773,-807.7544729747773,-807.7544729747773,-807.7544729747773,-807.7544729747773,-807.7544729747773,-807.7544729747773,-807.7544729747773,-800.7033494488124,-793.923094895897,-793.923094895897,-793.923094895897,-793.923094895897,-789.4630794598716,-786.596755512263,-786.596755512263,-786.596755512263,-786.4935292190236,-786.4935292190236,-786.4935292190236,-786.4935292190236,-786.4935292190236,-786.4935292190236,-786.4935292190236,-786.4935292190236,-786.4935292190236,-786.4926031105508,-786.4926031105508,-786.4926031105508,-786.4926031105508,-786.4926031105508,-786.4926031105508	0.9948284849503952	-786.4926031105508	22	false	695
