# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 29
# run: a515ab62-f32b-46ea-b223-7c4c5e2f095c
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	54400	323730	2589840	0	0	-1657.327684016452	-1656.0155489928861	-1652.066559880065	-1653.0286202492464	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1665.7298969231185,-1665.7298969231185,-1665.7298969231185,-1665.7298969231185,-1665.7298969231185,-1665.7298969231185,-1665.7298969231185,-1665.7298969231185,-1665.7298969231185,-1665.7298969231185,-1665.7298969231185,-1665.7298969231185,-1662.4604592497808,-1662.4604592497808,-1662.4604592497808,-1662.4604592497808,-1662.4604592497808,-1662.4604592497808,-1662.4604592497808,-1662.4604592497808,-1662.4604592497808,-1662.4604592497808,-1662.4604592497808,-1665.881888162935,-1665.881888162935,-1665.881888162935,-1665.8456822601227,-1661.2599399781227,-1661.2599399781227,-1661.2599399781227,-1661.2599399781227,-1661.2599399781227,-1661.2599399781227,-1661.2599399781227,-1661.2599399781227,-1661.2599399781227,-1661.2599399781227,-1661.2599399781227,-1661.2599399781227,-1657.2599666709707,-1657.2599666709707,-1657.2599666709707,-1657.2599666709707,-1657.2599666709707,-1656.0155489928861,-1656.0155489928861,-1657.327684016452,-1657.327684016452,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1659.4106452512394,-1657.327684016452,-1657.327684016452,-1657.327684016452	0.9960270797844731	-1656.0155489928861	3	true	872
26	16	16	100	54200	325908	2607264	0	0	-1644.46520126949	-1644.46520126949	-1644.46520126949	-1644.46520126949	-Infinity,-Infinity,-Infinity,-Infinity,-1649.6900650500231,-1649.6900650500231,-1649.6900650500231,-1649.6900650500231,-1649.6900650500231,-1649.6900650500231,-1649.6900650500231,-1649.6900650500231,-1649.6900650500231,-1649.6900650500231,-1649.6900650500231,-1649.6900650500231,-1649.6900650500231,-1649.6900650500231,-1649.6900650500231,-1647.943978544142,-1647.943978544142,-1647.943978544142,-1647.943978544142,-1647.943978544142,-1647.943978544142,-1647.943978544142,-1647.943978544142,-1647.943978544142,-1647.943978544142,-1647.943978544142,-1647.943978544142,-1647.943978544142,-1646.2226727763402,-1646.2226727763402,-1646.2226727763402,-1646.2226727763402,-1646.2226727763402,-1646.2226727763402,-1646.2226727763402,-1646.2226727763402,-1646.2226727763402,-1646.2226727763402,-1646.2226727763402,-1646.2226727763402,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949,-1644.46520126949	0.9958381646573722	-1644.46520126949	0	true	460
27	16	16	100	51200	316008	2528064	0	0	-1644.0814901709468	-1644.0814901709468	-1644.0814901709468	-1644.0814901709468	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1647.7057653184393,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468,-1644.0814901709468	0.9956367112391343	-1644.0814901709468	0	true	473
28	16	16	100	50800	312048	2496384	0	0	-1642.9671935069157	-1642.9671935069157	-1642.9671935069157	-1642.9671935069157	-Infinity,-Infinity,-1653.6847350039548,-1648.4921406656933,-1648.4921406656933,-1648.5352698625884,-1646.603301669553,-1646.603301669553,-1645.3465935622994,-1646.6468936016943,-1646.6468936016943,-1646.6468936016943,-1646.6468936016943,-1646.6468936016943,-1646.6468936016943,-1646.6468936016943,-1646.6468936016943,-1646.6468936016943,-1646.6468936016943,-1646.6468936016943,-1645.3465935622994,-1645.3465935622994,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1646.603301669553,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157,-1642.9671935069157	0.9954268136656409	-1642.9671935069157	0	true	285
29	18	18	100	48000	312444	2499552	0	0	-1640.1469208970677	-1640.1469208970677	-1640.1469208970677	-1640.1469208970677	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677,-1640.1469208970677	0.9952702129681755	-1640.1469208970677	0	true	293
30	18	18	100	47600	308484	2467872	0	0	-853.9524275489441	-853.9524275489441	-847.9601787421938	-847.9601787421938	-874.2534190011269,-874.2534190011269,-874.2534190011269,-874.2534190011269,-868.392614235415,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-863.3498752960361,-860.1276529544488,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-858.6747271485004,-855.6702256392157,-855.6702256392157,-855.6702256392157,-855.6702256392157,-855.6702256392157,-853.9524275489441,-853.9524275489441,-853.9524275489441,-853.9524275489441,-853.9524275489441,-853.9524275489441,-853.9524275489441,-853.9524275489441,-853.9524275489441,-853.9524275489441,-853.9524275489441,-853.9524275489441,-853.9524275489441,-853.9524275489441,-853.9524275489441	0.9952147228050682	-853.9524275489441	3	true	396
31	18	18	100	46200	294624	2356992	0	0	-669.6653169638248	-664.6695544705011	-650.4354641647164	-651.1473247551876	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-671.9892533129173,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-679.1319799505562,-675.3010820903422,-675.3010820903422,-675.3010820903422,-675.3010820903422,-673.1197151511174,-673.1197151511174,-673.1197151511174,-673.1197151511174,-673.1197151511174,-668.0852600524662,-665.4843004374843,-665.4843004374843,-665.4843004374843,-664.6695544705011,-664.6695544705011,-665.2063439858495,-665.2063439858495,-666.5516355629401,-669.6653169638248,-669.6653169638248,-669.6653169638248,-669.6653169638248,-669.6653169638248,-669.6653169638248,-669.6653169638248,-669.6653169638248,-669.6653169638248,-669.6653169638248,-669.6653169638248,-669.6653169638248,-669.6653169638248	0.9947478816502295	-664.6695544705011	7	true	262
32	20	20	100	43400	295020	2360160	0	0	-651.6730742190147	-651.6730742190147	-645.3089750902489	-645.3089750902489	-662.6117155119648,-662.6117155119648,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-658.0107354945261,-653.9374447095995,-653.9374447095995,-653.9374447095995,-656.5497001801783,-656.5497001801783,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-658.5884596089137,-655.7296115172917,-654.7346462895151,-654.7346462895151,-654.7346462895151,-654.7346462895151,-654.7346462895151,-654.7346462895151,-653.608762775205,-653.608762775205,-653.608762775205,-653.608762775205,-653.608762775205,-653.608762775205,-653.608762775205,-653.608762775205,-653.608762775205,-653.608762775205,-653.608762775205,-653.608762775205,-653.608762775205,-653.608762775205,-653.608762775205,-653.608762775205,-651.6730742190147,-651.6730742190147,-651.6730742190147,-651.6730742190147,-651.6730742190147,-651.6730742190147,-651.6730742190147,-651.6730742190147,-651.6730742190147,-651.6730742190147,-651.6730742190147	0.9940017253858359	-651.6730742190147	4	true	329
33	23	22	100	68220	299376	2395008	0	0	-651.0655995170699	-650.3677860838486	-645.9110531535629	-646.152807764025	-669.7518263574345,-669.7518263574345,-662.5173333223537,-662.5173333223537,-661.8189079469524,-661.8189079469524,-657.8892109244136,-657.8892109244136,-657.8892109244136,-657.8892109244136,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-658.6467872886496,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-655.5815651554865,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-653.6441730765603,-652.2493488929854,-652.2493488929854,-652.2493488929854,-653.8635429037954,-653.2160273365353,-653.2160273365353,-650.3677860838486,-651.0655995170699,-651.0655995170699,-651.0655995170699	0.9932272391633342	-650.3677860838486	4	true	399
34	23	23	100	68495	301554	2412432	0	0	-642.1472100285167	-642.1472100285167	-641.183837198471	-641.183837198471	-656.4090545307431,-656.4090545307431,-649.1042932280941,-647.1209395303835,-647.1209395303835,-647.1209395303835,-647.1209395303835,-647.1209395303835,-647.1209395303835,-647.2811836320794,-647.2811836320794,-647.2811836320794,-647.2811836320794,-647.2811836320794,-647.2811836320794,-647.2811836320794,-647.2811836320794,-647.2811836320794,-647.2811836320794,-647.2811836320794,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-644.04198664589,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167,-642.1472100285167	0.9930914746931229	-642.1472100285167	2	true	284
