# solver: Greedy
# max_time: 300000
# main_solver: Greedy
# random.seed: 18
# run: a562e2c4-fe98-478f-bb36-25a0eba8ea62
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	12	12	1	0	0	0	0	0	-1374.742637647147	-1374.742637647147	-1167.389987693953	-1167.389987693953	-1374.742637647147	0.9974600273429788	-1374.742637647147	4	true	129
26	13	13	1	0	0	0	0	0	-1370.2227160230236	-1370.2227160230236	-1164.1920499827224	-1164.1920499827224	-1370.2227160230236	0.9973879413076377	-1370.2227160230236	4	true	19
27	14	14	1	0	0	0	0	0	-1369.121699395977	-1369.121699395977	-1162.9737348707486	-1162.9737348707486	-1369.121699395977	0.9968457241868389	-1369.121699395977	4	true	10
28	15	15	1	0	0	0	0	0	-1368.090093754264	-1368.090093754264	-1160.0228647818462	-1160.0228647818462	-1368.090093754264	0.9960270797844731	-1368.090093754264	4	true	9
29	15	15	1	0	0	0	0	0	-1416.9058785660138	-1416.9058785660138	-1158.782097599225	-1158.782097599225	-1416.9058785660138	0.9960270797844731	-1416.9058785660138	4	true	10
30	15	15	1	0	0	0	0	0	-1416.480116483611	-1416.480116483611	-1158.2576445684858	-1158.2576445684858	-1416.480116483611	0.9960270797844731	-1416.480116483611	4	true	10
31	15	15	1	0	0	0	0	0	-1366.2081396159097	-1366.2081396159097	-1159.2195461119334	-1159.2195461119334	-1366.2081396159097	0.9960270797844731	-1366.2081396159097	4	true	10
32	16	16	1	0	0	0	0	0	-1361.5556719494107	-1361.5556719494107	-1159.7669853689451	-1159.7669853689451	-1361.5556719494107	0.9954268136656409	-1361.5556719494107	2	true	9
33	16	15	1	0	0	0	0	0	-1368.4917230597384	-1368.4917230597384	-1159.1860542742131	-1159.1860542742131	-1368.4917230597384	0.99547682061105	-1368.4917230597384	4	true	7
34	17	16	1	0	0	0	0	0	-1417.6614663439436	-1417.6614663439436	-1158.9835244093608	-1158.9835244093608	-1417.6614663439436	0.9954594205335539	-1417.6614663439436	4	true	8
35	18	17	1	0	0	0	0	0	-1420.0267186054077	-1420.0267186054077	-1060.4209857349392	-1060.4209857349392	-1420.0267186054077	0.9950186429401746	-1420.0267186054077	5	true	8
36	18	17	1	0	0	0	0	0	-1419.3250106015212	-1419.3250106015212	-1059.9233584045178	-1059.9233584045178	-1419.3250106015212	0.9950186429401746	-1419.3250106015212	5	true	7
37	18	18	1	0	0	0	0	0	-1369.5614826398794	-1369.5614826398794	-1059.5472528489768	-1059.5472528489768	-1369.5614826398794	0.9944764623741603	-1369.5614826398794	5	true	7
38	19	18	1	0	0	0	0	0	-1283.8897670375788	-1283.8897670375788	-1061.7734697056374	-1061.7734697056374	-1283.8897670375788	0.9939538020631522	-1283.8897670375788	8	true	8
39	21	20	1	0	0	0	0	0	-1281.7693832467746	-1281.7693832467746	-1058.9634406476853	-1058.9634406476853	-1281.7693832467746	0.9937276010557023	-1281.7693832467746	8	true	8
40	22	21	1	0	0	0	0	0	-1493.7112123353518	-1493.7112123353518	-1060.4740687095696	-1060.4740687095696	-1493.7112123353518	0.993518032475271	-1493.7112123353518	10	true	8
41	22	21	1	0	0	0	0	0	-1393.27388986448	-1393.27388986448	-464.93997835198473	-464.93997835198473	-1393.27388986448	0.9931392517966677	-1393.27388986448	10	true	8
42	24	23	1	0	0	0	0	0	-1392.7714898383454	-1392.7714898383454	-462.38533429396847	-462.38533429396847	-1392.7714898383454	0.992781234235749	-1392.7714898383454	10	true	7
43	25	24	1	0	0	0	0	0	-1392.6172515445396	-1392.6172515445396	-462.0570482529036	-462.0570482529036	-1392.6172515445396	0.9921436456817833	-1392.6172515445396	10	true	7
44	27	27	1	0	0	0	0	0	-1171.7275497631188	-1171.7275497631188	-460.7092905717255	-460.7092905717255	-1171.7275497631188	0.9914362740439095	-1171.7275497631188	6	true	7
45	28	26	1	0	0	0	0	0	-1282.3242886375056	-1282.3242886375056	-460.64232887244356	-460.64232887244356	-1282.3242886375056	0.9913852801193147	-1282.3242886375056	8	true	7
46	28	25	1	0	0	0	0	0	-1193.2514901772886	-1193.2514901772886	-460.9914859605774	-460.9914859605774	-1193.2514901772886	0.9913148756040676	-1193.2514901772886	10	true	7
47	28	25	1	0	0	0	0	0	-1195.1380580893328	-1195.1380580893328	-462.5629054504402	-462.5629054504402	-1195.1380580893328	0.9909504609558342	-1195.1380580893328	10	true	6
48	28	24	1	0	0	0	0	0	-1224.661946546601	-1224.661946546601	-463.8121606811455	-463.8121606811455	-1224.661946546601	0.9909873081787672	-1224.661946546601	12	true	9
49	29	27	1	0	0	0	0	0	-1079.2443717502788	-1079.2443717502788	-461.253362286857	-461.253362286857	-1079.2443717502788	0.9908590739941951	-1079.2443717502788	8	true	7
50	30	25	1	0	0	0	0	0	-1104.375770341713	-1104.375770341713	-464.07234819858303	-464.07234819858303	-1104.375770341713	0.9908837850286223	-1104.375770341713	11	true	7
51	30	25	1	0	0	0	0	0	-1224.6899609797101	-1224.6899609797101	-463.6217689297956	-463.6217689297956	-1224.6899609797101	0.9909045115915223	-1224.6899609797101	12	true	6
52	34	29	1	0	0	0	0	0	-1140.8330923049298	-1140.8330923049298	-462.8208168719292	-462.8208168719292	-1140.8330923049298	0.9900609733808058	-1140.8330923049298	9	true	6
53	36	32	1	0	0	0	0	0	-Infinity	-Infinity	-1086.6980692805114	-1086.6980692805114	-Infinity	0.9895644131860418	-Infinity	9	true	5
54	38	35	1	0	0	0	0	0	-Infinity	-Infinity	-1086.5658957732567	-1086.5658957732567	-Infinity	0.9889639277385015	-Infinity	9	true	4
55	40	39	1	0	0	0	0	0	-Infinity	-Infinity	-1070.7014840848906	-1070.7014840848906	-Infinity	0.9880115659338651	-Infinity	6	true	4
56	41	38	1	0	0	0	0	0	-Infinity	-Infinity	-1087.533264632351	-1087.533264632351	-Infinity	0.988012406693912	-Infinity	9	true	4
57	42	39	1	0	0	0	0	0	-Infinity	-Infinity	-1086.074081198751	-1086.074081198751	-Infinity	0.9878508345457335	-Infinity	9	true	3
58	42	40	1	0	0	0	0	0	-Infinity	-Infinity	-1080.7649401950318	-1080.7649401950318	-Infinity	0.9871637873681286	-Infinity	8	true	4
59	42	40	1	0	0	0	0	0	-Infinity	-Infinity	-1077.5914027636677	-1077.5914027636677	-Infinity	0.9867620868395464	-Infinity	8	true	4
60	44	42	1	0	0	0	0	0	-1077.578221817405	-1077.578221817405	-459.3291294944705	-459.3291294944705	-1077.578221817405	0.986254742983309	-1077.578221817405	8	true	8
61	46	45	1	0	0	0	0	0	-1072.9086890997144	-1072.9086890997144	-459.31555310381447	-459.31555310381447	-1072.9086890997144	0.9860256541478712	-1072.9086890997144	7	true	8
62	47	46	1	0	0	0	0	0	-Infinity	-Infinity	-1072.7018329211637	-1072.7018329211637	-Infinity	0.9854360254713741	-Infinity	7	true	4
63	47	45	1	0	0	0	0	0	-Infinity	-Infinity	-1071.6053867886078	-1071.6053867886078	-Infinity	0.985438438087161	-Infinity	6	true	4
64	51	50	1	0	0	0	0	0	-Infinity	-Infinity	-1070.7009086710118	-1070.7009086710118	-Infinity	0.9844573076670005	-Infinity	6	true	5
65	51	50	1	0	0	0	0	0	-Infinity	-Infinity	-1073.003336527598	-1073.003336527598	-Infinity	0.983945613791389	-Infinity	7	true	52
66	51	49	1	0	0	0	0	0	-Infinity	-Infinity	-1271.6008211961166	-1271.6008211961166	-Infinity	0.9837063261710325	-Infinity	6	true	4
67	53	50	1	0	0	0	0	0	-Infinity	-Infinity	-1270.7032173994019	-1270.7032173994019	-Infinity	0.9824984098668677	-Infinity	6	true	4
68	54	51	1	0	0	0	0	0	-Infinity	-Infinity	-1272.1552758139185	-1272.1552758139185	-Infinity	0.981978015952508	-Infinity	6	true	4
69	55	51	1	0	0	0	0	0	-Infinity	-Infinity	-1270.9690813609411	-1270.9690813609411	-Infinity	0.9808830539329295	-Infinity	6	true	4
70	58	53	1	0	0	0	0	0	-Infinity	-Infinity	-1270.6705416956008	-1270.6705416956008	-Infinity	0.9803347321630931	-Infinity	6	true	4
