# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 17
# run: a7a71277-3154-4456-86bc-569735de62cd
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	16	16	27	7172	13770	110160	0	0	-1653.9896878760298	-1653.9896878760298	-1653.9896878760298	-1653.9896878760298	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1653.9896878760298,-1653.9896878760298	0.995805594344244	-1653.9896878760298	1	true	341
26	16	16	11	2883	5610	44880	0	0	-1648.230579079327	-1648.230579079327	-1648.230579079327	-1648.230579079327	-1649.8820196485651,-1649.8820196485651,-1649.8820196485651,-1649.0383782225686,-1649.0383782225686,-1649.0383782225686,-1649.0383782225686,-1649.0383782225686,-1649.0383782225686,-1648.230579079327,-1648.230579079327	0.9955956967707507	-1648.230579079327	1	true	35
27	17	17	15	3830	7650	61200	0	0	-1643.5153003045048	-1643.5153003045048	-1643.5153003045048	-1643.5153003045048	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1643.5153003045048,-1643.5153003045048	0.9952876130456717	-1643.5153003045048	0	true	38
28	18	18	10	2512	5100	40800	0	0	-1642.965360194241	-1642.965360194241	-1642.965360194241	-1642.965360194241	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1642.965360194241,-1642.965360194241	0.995024126157873	-1642.965360194241	0	true	31
29	18	18	20	4848	10200	81600	0	0	-1645.1179528447472	-1645.1179528447472	-1645.1179528447472	-1645.1179528447472	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1695.6323216672379,-1695.6323216672379,-1645.6323228502306,-1645.6323228502306,-1645.6323228502306,-1645.6323228502306,-1645.6323228502306,-1645.6323228502306,-1645.6323228502306,-1645.6323228502306,-1645.6323228502306,-1645.1179528447472,-1645.1179528447472	0.9947478816502295	-1645.1179528447472	0	true	29
30	20	20	53	12508	27030	216240	0	0	-851.4768008550917	-851.4768008550917	-851.4768008550917	-851.4768008550917	-1346.6136467133574,-1247.2198478087566,-1148.2480272716675,-1148.2480272716675,-1148.2480272716675,-1148.2480272716675,-1148.2480272716675,-1148.2480272716675,-1147.8612765004423,-1147.8612765004423,-1147.8612765004423,-1049.9713585053453,-1049.9713585053453,-1049.9713585053453,-1049.9713585053453,-1049.9713585053453,-1049.9713585053453,-1049.9713585053453,-1049.9713585053453,-1049.9713585053453,-1049.9713585053453,-1049.9713585053453,-1049.574667480402,-1049.574667480402,-1049.574667480402,-1049.574667480402,-1049.574667480402,-1049.574667480402,-1049.574667480402,-1049.574667480402,-951.6516845723708,-951.6516845723708,-951.6516845723708,-951.6516845723708,-951.6516845723708,-951.6516845723708,-854.5661490779029,-854.1733697526173,-854.1733697526173,-854.1733697526173,-852.2521650782729,-852.2521650782729,-852.2521650782729,-852.2521650782729,-852.2521650782729,-852.2521650782729,-852.2521650782729,-852.2521650782729,-852.2521650782729,-852.2521650782729,-852.2521650782729,-851.4768008550917,-851.4768008550917	0.9943563799065661	-851.4768008550917	0	true	42
31	22	22	24	5332	12240	97920	0	0	-846.3181436701564	-846.3181436701564	-846.3181436701564	-846.3181436701564	-Infinity,-Infinity,-Infinity,-909.0721874261953,-909.0721874261953,-909.0721874261953,-905.8439242655124,-905.8439242655124,-904.4780516119984,-904.4780516119984,-854.4780653254245,-854.4780653254245,-850.4836254574333,-850.4836254574333,-850.4836254574333,-850.4836254574333,-847.0007253288134,-847.0007253288134,-847.0007253288134,-847.0007253288134,-847.0007253288134,-847.0007253288134,-846.3181436701564,-846.3181436701564	0.9933681213033975	-846.3181436701564	0	true	29
32	23	23	13	2756	6630	53040	0	0	-842.0640257968647	-842.0640257968647	-842.0640257968647	-842.0640257968647	-842.6506180212028,-842.6506180212028,-842.6506180212028,-842.6506180212028,-842.6506180212028,-842.6506180212028,-842.6506180212028,-842.6506180212028,-842.6506180212028,-842.6506180212028,-842.6506180212028,-842.0640257968647,-842.0640257968647	0.9931903919404012	-842.0640257968647	0	true	25
33	26	26	18	3816	9180	73440	0	0	-839.695537734636	-839.695537734636	-839.695537734636	-839.695537734636	-843.6858923999573,-843.6858923999573,-842.9361879734874,-842.9361879734874,-842.9361879734874,-842.6633596071324,-842.6633596071324,-842.6633596071324,-840.9312694910761,-840.9312694910761,-840.9312694910761,-840.9312694910761,-840.9312694910761,-840.3969366865969,-840.3969366865969,-840.3969366865969,-839.695537734636,-839.695537734636	0.9926207952858952	-839.695537734636	0	true	26
34	27	27	26	5304	13260	106080	0	0	-644.202058191193	-644.202058191193	-644.202058191193	-644.202058191193	-840.5110866080053,-742.6394275582194,-742.6394275582194,-742.6394275582194,-742.3118148998532,-742.3118148998532,-742.3118148998532,-742.3118148998532,-742.3118148998532,-742.3118148998532,-742.3118148998532,-742.3118148998532,-742.3118148998532,-644.4396150453134,-644.4396150453134,-644.4396150453134,-644.4396150453134,-644.4396150453134,-644.4396150453134,-644.4396150453134,-644.4396150453134,-644.4396150453134,-644.4396150453134,-644.4396150453134,-644.202058191193,-644.202058191193	0.9920211871531864	-644.202058191193	0	true	30
